date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,6.63,6.72,6.5,6.59,43406.0,,,
1993-09-07,6.75,6.81,6.57,6.62,37381.0,,,
1993-09-08,6.75,6.87,6.47,6.59,41136.0,,,
1993-09-09,6.53,6.68,6.5,6.58,36487.0,,,
1993-09-10,6.56,6.75,6.47,6.53,38052.0,,,
1993-09-11,6.66,6.72,6.5,6.57,37512.0,,,
1993-09-14,6.67,6.67,6.32,6.41,33956.0,,,
1993-09-15,6.3,6.38,6.22,6.3,37143.0,,,
1993-09-16,6.28,6.53,6.25,6.31,33496.0,,,
1993-09-17,6.29,6.34,6.07,6.11,35983.0,,,
1993-09-18,6.22,6.25,6.0,6.11,31249.0,,,
1993-09-21,6.1,6.35,6.1,6.25,34196.0,,,
1993-09-22,6.16,6.22,6.05,6.17,31241.0,,,
1993-09-23,6.19,6.29,6.19,6.23,33984.0,,,
1993-09-24,6.25,6.25,6.05,6.11,31685.0,,,
1993-09-25,5.99,6.24,5.99,6.15,32040.0,,,
1993-09-28,6.27,6.27,6.04,6.13,26426.0,,,
1993-09-29,6.25,6.25,6.07,6.11,27060.0,,,
1993-09-30,6.13,6.2,6.1,6.11,25651.0,,,
1993-10-02,5.94,6.25,5.94,6.16,27267.0,,,
1993-10-05,6.4,6.78,6.38,6.74,37161.0,,,
1993-10-06,6.87,6.91,6.47,6.58,14209.0,,,
1993-10-07,6.93,6.93,6.53,6.56,12849.0,,,
1993-10-08,6.72,6.72,6.56,6.61,3582.0,,,
1993-10-09,6.72,6.91,6.72,6.76,19568.0,,,
1993-10-12,6.96,7.19,6.85,7.12,21554.0,,,
1993-10-13,7.35,7.44,6.84,6.93,33986.0,,,
1993-10-14,6.88,6.88,6.5,6.63,21062.0,,,
1993-10-15,6.66,6.72,6.57,6.59,18487.0,,,
1993-10-16,6.63,6.69,6.51,6.59,15229.0,,,
1993-10-19,6.5,6.69,6.41,6.44,21243.0,,,
1993-10-20,6.41,6.44,6.22,6.28,15060.0,,,
1993-10-21,6.22,6.4,6.19,6.21,18702.0,,,
1993-10-22,6.1,6.28,6.1,6.22,16013.0,,,
1993-10-23,6.25,6.25,6.02,6.13,17710.0,,,
1993-10-24,6.2,6.34,6.16,6.25,16097.0,,,
1993-10-26,6.01,6.22,6.01,6.18,26434.0,,,
1993-10-27,6.16,6.19,6.01,6.09,26425.0,,,
1993-10-28,5.94,6.16,5.94,6.12,26465.0,,,
1993-10-29,6.4,6.4,6.07,6.13,26690.0,,,
1993-10-30,6.13,6.16,6.02,6.06,27706.0,,,
1993-11-02,6.1,6.25,6.1,6.2,27256.0,,,
1993-11-03,6.31,6.31,6.06,6.1,28095.0,,,
1993-11-04,6.1,6.53,6.1,6.2,40122.0,,,
1993-11-05,6.31,6.38,6.21,6.3,39891.0,,,
1993-11-06,6.4,6.56,6.35,6.46,41788.0,,,
1993-11-09,6.56,6.81,6.52,6.7,32097.0,,,
1993-11-10,6.66,6.98,6.66,6.89,45460.0,,,
1993-11-11,6.97,7.1,6.75,6.81,33706.0,,,
1993-11-12,6.74,6.87,6.19,6.47,30782.0,,,
1993-11-13,6.41,6.56,6.38,6.42,23129.0,,,
1993-11-14,6.41,6.48,6.29,6.41,14936.0,,,
1993-11-16,6.42,6.72,6.42,6.66,4095.0,,,
1993-11-17,6.61,6.66,6.52,6.54,31059.0,,,
1993-11-18,6.53,6.53,6.47,6.5,30584.0,,,
1993-11-19,6.47,6.55,6.29,6.38,32541.0,,,
1993-11-20,6.3,6.4,6.25,6.29,30166.0,,,
1993-11-23,6.32,6.44,6.32,6.36,24150.0,,,
1993-11-24,6.46,6.46,6.32,6.35,23830.0,,,
1993-11-26,6.4,6.63,6.4,6.57,36003.0,,,
1993-11-27,6.75,6.75,6.61,6.7,35264.0,,,
1993-11-30,6.81,6.91,6.77,6.86,37402.0,,,
1993-12-01,6.88,6.88,6.63,6.81,28811.0,,,
1993-12-02,6.85,7.16,6.82,6.92,41956.0,,,
1993-12-03,6.88,7.16,6.88,6.96,45796.0,,,
1993-12-04,7.03,7.16,6.83,6.9,38517.0,,,
1993-12-07,6.88,7.06,6.83,6.94,36971.0,,,
1993-12-08,7.03,7.87,7.0,7.72,50345.0,,,
1993-12-09,7.75,7.97,7.5,7.64,54107.0,,,
1993-12-10,7.66,8.13,7.6,7.66,40064.0,,,
1993-12-11,7.75,7.94,7.66,7.86,42540.0,,,
1993-12-14,7.97,8.8,7.94,8.61,56817.0,,,
1993-12-15,8.44,9.25,8.31,9.11,69491.0,,,
1993-12-16,9.22,10.93,9.17,10.93,176195.0,,,
1993-12-17,11.1,13.09,10.94,13.02,339689.0,,,
1993-12-18,13.19,14.96,13.19,14.14,406644.0,,,
1993-12-21,14.32,14.94,13.63,13.82,284378.0,,,
1993-12-22,14.0,14.52,13.69,13.77,124938.0,,,
1993-12-23,14.0,14.14,12.97,13.21,84050.0,,,
1993-12-25,13.91,13.91,12.4,12.8,114137.0,,,
1993-12-28,12.97,13.29,12.82,12.9,70166.0,,,
1993-12-29,12.85,13.1,11.6,12.17,54643.0,,,
1993-12-30,12.32,12.41,11.85,12.0,66013.0,,,
1993-12-31,12.19,13.22,11.88,13.07,151230.0,,,
1994-01-01,13.29,13.6,12.85,13.01,82497.0,,,
1994-01-04,13.07,13.12,12.44,12.62,47312.0,,,
1994-01-05,12.5,13.03,12.1,12.23,63978.0,,,
1994-01-06,12.63,12.78,11.88,12.09,48640.0,,,
1994-01-07,12.47,12.66,12.13,12.29,38010.0,,,
1994-01-08,12.5,12.72,11.88,12.01,48732.0,,,
1994-01-11,11.92,12.97,11.73,12.31,83400.0,,,
1994-01-12,12.56,12.94,12.28,12.47,50957.0,,,
1994-01-13,12.57,12.85,12.44,12.56,55049.0,,,
1994-01-14,12.61,12.81,12.22,12.36,47662.0,,,
