date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2008-06-17,30.0,31.5,28.5,31.5,7006229.0,,,
2008-06-18,32.7,33.05,31.0,32.6,2895692.0,,,
2008-06-19,31.5,32.2,31.0,31.0,1115553.0,,,
2008-06-20,29.45,30.0,29.45,29.65,2854524.0,,,
2008-06-21,28.2,29.8,28.2,29.45,1612972.0,,,
2008-06-24,30.0,30.0,28.5,28.95,365859.0,,,
2008-06-25,28.8,29.4,27.55,28.8,493868.0,,,
2008-06-26,28.3,28.3,27.4,27.4,133412.0,,,
2008-06-27,26.05,26.05,26.05,26.05,61587.0,,,
2008-06-28,24.75,27.35,24.75,26.8,1158865.0,,,
2008-07-01,27.2,27.25,22.8,25.2,1369795.0,,,
2008-07-02,26.95,26.95,24.5,26.35,519628.0,,,
2008-07-03,26.0,29.95,25.8,29.6,1033451.0,,,
2008-07-04,29.8,31.95,28.6,29.8,1546192.0,,,
2008-07-05,29.0,30.9,28.85,30.35,523472.0,,,
2008-07-08,30.45,31.4,29.55,30.95,616718.0,,,
2008-07-09,30.55,31.85,30.25,31.1,492511.0,,,
2008-07-10,31.05,33.4,30.6,31.95,1610144.0,,,
2008-07-11,31.8,32.9,30.95,31.1,524503.0,,,
2008-07-12,32.5,32.7,31.2,31.45,770830.0,,,
2008-07-15,32.4,32.4,30.85,31.1,696778.0,,,
2008-07-16,31.65,31.85,30.95,31.45,557931.0,,,
2008-07-17,31.5,31.75,29.55,29.75,497514.0,,,
2008-07-18,29.8,30.4,28.1,29.7,469529.0,,,
2008-07-19,29.95,35.6,29.5,35.4,5891772.0,,,
2008-07-22,37.9,42.45,37.1,42.45,2766587.0,,,
2008-07-23,45.85,46.65,45.0,46.65,1510186.0,,,
2008-07-24,50.7,51.3,47.1,51.3,868232.0,,,
2008-07-25,55.8,56.4,48.0,52.9,6847468.0,,,
2008-07-26,54.5,54.8,51.15,52.35,1425686.0,,,
2008-07-29,52.8,57.55,52.8,57.55,2011508.0,,,
