date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1997-11-26,154.0,210.0,154.0,192.58,27294366.0,,,
1997-11-27,196.8,198.0,174.8,178.78,4581338.0,,,
1997-11-28,181.8,182.95,168.2,176.84,5124121.0,,,
1997-11-29,178.0,191.6,178.0,184.31,4609762.0,,,
1997-12-02,187.95,199.0,184.4,193.86,2977470.0,,,
1997-12-03,197.0,211.2,195.2,208.29,4849250.0,,,
1997-12-04,212.2,219.9,210.0,216.49,2848209.0,,,
1997-12-05,217.8,221.94,210.2,216.26,1749516.0,,,
1997-12-06,220.0,226.8,215.6,220.48,2247904.0,,,
1997-12-09,222.0,222.0,212.22,215.08,1012350.0,,,
1997-12-10,216.2,217.8,208.2,209.53,810464.0,,,
1997-12-11,206.4,213.0,203.2,207.36,744799.0,,,
1997-12-12,208.0,230.0,206.05,225.99,3067687.0,,,
1997-12-13,227.98,228.0,220.22,222.1,1070737.0,,,
1997-12-16,228.0,233.6,204.3,208.85,1404955.0,,,
1997-12-17,209.0,221.98,206.31,214.99,1226984.0,,,
1997-12-18,218.2,223.2,209.26,213.38,845666.0,,,
1997-12-19,216.7,216.7,210.2,212.04,623288.0,,,
1997-12-23,219.0,238.4,217.05,231.36,2060892.0,,,
1997-12-25,235.0,242.8,229.6,239.98,1467031.0,,,
1997-12-26,243.0,248.0,240.8,242.33,977495.0,,,
1997-12-27,237.88,254.8,235.0,249.82,1164138.0,,,
1997-12-30,252.67,259.0,252.2,253.76,737249.0,,,
1997-12-31,255.8,263.8,252.74,259.37,491348.0,,,
1998-01-01,262.05,264.8,254.0,261.49,703815.0,,,
1998-01-02,261.0,262.94,252.23,255.16,505058.0,,,
1998-01-03,255.76,258.96,246.6,248.07,550795.0,,,
1998-01-06,248.0,255.78,243.0,245.45,630963.0,,,
1998-01-07,248.0,251.0,237.0,240.96,530499.0,,,
1998-01-08,240.0,242.0,230.2,236.05,627507.0,,,
1998-01-09,237.0,239.96,222.0,224.31,438806.0,,,
1998-01-10,225.6,226.0,212.6,217.17,616938.0,,,
