date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,30.31,31.27,30.22,30.93,533710.0,,,
1993-09-07,30.87,32.05,30.87,31.89,847925.0,,,
1993-09-08,32.0,32.21,30.77,31.01,614345.0,,,
1993-09-09,30.99,31.35,30.8,31.2,503163.0,,,
1993-09-10,31.33,31.39,30.67,30.78,541566.0,,,
1993-09-11,31.07,31.19,30.2,30.36,508508.0,,,
1993-09-14,29.93,30.33,28.63,28.83,485436.0,,,
1993-09-15,28.27,28.89,27.37,28.75,788147.0,,,
1993-09-16,29.12,29.29,28.33,28.73,682704.0,,,
1993-09-17,28.53,28.67,26.79,27.48,1172341.0,,,
1993-09-18,27.97,28.27,26.53,27.41,922612.0,,,
1993-09-21,27.88,28.79,27.6,28.04,685961.0,,,
1993-09-22,28.07,29.29,27.9,29.02,1056789.0,,,
1993-09-23,28.8,29.85,28.8,29.62,876777.0,,,
1993-09-24,29.59,29.59,28.75,28.97,743573.0,,,
1993-09-25,28.03,30.24,28.03,30.14,412981.0,,,
1993-09-28,30.27,31.05,30.13,30.79,627764.0,,,
1993-09-29,31.33,31.38,30.43,30.63,330888.0,,,
1993-09-30,30.8,30.93,30.27,30.57,407778.0,,,
1993-10-02,30.83,31.2,30.53,31.05,372785.0,,,
1993-10-05,31.07,31.71,31.07,31.19,432941.0,,,
1993-10-06,31.47,32.64,30.81,32.21,1028984.0,,,
1993-10-07,32.65,33.07,31.88,32.35,831618.0,,,
1993-10-08,32.27,33.43,31.6,32.85,1043243.0,,,
1993-10-09,33.33,33.33,31.95,32.21,645064.0,,,
1993-10-12,33.05,33.13,31.71,32.71,1001430.0,,,
1993-10-13,33.06,33.12,30.96,31.29,771519.0,,,
1993-10-14,31.33,31.56,30.13,30.8,654623.0,,,
1993-10-15,31.52,32.25,31.27,31.62,895968.0,,,
1993-10-16,31.87,32.0,30.7,30.89,2453923.0,,,
1993-10-19,31.79,31.79,30.02,30.35,1179480.0,,,
1993-10-20,30.52,31.31,29.75,30.02,983731.0,,,
1993-10-21,30.36,30.46,29.4,29.74,581538.0,,,
1993-10-22,29.93,31.13,29.6,30.15,650165.0,,,
1993-10-23,30.0,30.97,29.96,30.8,357283.0,,,
1993-10-24,32.0,32.0,30.92,31.19,153068.0,,,
1993-10-26,31.07,31.73,30.62,30.77,560055.0,,,
1993-10-27,30.66,30.93,30.15,30.38,286811.0,,,
1993-10-28,30.61,31.61,30.53,31.33,564377.0,,,
1993-10-29,31.4,32.8,31.32,32.53,2186893.0,,,
1993-10-30,32.67,34.0,32.53,33.61,1083902.0,,,
1993-11-02,34.19,35.36,34.09,35.15,1510504.0,,,
1993-11-03,35.57,38.73,34.67,37.81,3776540.0,,,
1993-11-04,37.73,39.33,37.02,38.41,2717437.0,,,
1993-11-05,38.93,39.28,38.0,38.17,1848860.0,,,
1993-11-06,38.65,38.67,36.85,37.17,963844.0,,,
1993-11-09,36.93,37.58,36.05,37.23,438685.0,,,
1993-11-10,37.4,38.65,37.23,38.21,1115036.0,,,
1993-11-11,38.67,39.05,37.25,37.59,1541109.0,,,
1993-11-12,37.33,37.91,35.38,35.65,1391142.0,,,
1993-11-13,35.73,36.31,34.8,35.03,1296366.0,,,
1993-11-14,35.07,36.63,34.95,36.19,340165.0,,,
1993-11-16,36.67,36.67,35.67,36.38,674121.0,,,
1993-11-17,36.4,36.99,35.2,35.58,852211.0,,,
1993-11-18,35.61,36.33,34.75,35.89,771854.0,,,
1993-11-19,36.27,37.6,36.13,36.45,1934130.0,,,
1993-11-20,36.45,36.67,35.48,36.45,663450.0,,,
1993-11-23,36.47,36.47,35.4,35.61,574698.0,,,
1993-11-24,35.96,35.96,35.15,35.48,702762.0,,,
1993-11-26,35.33,36.67,35.33,36.24,1487356.0,,,
1993-11-27,36.53,37.6,36.4,37.37,1116266.0,,,
1993-11-30,37.87,39.07,37.8,38.89,1467920.0,,,
1993-12-01,39.05,39.87,38.0,39.05,1647006.0,,,
1993-12-02,39.23,39.65,38.48,38.78,915879.0,,,
1993-12-03,38.81,39.6,38.41,38.97,1000257.0,,,
1993-12-04,39.2,40.27,37.27,37.62,2198027.0,,,
1993-12-07,38.0,38.0,36.28,36.86,1485390.0,,,
1993-12-08,37.73,40.0,37.28,38.19,873687.0,,,
1993-12-09,38.67,39.33,38.0,38.58,1454014.0,,,
1993-12-10,38.93,40.0,38.14,38.97,840428.0,,,
1993-12-11,39.2,40.72,38.09,40.51,2348871.0,,,
1993-12-14,41.07,41.19,39.75,39.92,1466686.0,,,
1993-12-15,40.32,40.65,39.21,39.66,1345168.0,,,
1993-12-16,39.79,39.87,39.22,39.35,805525.0,,,
