date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,74.5,75.4,74.25,75.08,82546.0,,,
1993-09-07,75.88,75.88,74.75,75.03,99578.0,,,
1993-09-08,75.63,85.5,75.63,81.98,715880.0,,,
1993-09-09,81.5,82.25,78.5,79.13,202025.0,,,
1993-09-10,79.0,80.75,78.63,79.73,158200.0,,,
1993-09-11,81.25,82.45,79.63,80.0,202825.0,,,
1993-09-14,81.35,84.5,80.4,82.2,363485.0,,,
1993-09-15,82.5,84.25,81.0,83.23,126171.0,,,
1993-09-16,83.45,86.25,81.3,82.53,379402.0,,,
1993-09-17,82.9,82.9,79.5,79.83,103262.0,,,
1993-09-18,82.0,82.15,78.1,80.33,160032.0,,,
1993-09-21,82.4,82.4,79.0,79.7,57752.0,,,
1993-09-22,79.75,80.0,79.05,79.85,31307.0,,,
1993-09-23,80.75,80.75,79.25,79.65,30870.0,,,
1993-09-24,79.5,80.48,78.85,79.1,33033.0,,,
1993-09-25,80.4,80.4,78.28,78.7,51088.0,,,
1993-09-28,80.3,80.3,78.5,78.55,48164.0,,,
1993-09-29,79.9,79.98,78.5,78.7,21348.0,,,
1993-09-30,79.25,83.0,78.38,81.85,159279.0,,,
1993-10-02,82.75,83.73,80.03,80.5,101399.0,,,
1993-10-05,81.95,81.95,80.5,81.13,52082.0,,,
1993-10-06,82.0,82.25,80.03,80.6,59145.0,,,
1993-10-07,82.5,83.45,80.5,80.88,86045.0,,,
1993-10-08,81.08,81.65,80.0,80.3,42347.0,,,
1993-10-09,81.25,81.5,80.03,80.18,73748.0,,,
1993-10-12,80.5,81.0,78.53,79.75,80144.0,,,
1993-10-13,79.08,80.33,77.5,78.25,130549.0,,,
1993-10-14,78.5,79.0,76.63,78.45,59119.0,,,
1993-10-15,78.5,78.75,77.5,77.8,40179.0,,,
1993-10-16,78.0,81.25,77.6,80.03,92639.0,,,
1993-10-19,80.95,83.5,79.25,80.28,113723.0,,,
1993-10-20,80.5,80.5,78.1,79.85,68133.0,,,
1993-10-21,80.0,80.4,79.5,80.05,45070.0,,,
1993-10-22,80.03,80.68,77.5,77.93,28868.0,,,
1993-10-23,78.15,78.15,76.0,77.25,40817.0,,,
1993-10-24,77.55,79.9,77.5,78.9,10949.0,,,
1993-10-26,79.1,80.0,77.35,77.65,37844.0,,,
1993-10-27,77.5,77.53,75.58,75.98,20839.0,,,
1993-10-28,77.0,78.4,76.0,76.25,28371.0,,,
1993-10-29,76.2,78.0,75.75,76.88,28873.0,,,
1993-10-30,77.45,79.5,76.75,78.13,78683.0,,,
1993-11-02,79.03,79.6,77.5,77.83,36624.0,,,
1993-11-03,78.0,79.0,77.0,77.4,56105.0,,,
1993-11-04,77.25,78.18,76.0,76.43,33746.0,,,
1993-11-05,77.43,78.0,76.55,76.9,35074.0,,,
1993-11-06,77.0,77.5,76.63,76.93,31754.0,,,
