date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,30.6,30.6,29.8,30.1,17597.0,,,
1993-09-07,30.5,30.6,30.29,30.48,27567.0,,,
1993-09-08,30.5,30.7,30.0,30.6,41864.0,,,
1993-09-09,30.3,30.8,30.2,30.57,60618.0,,,
1993-09-10,30.7,31.5,30.7,31.03,54043.0,,,
1993-09-11,31.49,32.4,31.1,31.33,80166.0,,,
1993-09-14,31.5,31.5,30.6,30.75,89041.0,,,
1993-09-15,30.11,31.0,30.11,30.9,81068.0,,,
1993-09-16,30.6,31.1,30.31,30.75,35590.0,,,
1993-09-17,30.6,30.8,30.25,30.37,6010.0,,,
1993-09-18,30.2,30.8,29.9,30.2,10660.0,,,
1993-09-21,30.01,30.7,30.01,30.59,19953.0,,,
1993-09-22,30.6,30.65,30.1,30.46,14387.0,,,
1993-09-23,30.5,30.6,30.33,30.49,20310.0,,,
1993-09-24,30.2,30.5,30.15,30.24,5750.0,,,
1993-09-25,30.48,30.9,30.24,30.54,24554.0,,,
1993-09-28,29.85,30.8,29.85,30.18,20492.0,,,
1993-09-29,30.2,30.6,30.18,30.36,25044.0,,,
1993-09-30,30.3,30.5,30.21,30.37,9533.0,,,
1993-10-02,30.11,30.5,30.11,30.48,20551.0,,,
1993-10-05,30.48,30.5,30.01,30.06,22953.0,,,
1993-10-06,30.2,30.5,30.1,30.33,39539.0,,,
1993-10-07,30.3,30.5,30.2,30.47,20461.0,,,
1993-10-08,30.5,30.5,30.21,30.34,20513.0,,,
1993-10-09,30.49,30.5,30.31,30.45,29485.0,,,
1993-10-12,30.6,31.38,30.3,31.23,37679.0,,,
1993-10-13,31.2,31.2,30.8,30.88,57702.0,,,
1993-10-14,30.72,30.9,30.3,30.53,40745.0,,,
1993-10-15,30.5,30.8,30.01,30.25,31091.0,,,
1993-10-16,30.11,30.5,30.11,30.47,43102.0,,,
1993-10-19,30.4,30.5,29.61,29.7,77235.0,,,
1993-10-20,29.7,29.99,29.0,29.08,17294.0,,,
1993-10-21,32.3,32.3,28.76,28.98,16036.0,,,
1993-10-22,29.99,29.99,28.31,28.48,27810.0,,,
1993-10-23,28.25,29.2,28.22,28.95,15857.0,,,
1993-10-24,29.5,29.5,28.85,29.01,14129.0,,,
1993-10-26,29.0,29.1,28.25,28.34,12544.0,,,
1993-10-27,28.85,28.89,28.2,28.28,11753.0,,,
1993-10-28,28.5,28.6,28.2,28.33,59795.0,,,
1993-10-29,28.3,28.4,28.1,28.32,35623.0,,,
1993-10-30,28.41,28.41,27.3,27.44,111165.0,,,
1993-11-02,27.75,28.5,27.75,28.22,40474.0,,,
1993-11-03,28.37,29.0,28.2,28.68,37216.0,,,
1993-11-04,28.58,29.65,28.58,29.45,39770.0,,,
1993-11-05,29.7,31.25,29.6,30.92,78370.0,,,
1993-11-06,30.2,31.4,28.12,30.68,57780.0,,,
1993-11-09,29.51,30.89,29.51,30.43,39619.0,,,
1993-11-10,30.7,30.71,30.17,30.44,49766.0,,,
1993-11-11,30.7,30.8,30.33,30.54,21926.0,,,
1993-11-12,30.76,30.8,30.31,30.66,21196.0,,,
1993-11-13,30.7,30.74,30.2,30.65,38988.0,,,
1993-11-14,30.7,30.7,30.0,30.14,4584.0,,,
1993-11-16,30.5,30.9,30.3,30.65,21958.0,,,
1993-11-17,30.9,30.9,30.41,30.64,15297.0,,,
1993-11-18,30.4,30.59,30.3,30.54,34976.0,,,
1993-11-19,30.5,30.57,30.2,30.46,12908.0,,,
1993-11-20,30.22,30.6,29.31,30.51,17102.0,,,
1993-11-23,30.25,30.79,30.11,30.7,20090.0,,,
1993-11-24,30.9,30.9,30.33,30.7,15015.0,,,
1993-11-26,30.6,30.99,30.4,30.77,74134.0,,,
1993-11-27,31.0,31.3,30.56,30.96,26293.0,,,
1993-11-30,30.9,31.18,30.67,30.91,72764.0,,,
1993-12-01,30.9,31.08,30.8,30.99,31245.0,,,
1993-12-02,30.9,31.4,30.82,31.14,60276.0,,,
1993-12-03,31.13,31.5,30.91,31.32,81232.0,,,
1993-12-04,31.48,31.94,31.3,31.71,60589.0,,,
1993-12-07,31.7,33.0,31.5,31.99,45446.0,,,
1993-12-08,32.49,32.99,31.8,32.02,37516.0,,,
1993-12-09,32.01,32.55,32.01,32.42,36258.0,,,
1993-12-10,32.4,32.9,32.4,32.8,47290.0,,,
1993-12-11,32.85,33.0,32.4,32.75,20075.0,,,
1993-12-14,32.99,33.26,32.81,32.96,54690.0,,,
1993-12-15,32.75,33.0,32.25,32.44,21342.0,,,
1993-12-16,32.5,32.98,32.5,32.61,19664.0,,,
1993-12-17,32.94,33.22,31.9,32.53,33960.0,,,
1993-12-18,32.8,32.9,31.95,31.98,54984.0,,,
1993-12-21,32.53,32.79,32.13,32.41,23090.0,,,
1993-12-22,32.79,32.79,32.1,32.16,13765.0,,,
1993-12-23,32.35,32.5,32.11,32.36,18231.0,,,
1993-12-25,32.6,32.7,32.13,32.56,24189.0,,,
1993-12-28,32.8,33.25,32.56,32.67,58981.0,,,
1993-12-29,32.9,32.9,32.3,32.35,19405.0,,,
1993-12-30,32.5,33.75,32.5,33.48,98576.0,,,
1993-12-31,33.1,34.3,33.1,33.62,47674.0,,,
1994-01-01,33.91,34.0,33.2,33.51,33480.0,,,
1994-01-04,33.9,34.6,33.5,34.05,77308.0,,,
1994-01-05,34.0,34.38,32.35,32.83,54203.0,,,
1994-01-06,33.2,33.35,32.6,32.9,37197.0,,,
1994-01-07,32.65,33.8,32.65,33.67,39362.0,,,
1994-01-08,35.0,36.1,32.01,33.95,38327.0,,,
1994-01-11,34.0,34.2,33.1,34.01,86940.0,,,
1994-01-12,34.2,34.45,33.2,34.15,53574.0,,,
1994-01-13,34.1,34.4,34.1,34.28,16059.0,,,
1994-01-14,34.5,34.5,34.0,34.33,55777.0,,,
1994-01-15,34.3,34.3,33.5,34.01,24423.0,,,
1994-01-18,34.01,34.01,33.1,33.7,14941.0,,,
1994-01-19,34.0,34.19,33.02,33.59,30376.0,,,
1994-01-20,33.0,34.0,31.8,32.84,34176.0,,,
1994-01-21,32.1,33.5,31.43,32.07,23053.0,,,
1994-01-22,31.51,34.61,31.51,34.21,41520.0,,,
1994-01-26,34.0,34.59,33.4,34.14,12841.0,,,
1994-01-27,34.64,34.7,33.32,33.54,31189.0,,,
1994-01-28,32.2,34.0,31.98,33.26,55463.0,,,
1994-01-29,32.9,33.89,32.01,32.25,21315.0,,,
1994-02-02,32.0,32.2,32.0,32.01,77387.0,,,
1994-02-03,32.1,32.3,31.9,32.01,49584.0,,,
1994-02-04,32.3,32.4,32.0,32.02,6759.0,,,
1994-02-05,32.01,32.2,31.93,32.03,50559.0,,,
1994-02-08,32.2,32.2,32.0,32.02,16654.0,,,
1994-02-09,32.49,32.49,32.0,32.04,12619.0,,,
1994-02-10,32.2,32.3,32.0,32.12,51081.0,,,
1994-02-11,32.1,32.26,31.98,32.03,60743.0,,,
1994-02-12,32.1,32.45,31.98,32.01,68916.0,,,
1994-02-15,32.1,32.5,32.0,32.06,11530.0,,,
1994-02-16,32.06,32.2,31.86,31.99,18415.0,,,
1994-02-17,32.0,32.14,31.93,32.0,34646.0,,,
1994-02-18,32.0,32.15,31.7,32.0,12219.0,,,
1994-02-19,31.52,32.25,31.51,32.06,50362.0,,,
1994-02-22,32.1,32.2,31.0,31.64,128739.0,,,
1994-02-23,31.5,31.7,31.05,31.27,12882.0,,,
1994-02-24,32.5,32.5,30.21,30.32,10119.0,,,
1994-02-25,30.6,30.9,29.81,30.1,21519.0,,,
1994-02-26,30.3,30.5,29.45,30.12,20340.0,,,
1994-03-01,35.4,35.4,29.5,30.6,16989.0,,,
1994-03-03,30.5,30.5,29.9,30.02,22883.0,,,
1994-03-04,30.11,30.7,30.11,30.56,13039.0,,,
1994-03-05,30.23,31.74,30.23,31.64,27409.0,,,
1994-03-08,32.0,32.0,30.82,31.36,15135.0,,,
1994-03-09,31.7,32.0,30.83,31.49,15300.0,,,
1994-03-10,31.5,31.5,31.0,31.24,6876.0,,,
1994-03-11,31.45,31.5,31.0,31.43,6409.0,,,
1994-03-12,30.96,31.6,30.96,31.55,7992.0,,,
1994-03-15,31.6,32.0,31.2,31.54,14892.0,,,
1994-03-16,30.51,31.5,30.51,31.46,10154.0,,,
1994-03-17,31.6,31.9,31.02,31.43,8453.0,,,
1994-03-18,31.5,31.6,31.23,31.47,5126.0,,,
1994-03-19,31.22,31.65,31.0,31.44,65211.0,,,
