date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,6.03,6.12,5.79,6.06,14305.0,,,
1993-09-07,6.03,6.21,5.93,6.16,14767.0,,,
1993-09-08,7.1,7.1,6.12,6.27,15158.0,,,
1993-09-09,6.05,6.38,5.95,5.96,5630.0,,,
1993-09-10,5.87,6.03,5.87,5.93,2120.0,,,
1993-09-11,5.95,5.95,5.78,5.83,10401.0,,,
1993-09-14,5.77,5.89,5.64,5.74,6544.0,,,
1993-09-15,5.8,5.81,5.61,5.7,1565.0,,,
1993-09-16,5.83,5.83,5.7,5.73,1915.0,,,
1993-09-17,5.5,5.72,5.5,5.57,1680.0,,,
1993-09-18,5.52,5.66,5.42,5.51,10398.0,,,
1993-09-21,5.59,5.59,5.42,5.45,4108.0,,,
1993-09-22,5.44,5.55,5.43,5.55,1270.0,,,
1993-09-23,5.52,5.68,5.42,5.63,5550.0,,,
1993-09-24,5.66,5.68,5.59,5.66,4161.0,,,
1993-09-25,5.67,5.67,5.51,5.6,3313.0,,,
1993-09-28,5.68,5.7,5.6,5.67,4516.0,,,
1993-09-29,5.67,5.68,5.61,5.61,6521.0,,,
1993-09-30,5.67,5.72,5.55,5.63,6583.0,,,
1993-10-02,5.64,5.95,5.6,5.76,5675.0,,,
1993-10-05,5.84,5.84,5.65,5.72,6673.0,,,
1993-10-06,5.68,5.83,5.68,5.71,5716.0,,,
1993-10-07,5.77,5.78,5.68,5.7,6701.0,,,
1993-10-08,5.77,5.77,5.55,5.69,5700.0,,,
1993-10-09,5.63,5.77,5.63,5.73,7565.0,,,
1993-10-12,5.77,5.9,5.63,5.87,14075.0,,,
1993-10-13,5.87,5.99,5.75,5.92,9779.0,,,
1993-10-14,5.95,6.21,5.83,6.16,17905.0,,,
1993-10-15,6.21,6.21,6.03,6.04,10773.0,,,
1993-10-16,6.01,6.24,6.01,6.12,46255.0,,,
1993-10-19,5.98,6.26,5.98,6.2,12418.0,,,
1993-10-20,6.22,6.29,6.13,6.17,15280.0,,,
1993-10-21,6.26,6.3,6.13,6.14,13230.0,,,
1993-10-22,6.14,6.21,6.14,6.18,7416.0,,,
1993-10-23,6.26,6.26,6.13,6.2,3515.0,,,
1993-10-24,6.21,6.42,6.03,6.18,1970.0,,,
1993-10-26,6.19,6.2,6.02,6.14,3080.0,,,
1993-10-27,6.05,6.19,6.04,6.12,7188.0,,,
1993-10-28,6.09,6.12,6.08,6.08,10230.0,,,
1993-10-29,5.99,6.15,5.99,6.12,3950.0,,,
1993-10-30,6.04,6.14,6.04,6.08,6670.0,,,
1993-11-02,6.12,6.21,5.95,6.06,8145.0,,,
1993-11-03,6.06,6.21,5.95,5.99,16112.0,,,
1993-11-04,6.09,6.18,5.96,6.01,5390.0,,,
1993-11-05,6.07,6.12,6.03,6.03,8000.0,,,
1993-11-06,5.96,6.3,5.96,6.17,32192.0,,,
1993-11-09,6.12,6.46,6.12,6.37,17177.0,,,
1993-11-10,6.48,6.57,6.4,6.52,22545.0,,,
1993-11-11,6.43,6.65,6.43,6.59,15244.0,,,
1993-11-12,6.61,6.74,6.49,6.58,16075.0,,,
1993-11-13,6.56,6.57,6.26,6.35,16155.0,,,
1993-11-14,6.39,6.48,6.32,6.42,2135.0,,,
1993-11-16,6.39,6.7,6.39,6.66,12321.0,,,
1993-11-17,6.7,6.83,6.66,6.75,27612.0,,,
1993-11-18,6.82,6.82,6.61,6.7,12601.0,,,
1993-11-19,6.88,6.89,6.64,6.73,15333.0,,,
1993-11-20,6.74,6.74,6.43,6.59,3845.0,,,
1993-11-23,6.7,6.74,6.49,6.67,4606.0,,,
1993-11-24,6.7,6.87,6.66,6.79,6660.0,,,
1993-11-26,6.88,7.09,6.83,7.01,13222.0,,,
1993-11-27,7.28,7.28,7.01,7.25,10226.0,,,
1993-11-30,7.63,7.63,7.01,7.43,17623.0,,,
1993-12-01,7.54,8.86,7.54,8.62,61973.0,,,
1993-12-02,8.76,9.13,8.62,8.82,50452.0,,,
1993-12-03,8.77,9.13,8.07,8.66,24238.0,,,
1993-12-04,8.78,9.04,8.56,8.7,20976.0,,,
1993-12-07,8.74,8.96,8.56,8.64,12225.0,,,
1993-12-08,8.86,8.86,8.3,8.45,13751.0,,,
1993-12-09,8.7,8.86,8.43,8.45,12506.0,,,
1993-12-10,8.52,8.7,8.1,8.32,10581.0,,,
1993-12-11,8.43,8.65,8.42,8.59,11161.0,,,
1993-12-14,8.46,8.58,8.28,8.36,4959.0,,,
1993-12-15,8.34,8.43,8.17,8.27,6253.0,,,
1993-12-16,8.17,9.14,8.08,8.77,30472.0,,,
1993-12-17,8.85,8.87,8.61,8.71,5917.0,,,
1993-12-18,8.95,8.95,8.43,8.52,5826.0,,,
1993-12-21,8.7,8.85,8.52,8.6,15195.0,,,
1993-12-22,8.61,8.7,8.43,8.52,7240.0,,,
1993-12-23,8.43,8.52,8.16,8.45,7683.0,,,
1993-12-25,8.77,8.77,8.46,8.55,10372.0,,,
1993-12-28,8.43,8.7,8.43,8.66,13898.0,,,
1993-12-29,8.52,8.65,8.43,8.44,12512.0,,,
1993-12-30,8.52,8.52,8.16,8.29,6947.0,,,
1993-12-31,8.67,8.67,8.36,8.42,14946.0,,,
1994-01-01,8.43,8.59,8.39,8.48,12352.0,,,
1994-01-04,8.52,8.86,8.35,8.66,28852.0,,,
1994-01-05,8.61,8.65,8.34,8.38,23259.0,,,
1994-01-06,8.25,8.43,7.85,8.0,23736.0,,,
1994-01-07,8.17,8.34,8.1,8.2,8754.0,,,
1994-01-08,8.7,8.87,8.16,8.26,16899.0,,,
1994-01-11,8.32,8.38,8.07,8.23,12282.0,,,
1994-01-12,8.38,8.38,7.99,8.13,14461.0,,,
1994-01-13,8.41,8.67,7.88,8.03,49432.0,,,
1994-01-14,8.57,8.7,7.9,7.95,28039.0,,,
1994-01-15,8.22,8.22,7.86,8.04,16736.0,,,
1994-01-18,7.87,7.95,7.5,7.69,19268.0,,,
1994-01-19,7.87,7.92,7.65,7.71,3477.0,,,
1994-01-20,7.87,7.87,7.37,7.47,16996.0,,,
1994-01-21,7.28,7.37,7.1,7.18,20575.0,,,
1994-01-22,7.44,7.45,7.11,7.24,24085.0,,,
1994-01-26,7.32,7.6,7.32,7.52,7388.0,,,
1994-01-27,7.92,7.92,7.23,7.46,4371.0,,,
1994-01-28,7.63,7.63,7.23,7.32,2544.0,,,
1994-01-29,7.29,7.41,7.05,7.09,8031.0,,,
1994-02-02,7.34,7.34,6.43,6.79,5698.0,,,
1994-02-03,7.99,7.99,6.77,6.95,6023.0,,,
1994-02-04,7.01,7.02,6.83,6.97,6126.0,,,
1994-02-05,8.16,8.16,6.81,6.97,3778.0,,,
1994-02-08,7.01,7.26,6.92,7.09,6851.0,,,
1994-02-09,7.14,7.14,6.63,6.94,13677.0,,,
1994-02-10,6.83,7.01,6.83,7.01,4502.0,,,
1994-02-11,6.93,7.1,6.9,6.93,5136.0,,,
1994-02-12,6.92,7.07,6.89,6.92,15498.0,,,
1994-02-15,6.97,7.07,6.92,6.96,12497.0,,,
1994-02-16,7.03,7.03,6.84,6.91,10676.0,,,
1994-02-17,6.92,7.01,6.92,6.96,8211.0,,,
1994-02-18,6.88,6.97,6.75,6.92,7710.0,,,
1994-02-19,6.98,7.27,6.75,6.89,3371.0,,,
1994-02-22,7.27,7.27,6.68,6.77,3185.0,,,
1994-02-23,6.66,6.79,6.49,6.66,9315.0,,,
1994-02-24,6.66,6.66,6.48,6.48,2436.0,,,
1994-02-25,7.72,7.72,6.49,6.63,12876.0,,,
1994-02-26,6.52,6.89,6.52,6.69,6291.0,,,
1994-03-01,6.55,6.81,6.55,6.6,2404.0,,,
1994-03-03,6.49,6.72,6.49,6.55,2444.0,,,
1994-03-04,6.58,6.62,6.46,6.52,1475.0,,,
1994-03-05,6.52,6.65,6.4,6.5,5239.0,,,
1994-03-08,6.21,6.66,6.21,6.5,5200.0,,,
1994-03-09,6.5,6.63,6.5,6.54,16195.0,,,
1994-03-10,5.96,6.55,5.96,6.52,4975.0,,,
1994-03-11,6.48,6.61,6.46,6.54,38301.0,,,
1994-03-12,6.48,6.63,6.4,6.5,26270.0,,,
1994-03-15,6.39,6.57,6.39,6.42,7650.0,,,
1994-03-16,6.34,6.48,6.34,6.35,5612.0,,,
1994-03-17,6.34,6.35,6.3,6.3,2492.0,,,
1994-03-18,6.22,6.38,6.22,6.3,4909.0,,,
1994-03-19,6.23,6.26,6.18,6.18,2005.0,,,
1994-03-22,6.46,6.46,6.03,6.03,8114.0,,,
1994-03-23,6.04,6.04,5.95,6.01,2973.0,,,
1994-03-24,6.03,6.3,6.03,6.16,13982.0,,,
1994-03-25,6.14,6.37,6.1,6.18,14737.0,,,
1994-03-26,6.1,6.38,6.1,6.3,11652.0,,,
1994-03-29,6.31,6.7,6.31,6.58,6475.0,,,
1994-03-30,6.66,6.83,6.57,6.78,6138.0,,,
1994-03-31,6.57,6.78,6.57,6.78,2087.0,,,
1994-04-01,6.85,6.97,6.74,6.96,15131.0,,,
1994-04-02,7.01,7.36,6.97,7.25,5079.0,,,
1994-04-05,7.19,7.24,6.74,6.97,21810.0,,,
1994-04-06,6.84,7.08,6.84,6.99,2800.0,,,
1994-04-07,6.91,7.24,6.91,7.06,10019.0,,,
1994-04-08,6.99,7.14,6.93,7.1,2285.0,,,
1994-04-12,7.23,7.26,7.1,7.2,4555.0,,,
1994-04-13,7.08,7.21,7.01,7.21,4276.0,,,
1994-04-15,7.19,7.52,6.57,7.44,3847.0,,,
1994-04-16,7.59,7.69,7.45,7.56,7190.0,,,
1994-04-17,7.28,7.67,7.28,7.6,1610.0,,,
1994-04-19,7.45,7.76,7.45,7.68,6273.0,,,
1994-04-20,7.36,7.58,7.36,7.55,5589.0,,,
1994-04-21,7.54,7.59,7.5,7.57,2650.0,,,
1994-04-22,7.81,7.89,7.54,7.69,3351.0,,,
1994-04-23,7.6,7.9,7.58,7.79,14167.0,,,
1994-04-27,7.28,7.71,7.28,7.48,4986.0,,,
1994-04-28,7.36,7.59,7.36,7.55,8161.0,,,
1994-04-29,7.29,7.51,7.29,7.5,1276.0,,,
1994-04-30,6.03,7.76,6.03,7.63,3686.0,,,
1994-05-03,7.64,7.96,7.39,7.51,2823.0,,,
1994-05-04,7.87,7.87,7.63,7.64,5066.0,,,
1994-05-05,7.89,7.89,7.72,7.81,6530.0,,,
1994-05-06,7.68,8.14,7.68,8.0,7199.0,,,
1994-05-07,7.81,8.16,7.81,8.01,3024.0,,,
1994-05-10,7.56,7.82,7.56,7.72,6232.0,,,
1994-05-11,7.33,7.62,7.33,7.53,6092.0,,,
1994-05-12,7.45,7.58,7.2,7.47,8191.0,,,
1994-05-13,7.28,7.8,7.11,7.56,6457.0,,,
1994-05-14,7.45,7.72,6.85,7.01,14289.0,,,
1994-05-17,6.74,6.74,6.21,6.41,3624.0,,,
1994-05-18,6.32,6.98,6.32,6.81,9713.0,,,
1994-05-19,7.63,7.89,7.33,7.54,30349.0,,,
1994-05-20,7.63,7.81,7.54,7.69,13610.0,,,
1994-05-21,7.36,7.74,7.36,7.69,6420.0,,,
1994-05-24,7.46,7.72,7.36,7.64,8897.0,,,
1994-05-25,7.42,7.72,7.42,7.66,5267.0,,,
1994-05-26,7.72,7.81,7.68,7.77,4423.0,,,
1994-05-27,7.81,7.95,7.68,7.91,6384.0,,,
1994-05-28,7.81,8.01,7.72,7.76,11157.0,,,
1994-05-31,7.14,7.45,7.14,7.4,5433.0,,,
1994-06-01,7.54,7.68,7.5,7.63,2152.0,,,
1994-06-02,7.56,7.8,7.48,7.49,3265.0,,,
1994-06-03,7.41,7.63,7.28,7.44,5691.0,,,
1994-06-04,7.36,7.45,7.28,7.4,11112.0,,,
1994-06-07,7.63,7.65,7.45,7.51,930.0,,,
1994-06-08,7.54,7.54,7.21,7.35,2705.0,,,
1994-06-09,7.37,7.44,7.23,7.29,5261.0,,,
1994-06-10,7.32,7.44,7.29,7.36,3621.0,,,
1994-06-11,7.31,7.35,7.23,7.25,2881.0,,,
1994-06-14,6.03,7.44,6.03,7.28,6880.0,,,
1994-06-15,7.54,7.54,7.21,7.37,8431.0,,,
1994-06-16,7.45,7.52,7.41,7.44,2355.0,,,
1994-06-17,7.46,7.54,7.41,7.54,3734.0,,,
1994-06-18,7.54,7.61,7.5,7.58,7127.0,,,
1994-06-21,7.46,7.63,7.44,7.47,10117.0,,,
1994-06-22,7.54,7.54,7.41,7.45,2665.0,,,
1994-06-23,7.49,7.49,7.41,7.42,2725.0,,,
1994-06-24,7.28,7.48,7.28,7.33,8760.0,,,
1994-06-25,7.33,7.49,7.33,7.46,2122.0,,,
1994-06-28,7.5,7.54,7.45,7.52,6642.0,,,
1994-06-29,7.5,7.71,7.5,7.63,2872.0,,,
1994-06-30,7.63,7.72,7.56,7.64,5860.0,,,
1994-07-01,7.63,7.7,7.38,7.67,7156.0,,,
1994-07-02,7.64,7.72,7.63,7.69,1710.0,,,
1994-07-05,7.7,7.79,7.68,7.75,2400.0,,,
1994-07-06,7.8,8.07,7.72,8.04,17066.0,,,
1994-07-07,8.01,8.04,7.9,7.97,9676.0,,,
1994-07-08,7.82,8.15,7.64,7.64,5135.0,,,
1994-07-09,7.86,7.86,7.71,7.74,4048.0,,,
1994-07-12,7.79,7.94,7.79,7.89,4064.0,,,
1994-07-13,7.97,8.07,7.9,8.05,6368.0,,,
1994-07-14,8.12,8.15,7.99,8.1,26867.0,,,
1994-07-15,7.45,7.54,7.39,7.43,5429.0,,,
1994-07-16,7.45,7.54,7.36,7.47,7780.0,,,
1994-07-19,8.16,8.16,7.43,7.5,9358.0,,,
1994-07-20,7.45,7.53,7.44,7.46,5403.0,,,
1994-07-21,7.54,7.6,7.44,7.54,12571.0,,,
1994-07-22,7.46,7.6,7.46,7.54,4607.0,,,
1994-07-23,7.55,7.61,7.5,7.58,3163.0,,,
1994-07-26,7.72,8.21,7.54,7.58,7651.0,,,
1994-07-27,7.54,7.54,7.5,7.54,3757.0,,,
1994-07-28,7.5,7.67,7.5,7.51,6932.0,,,
1994-07-29,7.46,7.68,7.46,7.63,5976.0,,,
1994-07-30,7.62,7.68,7.52,7.59,8871.0,,,
1994-08-02,7.72,7.8,7.65,7.73,5174.0,,,
1994-08-03,7.81,7.91,7.72,7.81,8253.0,,,
1994-08-04,7.74,7.85,7.68,7.81,5295.0,,,
1994-08-05,7.75,7.89,7.72,7.77,4347.0,,,
1994-08-06,7.68,7.77,7.68,7.73,1949.0,,,
1994-08-09,7.73,8.47,7.72,8.27,42052.0,,,
1994-08-10,8.25,8.36,8.01,8.17,18362.0,,,
1994-08-11,8.07,8.19,7.81,7.9,16600.0,,,
1994-08-12,7.91,8.06,7.82,7.92,4543.0,,,
1994-08-13,7.99,7.99,7.83,7.96,12364.0,,,
1994-08-16,7.82,8.06,7.81,7.88,829.0,,,
1994-08-17,7.68,7.99,7.68,7.84,3752.0,,,
1994-08-18,7.91,7.92,7.83,7.84,1647.0,,,
1994-08-19,7.99,7.99,7.84,7.94,3775.0,,,
1994-08-20,7.81,7.9,7.81,7.85,2650.0,,,
1994-08-23,7.85,7.85,7.81,7.81,5132.0,,,
1994-08-24,7.79,7.87,7.79,7.81,2394.0,,,
1994-08-25,7.8,7.81,7.73,7.76,18121.0,,,
1994-08-26,7.94,7.94,7.81,7.85,3975.0,,,
1994-08-27,7.85,7.94,7.76,7.88,2502.0,,,
1994-08-30,7.9,7.99,7.83,7.95,2526.0,,,
1994-08-31,8.12,8.12,7.94,8.03,4229.0,,,
1994-09-01,7.99,8.42,7.99,8.14,14948.0,,,
1994-09-02,8.16,8.22,8.03,8.07,4020.0,,,
1994-09-03,8.21,8.21,8.09,8.15,1612.0,,,
1994-09-06,8.16,8.24,8.01,8.16,8860.0,,,
1994-09-07,8.1,8.96,8.08,8.86,112562.0,,,
1994-09-08,8.96,9.1,8.61,8.73,65998.0,,,
1994-09-09,8.65,8.86,8.27,8.52,14914.0,,,
1994-09-10,8.07,8.87,8.07,8.78,42701.0,,,
1994-09-13,8.96,9.19,8.55,8.63,32095.0,,,
1994-09-14,8.7,8.91,8.34,8.55,12183.0,,,
1994-09-15,8.59,8.69,8.31,8.41,11108.0,,,
1994-09-16,8.55,8.55,8.35,8.48,6459.0,,,
1994-09-17,8.55,8.55,8.34,8.36,11589.0,,,
1994-09-20,8.43,8.51,8.31,8.46,9790.0,,,
1994-09-21,8.39,8.5,8.39,8.41,6206.0,,,
1994-09-22,8.52,8.52,8.34,8.37,5431.0,,,
1994-09-23,8.3,8.41,8.29,8.36,5515.0,,,
1994-09-24,8.4,8.47,8.35,8.42,5356.0,,,
1994-09-27,8.34,8.7,8.34,8.63,8517.0,,,
1994-09-28,8.6,8.91,8.53,8.87,30415.0,,,
1994-09-29,8.96,9.14,8.78,9.02,54001.0,,,
1994-09-30,9.13,9.36,8.9,9.29,42529.0,,,
1994-10-01,9.23,9.93,9.1,9.84,70129.0,,,
1994-10-04,9.84,10.49,9.84,10.37,70261.0,,,
1994-10-05,10.56,10.62,10.2,10.54,44719.0,,,
1994-10-06,10.74,10.91,10.34,10.46,32886.0,,,
1994-10-07,10.51,10.6,10.29,10.35,10675.0,,,
1994-10-08,10.32,10.42,9.98,10.19,32111.0,,,
1994-10-09,10.08,10.23,10.03,10.18,8736.0,,,
1994-10-11,10.0,10.51,10.0,10.43,16474.0,,,
1994-10-12,10.55,10.65,10.19,10.33,13733.0,,,
1994-10-14,10.2,10.43,9.94,10.2,6671.0,,,
1994-10-15,10.2,10.2,9.99,10.04,4142.0,,,
1994-10-18,10.28,10.28,9.98,10.0,4863.0,,,
1994-10-19,9.96,10.29,9.96,10.21,7683.0,,,
1994-10-20,10.25,10.59,10.25,10.56,20441.0,,,
1994-10-21,10.3,10.71,10.3,10.5,17107.0,,,
1994-10-25,10.55,10.55,9.98,10.05,2772.0,,,
1994-10-26,9.95,10.11,9.94,10.04,2424.0,,,
1994-10-27,10.12,10.25,9.99,10.1,12477.0,,,
1994-10-28,9.99,10.12,9.86,9.92,4358.0,,,
1994-10-29,10.12,10.12,9.83,9.88,3769.0,,,
1994-11-01,9.85,10.12,9.58,9.7,9240.0,,,
1994-11-02,9.94,9.94,9.58,9.66,8447.0,,,
1994-11-03,9.76,9.94,9.54,9.63,11332.0,,,
1994-11-04,9.67,9.91,9.67,9.77,6318.0,,,
1994-11-05,9.67,9.8,9.64,9.67,2560.0,,,
1994-11-08,9.59,9.71,9.51,9.59,4817.0,,,
1994-11-09,9.58,9.63,9.53,9.55,2530.0,,,
1994-11-10,9.51,9.67,9.49,9.58,4073.0,,,
1994-11-11,9.84,11.08,9.62,10.97,232835.0,,,
1994-11-12,11.18,11.75,10.79,11.46,145791.0,,,
1994-11-16,11.8,11.93,10.91,11.05,241530.0,,,
1994-11-17,11.15,11.34,10.96,11.03,34093.0,,,
1994-11-18,11.27,11.53,10.83,10.88,15483.0,,,
1994-11-19,11.0,11.76,10.91,11.58,89684.0,,,
1994-11-22,11.27,11.71,11.27,11.51,24137.0,,,
1994-11-23,11.69,11.71,11.37,11.51,19618.0,,,
1994-11-24,11.57,11.96,11.57,11.78,27256.0,,,
1994-11-25,11.7,11.88,11.45,11.46,15669.0,,,
1994-11-29,11.63,11.8,11.45,11.54,11099.0,,,
1994-11-30,11.54,11.71,11.31,11.55,20284.0,,,
1994-12-01,11.45,11.94,11.36,11.83,21222.0,,,
1994-12-02,11.62,11.8,11.29,11.36,10459.0,,,
1994-12-03,11.55,11.55,11.27,11.29,5961.0,,,
