date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,2.82,3.04,2.8,3.01,32538.0,,,
1993-09-07,2.98,3.48,2.98,3.24,66903.0,,,
1993-09-08,3.36,3.36,3.13,3.14,33350.0,,,
1993-09-09,3.1,3.18,3.04,3.1,13951.0,,,
1993-09-10,3.1,3.33,3.1,3.26,24696.0,,,
1993-09-11,3.36,3.36,3.13,3.15,12536.0,,,
1993-09-14,3.27,3.27,2.98,3.03,8184.0,,,
1993-09-15,2.98,3.08,2.98,3.03,9285.0,,,
1993-09-16,3.13,3.21,3.08,3.15,8394.0,,,
1993-09-17,3.15,3.15,2.99,3.02,9680.0,,,
1993-09-18,3.08,3.12,2.93,3.01,9638.0,,,
1993-09-21,3.17,3.17,3.02,3.04,6534.0,,,
1993-09-22,3.04,3.16,3.02,3.12,10423.0,,,
1993-09-23,3.07,3.17,3.07,3.14,7577.0,,,
1993-09-24,3.1,3.21,3.1,3.18,8278.0,,,
1993-09-25,3.15,3.37,3.13,3.34,23916.0,,,
1993-09-28,3.21,3.36,3.21,3.34,14980.0,,,
1993-09-29,3.39,3.45,3.31,3.36,13401.0,,,
1993-09-30,3.39,3.58,3.33,3.48,30797.0,,,
1993-10-02,3.47,3.71,3.47,3.69,39100.0,,,
1993-10-05,3.69,3.72,3.6,3.66,19284.0,,,
1993-10-06,3.68,3.7,3.57,3.62,14848.0,,,
1993-10-07,3.65,3.66,3.55,3.6,12180.0,,,
1993-10-08,3.57,3.6,3.49,3.53,5826.0,,,
1993-10-09,3.52,3.6,3.45,3.46,11507.0,,,
1993-10-12,3.84,3.99,3.57,3.79,37355.0,,,
1993-10-13,3.87,3.94,3.78,3.87,37019.0,,,
1993-10-14,3.78,3.86,3.69,3.75,9888.0,,,
1993-10-15,3.75,3.87,3.75,3.83,11262.0,,,
1993-10-16,3.63,3.81,3.63,3.71,9576.0,,,
1993-10-19,3.72,3.81,3.72,3.77,14913.0,,,
1993-10-20,3.72,3.72,3.53,3.61,8814.0,,,
1993-10-21,3.55,3.63,3.1,3.51,19185.0,,,
1993-10-22,3.44,3.58,3.43,3.47,5928.0,,,
1993-10-23,3.51,3.63,3.41,3.59,11838.0,,,
1993-10-24,3.54,3.57,3.49,3.53,2164.0,,,
1993-10-26,3.46,3.6,3.45,3.51,4303.0,,,
1993-10-27,3.51,3.81,3.51,3.55,10764.0,,,
1993-10-28,3.51,3.66,3.46,3.5,2881.0,,,
1993-10-29,3.49,3.66,3.49,3.54,7020.0,,,
1993-10-30,3.66,3.74,3.56,3.67,23692.0,,,
1993-11-02,3.83,3.93,3.72,3.89,28127.0,,,
1993-11-03,3.87,4.02,3.85,3.97,36482.0,,,
1993-11-04,4.02,4.02,3.9,3.93,31010.0,,,
1993-11-05,3.99,4.02,3.93,3.94,18997.0,,,
1993-11-06,3.93,4.02,3.87,3.88,8668.0,,,
1993-11-09,3.87,3.97,3.87,3.95,2060.0,,,
1993-11-10,3.96,4.09,3.93,3.96,17676.0,,,
1993-11-11,4.05,4.32,3.95,4.21,35720.0,,,
1993-11-12,4.29,4.46,4.14,4.16,19533.0,,,
1993-11-13,4.17,4.29,4.12,4.25,8547.0,,,
1993-11-14,4.23,4.31,4.17,4.27,3458.0,,,
1993-11-16,4.42,4.46,3.99,4.17,14532.0,,,
1993-11-17,4.17,4.28,3.99,4.1,15623.0,,,
1993-11-18,4.2,4.2,3.87,4.08,15521.0,,,
1993-11-19,4.14,4.21,3.97,4.04,6012.0,,,
1993-11-20,4.15,4.17,3.85,3.94,5599.0,,,
1993-11-23,4.09,4.09,3.93,3.99,4348.0,,,
1993-11-24,3.99,4.08,3.94,4.02,6319.0,,,
1993-11-26,4.3,4.3,4.02,4.02,11787.0,,,
1993-11-27,4.08,4.11,4.02,4.03,8446.0,,,
1993-11-30,4.02,4.13,3.99,4.03,18963.0,,,
1993-12-01,3.96,4.06,3.96,4.05,19694.0,,,
1993-12-02,3.97,4.19,3.97,4.04,8979.0,,,
1993-12-03,4.05,4.43,3.99,4.0,22571.0,,,
1993-12-04,4.11,4.2,4.0,4.03,17518.0,,,
1993-12-07,4.08,4.17,4.03,4.13,4926.0,,,
1993-12-08,4.22,4.23,4.15,4.18,12882.0,,,
1993-12-09,4.14,4.22,4.11,4.13,17625.0,,,
1993-12-10,4.17,4.32,4.11,4.12,17224.0,,,
1993-12-11,4.17,4.22,4.12,4.14,7930.0,,,
1993-12-14,4.31,4.4,4.23,4.32,23208.0,,,
1993-12-15,4.46,4.46,4.28,4.32,10006.0,,,
1993-12-16,4.39,4.4,4.33,4.38,7735.0,,,
1993-12-17,4.46,4.67,4.45,4.65,16506.0,,,
1993-12-18,4.41,4.76,4.4,4.63,13175.0,,,
1993-12-21,4.73,4.94,4.73,4.84,18827.0,,,
1993-12-22,4.94,5.12,4.85,4.88,12229.0,,,
1993-12-23,4.94,5.54,4.94,5.25,61117.0,,,
1993-12-25,5.26,5.33,5.09,5.25,18457.0,,,
1993-12-28,5.41,5.41,5.26,5.34,42511.0,,,
1993-12-29,5.29,5.36,5.12,5.18,13846.0,,,
1993-12-30,5.07,5.21,4.84,5.09,14266.0,,,
1993-12-31,5.06,5.15,5.03,5.09,5003.0,,,
1994-01-01,5.15,5.15,4.97,5.01,21273.0,,,
1994-01-04,5.0,5.06,4.82,4.91,17599.0,,,
1994-01-05,4.88,4.91,4.82,4.85,8030.0,,,
1994-01-06,4.82,4.91,4.64,4.89,10846.0,,,
1994-01-07,4.94,5.19,4.85,4.99,24415.0,,,
1994-01-08,5.06,5.12,4.88,5.06,13846.0,,,
1994-01-11,4.94,5.24,4.91,5.15,15125.0,,,
1994-01-12,5.09,5.1,5.0,5.07,34327.0,,,
1994-01-13,5.06,5.15,5.0,5.13,23583.0,,,
1994-01-14,5.06,5.24,5.06,5.15,19407.0,,,
1994-01-15,4.94,5.21,4.94,5.13,13607.0,,,
1994-01-18,5.01,5.3,5.01,5.15,11571.0,,,
1994-01-19,5.21,5.33,5.19,5.2,16318.0,,,
1994-01-20,5.36,5.36,4.94,4.95,15199.0,,,
1994-01-21,4.48,4.91,4.48,4.79,41073.0,,,
