date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1992-02-15,23.39,23.39,19.6,19.99,10381190.0,,,
1992-02-18,23.39,23.39,19.6,19.99,10381190.0,,,
1992-02-19,20.35,20.35,18.61,18.79,3552660.0,,,
1992-02-20,18.3,19.29,18.14,18.59,2512964.0,,,
1992-02-21,19.31,19.56,18.99,19.11,1338196.0,,,
1992-02-22,19.22,19.65,18.52,19.51,811327.0,,,
1992-02-25,20.5,20.5,19.22,19.29,454151.0,,,
1992-02-26,19.44,19.92,19.33,19.65,894960.0,,,
1992-02-27,19.81,20.86,19.72,20.12,3271361.0,,,
1992-02-28,20.73,21.09,18.39,18.7,4429634.0,,,
1992-02-29,18.93,19.56,18.84,19.15,942785.0,,,
1992-03-03,19.42,19.94,19.31,19.51,615152.0,,,
1992-03-04,19.92,20.5,19.69,20.41,1490137.0,,,
1992-03-05,20.68,21.04,20.19,20.32,1989742.0,,,
1992-03-06,20.68,20.68,20.17,20.26,675801.0,,,
1992-03-07,20.37,20.39,19.69,19.78,273519.0,,,
1992-03-10,20.05,20.46,19.42,19.51,217122.0,,,
1992-03-11,19.56,19.58,18.88,18.97,321384.0,,,
1992-03-12,18.97,19.22,18.7,18.88,228034.0,,,
1992-03-13,18.93,19.11,18.5,18.68,302924.0,,,
1992-03-14,18.93,19.15,18.63,18.9,402993.0,,,
1992-03-17,19.38,19.38,18.72,18.81,387469.0,,,
1992-03-18,18.97,19.33,18.21,18.34,505251.0,,,
1992-03-19,18.43,18.63,18.14,18.25,413147.0,,,
1992-03-20,18.3,18.48,18.21,18.3,171711.0,,,
1992-03-21,18.39,18.68,17.8,17.96,225579.0,,,
1992-03-25,18.36,18.36,17.53,17.57,190075.0,,,
1992-03-26,18.43,18.43,17.57,17.62,175456.0,,,
1992-03-27,17.66,17.73,17.12,17.37,247315.0,,,
1992-03-31,17.75,18.07,17.42,17.53,169309.0,,,
1992-04-01,17.55,17.57,16.7,16.81,401427.0,,,
1992-04-02,16.79,17.12,16.09,16.27,434081.0,,,
1992-04-03,16.63,17.78,16.45,17.39,461590.0,,,
1992-04-04,17.57,17.87,17.15,17.21,278024.0,,,
1992-04-07,17.48,17.57,16.67,16.74,264685.0,,,
1992-04-08,17.08,17.55,16.9,17.01,330822.0,,,
1992-04-09,17.12,17.12,16.4,16.74,393221.0,,,
1992-04-10,17.08,17.84,17.08,17.37,462716.0,,,
1992-04-11,17.28,17.3,16.85,17.01,365658.0,,,
1992-04-14,16.9,17.48,16.72,17.06,309167.0,,,
1992-04-15,17.12,17.3,17.01,17.06,207262.0,,,
1992-04-16,17.28,17.33,16.79,16.85,221096.0,,,
1992-04-17,17.08,17.1,16.81,16.9,125768.0,,,
1992-04-18,17.08,17.08,16.56,16.65,159582.0,,,
1992-04-21,17.03,17.03,16.47,16.54,209825.0,,,
1992-04-22,16.85,16.9,16.18,16.22,304296.0,,,
1992-04-23,16.31,16.63,16.31,16.56,153154.0,,,
1992-04-24,16.63,16.67,16.31,16.36,260518.0,,,
1992-04-25,16.29,16.54,16.09,16.18,324142.0,,,
1992-04-28,16.11,16.81,15.88,16.09,388628.0,,,
1992-04-29,16.04,16.22,15.73,15.77,267446.0,,,
1992-05-01,15.88,16.04,15.48,15.7,521349.0,,,
1992-05-02,15.77,15.77,15.28,15.37,418258.0,,,
1992-05-05,15.55,15.59,15.23,15.32,849209.0,,,
1992-05-06,15.23,15.41,15.23,15.34,614737.0,,,
1992-05-07,15.43,15.52,15.32,15.43,985787.0,,,
1992-05-08,15.97,16.79,15.55,16.13,889295.0,,,
1992-05-09,16.7,17.26,16.27,16.4,1040862.0,,,
1992-05-12,16.16,16.67,16.13,16.25,265570.0,,,
1992-05-13,16.36,16.47,15.88,16.02,259521.0,,,
1992-05-14,16.09,16.16,15.59,15.75,338589.0,,,
1992-05-15,15.88,15.88,15.41,15.57,367218.0,,,
1992-05-16,15.43,15.68,15.43,15.64,697619.0,,,
1992-05-19,15.34,15.52,14.96,15.16,846600.0,,,
1992-05-20,14.96,15.1,14.53,14.89,1188202.0,,,
1992-05-21,14.92,15.91,14.87,15.19,330183.0,,,
1992-05-22,15.3,15.3,14.78,14.87,268447.0,,,
1992-05-23,15.1,15.32,14.92,15.07,270784.0,,,
1992-05-26,15.41,15.41,14.89,14.96,154536.0,,,
1992-05-27,15.1,15.1,14.71,14.8,877260.0,,,
1992-05-28,14.69,15.1,14.53,14.6,358157.0,,,
1992-05-29,14.47,14.69,14.38,14.42,268915.0,,,
1992-05-30,14.65,14.67,14.24,14.51,126001.0,,,
1992-06-02,14.92,15.1,14.47,14.51,84769.0,,,
1992-06-03,14.87,15.1,14.42,14.83,860401.0,,,
1992-06-04,15.1,15.21,14.65,14.71,243850.0,,,
1992-06-05,15.05,16.29,14.87,16.06,740010.0,,,
1992-06-06,15.55,16.52,15.14,15.3,572510.0,,,
1992-06-09,15.66,15.7,15.12,15.21,362233.0,,,
1992-06-10,15.59,15.88,15.43,15.52,239454.0,,,
1992-06-11,15.55,15.66,15.1,15.14,290225.0,,,
1992-06-12,15.46,15.46,14.71,14.78,312706.0,,,
1992-06-13,14.89,15.23,14.89,15.07,207995.0,,,
1992-06-16,16.22,17.35,15.77,16.09,1078596.0,,,
1992-06-17,16.27,16.38,15.61,15.77,412009.0,,,
1992-06-18,15.77,15.91,15.32,15.39,241134.0,,,
1992-06-19,15.3,15.59,15.23,15.46,179642.0,,,
1992-06-20,15.82,15.82,15.21,15.28,199036.0,,,
1992-06-23,15.32,15.37,15.07,15.21,326210.0,,,
1992-06-24,15.48,15.48,14.96,15.21,153266.0,,,
1992-06-25,15.3,15.3,14.92,15.01,135128.0,,,
1992-06-26,15.1,15.19,15.01,15.05,117921.0,,,
1992-06-27,15.73,15.73,15.1,15.32,156815.0,,,
1992-06-30,15.34,16.0,15.1,15.68,381852.0,,,
1992-07-01,15.1,16.04,15.1,16.0,304839.0,,,
1992-07-02,16.22,16.22,15.75,15.84,258959.0,,,
1992-07-03,16.11,16.34,15.88,16.22,517457.0,,,
1992-07-04,15.79,15.97,15.32,15.41,407041.0,,,
1992-07-07,15.43,15.64,15.21,15.32,257784.0,,,
1992-07-08,15.46,15.48,15.07,15.12,296310.0,,,
1992-07-09,15.41,15.52,15.03,15.07,378638.0,,,
1992-07-10,15.32,15.32,14.65,14.69,498249.0,,,
1992-07-11,14.96,14.96,14.4,14.47,546586.0,,,
1992-07-14,14.42,14.58,14.26,14.33,276326.0,,,
