date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1994-04-07,35.42,42.22,35.42,40.34,4805956.0,,,
1994-04-08,40.75,48.41,40.58,48.41,7122560.0,,,
1994-04-12,51.67,58.09,50.0,57.96,3949983.0,,,
1994-04-13,59.17,65.0,50.47,51.84,9795443.0,,,
1994-04-15,53.67,56.25,52.21,53.95,4784053.0,,,
1994-04-16,54.92,55.87,53.47,53.83,2202547.0,,,
1994-04-17,54.17,54.32,52.17,52.52,1112119.0,,,
1994-04-19,52.92,55.31,50.67,51.04,3933018.0,,,
1994-04-20,51.67,51.92,49.61,50.08,3821754.0,,,
1994-04-21,50.17,51.96,49.2,50.57,5068929.0,,,
1994-04-22,50.82,54.42,50.67,53.47,3892900.0,,,
1994-04-23,54.17,55.58,52.92,53.38,3737376.0,,,
1994-04-27,51.5,52.5,49.67,50.05,2119856.0,,,
1994-04-28,50.08,52.33,49.81,51.24,3150327.0,,,
1994-04-29,51.2,51.66,50.55,50.75,1259065.0,,,
1994-04-30,50.83,51.37,49.45,49.96,904319.0,,,
1994-05-03,49.83,50.23,48.0,48.87,1445950.0,,,
1994-05-04,49.0,50.81,49.0,49.32,1466411.0,,,
1994-05-05,49.66,50.25,49.26,49.62,901726.0,,,
1994-05-06,50.33,51.23,49.77,50.04,1052535.0,,,
1994-05-07,50.17,50.32,48.75,48.89,620562.0,,,
1994-05-10,48.33,48.74,46.67,46.92,799993.0,,,
1994-05-11,46.48,46.48,43.02,43.75,864737.0,,,
1994-05-12,44.14,44.56,41.67,42.6,1877936.0,,,
1994-05-13,41.25,46.16,39.17,45.28,2980696.0,,,
1994-05-14,47.75,48.97,42.6,43.49,2630004.0,,,
1994-05-17,43.56,43.75,34.83,41.53,1286851.0,,,
1994-05-18,41.76,49.08,41.33,44.67,1321552.0,,,
1994-05-19,45.75,47.5,45.25,46.0,829847.0,,,
1994-05-20,46.39,47.83,42.92,43.3,1322423.0,,,
1994-05-21,43.33,43.75,42.09,43.35,1045779.0,,,
1994-05-24,43.88,45.56,43.5,45.0,890561.0,,,
1994-05-25,45.42,45.42,43.75,43.99,651395.0,,,
1994-05-26,44.17,45.16,44.17,44.35,446027.0,,,
1994-05-27,44.07,44.42,43.5,43.92,306113.0,,,
1994-05-28,43.75,44.25,42.36,42.55,544394.0,,,
1994-05-31,42.25,42.25,39.88,40.45,561556.0,,,
1994-06-01,40.89,41.92,40.26,40.45,437972.0,,,
1994-06-02,40.5,41.5,40.5,41.12,298433.0,,,
1994-06-03,41.57,42.57,40.44,40.68,747630.0,,,
1994-06-04,40.42,41.0,39.17,40.21,673118.0,,,
1994-06-07,40.61,41.07,39.83,40.11,571205.0,,,
1994-06-08,40.58,41.96,40.33,41.05,1149671.0,,,
1994-06-09,41.5,44.05,41.5,43.75,3112104.0,,,
1994-06-10,43.89,45.0,43.32,44.32,1805332.0,,,
1994-06-11,44.48,44.55,43.03,43.31,853219.0,,,
1994-06-14,43.33,43.33,41.27,41.44,821158.0,,,
1994-06-15,41.32,42.82,41.32,42.52,1053112.0,,,
1994-06-16,42.75,43.41,42.29,42.46,1011940.0,,,
1994-06-17,42.47,42.67,41.01,41.33,1046269.0,,,
1994-06-18,41.64,41.64,40.42,40.73,712856.0,,,
1994-06-21,40.83,41.49,40.08,40.26,595598.0,,,
1994-06-22,40.22,40.41,39.17,39.3,649023.0,,,
1994-06-23,39.67,40.32,39.28,39.47,775891.0,,,
1994-06-24,39.82,39.99,38.86,39.6,594889.0,,,
1994-06-25,39.79,41.16,39.44,40.71,1031373.0,,,
1994-06-28,40.9,42.44,40.87,42.16,867199.0,,,
1994-06-29,42.25,43.0,41.88,42.25,877300.0,,,
1994-06-30,42.62,42.75,41.59,41.75,516907.0,,,
1994-07-01,41.83,42.21,41.31,41.86,624069.0,,,
1994-07-02,41.65,42.56,41.37,42.04,690628.0,,,
1994-07-05,42.13,43.17,42.08,42.5,646632.0,,,
1994-07-06,42.48,43.22,42.48,43.02,493585.0,,,
1994-07-07,42.91,44.16,42.91,43.83,1134619.0,,,
1994-07-08,44.56,47.89,43.21,44.18,4423572.0,,,
1994-07-09,41.67,46.32,40.83,45.84,1584950.0,,,
1994-07-12,45.67,46.95,45.67,46.11,698361.0,,,
1994-07-13,45.83,46.83,41.75,46.15,659385.0,,,
1994-07-14,46.67,49.89,46.38,46.7,2050615.0,,,
1994-07-15,47.08,47.08,45.85,46.28,938727.0,,,
1994-07-16,46.5,46.62,45.76,45.85,809816.0,,,
1994-07-19,45.92,46.03,44.44,44.72,771146.0,,,
1994-07-20,44.83,45.79,44.21,44.68,1183114.0,,,
1994-07-21,44.17,45.27,44.08,44.44,749849.0,,,
1994-07-22,44.81,45.21,43.85,44.05,571121.0,,,
1994-07-23,44.25,44.65,43.6,43.77,617900.0,,,
1994-07-26,43.75,45.42,43.52,44.74,732731.0,,,
1994-07-27,45.45,46.63,45.45,45.76,1464174.0,,,
1994-07-28,46.2,46.2,44.44,44.71,436542.0,,,
1994-07-29,44.67,45.25,44.41,44.56,288699.0,,,
1994-07-30,44.67,45.57,44.67,45.06,425387.0,,,
1994-08-02,45.19,45.58,44.67,44.75,254359.0,,,
1994-08-03,44.67,45.1,43.92,44.05,539729.0,,,
1994-08-04,43.97,44.48,43.13,43.32,543209.0,,,
1994-08-05,43.58,44.06,43.5,43.7,349077.0,,,
1994-08-06,43.75,44.5,43.68,44.0,639437.0,,,
1994-08-09,44.15,44.23,43.39,43.88,329957.0,,,
1994-08-10,44.11,45.15,43.96,44.6,686679.0,,,
1994-08-11,44.9,45.53,44.17,44.33,805776.0,,,
1994-08-12,44.4,44.9,43.75,44.03,432615.0,,,
1994-08-13,44.08,44.53,43.79,43.96,350959.0,,,
1994-08-16,44.08,44.7,43.83,44.28,394652.0,,,
1994-08-17,44.58,44.81,43.5,43.7,431624.0,,,
1994-08-18,43.83,44.06,42.59,42.85,409682.0,,,
1994-08-19,43.05,43.79,42.94,43.38,328679.0,,,
1994-08-20,43.5,43.54,42.97,43.1,249495.0,,,
1994-08-23,43.08,43.5,42.59,42.69,225181.0,,,
1994-08-24,42.67,43.15,41.92,42.8,179847.0,,,
1994-08-25,42.91,43.0,41.83,41.99,219064.0,,,
1994-08-26,42.29,43.25,42.08,42.91,302911.0,,,
1994-08-27,43.37,43.74,43.17,43.26,387336.0,,,
1994-08-30,43.33,43.57,42.85,43.25,191762.0,,,
1994-08-31,43.33,45.58,43.26,45.2,1160180.0,,,
1994-09-01,45.5,45.64,44.17,44.28,515607.0,,,
1994-09-02,44.42,44.75,43.86,44.01,401801.0,,,
1994-09-03,44.17,44.46,43.75,44.04,273560.0,,,
1994-09-06,44.29,44.77,44.17,44.44,228611.0,,,
1994-09-07,44.57,44.62,43.76,43.92,262887.0,,,
1994-09-08,44.08,44.32,43.75,43.81,268125.0,,,
1994-09-09,43.83,44.17,43.0,43.12,291534.0,,,
1994-09-10,43.08,43.75,43.02,43.4,268999.0,,,
1994-09-13,43.56,44.4,43.41,43.73,321035.0,,,
1994-09-14,43.83,43.98,43.34,43.4,302747.0,,,
1994-09-15,43.56,43.67,42.96,43.2,164194.0,,,
1994-09-16,43.36,43.58,42.1,43.13,548030.0,,,
1994-09-17,43.31,43.81,43.12,43.64,492266.0,,,
1994-09-20,43.75,44.17,42.92,43.02,286717.0,,,
1994-09-21,43.08,45.25,43.04,44.83,969068.0,,,
1994-09-22,45.14,45.81,44.93,45.06,948766.0,,,
1994-09-23,45.24,45.41,44.24,44.37,383383.0,,,
1994-09-24,44.37,46.25,44.17,45.35,1019933.0,,,
1994-09-27,45.42,46.83,45.0,46.6,1768815.0,,,
1994-09-28,46.54,47.07,45.44,45.72,1079512.0,,,
1994-09-29,45.87,46.32,44.93,45.12,662563.0,,,
1994-09-30,45.4,45.95,45.21,45.45,418053.0,,,
1994-10-01,45.57,45.77,45.25,45.3,156204.0,,,
1994-10-04,45.58,46.24,45.43,45.58,318072.0,,,
1994-10-05,45.67,46.17,44.71,44.94,426536.0,,,
1994-10-06,45.14,45.5,44.26,44.38,393292.0,,,
1994-10-07,44.33,45.06,44.33,44.47,234166.0,,,
1994-10-08,44.58,45.66,44.58,44.94,406275.0,,,
1994-10-09,45.06,45.25,44.83,44.95,103056.0,,,
1994-10-11,45.19,45.24,44.26,44.42,164039.0,,,
1994-10-12,44.66,44.67,43.8,44.07,198768.0,,,
1994-10-14,44.18,44.18,43.47,43.61,174111.0,,,
