date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,56.0,57.45,46.67,55.57,2436562.0,,,
1993-09-07,55.5,56.4,55.0,55.55,729127.0,,,
1993-09-08,55.68,55.92,55.0,55.21,786341.0,,,
1993-09-09,55.01,57.65,55.0,57.25,1840117.0,,,
1993-09-10,57.35,61.24,57.35,59.81,3952448.0,,,
1993-09-11,60.38,61.5,57.5,57.85,2099560.0,,,
1993-09-14,58.33,58.33,54.52,55.09,1558166.0,,,
1993-09-15,54.33,55.0,47.42,53.87,6487160.0,,,
1993-09-16,51.83,55.73,51.5,52.85,4154742.0,,,
1993-09-17,52.17,54.1,51.73,52.74,2279354.0,,,
1993-09-18,52.84,53.8,51.75,53.11,1709431.0,,,
1993-09-21,56.38,56.38,52.34,52.58,804901.0,,,
1993-09-22,52.48,54.07,52.06,53.71,597695.0,,,
1993-09-23,53.92,56.15,53.42,55.82,1491955.0,,,
1993-09-24,60.83,60.83,56.05,57.73,2698513.0,,,
1993-09-25,58.67,58.67,57.17,57.91,926747.0,,,
1993-09-28,57.83,62.5,57.68,61.77,1880676.0,,,
1993-09-29,62.05,62.73,60.83,61.24,1871395.0,,,
1993-09-30,61.24,61.78,59.86,60.2,631483.0,,,
1993-10-02,61.05,61.48,60.0,60.83,855119.0,,,
1993-10-05,59.67,64.08,57.5,63.68,2523397.0,,,
1993-10-06,63.67,63.83,60.88,61.14,1330052.0,,,
1993-10-07,61.33,62.33,59.21,60.46,866660.0,,,
1993-10-08,61.67,61.67,59.75,60.18,834317.0,,,
1993-10-09,59.17,59.49,58.02,58.63,697063.0,,,
1993-10-12,58.83,61.17,58.53,60.18,893295.0,,,
1993-10-13,60.52,60.75,57.1,57.53,1155150.0,,,
1993-10-14,57.85,57.85,56.1,56.59,1211948.0,,,
1993-10-15,57.33,57.33,54.0,54.97,1710344.0,,,
1993-10-16,55.33,57.17,55.0,56.91,2124682.0,,,
1993-10-19,57.02,57.02,52.35,53.35,2538076.0,,,
1993-10-20,53.5,55.2,53.5,54.34,1869335.0,,,
1993-10-21,55.08,55.08,53.18,53.48,887825.0,,,
1993-10-22,53.5,54.49,53.13,53.22,769989.0,,,
1993-10-23,53.42,54.46,52.76,54.08,760551.0,,,
1993-10-24,54.81,55.82,54.54,55.36,290492.0,,,
1993-10-26,55.5,56.62,54.35,54.64,735706.0,,,
1993-10-27,55.0,55.0,52.23,52.84,1084345.0,,,
1993-10-28,53.5,54.28,52.67,53.39,619288.0,,,
1993-10-29,53.33,55.58,53.28,55.07,1496590.0,,,
1993-10-30,54.17,57.67,53.5,57.27,1768739.0,,,
1993-11-02,58.33,59.82,57.58,58.06,805317.0,,,
1993-11-03,58.33,59.98,57.52,58.62,1523634.0,,,
1993-11-04,59.0,60.43,58.5,59.13,984572.0,,,
1993-11-05,59.67,60.33,58.06,58.37,582275.0,,,
1993-11-06,58.67,61.23,57.83,59.96,1827079.0,,,
1993-11-09,59.67,60.48,59.12,59.32,574504.0,,,
1993-11-10,60.21,62.47,60.0,61.03,1227672.0,,,
1993-11-11,61.66,62.38,59.48,59.79,1711431.0,,,
1993-11-12,60.71,60.71,58.52,59.23,1198310.0,,,
1993-11-13,59.75,59.75,58.5,58.9,694451.0,,,
1993-11-14,59.0,59.45,58.5,59.23,109333.0,,,
1993-11-16,59.67,60.65,58.51,59.79,690068.0,,,
1993-11-17,60.63,60.78,59.08,59.41,486269.0,,,
1993-11-18,59.0,59.33,57.71,57.96,347609.0,,,
1993-11-19,58.65,58.92,57.22,57.55,463127.0,,,
1993-11-20,57.52,57.82,56.33,57.38,609793.0,,,
1993-11-23,57.01,57.83,56.92,57.2,371789.0,,,
1993-11-24,57.48,59.33,57.01,58.74,767532.0,,,
1993-11-26,59.83,60.08,58.71,59.46,1095748.0,,,
1993-11-27,60.0,60.11,58.87,59.69,528197.0,,,
1993-11-30,60.17,61.92,60.17,61.58,712475.0,,,
1993-12-01,62.36,62.4,60.0,60.83,558308.0,,,
1993-12-02,60.83,62.67,60.38,62.43,693789.0,,,
1993-12-03,62.83,63.67,61.67,62.85,961350.0,,,
1993-12-04,63.0,63.9,62.35,62.77,592829.0,,,
1993-12-07,63.0,64.36,62.25,63.81,891220.0,,,
1993-12-08,65.0,65.33,63.17,63.71,891557.0,,,
1993-12-09,63.9,64.33,62.67,63.15,720981.0,,,
1993-12-10,63.17,65.8,63.09,65.24,1161640.0,,,
1993-12-11,65.92,66.42,64.17,65.62,799137.0,,,
1993-12-14,66.25,66.32,64.36,64.58,625476.0,,,
1993-12-15,66.5,66.5,64.18,65.08,864630.0,,,
1993-12-16,65.17,67.47,65.04,67.18,1816361.0,,,
1993-12-17,68.0,77.82,67.58,76.58,7490251.0,,,
1993-12-18,76.48,76.67,66.68,71.98,2656296.0,,,
1993-12-21,72.2,72.95,69.83,70.52,2849176.0,,,
1993-12-22,72.91,72.91,67.0,70.93,741774.0,,,
1993-12-23,71.0,72.63,70.27,71.95,859003.0,,,
1993-12-25,72.0,74.64,72.0,73.67,847066.0,,,
1993-12-28,73.83,77.63,73.42,76.73,1266941.0,,,
1993-12-29,72.5,77.63,72.5,75.28,929429.0,,,
1993-12-30,75.6,76.38,74.67,75.07,745912.0,,,
1993-12-31,75.67,77.41,75.0,76.64,1119668.0,,,
1994-01-01,77.5,80.42,77.0,79.88,1510099.0,,,
1994-01-04,80.63,86.15,79.33,83.58,2559797.0,,,
1994-01-05,79.17,87.78,79.17,85.41,4009109.0,,,
1994-01-06,84.33,87.45,83.23,85.79,2463086.0,,,
1994-01-07,87.67,88.83,86.01,87.15,1172648.0,,,
1994-01-08,87.5,88.33,84.67,86.55,1225247.0,,,
1994-01-11,86.83,88.47,81.67,84.8,1307253.0,,,
1994-01-12,84.75,85.28,78.88,80.73,1770298.0,,,
1994-01-13,82.67,85.5,80.53,84.66,2682842.0,,,
1994-01-14,85.0,86.12,79.19,80.69,1214074.0,,,
1994-01-15,81.25,81.58,74.67,77.58,1506428.0,,,
1994-01-18,75.83,80.27,75.83,79.8,894103.0,,,
1994-01-19,79.69,81.24,77.67,79.22,731829.0,,,
1994-01-20,76.67,79.28,73.0,76.24,875637.0,,,
