date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,8.34,8.63,8.34,8.48,21063.0,,,
1993-09-07,8.43,8.53,8.43,8.46,10295.0,,,
1993-09-08,8.45,8.53,8.4,8.43,13690.0,,,
1993-09-09,8.3,8.55,8.3,8.44,11730.0,,,
1993-09-10,8.43,8.57,8.4,8.43,15000.0,,,
1993-09-11,8.43,8.46,8.22,8.29,24869.0,,,
1993-09-14,8.18,8.37,8.05,8.08,11322.0,,,
1993-09-15,8.13,8.25,7.99,8.21,6454.0,,,
1993-09-16,8.3,8.63,8.3,8.48,16317.0,,,
1993-09-17,8.54,8.57,8.22,8.22,8995.0,,,
1993-09-18,8.26,8.3,8.13,8.21,5125.0,,,
1993-09-21,8.3,8.47,8.22,8.23,3125.0,,,
1993-09-22,8.3,8.3,8.22,8.23,2045.0,,,
1993-09-23,8.38,8.38,8.12,8.28,6361.0,,,
1993-09-24,8.43,8.43,8.05,8.3,8940.0,,,
1993-09-25,8.13,8.38,8.13,8.26,4210.0,,,
1993-09-28,8.28,8.38,8.26,8.38,4318.0,,,
1993-09-29,8.37,8.47,8.31,8.38,8291.0,,,
1993-09-30,8.44,8.47,8.3,8.41,6539.0,,,
1993-10-02,8.46,8.54,8.39,8.45,12336.0,,,
1993-10-05,8.47,8.58,8.38,8.51,11964.0,,,
1993-10-06,8.5,8.72,8.5,8.62,13525.0,,,
1993-10-07,8.55,8.68,8.55,8.65,16810.0,,,
1993-10-08,8.71,8.82,8.59,8.67,36462.0,,,
1993-10-09,8.8,9.04,8.67,8.96,25153.0,,,
1993-10-12,8.4,9.45,8.4,9.37,28709.0,,,
1993-10-13,9.37,9.8,9.17,9.53,47008.0,,,
1993-10-14,9.63,9.74,9.38,9.47,33229.0,,,
1993-10-15,9.5,9.8,9.48,9.64,12966.0,,,
1993-10-16,9.71,9.88,9.5,9.72,14573.0,,,
1993-10-19,9.88,9.96,9.55,9.66,15634.0,,,
1993-10-20,9.63,9.63,8.63,9.52,13552.0,,,
1993-10-21,9.55,9.61,8.38,9.45,15206.0,,,
1993-10-22,9.46,9.59,9.21,9.53,9291.0,,,
1993-10-23,9.46,9.55,9.35,9.5,4605.0,,,
1993-10-24,9.76,9.77,9.43,9.49,1300.0,,,
1993-10-26,9.49,9.7,9.49,9.6,11316.0,,,
1993-10-27,9.65,9.88,9.53,9.7,34272.0,,,
1993-10-28,9.7,10.38,9.7,9.99,27394.0,,,
1993-10-29,10.63,11.62,10.13,10.52,32829.0,,,
1993-10-30,10.87,10.87,10.46,10.62,21944.0,,,
1993-11-02,10.47,10.81,10.46,10.49,9966.0,,,
1993-11-03,10.46,10.68,10.04,10.2,14436.0,,,
1993-11-04,10.71,11.29,10.04,10.12,8344.0,,,
1993-11-05,10.13,10.29,10.13,10.22,7917.0,,,
1993-11-06,10.38,10.38,10.21,10.37,9054.0,,,
1993-11-09,10.14,10.38,10.13,10.37,6825.0,,,
1993-11-10,10.46,10.96,10.33,10.82,22051.0,,,
1993-11-11,10.79,11.27,10.79,11.13,22987.0,,,
1993-11-12,10.79,11.36,10.79,10.8,8562.0,,,
1993-11-13,10.46,11.01,10.3,10.82,12556.0,,,
1993-11-14,10.4,11.12,10.4,11.06,3134.0,,,
1993-11-16,11.46,12.32,11.46,11.77,57814.0,,,
1993-11-17,11.95,12.12,11.79,11.93,22257.0,,,
1993-11-18,11.8,11.95,11.41,11.61,16448.0,,,
1993-11-19,11.54,11.61,11.09,11.27,18445.0,,,
1993-11-20,11.29,11.29,10.43,10.82,32004.0,,,
1993-11-23,11.36,11.62,11.04,11.17,21759.0,,,
1993-11-24,11.49,11.49,11.19,11.24,18133.0,,,
1993-11-26,11.12,11.95,11.12,11.5,27246.0,,,
1993-11-27,11.56,11.63,11.37,11.54,13531.0,,,
1993-11-30,11.54,11.95,11.54,11.7,12500.0,,,
1993-12-01,11.95,11.95,11.7,11.94,21050.0,,,
1993-12-02,11.95,12.78,11.95,12.42,56603.0,,,
1993-12-03,12.53,13.68,12.29,12.58,36714.0,,,
1993-12-04,12.78,13.12,12.04,12.19,70387.0,,,
1993-12-07,12.62,13.27,12.45,12.53,42592.0,,,
1993-12-08,13.26,13.26,12.14,12.36,57891.0,,,
1993-12-09,12.29,12.45,12.0,12.12,34714.0,,,
1993-12-10,12.43,12.45,12.14,12.19,20357.0,,,
1993-12-11,12.13,12.27,11.82,11.86,23212.0,,,
1993-12-14,11.62,12.45,11.46,12.14,26314.0,,,
1993-12-15,12.08,12.19,11.92,12.13,16321.0,,,
1993-12-16,12.0,12.12,11.88,12.02,9755.0,,,
1993-12-17,11.95,12.12,11.79,11.92,20787.0,,,
1993-12-18,12.14,12.37,12.05,12.08,19192.0,,,
1993-12-21,11.79,12.29,11.79,12.16,16359.0,,,
1993-12-22,11.82,12.32,11.82,12.21,12455.0,,,
1993-12-23,12.29,12.37,11.95,12.36,24315.0,,,
1993-12-25,12.29,12.42,12.17,12.34,14898.0,,,
1993-12-28,12.49,12.62,12.29,12.56,33548.0,,,
1993-12-29,12.6,12.7,12.2,12.25,22640.0,,,
1993-12-30,13.2,13.58,12.78,13.09,144271.0,,,
1993-12-31,13.22,13.86,12.78,13.59,79597.0,,,
1994-01-01,13.37,14.41,13.13,14.16,98014.0,,,
1994-01-04,14.52,16.88,14.52,16.2,225487.0,,,
1994-01-05,16.12,16.39,14.25,14.72,91812.0,,,
1994-01-06,14.78,15.02,13.81,14.63,63910.0,,,
1994-01-07,15.61,15.61,14.69,15.3,32983.0,,,
1994-01-08,15.61,15.77,14.11,14.47,49569.0,,,
1994-01-11,14.15,14.59,13.95,14.0,30279.0,,,
1994-01-12,14.11,14.11,13.58,13.98,17249.0,,,
1994-01-13,13.95,14.6,13.95,13.99,21129.0,,,
1994-01-14,14.51,14.51,14.07,14.3,31243.0,,,
1994-01-15,14.05,14.78,13.91,13.98,23775.0,,,
1994-01-18,13.93,14.34,12.95,13.65,15852.0,,,
1994-01-19,13.77,13.9,13.45,13.46,21679.0,,,
1994-01-20,13.45,13.45,11.64,11.97,23888.0,,,
1994-01-21,11.95,12.59,10.74,11.09,35717.0,,,
1994-01-22,11.46,12.37,11.46,12.3,13278.0,,,
1994-01-26,12.45,12.45,11.98,12.43,7262.0,,,
1994-01-27,12.53,12.62,12.12,12.32,13289.0,,,
1994-01-28,12.62,12.62,12.08,12.46,7895.0,,,
1994-01-29,12.2,12.78,11.95,12.09,11661.0,,,
1994-02-02,12.74,12.74,11.47,11.56,9787.0,,,
1994-02-03,11.79,12.22,11.3,11.55,7085.0,,,
1994-02-04,11.5,11.9,11.5,11.74,4811.0,,,
1994-02-05,11.95,11.95,11.79,11.83,8954.0,,,
1994-02-08,11.95,11.95,11.29,11.68,18015.0,,,
1994-02-09,11.62,11.95,11.47,11.53,11997.0,,,
1994-02-10,11.7,11.7,11.46,11.63,12483.0,,,
1994-02-11,11.7,11.79,11.63,11.69,8398.0,,,
1994-02-12,11.31,12.1,11.31,11.97,7856.0,,,
1994-02-15,11.87,12.35,11.79,12.14,13563.0,,,
1994-02-16,12.04,12.09,11.84,11.91,6394.0,,,
1994-02-17,11.95,12.09,11.82,11.95,4214.0,,,
1994-02-18,11.82,11.95,11.62,11.68,4367.0,,,
1994-02-19,11.3,13.26,11.3,12.01,7512.0,,,
1994-02-22,11.87,13.28,11.77,11.83,15993.0,,,
1994-02-23,11.69,11.95,11.62,11.75,8714.0,,,
1994-02-24,11.66,11.74,11.46,11.51,8600.0,,,
1994-02-25,11.62,11.7,11.47,11.55,3489.0,,,
1994-02-26,11.7,11.7,11.46,11.6,7774.0,,,
1994-03-01,11.48,11.58,11.41,11.45,14563.0,,,
1994-03-03,11.62,11.62,11.3,11.32,6301.0,,,
1994-03-04,11.54,11.79,11.03,11.28,14946.0,,,
1994-03-05,11.17,11.37,11.17,11.28,5207.0,,,
1994-03-08,11.37,11.46,11.16,11.39,5760.0,,,
1994-03-09,11.41,11.41,11.16,11.26,2422.0,,,
1994-03-10,11.46,11.95,11.21,11.69,28266.0,,,
1994-03-11,11.79,12.12,11.7,11.9,14709.0,,,
1994-03-12,12.09,12.12,11.7,11.85,14308.0,,,
1994-03-15,11.79,12.29,11.79,11.81,10279.0,,,
1994-03-16,12.05,12.2,11.87,12.02,15763.0,,,
1994-03-17,12.12,12.62,11.98,12.48,56173.0,,,
1994-03-18,12.76,12.76,11.35,11.41,28170.0,,,
1994-03-19,11.67,11.67,10.39,11.08,9973.0,,,
1994-03-22,10.5,10.87,10.48,10.68,12635.0,,,
1994-03-23,10.16,10.72,10.16,10.59,11790.0,,,
1994-03-24,10.27,10.62,10.25,10.38,24357.0,,,
1994-03-25,10.39,10.82,10.39,10.48,16505.0,,,
1994-03-26,10.48,10.86,10.45,10.76,14112.0,,,
1994-03-29,11.02,11.12,10.71,11.1,12251.0,,,
1994-03-30,11.11,11.64,11.0,11.36,11857.0,,,
1994-03-31,11.49,11.49,11.19,11.34,9402.0,,,
1994-04-01,11.82,11.82,10.99,11.31,14636.0,,,
1994-04-02,11.17,11.3,10.79,10.94,15245.0,,,
1994-04-05,11.12,11.31,10.94,10.97,25166.0,,,
1994-04-06,11.23,12.22,10.9,10.96,12184.0,,,
1994-04-07,11.12,11.49,11.0,11.11,18020.0,,,
1994-04-08,11.53,11.53,10.96,11.14,25655.0,,,
1994-04-12,11.45,11.45,11.09,11.12,10826.0,,,
1994-04-13,11.0,11.21,10.99,11.16,10157.0,,,
1994-04-15,11.4,11.4,11.04,11.19,20015.0,,,
1994-04-16,11.4,11.58,11.16,11.52,45849.0,,,
1994-04-17,11.67,12.07,11.41,11.86,29601.0,,,
1994-04-19,12.02,12.22,11.85,11.87,31584.0,,,
1994-04-20,11.53,11.93,11.53,11.86,17746.0,,,
1994-04-21,11.69,11.94,11.67,11.72,15867.0,,,
1994-04-22,11.67,11.94,11.58,11.68,19585.0,,,
1994-04-23,11.84,11.84,11.49,11.53,19876.0,,,
1994-04-27,10.9,11.74,10.9,11.05,35203.0,,,
1994-04-28,11.16,11.26,10.76,10.99,22746.0,,,
1994-04-29,10.9,11.23,10.76,10.9,13660.0,,,
1994-04-30,10.93,11.1,10.83,10.96,18016.0,,,
1994-05-03,10.79,11.01,10.78,10.93,20320.0,,,
1994-05-04,11.08,11.31,10.95,11.1,15193.0,,,
1994-05-05,11.24,11.35,11.19,11.28,13852.0,,,
1994-05-06,11.4,11.53,11.24,11.47,13358.0,,,
1994-05-07,11.31,12.22,11.31,11.68,44176.0,,,
1994-05-10,11.34,11.77,11.34,11.68,12240.0,,,
1994-05-11,11.17,11.53,10.94,11.08,17025.0,,,
1994-05-12,11.2,11.29,10.94,11.1,9350.0,,,
1994-05-13,10.23,11.49,10.23,11.29,14440.0,,,
1994-05-14,11.4,11.4,10.31,10.5,30054.0,,,
1994-05-17,9.03,10.48,8.41,10.02,12445.0,,,
1994-05-18,10.94,11.12,9.57,10.53,30824.0,,,
1994-05-19,11.01,11.12,10.69,11.0,21362.0,,,
1994-05-20,10.94,11.12,10.59,10.77,9021.0,,,
1994-05-21,11.0,11.0,10.39,10.52,14441.0,,,
1994-05-24,10.04,10.86,9.13,10.68,12545.0,,,
1994-05-25,9.9,10.78,9.9,10.46,31903.0,,,
1994-05-26,10.23,10.57,10.23,10.44,20091.0,,,
1994-05-27,10.38,10.57,10.38,10.46,11236.0,,,
1994-05-28,10.56,10.56,9.97,10.15,19356.0,,,
1994-05-31,9.48,9.98,9.3,9.48,30881.0,,,
1994-06-01,9.66,9.98,9.51,9.8,18421.0,,,
1994-06-02,9.98,9.98,9.68,9.86,15470.0,,,
1994-06-03,9.92,9.96,9.66,9.7,10329.0,,,
1994-06-04,9.66,10.01,9.66,9.92,7722.0,,,
1994-06-07,9.85,10.12,9.85,9.95,8875.0,,,
1994-06-08,9.98,10.07,9.86,9.96,17048.0,,,
1994-06-09,8.64,10.07,8.64,10.01,10942.0,,,
1994-06-10,10.03,10.11,9.96,9.97,14015.0,,,
1994-06-11,9.94,10.1,9.14,10.03,23388.0,,,
1994-06-14,10.03,10.03,9.77,9.86,21816.0,,,
1994-06-15,9.85,9.93,9.76,9.86,5301.0,,,
1994-06-16,9.86,9.94,9.85,9.9,3126.0,,,
1994-06-17,9.93,9.97,9.76,9.91,4128.0,,,
1994-06-18,10.47,11.74,9.81,9.91,11369.0,,,
1994-06-21,9.94,9.94,9.81,9.88,5366.0,,,
1994-06-22,9.85,9.93,9.8,9.86,3004.0,,,
1994-06-23,9.98,9.98,9.76,9.78,8786.0,,,
1994-06-24,9.66,9.69,9.51,9.58,9058.0,,,
1994-06-25,9.53,9.7,9.53,9.63,3878.0,,,
