date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,74.2,74.2,73.03,73.15,80388.0,,,
1993-09-07,74.13,74.5,73.35,73.65,118224.0,,,
1993-09-08,73.8,74.13,72.75,72.95,82549.0,,,
1993-09-09,72.0,73.3,66.5,72.85,71059.0,,,
1993-09-10,75.0,75.0,73.0,73.23,75962.0,,,
1993-09-11,72.1,73.63,72.0,72.18,71497.0,,,
1993-09-14,72.93,72.93,71.03,71.2,60032.0,,,
1993-09-15,71.55,71.73,70.08,71.3,81427.0,,,
1993-09-16,72.0,72.25,70.33,70.63,78281.0,,,
1993-09-17,70.98,70.98,68.13,69.83,67780.0,,,
1993-09-18,69.05,70.35,69.0,69.18,105258.0,,,
1993-09-21,69.93,69.93,67.75,68.48,118408.0,,,
1993-09-22,67.75,69.0,67.75,68.95,112358.0,,,
1993-09-23,69.88,70.48,68.55,69.75,79974.0,,,
1993-09-24,69.5,70.93,68.75,69.0,159301.0,,,
1993-09-25,69.08,70.23,68.8,70.05,61900.0,,,
1993-09-28,69.18,70.95,69.13,70.53,79236.0,,,
1993-09-29,70.1,70.85,69.53,70.68,55338.0,,,
1993-09-30,70.63,71.0,69.8,70.43,74362.0,,,
1993-10-02,70.1,71.0,70.08,70.85,60933.0,,,
1993-10-05,71.0,72.25,70.93,71.95,89983.0,,,
1993-10-06,72.25,73.25,71.5,72.95,126380.0,,,
1993-10-07,73.0,73.4,72.0,72.5,105543.0,,,
1993-10-08,71.3,72.75,70.75,72.5,69197.0,,,
1993-10-09,72.5,73.75,72.13,73.43,112037.0,,,
1993-10-12,74.0,74.93,72.65,74.03,116276.0,,,
1993-10-13,74.0,74.85,72.75,73.9,143895.0,,,
1993-10-14,74.85,74.85,73.2,73.55,142461.0,,,
1993-10-15,74.75,75.25,73.0,73.4,198464.0,,,
1993-10-16,74.0,74.25,71.55,72.13,81052.0,,,
1993-10-19,71.03,72.5,70.0,70.13,123726.0,,,
1993-10-20,69.25,71.4,69.25,69.85,107325.0,,,
1993-10-21,69.0,70.88,69.0,69.28,78318.0,,,
1993-10-22,68.5,69.9,68.5,69.33,36830.0,,,
1993-10-23,68.75,70.2,67.85,69.85,67507.0,,,
1993-10-24,70.9,71.63,70.0,70.5,27883.0,,,
1993-10-26,70.98,70.98,69.13,69.55,61770.0,,,
1993-10-27,68.63,70.0,68.28,68.53,45283.0,,,
1993-10-28,69.63,69.63,68.5,68.65,42904.0,,,
1993-10-29,68.75,69.48,68.3,69.23,61211.0,,,
1993-10-30,68.55,69.45,68.55,68.85,57984.0,,,
1993-11-02,68.7,69.98,68.7,69.08,81713.0,,,
1993-11-03,69.63,69.75,68.5,68.58,88849.0,,,
1993-11-04,69.0,69.0,68.25,68.35,87961.0,,,
1993-11-05,69.55,70.0,68.25,68.43,114239.0,,,
1993-11-06,68.5,69.28,68.08,68.25,99612.0,,,
1993-11-09,68.4,68.93,67.78,68.08,35850.0,,,
1993-11-10,68.88,68.88,67.8,68.05,91834.0,,,
1993-11-11,68.5,68.75,68.0,68.2,86747.0,,,
1993-11-12,68.7,68.7,67.78,67.93,84278.0,,,
1993-11-13,68.2,68.38,67.28,67.48,47956.0,,,
1993-11-14,67.5,67.73,66.93,67.0,24472.0,,,
1993-11-16,67.38,67.7,66.78,66.9,68110.0,,,
1993-11-17,67.4,70.2,66.9,69.9,296237.0,,,
1993-11-18,71.35,72.8,69.3,71.23,568743.0,,,
1993-11-19,71.9,72.2,69.63,70.1,225498.0,,,
1993-11-20,70.0,71.03,68.98,70.38,118465.0,,,
1993-11-23,70.9,70.9,69.0,69.28,94916.0,,,
1993-11-24,69.9,70.25,69.05,69.35,87140.0,,,
1993-11-26,69.55,70.75,69.48,70.48,97304.0,,,
1993-11-27,70.58,71.35,69.28,69.55,92593.0,,,
1993-11-30,69.58,70.5,69.5,70.05,133202.0,,,
1993-12-01,70.5,70.55,69.55,69.8,166604.0,,,
1993-12-02,70.1,73.5,69.8,72.03,417982.0,,,
1993-12-03,72.75,73.23,72.0,72.63,254470.0,,,
1993-12-04,73.4,77.75,73.28,74.7,882882.0,,,
1993-12-07,75.2,77.85,75.15,76.0,331055.0,,,
1993-12-08,77.4,77.4,75.5,76.0,220845.0,,,
1993-12-09,77.5,77.5,75.03,75.38,160794.0,,,
1993-12-10,77.4,77.4,74.5,74.93,143070.0,,,
1993-12-11,75.7,75.7,74.18,74.85,135687.0,,,
1993-12-14,75.15,77.0,75.15,75.5,202856.0,,,
1993-12-15,75.18,75.73,74.25,74.78,254906.0,,,
1993-12-16,75.95,79.3,75.63,78.35,909166.0,,,
1993-12-17,79.75,80.23,78.05,78.63,663404.0,,,
1993-12-18,79.4,79.7,77.78,78.13,287619.0,,,
1993-12-21,78.45,79.75,78.3,78.78,210550.0,,,
1993-12-22,79.0,79.45,77.5,78.38,235265.0,,,
1993-12-23,78.25,78.9,77.25,77.88,206516.0,,,
1993-12-25,79.0,79.43,78.05,79.18,266505.0,,,
1993-12-28,79.53,82.0,79.53,80.9,438666.0,,,
1993-12-29,82.15,82.2,78.8,80.55,409607.0,,,
1993-12-30,80.0,82.38,79.5,79.85,380459.0,,,
1993-12-31,80.75,84.98,80.25,84.5,777012.0,,,
1994-01-01,85.05,87.45,85.0,85.88,601797.0,,,
1994-01-04,85.58,86.5,82.6,83.13,376828.0,,,
1994-01-05,83.48,85.0,81.25,81.95,340690.0,,,
1994-01-06,87.53,87.53,80.2,80.83,175716.0,,,
1994-01-07,85.58,85.58,80.5,80.8,226494.0,,,
1994-01-08,81.65,82.8,80.75,81.13,201673.0,,,
1994-01-11,81.25,81.75,79.15,79.68,132016.0,,,
1994-01-12,80.65,80.65,77.75,78.83,145046.0,,,
1994-01-13,79.0,80.5,79.0,79.95,130321.0,,,
1994-01-14,80.5,80.85,78.08,78.43,174365.0,,,
1994-01-15,78.1,78.8,76.1,76.43,115810.0,,,
1994-01-18,78.9,78.9,74.25,76.35,140865.0,,,
1994-01-19,76.98,77.2,75.0,75.4,99497.0,,,
1994-01-20,74.5,76.4,73.55,74.43,178050.0,,,
1994-01-21,75.0,75.5,72.5,73.8,153265.0,,,
1994-01-22,74.5,75.0,72.13,74.58,139616.0,,,
1994-01-26,75.15,77.0,74.13,76.73,123369.0,,,
1994-01-27,77.33,77.5,74.58,75.93,129649.0,,,
1994-01-28,73.53,77.35,73.5,74.9,104319.0,,,
1994-01-29,74.6,75.68,72.65,74.63,84332.0,,,
1994-02-02,70.03,75.88,70.03,73.85,138939.0,,,
1994-02-03,71.53,74.43,71.53,74.0,98982.0,,,
1994-02-04,74.05,80.0,73.25,74.2,139425.0,,,
1994-02-05,74.5,75.4,74.2,74.73,104196.0,,,
1994-02-08,74.73,76.0,74.08,74.95,89377.0,,,
1994-02-09,75.48,75.48,73.63,73.9,76125.0,,,
1994-02-10,73.78,74.9,73.78,74.63,62387.0,,,
1994-02-11,74.95,74.95,73.5,74.05,89509.0,,,
1994-02-12,74.45,76.0,73.1,74.05,180498.0,,,
1994-02-15,74.98,74.98,74.03,74.85,100131.0,,,
1994-02-16,74.88,75.13,73.78,74.13,119620.0,,,
1994-02-17,74.0,74.48,72.88,73.1,83298.0,,,
1994-02-18,73.45,73.5,72.28,72.65,88130.0,,,
1994-02-19,73.6,73.6,71.78,72.28,56507.0,,,
1994-02-22,71.03,73.43,71.03,71.38,80303.0,,,
1994-02-23,70.5,73.43,70.45,72.1,99767.0,,,
1994-02-24,70.65,71.85,70.63,71.03,54037.0,,,
1994-02-25,71.0,72.0,70.78,71.55,100773.0,,,
1994-02-26,71.13,72.0,71.08,71.63,61173.0,,,
1994-03-01,72.0,72.45,69.8,70.38,121841.0,,,
1994-03-03,70.38,71.5,70.25,70.68,146535.0,,,
1994-03-04,70.4,71.5,69.43,69.7,220011.0,,,
1994-03-05,70.0,70.18,69.08,69.23,100594.0,,,
1994-03-08,69.5,69.83,69.03,69.13,58276.0,,,
1994-03-09,69.0,69.48,68.08,68.63,88333.0,,,
1994-03-10,68.25,68.5,67.0,67.28,113183.0,,,
1994-03-11,67.08,69.23,67.0,67.5,117130.0,,,
1994-03-12,67.08,67.75,66.5,67.43,82022.0,,,
1994-03-15,67.5,68.45,66.0,66.85,70903.0,,,
1994-03-16,66.75,66.75,65.0,65.08,70365.0,,,
1994-03-17,65.33,65.88,64.0,64.98,74395.0,,,
1994-03-18,65.4,65.4,64.0,64.43,57814.0,,,
1994-03-19,64.5,65.95,64.15,64.93,61095.0,,,
1994-03-22,64.95,65.25,61.25,62.73,126090.0,,,
1994-03-23,62.9,64.9,62.75,63.85,67574.0,,,
1994-03-24,64.25,64.25,63.25,63.8,48840.0,,,
1994-03-25,62.55,64.13,62.55,63.55,52788.0,,,
1994-03-26,63.95,64.2,63.15,63.68,75512.0,,,
1994-03-29,64.0,64.35,63.3,63.58,42352.0,,,
1994-03-30,64.0,64.0,63.28,63.73,66751.0,,,
1994-03-31,63.75,66.4,63.75,65.25,134208.0,,,
1994-04-01,66.5,68.5,66.5,67.1,75604.0,,,
1994-04-02,67.75,68.43,66.05,67.25,52374.0,,,
1994-04-05,66.5,67.88,66.5,66.88,57871.0,,,
1994-04-06,67.0,70.5,66.55,69.13,120622.0,,,
1994-04-07,69.75,69.95,67.5,67.58,39752.0,,,
1994-04-08,68.0,68.5,67.5,68.1,39408.0,,,
1994-04-12,68.0,68.25,66.55,66.88,40787.0,,,
1994-04-13,66.8,67.2,66.5,66.9,38382.0,,,
1994-04-15,66.8,67.68,66.0,66.6,49345.0,,,
1994-04-16,66.7,67.75,66.35,67.18,59695.0,,,
1994-04-17,69.4,69.4,66.38,67.05,11015.0,,,
1994-04-19,67.0,67.48,66.28,66.53,30065.0,,,
1994-04-20,66.35,66.98,66.3,66.78,24206.0,,,
1994-04-21,66.3,67.0,66.03,66.13,42334.0,,,
1994-04-22,66.08,66.7,66.0,66.15,39134.0,,,
1994-04-23,66.8,66.9,65.25,65.58,49537.0,,,
1994-04-27,66.33,66.33,64.1,64.43,54938.0,,,
1994-04-28,65.4,65.4,64.0,64.08,36860.0,,,
1994-04-29,64.13,65.45,63.6,64.98,58486.0,,,
1994-04-30,63.8,65.23,63.8,64.08,38804.0,,,
1994-05-03,64.18,64.68,62.75,63.15,34430.0,,,
1994-05-04,63.25,65.5,63.25,64.18,50340.0,,,
1994-05-05,63.75,64.5,63.65,63.9,20343.0,,,
1994-05-06,64.45,64.48,63.7,64.0,27222.0,,,
1994-05-07,64.95,66.0,63.5,64.33,40588.0,,,
1994-05-10,65.0,65.0,63.1,63.4,40319.0,,,
1994-05-11,62.63,63.88,62.58,63.25,63549.0,,,
1994-05-12,63.25,63.9,62.5,63.45,74530.0,,,
1994-05-13,64.9,64.9,62.5,62.65,63907.0,,,
1994-05-14,63.95,63.95,62.08,63.28,116397.0,,,
1994-05-17,62.5,62.5,55.0,58.4,96376.0,,,
1994-05-18,59.1,62.25,58.75,61.1,87020.0,,,
1994-05-19,62.0,62.48,59.6,60.58,106669.0,,,
1994-05-20,61.0,61.93,58.6,59.05,122756.0,,,
1994-05-21,59.05,60.73,59.05,60.23,63678.0,,,
1994-05-24,60.05,61.38,59.68,60.1,63441.0,,,
1994-05-25,60.1,60.55,59.5,60.35,51928.0,,,
1994-05-26,60.5,60.9,60.08,60.28,31189.0,,,
1994-05-27,60.48,60.7,59.55,59.83,61976.0,,,
1994-05-28,59.38,61.75,59.0,59.15,87521.0,,,
1994-05-31,59.95,61.9,58.55,60.6,111247.0,,,
1994-06-01,60.0,60.88,60.0,60.28,51350.0,,,
1994-06-02,59.53,60.5,59.48,60.3,43398.0,,,
1994-06-03,60.5,60.5,59.05,59.65,65947.0,,,
1994-06-04,59.85,59.9,59.0,59.18,38042.0,,,
1994-06-07,59.5,59.83,58.75,58.9,53920.0,,,
1994-06-08,59.08,59.5,58.78,59.03,32117.0,,,
1994-06-09,59.85,59.85,58.78,59.03,33526.0,,,
1994-06-10,59.45,59.45,58.05,58.3,51523.0,,,
1994-06-11,58.93,58.93,58.08,58.28,31334.0,,,
1994-06-14,58.53,58.83,57.05,57.38,30878.0,,,
1994-06-15,59.0,59.0,57.53,57.83,26469.0,,,
1994-06-16,58.18,58.43,57.5,57.6,26183.0,,,
1994-06-17,56.8,57.98,56.8,57.23,46924.0,,,
1994-06-18,56.75,57.75,56.75,57.25,28806.0,,,
1994-06-21,57.75,57.75,57.05,57.2,21011.0,,,
1994-06-22,56.53,57.25,56.53,57.08,29637.0,,,
1994-06-23,57.08,57.35,55.78,56.1,28967.0,,,
1994-06-24,56.5,56.73,55.03,55.4,63597.0,,,
1994-06-25,55.75,56.4,55.18,56.15,42504.0,,,
1994-06-28,51.08,57.0,51.08,56.88,28672.0,,,
1994-06-29,57.88,59.7,56.35,58.8,109343.0,,,
1994-06-30,59.25,64.0,59.25,63.35,389702.0,,,
1994-07-01,64.0,65.0,62.75,64.9,181208.0,,,
1994-07-02,64.4,65.5,61.6,65.13,90747.0,,,
1994-07-05,64.95,67.28,64.75,66.9,153118.0,,,
1994-07-06,67.0,67.5,65.58,66.75,77361.0,,,
1994-07-07,66.88,68.25,66.15,67.8,130283.0,,,
1994-07-08,67.0,68.68,65.95,66.68,134069.0,,,
1994-07-09,62.75,68.7,62.75,68.08,116674.0,,,
1994-07-12,66.5,68.75,66.5,68.25,88788.0,,,
1994-07-13,68.38,68.83,67.5,68.43,46084.0,,,
1994-07-14,65.35,68.43,65.0,65.55,87448.0,,,
1994-07-15,66.2,66.75,65.5,66.5,50292.0,,,
1994-07-16,67.4,68.75,67.05,68.35,155175.0,,,
1994-07-19,69.05,69.98,67.53,68.75,75456.0,,,
1994-07-20,63.0,68.85,62.58,67.8,45188.0,,,
1994-07-21,68.95,68.95,65.13,66.6,85516.0,,,
1994-07-22,68.13,68.13,66.33,66.5,49453.0,,,
1994-07-23,66.75,72.45,63.63,71.38,335768.0,,,
1994-07-26,71.5,73.73,71.5,73.48,240436.0,,,
1994-07-27,72.5,74.5,71.78,72.75,123330.0,,,
1994-07-28,70.65,72.7,70.65,71.88,69144.0,,,
1994-07-29,71.63,76.05,71.53,74.68,252909.0,,,
1994-07-30,75.0,75.25,73.0,73.55,86583.0,,,
1994-08-02,71.55,73.85,71.55,72.05,49718.0,,,
1994-08-03,71.6,73.0,71.6,72.6,108437.0,,,
1994-08-04,72.65,72.93,71.03,71.25,45802.0,,,
1994-08-05,72.5,72.5,71.0,71.43,33667.0,,,
1994-08-06,70.5,71.5,70.5,71.05,30995.0,,,
1994-08-09,71.45,71.45,70.03,70.58,34255.0,,,
1994-08-10,72.5,72.5,69.75,71.33,59180.0,,,
1994-08-11,70.0,72.45,70.0,71.65,60472.0,,,
1994-08-12,71.5,72.3,70.5,71.03,42158.0,,,
1994-08-13,71.05,71.38,69.6,70.25,39520.0,,,
1994-08-16,70.0,71.23,69.05,69.55,33725.0,,,
1994-08-17,69.05,72.0,66.15,70.2,50139.0,,,
1994-08-18,69.05,71.0,69.05,70.23,35821.0,,,
1994-08-19,69.05,71.25,69.0,69.95,37279.0,,,
1994-08-20,70.0,70.7,69.55,70.03,38621.0,,,
1994-08-23,70.5,70.5,69.55,70.05,22245.0,,,
1994-08-24,70.0,71.38,69.05,71.0,30419.0,,,
1994-08-25,70.15,71.85,69.6,70.03,20528.0,,,
1994-08-26,75.7,75.7,69.78,73.43,131368.0,,,
1994-08-27,72.5,73.05,71.55,72.1,44106.0,,,
1994-08-30,71.6,72.63,71.5,71.95,27488.0,,,
1994-08-31,71.63,73.0,70.83,71.08,35113.0,,,
1994-09-01,72.95,74.85,70.3,70.7,25305.0,,,
1994-09-02,69.55,71.5,69.55,70.15,38023.0,,,
1994-09-03,70.25,71.0,69.55,70.08,29247.0,,,
1994-09-06,70.98,71.0,69.9,70.18,30669.0,,,
1994-09-07,71.25,71.25,70.0,70.23,47333.0,,,
1994-09-08,69.1,70.75,69.1,70.48,35754.0,,,
1994-09-09,69.75,70.78,69.55,69.8,35890.0,,,
1994-09-10,69.53,73.85,69.5,72.15,954170.0,,,
1994-09-13,73.1,73.25,71.83,72.63,132537.0,,,
1994-09-14,72.0,72.95,71.0,72.68,68869.0,,,
1994-09-15,73.0,76.8,71.6,75.78,375950.0,,,
1994-09-16,75.98,76.28,75.0,75.88,165351.0,,,
1994-09-17,76.5,76.75,75.0,75.25,111431.0,,,
1994-09-20,75.5,75.95,74.58,75.48,90459.0,,,
1994-09-21,74.0,76.9,73.0,76.0,123012.0,,,
1994-09-22,76.13,76.5,75.03,75.75,108540.0,,,
1994-09-23,70.58,75.85,70.58,74.15,48351.0,,,
1994-09-24,74.0,75.48,73.58,74.1,160536.0,,,
1994-09-27,73.65,75.75,73.63,74.58,69615.0,,,
1994-09-28,73.75,74.9,73.0,73.23,35783.0,,,
