date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,41.75,45.31,41.5,44.66,869709.0,,,
1993-09-07,45.3,48.4,45.3,46.95,547378.0,,,
1993-09-08,47.25,48.5,44.81,45.64,664434.0,,,
1993-09-09,46.06,47.25,43.0,45.67,433414.0,,,
1993-09-10,45.5,47.95,44.61,45.4,348172.0,,,
1993-09-11,45.79,46.5,42.76,43.5,331202.0,,,
1993-09-14,43.6,44.45,40.01,40.29,308638.0,,,
1993-09-15,40.9,42.2,39.5,41.2,346448.0,,,
1993-09-16,42.22,43.0,41.27,41.59,392332.0,,,
1993-09-17,41.85,42.35,40.5,40.92,178931.0,,,
1993-09-18,41.2,41.93,38.92,40.31,282190.0,,,
1993-09-21,40.95,41.35,38.11,38.75,207470.0,,,
1993-09-22,38.68,39.98,37.75,39.65,308400.0,,,
1993-09-23,40.35,41.45,39.81,40.15,329896.0,,,
1993-09-24,40.19,44.17,40.03,44.17,382759.0,,,
1993-09-25,45.1,46.95,44.0,44.27,283708.0,,,
1993-09-28,45.0,45.22,42.85,43.04,177792.0,,,
1993-09-29,43.45,45.2,43.25,44.6,275790.0,,,
1993-09-30,44.8,46.5,44.5,44.92,231542.0,,,
1993-10-02,45.5,46.0,44.1,44.47,119743.0,,,
1993-10-05,45.2,45.2,43.92,44.29,76552.0,,,
1993-10-06,44.75,46.23,44.11,44.97,200888.0,,,
1993-10-07,45.3,45.75,43.75,44.31,97102.0,,,
1993-10-08,45.0,45.0,44.25,44.54,53656.0,,,
1993-10-09,45.0,45.14,43.2,43.49,47381.0,,,
1993-10-12,44.0,45.76,43.55,45.3,110648.0,,,
1993-10-13,45.65,46.24,44.08,44.51,147772.0,,,
1993-10-14,45.25,45.44,43.76,44.23,95539.0,,,
1993-10-15,44.75,44.8,43.8,44.04,50066.0,,,
1993-10-16,44.37,45.35,43.55,45.04,79357.0,,,
1993-10-19,44.5,45.5,42.55,43.21,66759.0,,,
1993-10-20,43.44,43.65,40.26,40.74,114320.0,,,
1993-10-21,41.0,41.35,36.75,39.98,348154.0,,,
1993-10-22,40.5,40.5,38.0,38.43,128518.0,,,
1993-10-23,39.0,40.55,38.25,40.24,163084.0,,,
1993-10-24,40.5,40.89,40.0,40.28,38485.0,,,
1993-10-26,40.35,41.85,39.4,39.91,169566.0,,,
1993-10-27,39.75,40.75,37.85,38.79,99788.0,,,
1993-10-28,38.94,39.75,38.81,39.09,63306.0,,,
1993-10-29,39.15,40.39,38.3,38.54,83908.0,,,
1993-10-30,38.98,40.55,38.61,40.17,165393.0,,,
1993-11-02,40.73,44.19,40.73,44.19,182854.0,,,
1993-11-03,43.75,45.37,42.62,42.98,208654.0,,,
1993-11-04,43.25,44.5,42.4,43.4,143727.0,,,
1993-11-05,44.0,44.5,42.7,44.06,63528.0,,,
1993-11-06,43.0,44.39,43.0,43.5,51800.0,,,
1993-11-09,40.06,44.55,40.06,43.85,27739.0,,,
1993-11-10,44.25,48.23,44.25,48.07,341605.0,,,
1993-11-11,48.75,49.25,45.06,45.59,185192.0,,,
