date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,15.01,15.4,14.26,14.55,31038.0,,,
1993-09-07,14.81,15.08,14.81,14.87,42725.0,,,
1993-09-08,15.47,16.5,14.85,15.02,43913.0,,,
1993-09-09,15.0,15.23,14.97,15.08,7221.0,,,
1993-09-10,14.5,15.65,14.5,15.51,46731.0,,,
1993-09-11,15.79,15.79,15.11,15.24,27847.0,,,
1993-09-14,15.3,15.4,15.0,15.19,12283.0,,,
1993-09-15,14.71,15.3,14.61,15.26,8343.0,,,
1993-09-16,15.5,15.5,15.2,15.28,12886.0,,,
1993-09-17,15.35,15.35,14.51,14.72,6259.0,,,
1993-09-18,14.89,15.19,14.65,14.8,8539.0,,,
1993-09-21,14.92,15.08,14.7,14.82,9224.0,,,
1993-09-22,14.72,14.75,14.4,14.63,19388.0,,,
1993-09-23,14.8,15.07,14.75,15.02,7638.0,,,
1993-09-24,15.1,15.1,14.73,14.99,32951.0,,,
1993-09-25,15.2,15.4,14.81,15.01,11836.0,,,
1993-09-28,15.19,15.8,15.19,15.6,19266.0,,,
1993-09-29,15.82,16.08,15.68,16.0,49545.0,,,
1993-09-30,16.12,16.59,15.92,16.0,39745.0,,,
1993-10-02,15.95,16.2,15.7,16.1,12738.0,,,
1993-10-05,16.29,18.15,16.2,17.85,117517.0,,,
1993-10-06,18.01,18.25,16.7,16.91,76717.0,,,
1993-10-07,16.5,16.8,16.03,16.27,46654.0,,,
1993-10-08,16.78,17.0,16.12,16.92,31023.0,,,
1993-10-09,17.0,17.35,16.82,17.0,26191.0,,,
1993-10-12,17.3,17.3,16.75,16.89,15378.0,,,
1993-10-13,16.9,17.2,15.98,16.05,37051.0,,,
1993-10-14,15.9,16.4,15.5,15.8,25489.0,,,
1993-10-15,16.0,16.05,15.6,15.8,15777.0,,,
1993-10-16,15.8,15.9,15.17,15.34,43710.0,,,
1993-10-19,15.5,15.7,15.24,15.5,40713.0,,,
1993-10-20,15.4,15.43,15.02,15.32,15529.0,,,
1993-10-21,15.3,15.4,15.08,15.29,15482.0,,,
1993-10-22,15.01,15.49,15.01,15.32,4217.0,,,
1993-10-23,15.36,16.0,15.03,15.77,8429.0,,,
1993-10-24,16.1,16.1,15.8,15.86,6393.0,,,
1993-10-26,15.8,16.06,15.53,15.84,15692.0,,,
1993-10-27,15.9,16.2,15.7,15.92,20588.0,,,
1993-10-28,16.38,17.0,16.1,16.84,74500.0,,,
1993-10-29,17.1,18.55,16.81,17.86,78122.0,,,
1993-10-30,17.92,18.3,17.2,18.03,78318.0,,,
1993-11-02,18.4,18.5,17.51,17.72,44540.0,,,
1993-11-03,17.7,17.79,15.24,17.46,76515.0,,,
1993-11-04,17.0,17.5,16.86,16.97,25733.0,,,
1993-11-05,17.0,17.17,16.73,16.92,22362.0,,,
1993-11-06,17.35,18.1,16.5,16.97,40576.0,,,
1993-11-09,18.0,18.0,16.8,17.0,5357.0,,,
1993-11-10,17.1,17.5,16.8,16.91,27132.0,,,
1993-11-11,16.6,17.3,16.6,16.92,23177.0,,,
1993-11-12,17.0,17.1,16.61,16.68,13352.0,,,
1993-11-13,16.5,16.8,16.0,16.19,8222.0,,,
1993-11-14,16.6,16.6,15.82,15.99,6955.0,,,
1993-11-16,16.2,16.9,16.0,16.4,22576.0,,,
1993-11-17,17.0,17.0,16.4,16.48,11360.0,,,
1993-11-18,16.5,16.5,16.1,16.4,8720.0,,,
1993-11-19,16.5,16.5,15.83,15.89,12406.0,,,
1993-11-20,15.61,16.0,15.32,15.82,7609.0,,,
1993-11-23,15.7,15.92,15.6,15.74,4528.0,,,
1993-11-24,15.9,16.8,15.9,16.63,11593.0,,,
1993-11-26,16.8,18.3,16.71,17.62,58375.0,,,
1993-11-27,17.77,18.0,16.6,17.86,33339.0,,,
1993-11-30,18.5,19.57,18.22,19.1,116846.0,,,
1993-12-01,19.25,19.25,18.58,18.75,41289.0,,,
1993-12-02,18.7,19.3,18.5,18.72,32684.0,,,
1993-12-03,19.0,19.0,17.3,18.73,24995.0,,,
1993-12-04,19.8,20.0,18.9,19.04,51331.0,,,
1993-12-07,19.4,19.95,18.81,19.19,39417.0,,,
1993-12-08,19.99,21.1,19.5,20.58,141251.0,,,
1993-12-09,21.0,23.9,21.0,23.3,335183.0,,,
1993-12-10,24.01,24.7,23.7,24.0,222429.0,,,
1993-12-11,24.2,24.6,22.8,23.85,142746.0,,,
1993-12-14,24.1,24.1,21.8,22.23,123703.0,,,
1993-12-15,22.56,22.71,22.0,22.14,65867.0,,,
1993-12-16,22.32,22.9,21.72,21.9,81182.0,,,
1993-12-17,22.49,22.7,22.01,22.56,64358.0,,,
1993-12-18,22.98,24.2,22.97,23.28,122619.0,,,
1993-12-21,23.31,23.4,22.55,22.71,30832.0,,,
1993-12-22,22.89,23.1,22.15,22.31,39432.0,,,
1993-12-23,22.4,22.58,22.1,22.24,13593.0,,,
1993-12-25,22.35,22.95,21.76,22.78,50080.0,,,
1993-12-28,23.09,24.0,22.75,23.82,66403.0,,,
1993-12-29,23.3,23.7,23.02,23.58,79714.0,,,
1993-12-30,23.0,24.48,23.0,23.81,71565.0,,,
1993-12-31,24.02,24.29,23.5,23.84,22731.0,,,
1994-01-01,24.0,25.38,23.1,25.17,88328.0,,,
1994-01-04,25.6,26.49,25.0,25.6,80100.0,,,
1994-01-05,25.99,26.48,25.05,25.53,77799.0,,,
1994-01-06,26.0,26.0,24.0,25.21,26158.0,,,
1994-01-07,25.35,27.49,24.3,26.51,87557.0,,,
