date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1992-01-01,7.98,8.0,7.85,7.99,10150.0,,,
1992-01-02,8.13,8.13,7.98,8.09,17980.0,,,
1992-01-03,8.19,8.19,8.06,8.12,14670.0,,,
1992-01-04,8.19,8.19,8.06,8.13,7435.0,,,
1992-01-07,8.19,8.19,8.06,8.11,18910.0,,,
1992-01-08,8.13,8.13,8.0,8.07,5920.0,,,
1992-01-09,8.14,8.14,7.76,8.08,8822.0,,,
1992-01-10,8.08,8.13,8.01,8.1,16314.0,,,
1992-01-11,8.0,8.13,7.89,7.91,9560.0,,,
1992-01-14,8.06,8.19,8.01,8.15,4968.0,,,
1992-01-15,8.15,8.15,8.03,8.11,11056.0,,,
1992-01-16,8.13,8.53,8.13,8.43,18841.0,,,
1992-01-17,8.26,8.68,8.26,8.45,31845.0,,,
1992-01-18,8.5,8.5,8.31,8.36,7717.0,,,
1992-01-21,8.5,8.5,8.36,8.36,3922.0,,,
1992-01-22,8.5,8.5,8.33,8.35,4849.0,,,
1992-01-23,8.19,8.56,8.19,8.49,24000.0,,,
1992-01-24,8.56,8.56,8.43,8.48,17056.0,,,
1992-01-25,8.46,8.51,8.44,8.48,9435.0,,,
1992-01-28,8.73,8.73,8.45,8.51,20523.0,,,
1992-01-29,8.61,8.61,8.45,8.45,10026.0,,,
1992-01-30,8.44,8.5,8.25,8.34,19613.0,,,
1992-01-31,8.5,8.56,8.38,8.51,20950.0,,,
1992-02-01,8.56,9.53,8.5,9.09,137727.0,,,
1992-02-04,9.38,10.18,9.32,9.76,248352.0,,,
1992-02-05,10.0,10.36,9.56,10.06,239095.0,,,
1992-02-06,10.74,12.0,10.55,10.89,1378598.0,,,
1992-02-07,11.19,11.39,9.88,9.98,413133.0,,,
1992-02-08,10.0,10.31,9.83,9.93,175847.0,,,
1992-02-11,10.3,11.0,10.13,10.28,288229.0,,,
1992-02-12,10.31,10.72,10.14,10.18,267627.0,,,
1992-02-13,10.03,10.38,9.94,10.01,230485.0,,,
1992-02-14,10.25,10.88,10.08,10.44,1248696.0,,,
1992-02-15,10.59,11.44,10.45,10.73,1634633.0,,,
1992-02-18,11.0,11.0,9.78,10.22,852756.0,,,
1992-02-19,10.47,10.5,10.03,10.12,324651.0,,,
1992-02-20,10.0,10.25,9.76,9.83,373675.0,,,
1992-02-21,10.09,10.11,9.69,9.76,220745.0,,,
1992-02-22,9.78,10.46,9.73,9.81,693280.0,,,
1992-02-25,9.94,9.98,9.2,9.26,402243.0,,,
1992-02-26,9.38,9.8,9.27,9.64,1070294.0,,,
1992-02-27,9.78,9.88,9.26,9.29,520060.0,,,
1992-02-28,9.75,9.75,8.59,8.82,595520.0,,,
1992-02-29,9.01,9.29,8.75,9.23,197643.0,,,
1992-03-03,9.48,9.61,9.28,9.36,160985.0,,,
1992-03-04,9.6,9.6,9.18,9.21,175150.0,,,
1992-03-05,9.3,9.3,8.94,9.01,159960.0,,,
1992-03-06,9.13,9.13,8.98,9.08,175513.0,,,
1992-03-07,9.24,9.25,8.91,8.94,175319.0,,,
1992-03-10,9.01,9.06,8.89,8.94,72672.0,,,
1992-03-11,9.01,9.38,8.89,9.08,429010.0,,,
1992-03-12,9.09,9.25,9.0,9.02,113581.0,,,
1992-03-13,9.16,9.44,8.98,9.38,416370.0,,,
1992-03-14,9.51,9.74,9.38,9.58,441102.0,,,
1992-03-17,9.63,9.93,9.5,9.62,375344.0,,,
1992-03-18,9.7,9.7,9.2,9.26,203290.0,,,
1992-03-19,9.36,9.41,9.11,9.36,217082.0,,,
1992-03-20,9.31,9.39,9.26,9.36,65945.0,,,
1992-03-21,9.38,9.41,9.28,9.36,129126.0,,,
1992-03-25,9.26,9.38,9.25,9.36,185169.0,,,
1992-03-26,9.38,9.88,9.31,9.53,207487.0,,,
1992-03-27,9.69,9.81,9.5,9.51,169524.0,,,
1992-03-31,9.68,10.92,9.63,10.51,1463802.0,,,
1992-04-01,10.62,11.24,10.56,10.64,1345012.0,,,
1992-04-02,10.66,10.94,10.5,10.68,574764.0,,,
1992-04-03,10.78,11.05,10.7,10.76,511570.0,,,
1992-04-04,10.88,11.48,10.64,11.09,1026200.0,,,
1992-04-07,11.36,11.86,11.22,11.33,1059935.0,,,
1992-04-08,11.54,11.55,10.64,10.73,622383.0,,,
1992-04-09,10.74,10.88,10.44,10.46,304834.0,,,
1992-04-10,10.59,11.06,10.51,10.73,438174.0,,,
1992-04-11,10.81,10.99,10.45,10.51,291509.0,,,
