date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,12.33,12.43,11.83,12.07,24309.0,,,
1993-09-07,12.33,12.61,12.2,12.52,20355.0,,,
1993-09-08,12.61,12.69,11.92,12.53,26493.0,,,
1993-09-09,12.25,12.57,11.92,12.31,20699.0,,,
1993-09-10,12.28,12.41,12.1,12.33,9622.0,,,
1993-09-11,12.32,12.41,12.0,12.14,7384.0,,,
1993-09-14,12.04,12.16,11.75,11.83,3030.0,,,
1993-09-15,11.69,11.92,10.93,11.78,7207.0,,,
1993-09-16,11.59,11.92,11.59,11.71,8289.0,,,
1993-09-17,11.71,11.75,10.86,11.68,6592.0,,,
1993-09-18,11.67,11.75,11.27,11.57,7515.0,,,
1993-09-21,11.59,11.92,11.59,11.75,4016.0,,,
1993-09-22,11.75,12.34,11.51,12.2,10490.0,,,
1993-09-23,12.17,12.32,12.0,12.06,5635.0,,,
1993-09-24,11.51,12.25,11.51,11.67,2729.0,,,
1993-09-25,11.55,11.87,11.51,11.57,4188.0,,,
1993-09-28,11.59,11.88,11.26,11.37,6302.0,,,
1993-09-29,11.78,11.78,11.34,11.42,2714.0,,,
1993-09-30,11.51,12.35,11.34,11.86,23991.0,,,
1993-10-02,12.33,12.53,12.25,12.35,34056.0,,,
1993-10-05,12.34,12.49,12.17,12.34,18420.0,,,
1993-10-06,12.34,12.53,12.34,12.48,18078.0,,,
1993-10-07,12.37,12.48,12.25,12.33,8424.0,,,
1993-10-08,12.33,12.48,12.27,12.35,12480.0,,,
1993-10-09,12.34,12.52,12.33,12.4,21374.0,,,
1993-10-12,12.34,12.53,12.34,12.39,19509.0,,,
1993-10-13,12.41,12.49,12.34,12.37,13989.0,,,
1993-10-14,12.0,12.44,12.0,12.4,21745.0,,,
1993-10-15,12.34,12.41,12.25,12.34,16920.0,,,
1993-10-16,12.25,12.41,12.08,12.22,10552.0,,,
1993-10-19,12.33,12.33,11.18,11.83,6585.0,,,
1993-10-20,11.51,12.16,11.51,11.71,7182.0,,,
1993-10-21,12.16,12.3,11.67,11.82,6551.0,,,
1993-10-22,12.29,12.33,11.78,11.88,8706.0,,,
1993-10-23,11.83,12.16,11.73,11.77,4526.0,,,
1993-10-24,11.75,12.16,11.73,11.8,2380.0,,,
1993-10-26,11.75,11.91,11.51,11.68,9874.0,,,
1993-10-27,11.75,11.92,11.71,11.78,15961.0,,,
1993-10-28,11.83,11.92,11.71,11.77,4987.0,,,
1993-10-29,11.92,11.92,11.63,11.83,6348.0,,,
1993-10-30,11.82,12.0,11.67,11.94,7978.0,,,
1993-11-02,11.67,12.56,11.42,12.5,31372.0,,,
1993-11-03,12.33,12.57,12.33,12.52,29355.0,,,
1993-11-04,12.53,12.61,12.19,12.54,14622.0,,,
1993-11-05,12.57,12.86,12.5,12.68,16399.0,,,
1993-11-06,12.66,12.74,12.29,12.36,9521.0,,,
1993-11-09,11.01,12.33,11.01,12.22,5306.0,,,
1993-11-10,12.04,12.33,12.04,12.23,9203.0,,,
1993-11-11,12.12,12.12,11.67,11.85,15307.0,,,
1993-11-12,12.08,12.08,11.67,11.78,7286.0,,,
1993-11-13,11.76,11.92,11.69,11.76,7830.0,,,
1993-11-14,11.79,11.83,11.51,11.75,7560.0,,,
1993-11-16,11.51,12.16,11.51,12.09,12885.0,,,
1993-11-17,12.31,12.31,11.89,11.97,8147.0,,,
1993-11-18,11.92,11.96,11.67,11.71,7043.0,,,
1993-11-19,11.83,12.33,11.7,12.16,10288.0,,,
1993-11-20,12.45,12.45,11.76,12.3,10507.0,,,
1993-11-23,12.09,12.33,11.97,12.11,4100.0,,,
1993-11-24,12.01,12.32,12.01,12.22,5361.0,,,
1993-11-26,12.25,12.31,12.17,12.23,3929.0,,,
1993-11-27,12.08,12.27,12.05,12.07,7659.0,,,
1993-11-30,12.31,12.39,11.92,11.99,92651.0,,,
1993-12-01,12.16,12.57,12.01,12.18,15788.0,,,
1993-12-02,12.2,12.32,12.16,12.25,6030.0,,,
1993-12-03,12.17,12.57,12.17,12.48,12669.0,,,
1993-12-04,12.95,13.48,12.41,13.41,47937.0,,,
1993-12-07,13.49,13.93,13.25,13.5,18842.0,,,
1993-12-08,13.48,13.97,13.35,13.5,8710.0,,,
1993-12-09,13.4,13.56,13.19,13.53,6739.0,,,
1993-12-10,13.56,13.64,12.9,13.26,12503.0,,,
1993-12-11,13.4,13.51,12.96,13.2,8741.0,,,
1993-12-14,13.67,13.67,12.98,13.28,14040.0,,,
1993-12-15,13.4,14.05,13.35,13.94,41294.0,,,
1993-12-16,14.46,14.46,13.81,13.85,16811.0,,,
1993-12-17,14.22,14.6,13.56,14.39,18012.0,,,
1993-12-18,14.59,14.59,14.02,14.39,14056.0,,,
1993-12-21,14.38,14.46,13.82,14.0,6907.0,,,
1993-12-22,14.3,14.3,13.81,13.89,8221.0,,,
1993-12-23,13.81,14.34,13.49,14.27,21211.0,,,
1993-12-25,14.18,14.71,14.18,14.3,10879.0,,,
1993-12-28,14.38,15.2,14.38,15.07,23955.0,,,
1993-12-29,14.79,15.04,14.48,14.88,14193.0,,,
1993-12-30,14.87,14.87,14.5,14.54,8499.0,,,
1993-12-31,14.79,14.81,14.5,14.51,4719.0,,,
1994-01-01,14.78,17.26,14.55,15.94,35997.0,,,
1994-01-04,16.44,17.09,15.78,16.06,28657.0,,,
1994-01-05,15.66,16.04,15.53,15.63,14131.0,,,
1994-01-06,15.49,15.57,14.71,14.78,19563.0,,,
1994-01-07,14.79,15.2,14.65,14.7,23430.0,,,
1994-01-08,14.55,15.43,14.27,14.39,12802.0,,,
1994-01-11,14.14,14.38,13.32,13.51,15289.0,,,
1994-01-12,13.56,13.97,12.98,13.17,18651.0,,,
1994-01-13,12.99,14.46,12.98,14.08,14788.0,,,
1994-01-14,14.14,14.38,13.32,13.52,8849.0,,,
1994-01-15,13.97,14.75,13.97,14.56,30155.0,,,
1994-01-18,14.63,14.87,14.38,14.56,12360.0,,,
1994-01-19,14.7,14.71,13.97,14.21,9479.0,,,
1994-01-20,14.14,14.55,13.27,13.58,10048.0,,,
1994-01-21,13.65,13.97,12.61,12.85,6835.0,,,
1994-01-22,12.61,13.72,12.61,13.24,4299.0,,,
1994-01-26,13.27,14.71,13.24,14.14,7384.0,,,
1994-01-27,14.22,14.38,13.81,13.94,8640.0,,,
1994-01-28,13.65,14.38,13.65,13.99,11303.0,,,
1994-01-29,14.05,14.34,13.76,14.18,8632.0,,,
1994-02-02,14.37,14.55,13.97,14.17,11762.0,,,
1994-02-03,14.3,14.79,14.16,14.67,12186.0,,,
1994-02-04,14.71,14.96,14.55,14.91,9587.0,,,
1994-02-05,14.79,16.03,14.79,15.94,32479.0,,,
1994-02-08,15.18,16.85,15.18,16.62,37041.0,,,
1994-02-09,16.27,16.68,16.23,16.57,33110.0,,,
1994-02-10,15.12,16.47,15.12,16.4,13344.0,,,
1994-02-11,16.35,16.48,16.03,16.37,24870.0,,,
1994-02-12,16.27,16.41,15.62,16.12,8127.0,,,
1994-02-15,15.7,16.19,15.7,15.78,7400.0,,,
1994-02-16,15.47,15.96,15.46,15.64,9704.0,,,
1994-02-17,15.51,15.6,14.77,14.84,7393.0,,,
1994-02-18,15.04,15.04,14.63,14.72,6760.0,,,
1994-02-19,14.87,15.04,14.77,14.79,10605.0,,,
1994-02-22,14.77,15.01,14.77,14.81,2755.0,,,
1994-02-23,15.36,15.36,14.96,15.08,2760.0,,,
1994-02-24,15.61,15.61,14.88,15.07,2196.0,,,
1994-02-25,15.2,15.37,15.2,15.3,5257.0,,,
1994-02-26,15.05,15.61,15.05,15.45,4792.0,,,
1994-03-01,15.53,15.7,15.45,15.47,27017.0,,,
1994-03-03,15.53,15.61,14.97,15.12,6692.0,,,
1994-03-04,15.09,15.12,14.63,14.8,11500.0,,,
1994-03-05,14.63,15.04,14.63,15.03,2275.0,,,
1994-03-08,15.13,15.22,15.04,15.14,22384.0,,,
1994-03-09,14.84,15.22,14.8,15.2,3870.0,,,
1994-03-10,14.38,15.08,14.38,14.95,17341.0,,,
1994-03-11,14.79,15.04,14.79,14.99,6981.0,,,
1994-03-12,14.87,14.96,13.97,14.79,25646.0,,,
1994-03-15,14.79,14.92,14.39,14.55,36349.0,,,
1994-03-16,14.07,14.63,14.07,14.52,14282.0,,,
1994-03-17,14.53,14.71,13.65,13.9,14501.0,,,
1994-03-18,13.81,13.97,13.56,13.7,2456.0,,,
1994-03-19,13.56,13.56,13.03,13.17,16955.0,,,
1994-03-22,13.31,13.31,12.58,12.68,4986.0,,,
1994-03-23,12.55,13.06,12.17,12.3,7715.0,,,
1994-03-24,12.32,12.32,12.0,12.1,2650.0,,,
1994-03-25,11.99,12.1,11.51,11.72,31495.0,,,
1994-03-26,11.67,12.33,11.59,12.15,9141.0,,,
1994-03-29,12.16,13.55,12.08,12.27,5825.0,,,
1994-03-30,12.74,13.07,12.57,12.95,6274.0,,,
1994-03-31,13.13,13.56,12.95,13.51,12529.0,,,
1994-04-01,13.4,14.3,13.4,14.11,4976.0,,,
1994-04-02,13.89,14.01,13.64,13.88,5066.0,,,
1994-04-05,13.73,13.97,13.56,13.6,2526.0,,,
1994-04-06,13.56,13.81,12.61,13.15,1389.0,,,
1994-04-07,12.66,13.23,12.66,13.02,1319.0,,,
1994-04-08,13.14,13.27,12.95,13.01,4225.0,,,
1994-04-12,13.19,14.14,13.07,14.01,7808.0,,,
1994-04-13,14.06,14.38,13.81,14.19,5297.0,,,
1994-04-15,13.99,14.38,13.97,13.97,3737.0,,,
1994-04-16,13.97,14.14,13.89,13.96,2833.0,,,
1994-04-17,13.89,14.12,13.82,13.91,1314.0,,,
1994-04-19,13.97,14.29,13.85,13.94,2786.0,,,
1994-04-20,13.97,13.97,13.81,13.88,4831.0,,,
1994-04-21,13.89,14.05,13.81,13.91,4413.0,,,
1994-04-22,13.89,13.97,13.81,13.85,10461.0,,,
1994-04-23,13.85,15.2,13.84,14.93,20405.0,,,
1994-04-27,15.16,16.44,14.46,14.67,14554.0,,,
1994-04-28,14.79,15.12,14.3,14.61,10795.0,,,
1994-04-29,14.38,15.17,14.38,14.86,5421.0,,,
1994-04-30,15.03,15.2,14.92,15.15,9826.0,,,
1994-05-03,15.2,15.61,15.12,15.54,18054.0,,,
1994-05-04,15.23,16.17,15.22,16.04,13150.0,,,
1994-05-05,16.02,16.4,16.02,16.28,22904.0,,,
1994-05-06,16.11,16.53,15.95,16.37,27038.0,,,
1994-05-07,16.44,16.6,16.29,16.51,14865.0,,,
1994-05-10,16.35,17.01,16.23,16.57,15992.0,,,
1994-05-11,16.31,16.42,15.61,16.05,34404.0,,,
1994-05-12,15.7,16.6,15.7,16.4,19018.0,,,
1994-05-13,15.12,16.52,15.12,16.4,8874.0,,,
1994-05-14,16.35,16.4,15.71,16.28,20428.0,,,
1994-05-17,15.61,15.77,15.04,15.51,14748.0,,,
1994-05-18,15.2,16.15,15.2,16.0,62641.0,,,
1994-05-19,16.03,16.76,16.03,16.7,25459.0,,,
1994-05-20,16.81,17.09,16.44,16.72,7510.0,,,
1994-05-21,16.56,16.56,16.36,16.44,3509.0,,,
1994-05-24,16.44,16.76,16.27,16.35,11326.0,,,
1994-05-25,16.27,16.52,16.27,16.4,2855.0,,,
1994-05-26,16.46,16.93,16.46,16.81,7065.0,,,
1994-05-27,16.48,17.42,16.44,17.23,12581.0,,,
1994-05-28,16.77,17.09,16.27,16.59,9577.0,,,
1994-05-31,16.6,16.85,16.27,16.74,6415.0,,,
1994-06-01,16.28,16.53,15.61,16.32,7170.0,,,
1994-06-02,16.23,16.4,15.76,16.19,12275.0,,,
1994-06-03,16.27,16.35,16.03,16.18,1697.0,,,
1994-06-04,17.09,17.09,16.03,16.22,3918.0,,,
1994-06-07,16.11,16.35,16.05,16.17,3907.0,,,
1994-06-08,16.11,16.4,16.07,16.35,9800.0,,,
1994-06-09,16.4,16.44,16.25,16.28,6487.0,,,
1994-06-10,16.27,16.44,16.26,16.4,3221.0,,,
1994-06-11,16.44,16.44,16.14,16.27,3349.0,,,
1994-06-14,16.28,16.35,16.11,16.35,4155.0,,,
1994-06-15,16.35,16.44,16.15,16.34,3981.0,,,
1994-06-16,16.32,16.43,16.28,16.4,3068.0,,,
1994-06-17,16.28,16.4,16.13,16.15,2592.0,,,
1994-06-18,16.27,16.44,16.23,16.31,5176.0,,,
1994-06-21,16.28,16.51,16.13,16.35,3731.0,,,
1994-06-22,16.35,16.52,16.23,16.41,4140.0,,,
1994-06-23,16.28,16.51,16.27,16.39,4756.0,,,
1994-06-24,16.3,16.44,16.3,16.4,4826.0,,,
1994-06-25,16.31,16.4,16.07,16.4,2163.0,,,
1994-06-28,16.35,16.43,16.29,16.4,3102.0,,,
1994-06-29,16.31,16.44,16.31,16.4,1972.0,,,
1994-06-30,16.44,16.44,16.35,16.4,1709.0,,,
1994-07-01,16.28,16.41,16.05,16.13,548.0,,,
1994-07-02,16.15,16.27,16.06,16.2,1051.0,,,
1994-07-05,16.11,16.11,15.86,15.93,16190.0,,,
1994-07-06,16.27,16.27,15.87,15.94,6912.0,,,
1994-07-07,16.44,16.44,15.91,16.03,12763.0,,,
1994-07-08,16.26,16.26,15.61,15.8,2324.0,,,
1994-07-09,15.62,16.15,15.61,15.93,1743.0,,,
1994-07-12,16.44,16.44,15.87,16.1,3897.0,,,
1994-07-13,16.42,16.42,16.13,16.29,840.0,,,
1994-07-14,16.44,16.44,16.11,16.2,4869.0,,,
1994-07-15,16.44,16.44,16.08,16.19,1818.0,,,
1994-07-16,16.44,16.44,15.94,16.12,2087.0,,,
1994-07-19,16.42,16.42,16.19,16.3,2738.0,,,
1994-07-20,16.44,16.44,16.16,16.32,4767.0,,,
1994-07-21,16.35,16.43,16.23,16.4,5810.0,,,
1994-07-22,16.48,16.48,16.31,16.36,15718.0,,,
1994-07-23,16.42,16.6,16.28,16.49,5485.0,,,
1994-07-26,16.35,16.6,16.35,16.45,4752.0,,,
1994-07-27,16.28,16.53,16.28,16.48,1972.0,,,
1994-07-28,16.51,16.51,16.35,16.37,2991.0,,,
1994-07-29,16.44,16.44,16.27,16.35,15736.0,,,
1994-07-30,16.4,16.4,16.27,16.32,8081.0,,,
1994-08-02,16.43,16.44,16.28,16.37,1947.0,,,
1994-08-03,16.44,16.6,16.4,16.4,3374.0,,,
1994-08-04,16.44,16.56,16.32,16.45,16254.0,,,
1994-08-05,16.28,16.6,16.28,16.47,3030.0,,,
1994-08-06,16.35,16.76,16.35,16.6,3785.0,,,
1994-08-09,16.68,17.6,16.68,16.89,5597.0,,,
1994-08-10,17.01,17.39,16.93,17.05,5292.0,,,
1994-08-11,17.67,17.67,17.05,17.11,1980.0,,,
1994-08-12,17.07,17.34,16.94,17.02,3771.0,,,
1994-08-13,17.09,17.22,16.94,17.03,3802.0,,,
1994-08-16,17.09,17.23,17.05,17.14,1451.0,,,
1994-08-17,17.75,17.75,17.05,17.08,2588.0,,,
1994-08-18,17.09,17.18,17.05,17.05,1691.0,,,
1994-08-19,17.18,17.34,17.05,17.31,4873.0,,,
1994-08-20,17.06,17.34,17.05,17.07,3645.0,,,
1994-08-23,16.53,17.23,16.53,17.03,20651.0,,,
1994-08-24,17.01,17.42,16.93,17.33,4466.0,,,
1994-08-25,16.85,17.34,16.85,17.12,3679.0,,,
1994-08-26,16.93,17.34,16.93,17.27,1946.0,,,
1994-08-27,17.3,17.5,17.26,17.44,5075.0,,,
1994-08-30,17.34,17.75,17.34,17.62,6267.0,,,
1994-08-31,18.41,18.41,17.5,17.84,4306.0,,,
1994-09-01,17.92,18.0,17.52,17.92,3024.0,,,
1994-09-02,18.0,18.08,17.59,17.65,3396.0,,,
1994-09-03,18.08,18.08,17.42,17.83,2463.0,,,
1994-09-06,17.67,17.83,17.35,17.47,2581.0,,,
1994-09-07,17.26,17.75,17.26,17.41,16943.0,,,
1994-09-08,17.58,17.58,17.1,17.13,1574.0,,,
1994-09-09,18.0,18.0,16.44,17.01,3135.0,,,
1994-09-10,17.05,17.25,17.02,17.12,633.0,,,
1994-09-13,17.18,17.42,16.54,16.95,2927.0,,,
1994-09-14,16.94,17.07,16.64,17.04,3411.0,,,
1994-09-15,17.18,17.18,16.85,17.09,2111.0,,,
1994-09-16,17.24,17.24,16.85,16.97,3091.0,,,
1994-09-17,17.05,17.26,16.76,17.2,6313.0,,,
1994-09-20,16.85,17.65,16.77,17.34,19974.0,,,
1994-09-21,17.57,17.57,16.98,17.04,1587.0,,,
1994-09-22,16.28,17.16,16.28,17.07,5175.0,,,
1994-09-23,16.85,17.26,16.85,17.05,4602.0,,,
1994-09-24,16.77,17.17,16.77,17.05,3953.0,,,
1994-09-27,17.34,17.35,16.61,17.05,7682.0,,,
1994-09-28,17.26,17.26,16.85,17.05,3694.0,,,
1994-09-29,17.05,17.09,16.86,16.9,2273.0,,,
1994-09-30,16.91,18.9,16.91,18.27,24035.0,,,
1994-10-01,18.1,18.49,17.5,17.7,9260.0,,,
1994-10-04,18.16,18.16,17.1,17.2,5265.0,,,
1994-10-05,17.3,17.67,17.02,17.16,7595.0,,,
1994-10-06,17.26,18.04,17.09,17.23,7679.0,,,
1994-10-07,18.08,18.08,17.26,17.37,8597.0,,,
1994-10-08,17.27,17.59,17.27,17.35,3166.0,,,
1994-10-09,17.18,18.0,17.18,17.36,2077.0,,,
1994-10-11,17.35,17.59,17.35,17.42,4592.0,,,
1994-10-12,17.5,17.63,17.34,17.51,5717.0,,,
1994-10-14,17.55,17.59,17.18,17.32,7629.0,,,
1994-10-15,17.5,17.5,17.11,17.2,1040.0,,,
1994-10-18,16.49,17.5,16.44,17.35,6671.0,,,
1994-10-19,17.42,17.59,17.26,17.36,2062.0,,,
1994-10-20,17.38,17.59,17.34,17.34,4194.0,,,
1994-10-21,17.34,17.53,17.26,17.45,1955.0,,,
1994-10-25,16.52,17.5,16.52,17.34,5441.0,,,
1994-10-26,17.26,17.5,17.26,17.39,3530.0,,,
1994-10-27,17.26,18.08,17.26,17.89,6235.0,,,
1994-10-28,17.96,18.74,17.67,18.37,9011.0,,,
1994-10-29,17.88,18.49,17.87,18.31,4421.0,,,
1994-11-01,18.08,18.63,18.08,18.55,3668.0,,,
1994-11-02,18.33,20.13,18.33,19.65,13361.0,,,
1994-11-03,19.39,20.16,19.32,19.95,12458.0,,,
1994-11-04,19.07,20.55,19.07,20.37,10559.0,,,
1994-11-05,20.13,20.63,20.13,20.48,31663.0,,,
1994-11-08,20.39,20.79,20.13,20.31,18817.0,,,
1994-11-09,20.3,20.88,20.3,20.73,6330.0,,,
1994-11-10,20.79,20.79,19.57,19.9,11967.0,,,
1994-11-11,19.89,20.44,19.72,19.9,4356.0,,,
1994-11-12,19.72,21.12,18.9,20.56,4860.0,,,
1994-11-16,20.17,20.52,19.89,20.07,6334.0,,,
1994-11-17,20.13,20.13,19.87,19.89,53425.0,,,
1994-11-18,20.13,20.13,19.48,19.66,3447.0,,,
1994-11-19,19.89,20.13,19.4,19.83,3690.0,,,
1994-11-22,19.72,19.72,19.31,19.58,4379.0,,,
1994-11-23,19.44,19.72,19.44,19.5,2019.0,,,
1994-11-24,19.72,20.71,19.4,20.37,13470.0,,,
1994-11-25,20.13,20.42,20.1,20.25,5541.0,,,
1994-11-29,19.81,20.21,19.81,20.13,8666.0,,,
1994-11-30,20.13,20.22,19.56,20.1,5177.0,,,
1994-12-01,19.07,20.34,18.75,20.16,5413.0,,,
1994-12-02,20.13,20.38,19.97,20.17,14914.0,,,
1994-12-03,20.3,20.38,19.79,20.17,19912.0,,,
1994-12-06,19.4,20.3,19.4,20.19,7794.0,,,
1994-12-07,19.77,20.71,19.77,20.18,33573.0,,,
1994-12-08,20.14,20.55,20.13,20.28,5232.0,,,
1994-12-09,20.18,20.55,20.13,20.4,6292.0,,,
1994-12-10,20.3,20.53,20.13,20.23,17784.0,,,
1994-12-13,20.3,20.45,20.13,20.27,12063.0,,,
1994-12-14,20.22,20.63,20.22,20.5,6257.0,,,
1994-12-15,20.55,21.04,20.41,20.55,7392.0,,,
1994-12-16,20.87,21.12,20.87,21.06,9345.0,,,
1994-12-17,21.04,21.28,20.91,20.96,6108.0,,,
1994-12-20,20.96,21.28,20.96,21.16,7359.0,,,
1994-12-21,21.05,21.7,21.05,21.48,7955.0,,,
1994-12-22,21.37,22.68,21.37,22.23,9072.0,,,
1994-12-23,23.75,23.75,22.68,23.34,12334.0,,,
1994-12-24,23.34,24.49,23.34,24.32,12312.0,,,
1994-12-27,24.08,24.82,24.08,24.61,8086.0,,,
1994-12-28,24.57,25.48,24.57,25.37,8485.0,,,
1994-12-29,25.89,26.38,23.46,24.87,14311.0,,,
1994-12-30,25.01,25.31,23.83,24.03,17249.0,,,
1994-12-31,23.96,24.78,23.96,24.59,27424.0,,,
1995-01-03,24.78,26.34,24.74,25.5,17607.0,,,
1995-01-04,25.15,26.11,24.16,24.35,12653.0,,,
1995-01-05,24.24,24.66,23.42,23.94,9150.0,,,
1995-01-06,23.5,24.24,23.26,23.88,6189.0,,,
1995-01-07,23.84,24.24,22.6,23.35,10218.0,,,
1995-01-10,24.16,24.19,23.18,23.63,41536.0,,,
1995-01-11,23.42,23.59,22.02,23.14,3549.0,,,
1995-01-12,23.67,23.67,22.47,23.17,6752.0,,,
1995-01-13,23.26,23.75,23.18,23.35,1980.0,,,
1995-01-14,22.6,23.42,22.6,23.27,3785.0,,,
1995-01-17,23.78,23.78,23.01,23.23,4497.0,,,
1995-01-18,23.5,23.5,22.93,23.16,3702.0,,,
1995-01-19,23.63,23.67,23.01,23.45,4180.0,,,
1995-01-20,23.09,23.83,22.41,23.23,21675.0,,,
1995-01-24,24.16,27.81,23.75,23.78,6781.0,,,
1995-01-25,23.83,24.49,23.46,23.5,4622.0,,,
1995-01-27,24.47,24.47,23.18,23.38,3001.0,,,
1995-01-28,23.42,23.66,22.81,23.17,5622.0,,,
1995-01-31,23.01,23.42,22.64,22.95,5552.0,,,
1995-02-01,22.19,23.42,22.19,22.9,6023.0,,,
1995-02-02,23.26,23.41,22.7,22.92,15158.0,,,
1995-02-03,23.34,23.38,22.77,23.0,25933.0,,,
1995-02-04,23.01,23.09,22.85,22.98,10855.0,,,
1995-02-07,23.01,23.42,22.85,23.01,27651.0,,,
1995-02-08,23.01,23.01,22.78,22.9,5913.0,,,
1995-02-09,22.28,23.09,22.28,22.9,5312.0,,,
1995-02-10,23.01,23.01,22.61,22.8,5701.0,,,
1995-02-11,22.62,23.01,22.61,22.91,4358.0,,,
1995-02-14,22.93,23.18,22.35,22.59,36465.0,,,
1995-02-15,22.6,22.71,22.2,22.3,1767.0,,,
1995-02-16,22.6,22.76,22.02,22.2,3763.0,,,
1995-02-17,21.6,22.19,21.6,21.93,2953.0,,,
1995-02-18,22.32,22.83,20.96,22.47,3157.0,,,
1995-02-21,22.19,23.01,22.19,22.54,3942.0,,,
1995-02-22,22.2,22.84,22.2,22.47,12117.0,,,
1995-02-23,22.56,22.67,22.35,22.43,2283.0,,,
1995-02-24,21.62,22.55,21.62,22.31,2912.0,,,
1995-02-25,22.56,22.56,21.87,22.28,3668.0,,,
1995-02-28,23.0,23.0,22.25,22.69,4161.0,,,
1995-03-01,22.89,23.18,22.7,23.08,7871.0,,,
1995-03-02,23.01,23.18,22.85,23.01,35718.0,,,
1995-03-03,22.85,23.09,22.81,23.01,2586.0,,,
1995-03-04,23.09,23.45,22.97,23.34,3610.0,,,
1995-03-07,23.34,23.82,22.81,23.01,5062.0,,,
1995-03-08,23.18,23.7,23.18,23.63,18557.0,,,
1995-03-09,23.42,24.0,23.42,23.81,6035.0,,,
1995-03-10,23.83,24.08,23.43,24.0,2498.0,,,
1995-03-11,23.84,24.0,23.83,23.83,2907.0,,,
1995-03-14,23.83,23.87,23.27,23.84,3550.0,,,
1995-03-15,23.83,23.91,23.42,23.83,12730.0,,,
1995-03-16,23.83,23.94,23.52,23.83,1996.0,,,
1995-03-17,23.83,24.24,23.83,23.87,5284.0,,,
1995-03-18,23.83,24.0,23.59,23.91,4047.0,,,
1995-03-21,23.89,24.24,23.83,23.95,5633.0,,,
1995-03-22,23.83,24.16,23.63,23.84,27413.0,,,
1995-03-23,23.83,24.37,23.83,24.16,8131.0,,,
1995-03-24,23.87,24.49,23.87,24.14,7115.0,,,
1995-03-28,24.24,25.22,24.24,24.81,6331.0,,,
1995-03-29,25.07,25.56,24.57,25.07,9200.0,,,
1995-03-30,24.82,25.31,24.78,25.11,3914.0,,,
1995-03-31,25.07,25.56,25.07,25.48,4081.0,,,
1995-04-01,25.56,26.05,25.48,25.9,18501.0,,,
1995-04-04,25.97,26.13,25.57,25.94,8591.0,,,
1995-04-05,25.5,25.89,25.5,25.83,2667.0,,,
1995-04-06,25.34,25.48,24.83,25.07,1970.0,,,
1995-04-07,24.73,25.07,23.87,24.28,7671.0,,,
1995-04-08,24.0,24.48,23.83,24.06,14767.0,,,
1995-04-11,23.91,24.24,23.87,24.08,1681.0,,,
1995-04-12,22.55,24.65,22.55,24.03,1780.0,,,
1995-04-13,23.54,24.07,23.42,23.78,2413.0,,,
1995-04-15,23.11,23.66,22.68,22.75,1673.0,,,
1995-04-18,21.89,24.0,21.89,23.03,1124.0,,,
1995-04-19,23.01,23.34,22.01,22.75,1833.0,,,
1995-04-20,22.68,23.01,22.36,22.83,1057.0,,,
1995-04-21,22.19,23.01,22.19,22.92,1275.0,,,
