date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,101.13,101.77,99.49,100.97,354012.0,,,
1993-09-07,101.31,103.75,101.31,103.39,319545.0,,,
1993-09-08,103.09,105.79,100.65,103.47,281816.0,,,
1993-09-09,103.09,105.3,102.52,104.37,255990.0,,,
1993-09-10,104.72,105.06,103.44,103.92,134948.0,,,
1993-09-11,104.09,104.89,100.65,100.88,166761.0,,,
1993-09-14,100.15,101.29,98.36,99.74,166639.0,,,
1993-09-15,99.0,102.11,95.91,100.67,351102.0,,,
1993-09-16,102.28,102.28,95.89,97.5,162147.0,,,
1993-09-17,97.37,97.37,92.46,93.68,346851.0,,,
1993-09-18,95.32,97.86,92.96,96.59,278965.0,,,
1993-09-21,97.37,98.02,95.24,96.36,159130.0,,,
1993-09-22,91.64,99.15,91.64,98.67,226801.0,,,
1993-09-23,97.37,103.63,95.25,102.71,350823.0,,,
1993-09-24,101.62,103.18,100.67,101.3,170539.0,,,
1993-09-25,100.8,105.14,100.8,104.69,271339.0,,,
1993-09-28,104.08,108.82,104.08,108.07,343882.0,,,
1993-09-29,108.74,110.09,107.1,109.03,297098.0,,,
1993-09-30,108.17,109.48,106.04,107.99,95142.0,,,
1993-10-02,106.69,109.31,106.69,108.51,125878.0,,,
1993-10-05,108.82,113.21,108.82,111.29,318586.0,,,
1993-10-06,111.93,113.57,109.97,111.4,236217.0,,,
1993-10-07,113.06,114.55,111.28,111.93,175048.0,,,
1993-10-08,112.58,120.6,111.6,118.63,430955.0,,,
1993-10-09,119.95,119.95,115.63,116.27,300669.0,,,
1993-10-12,116.84,118.64,115.37,117.7,377243.0,,,
1993-10-13,118.61,121.54,116.36,117.82,581474.0,,,
1993-10-14,116.18,119.44,116.18,118.72,384619.0,,,
1993-10-15,121.91,135.82,119.02,124.1,494855.0,,,
1993-10-16,124.04,130.0,122.74,128.46,662452.0,,,
1993-10-19,129.77,129.77,121.45,123.37,343062.0,,,
1993-10-20,125.18,127.85,121.42,122.68,511446.0,,,
1993-10-21,127.97,127.97,118.66,119.36,370400.0,,,
1993-10-22,117.82,121.26,113.39,114.47,585271.0,,,
1993-10-23,116.18,120.59,114.88,120.25,606297.0,,,
1993-10-24,126.82,126.82,121.27,123.8,128336.0,,,
1993-10-26,123.55,126.79,121.97,122.89,338691.0,,,
1993-10-27,123.38,125.18,121.09,123.2,352175.0,,,
1993-10-28,124.37,129.93,123.73,128.75,539716.0,,,
1993-10-29,128.88,132.53,126.92,131.41,509224.0,,,
1993-10-30,130.26,142.04,130.26,139.85,695224.0,,,
1993-11-02,141.06,145.48,138.36,144.36,385735.0,,,
1993-11-03,145.48,153.66,140.57,151.46,632988.0,,,
1993-11-04,150.55,153.0,146.16,148.21,494651.0,,,
1993-11-05,147.77,150.2,143.19,145.97,339919.0,,,
1993-11-06,145.64,148.91,143.35,145.84,316631.0,,,
1993-11-09,145.64,151.19,142.61,149.38,210794.0,,,
1993-11-10,148.91,155.54,148.91,154.42,523682.0,,,
1993-11-11,154.48,156.55,148.42,150.27,311803.0,,,
1993-11-12,150.55,154.48,149.4,152.05,646095.0,,,
1993-11-13,150.71,152.19,144.85,146.32,292160.0,,,
1993-11-14,144.49,150.22,144.49,148.71,90088.0,,,
1993-11-16,148.59,150.34,146.87,148.53,256165.0,,,
1993-11-17,147.28,150.06,140.74,142.33,756246.0,,,
1993-11-18,141.88,142.37,134.68,137.59,815161.0,,,
1993-11-19,138.88,141.22,135.0,136.31,434115.0,,,
1993-11-20,135.82,140.55,135.49,139.3,383763.0,,,
1993-11-23,141.53,141.53,136.72,140.01,246746.0,,,
1993-11-24,141.55,143.99,139.13,143.26,288718.0,,,
1993-11-26,145.31,146.46,143.4,145.35,336053.0,,,
1993-11-27,142.4,148.09,142.4,147.15,207816.0,,,
1993-11-30,148.91,150.06,146.51,149.36,282118.0,,,
1993-12-01,149.24,152.17,148.1,150.84,219066.0,,,
1993-12-02,150.9,151.85,145.67,146.68,144092.0,,,
1993-12-03,147.28,148.42,143.68,144.68,193829.0,,,
1993-12-04,147.06,148.09,141.31,142.01,271146.0,,,
1993-12-07,142.04,146.41,140.89,142.6,196293.0,,,
1993-12-08,143.05,147.28,142.86,147.05,207134.0,,,
1993-12-09,146.95,149.73,144.02,148.23,299607.0,,,
1993-12-10,149.65,151.37,147.28,148.41,293522.0,,,
1993-12-11,148.09,151.2,147.95,150.02,248765.0,,,
1993-12-14,151.37,156.44,150.89,155.79,429517.0,,,
1993-12-15,156.28,156.93,152.19,154.45,259890.0,,,
1993-12-16,155.13,155.13,148.91,152.46,497633.0,,,
1993-12-17,152.68,156.11,150.71,155.27,218475.0,,,
1993-12-18,156.77,161.19,155.79,159.92,450305.0,,,
1993-12-21,160.37,163.48,159.88,162.42,273302.0,,,
1993-12-22,162.99,163.31,158.73,159.82,128706.0,,,
1993-12-23,160.04,162.0,159.14,160.57,141229.0,,,
1993-12-25,162.0,167.57,160.86,166.32,279769.0,,,
1993-12-28,167.73,168.35,165.44,166.13,116106.0,,,
1993-12-29,166.59,169.79,164.46,166.04,222091.0,,,
1993-12-30,165.93,167.57,162.02,164.28,137706.0,,,
1993-12-31,166.9,168.57,164.47,165.98,109733.0,,,
1994-01-01,165.6,174.11,165.6,172.2,272371.0,,,
1994-01-04,174.93,175.09,166.95,169.04,240129.0,,,
1994-01-05,170.51,173.44,162.21,164.82,290855.0,,,
1994-01-06,163.64,173.29,160.37,171.36,319513.0,,,
1994-01-07,171.86,184.1,171.86,182.87,452059.0,,,
1994-01-08,187.01,192.6,182.29,188.82,517506.0,,,
1994-01-11,188.43,189.82,181.98,185.02,256871.0,,,
1994-01-12,183.44,192.28,182.49,190.61,231957.0,,,
