date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,2.31,2.38,2.14,2.24,94459.0,,,
1993-09-07,2.28,2.4,2.28,2.34,192855.0,,,
1993-09-08,2.37,2.4,2.28,2.3,149621.0,,,
1993-09-09,2.31,2.34,2.28,2.3,110756.0,,,
1993-09-10,2.31,2.35,2.28,2.31,89151.0,,,
1993-09-11,2.33,2.34,2.23,2.25,69173.0,,,
1993-09-14,2.31,2.31,2.19,2.21,51817.0,,,
1993-09-15,2.26,2.33,2.21,2.25,67810.0,,,
1993-09-16,2.28,2.31,2.24,2.27,67887.0,,,
1993-09-17,2.28,2.29,2.23,2.24,40142.0,,,
1993-09-18,2.24,2.31,2.21,2.23,45802.0,,,
1993-09-21,2.29,2.46,2.29,2.4,151305.0,,,
1993-09-22,2.38,2.44,2.36,2.42,88138.0,,,
1993-09-23,2.45,2.52,2.39,2.42,96275.0,,,
1993-09-24,2.43,2.43,2.37,2.38,58324.0,,,
1993-09-25,2.39,2.39,2.36,2.36,38914.0,,,
1993-09-28,2.38,2.56,2.36,2.49,84929.0,,,
1993-09-29,2.54,2.57,2.5,2.52,84648.0,,,
1993-09-30,2.54,2.56,2.49,2.51,46834.0,,,
1993-10-02,2.53,2.56,2.52,2.53,51236.0,,,
1993-10-05,2.56,2.73,2.54,2.69,176103.0,,,
1993-10-06,2.73,2.83,2.68,2.72,209502.0,,,
1993-10-07,2.75,2.83,2.73,2.81,109287.0,,,
1993-10-08,2.81,3.09,2.81,2.94,122386.0,,,
1993-10-09,3.0,3.03,2.93,2.96,151388.0,,,
1993-10-12,2.99,3.05,2.93,2.95,74309.0,,,
1993-10-13,2.98,2.98,2.77,2.78,79777.0,,,
1993-10-14,2.85,2.92,2.73,2.82,45529.0,,,
1993-10-15,2.84,2.93,2.81,2.85,87809.0,,,
1993-10-16,2.86,2.9,2.84,2.85,48765.0,,,
1993-10-19,2.88,2.88,2.5,2.72,46779.0,,,
1993-10-20,2.76,2.87,2.69,2.7,106657.0,,,
1993-10-21,2.76,2.88,2.68,2.7,131834.0,,,
1993-10-22,2.74,2.74,2.63,2.65,57779.0,,,
1993-10-23,2.65,2.71,2.63,2.66,112411.0,,,
1993-10-24,2.84,2.84,2.69,2.74,29687.0,,,
1993-10-26,2.75,2.76,2.59,2.62,47239.0,,,
1993-10-27,2.63,2.67,2.5,2.54,43471.0,,,
1993-10-28,2.59,2.63,2.55,2.59,36303.0,,,
