date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,27.13,27.13,25.91,26.5,2217883.0,,,
1993-09-07,26.69,28.13,26.53,27.94,2748181.0,,,
1993-09-08,28.55,28.59,26.63,27.01,2291370.0,,,
1993-09-09,27.06,27.06,25.9,26.66,1662058.0,,,
1993-09-10,26.46,26.86,25.88,26.4,2419253.0,,,
1993-09-11,26.63,26.85,24.25,24.85,2243538.0,,,
1993-09-14,24.81,24.81,20.02,20.34,7860188.0,,,
1993-09-15,20.63,20.97,19.0,20.42,5149398.0,,,
1993-09-16,20.5,21.88,20.5,20.84,3688828.0,,,
1993-09-17,21.25,21.25,19.96,20.13,1858677.0,,,
1993-09-18,20.38,21.09,20.15,20.66,2469166.0,,,
1993-09-21,21.12,21.23,20.04,20.14,1237187.0,,,
1993-09-22,20.25,20.34,19.28,19.81,2447194.0,,,
1993-09-23,20.5,20.7,19.75,20.59,2814750.0,,,
1993-09-24,20.35,20.49,20.0,20.11,2492182.0,,,
1993-09-25,20.22,21.24,20.14,21.13,2548939.0,,,
1993-09-28,21.44,21.74,20.9,21.3,2006857.0,,,
1993-09-29,21.68,22.03,21.34,21.57,1514967.0,,,
1993-09-30,21.39,22.44,21.28,22.18,2211826.0,,,
1993-10-02,22.25,22.8,21.78,22.26,2213688.0,,,
1993-10-05,22.34,23.34,22.34,23.19,1730430.0,,,
1993-10-06,23.48,23.48,22.56,22.78,1548959.0,,,
1993-10-07,22.52,23.43,22.48,23.09,2072039.0,,,
1993-10-08,23.37,23.88,23.26,23.51,1920613.0,,,
1993-10-09,24.26,25.88,23.91,24.34,2175012.0,,,
1993-10-12,24.5,24.93,24.01,24.25,1853023.0,,,
1993-10-13,24.31,26.03,24.09,25.41,4731335.0,,,
1993-10-14,25.75,25.75,24.46,25.29,1876337.0,,,
1993-10-15,25.31,25.63,24.26,24.48,1593743.0,,,
1993-10-16,24.75,25.8,24.63,25.69,2517798.0,,,
1993-10-19,25.6,25.86,25.01,25.28,1500993.0,,,
1993-10-20,25.26,25.63,24.38,24.78,1188517.0,,,
1993-10-21,25.0,25.25,24.19,24.73,1308894.0,,,
1993-10-22,24.56,25.11,24.31,24.64,1158705.0,,,
1993-10-23,24.74,25.38,24.01,25.27,973528.0,,,
1993-10-24,25.63,25.63,25.06,25.17,307471.0,,,
1993-10-26,25.13,25.18,23.89,24.06,470251.0,,,
1993-10-27,24.38,24.38,23.75,24.03,729974.0,,,
1993-10-28,24.42,24.69,24.28,24.47,716051.0,,,
1993-10-29,24.53,26.0,24.31,25.71,2917204.0,,,
1993-10-30,25.99,27.35,25.88,27.12,2737884.0,,,
1993-11-02,27.48,29.75,27.48,29.41,2890704.0,,,
1993-11-03,29.73,31.11,29.26,29.82,2536353.0,,,
1993-11-04,30.0,32.16,29.13,31.74,4242573.0,,,
1993-11-05,31.5,31.75,30.66,31.56,2314899.0,,,
1993-11-06,31.64,32.5,30.33,30.69,1745831.0,,,
1993-11-09,30.03,30.33,29.13,30.03,475798.0,,,
