date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,28.0,28.4,27.83,27.97,341929.0,,,
1993-09-07,27.65,28.29,27.6,27.84,128305.0,,,
1993-09-08,27.7,28.19,27.5,28.01,204692.0,,,
1993-09-09,27.3,28.09,27.3,27.71,188614.0,,,
1993-09-10,27.81,28.1,27.66,27.85,179166.0,,,
1993-09-11,27.9,28.08,27.64,27.94,239498.0,,,
1993-09-14,27.88,28.0,27.4,27.57,150973.0,,,
1993-09-15,27.2,27.99,27.2,27.75,281607.0,,,
1993-09-16,27.99,27.99,27.11,27.35,229526.0,,,
1993-09-17,27.2,27.2,26.32,26.51,190452.0,,,
1993-09-18,26.56,27.2,26.4,27.18,169243.0,,,
1993-09-21,27.5,27.5,26.4,26.47,199667.0,,,
1993-09-22,26.5,27.0,26.41,26.69,191787.0,,,
1993-09-23,27.0,27.58,26.61,27.42,257395.0,,,
1993-09-24,27.2,27.5,26.62,26.79,197906.0,,,
1993-09-25,26.81,27.2,26.53,27.15,148024.0,,,
1993-09-28,27.49,27.85,26.8,26.98,730059.0,,,
1993-09-29,27.0,27.66,27.0,27.5,639435.0,,,
1993-09-30,27.7,28.6,27.55,28.33,393687.0,,,
1993-10-02,29.05,29.55,28.7,29.45,663901.0,,,
1993-10-05,29.75,32.0,29.6,31.38,560291.0,,,
1993-10-06,32.0,32.51,30.7,30.95,1354746.0,,,
1993-10-07,31.3,31.5,30.72,31.03,522187.0,,,
1993-10-08,31.44,31.63,31.11,31.43,263530.0,,,
1993-10-09,32.5,32.5,30.21,30.54,754506.0,,,
1993-10-12,30.84,31.44,30.69,30.87,501738.0,,,
1993-10-13,32.99,32.99,30.8,30.98,562173.0,,,
1993-10-14,31.2,31.3,30.4,31.09,283357.0,,,
1993-10-15,31.15,31.5,31.0,31.38,265957.0,,,
1993-10-16,31.35,32.5,31.35,31.65,740645.0,,,
1993-10-19,31.7,32.2,31.26,31.49,447860.0,,,
1993-10-20,31.2,31.55,30.81,31.11,281070.0,,,
1993-10-21,30.9,31.29,29.9,30.09,199404.0,,,
1993-10-22,30.29,30.4,29.74,29.98,228604.0,,,
1993-10-23,30.1,30.94,29.6,30.79,140043.0,,,
1993-10-24,31.0,31.43,30.51,30.65,29214.0,,,
1993-10-26,30.65,31.44,30.0,30.1,266767.0,,,
1993-10-27,30.31,31.44,30.12,31.19,434545.0,,,
1993-10-28,31.34,31.79,31.3,31.67,372936.0,,,
1993-10-29,31.25,32.0,31.25,31.76,350662.0,,,
1993-10-30,32.1,32.1,31.03,31.61,318952.0,,,
1993-11-02,32.05,32.3,31.7,31.95,349660.0,,,
1993-11-03,32.2,32.2,30.72,30.99,320720.0,,,
1993-11-04,31.26,31.29,30.8,30.94,180072.0,,,
1993-11-05,30.7,31.0,30.31,30.79,262158.0,,,
1993-11-06,30.97,31.0,30.25,30.53,452609.0,,,
1993-11-09,31.47,31.47,30.41,30.89,142533.0,,,
1993-11-10,31.1,31.31,30.46,30.66,213568.0,,,
1993-11-11,30.8,30.8,29.75,29.9,354834.0,,,
1993-11-12,30.35,30.45,29.8,29.94,131581.0,,,
1993-11-13,26.55,30.3,26.55,29.75,136940.0,,,
1993-11-14,29.9,30.1,29.7,29.93,63719.0,,,
1993-11-16,29.9,30.5,29.76,30.41,132660.0,,,
1993-11-17,30.78,30.78,30.11,30.29,289446.0,,,
1993-11-18,29.91,30.2,29.4,29.97,524270.0,,,
1993-11-19,29.9,30.18,29.45,29.84,154006.0,,,
1993-11-20,29.45,30.5,29.45,30.3,200717.0,,,
1993-11-23,30.9,30.9,30.15,30.29,435226.0,,,
1993-11-24,30.12,30.6,30.12,30.26,380785.0,,,
1993-11-26,30.65,30.95,30.0,30.17,404952.0,,,
1993-11-27,30.4,30.8,30.0,30.26,480564.0,,,
1993-11-30,30.7,31.44,30.4,31.13,1044179.0,,,
1993-12-01,31.5,31.99,31.2,31.81,661712.0,,,
1993-12-02,31.99,33.1,31.99,32.89,921014.0,,,
1993-12-03,32.97,33.59,32.7,33.45,840123.0,,,
1993-12-04,33.6,33.6,32.5,32.83,411667.0,,,
1993-12-07,32.75,33.29,32.06,32.68,216037.0,,,
1993-12-08,33.49,33.69,33.06,33.25,359580.0,,,
1993-12-09,33.3,34.38,32.62,34.04,724407.0,,,
1993-12-10,34.0,35.2,33.8,35.05,709516.0,,,
1993-12-11,35.1,36.74,34.61,36.27,797532.0,,,
1993-12-14,36.59,36.6,35.14,35.37,145727.0,,,
1993-12-15,35.59,36.48,35.46,35.98,378592.0,,,
1993-12-16,35.9,36.1,35.52,35.94,422794.0,,,
1993-12-17,36.0,36.08,35.16,35.52,254468.0,,,
1993-12-18,35.34,36.0,35.34,35.83,279470.0,,,
1993-12-21,35.6,36.09,35.6,35.95,200101.0,,,
1993-12-22,35.9,36.5,35.1,35.25,174916.0,,,
1993-12-23,35.64,36.07,35.21,36.01,210119.0,,,
1993-12-25,36.0,36.5,35.5,35.86,138438.0,,,
1993-12-28,36.2,38.51,36.2,37.98,397287.0,,,
1993-12-29,38.1,38.38,36.5,36.81,1049503.0,,,
1993-12-30,37.0,37.75,36.32,36.51,221920.0,,,
1993-12-31,36.3,36.8,35.95,36.67,188854.0,,,
1994-01-01,37.38,37.51,35.84,36.29,460975.0,,,
1994-01-04,36.8,37.15,36.25,36.52,293251.0,,,
1994-01-05,36.03,37.24,35.9,36.15,438381.0,,,
1994-01-06,36.3,37.0,35.73,36.09,386085.0,,,
1994-01-07,36.15,36.4,35.32,36.17,644874.0,,,
1994-01-08,36.56,38.6,36.3,36.85,987734.0,,,
1994-01-11,36.65,36.92,36.31,36.49,586876.0,,,
1994-01-12,36.5,36.66,36.21,36.49,643660.0,,,
1994-01-13,36.61,36.93,36.3,36.78,688836.0,,,
1994-01-14,37.1,40.3,37.1,38.51,1504691.0,,,
1994-01-15,38.71,40.05,37.21,38.17,887834.0,,,
1994-01-18,38.49,38.49,36.8,36.99,620088.0,,,
1994-01-19,37.1,38.09,36.8,36.99,709717.0,,,
1994-01-20,37.0,37.1,36.05,36.92,663593.0,,,
1994-01-21,37.75,37.78,36.42,36.68,510394.0,,,
1994-01-22,35.2,37.34,30.06,36.49,272725.0,,,
1994-01-26,36.48,37.2,36.01,36.56,354858.0,,,
1994-01-27,40.68,40.68,35.7,36.02,337460.0,,,
1994-01-28,36.0,37.48,34.53,35.6,407486.0,,,
