date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,92.87,98.44,83.56,91.13,10573269.0,,,
1993-09-07,91.13,93.39,91.13,91.94,3143929.0,,,
1993-09-08,92.59,93.76,91.26,91.86,2758729.0,,,
1993-09-09,92.82,93.22,91.58,92.52,1754747.0,,,
1993-09-10,92.67,95.53,92.67,94.47,3818407.0,,,
1993-09-11,99.78,99.78,94.06,94.52,4053533.0,,,
1993-09-14,94.89,95.48,85.76,86.98,4725492.0,,,
1993-09-15,88.89,89.33,72.47,76.78,19724139.0,,,
1993-09-16,76.42,76.42,71.11,73.31,12459796.0,,,
1993-09-17,74.0,75.31,72.96,74.56,7050887.0,,,
1993-09-18,74.96,77.74,74.51,76.9,6415247.0,,,
1993-09-21,77.78,78.67,74.92,75.38,2312222.0,,,
1993-09-22,75.33,76.87,74.47,76.62,1771119.0,,,
1993-09-23,77.13,79.84,76.56,79.47,2840282.0,,,
1993-09-24,80.8,81.62,77.78,78.13,4300754.0,,,
1993-09-25,78.91,79.52,77.7,78.68,1767072.0,,,
1993-09-28,78.89,83.76,78.87,83.18,3197091.0,,,
1993-09-29,82.67,83.29,80.11,80.48,2434642.0,,,
1993-09-30,80.87,82.67,80.22,80.71,2177711.0,,,
1993-10-02,81.33,82.0,78.97,80.29,3405297.0,,,
1993-10-05,76.44,78.87,74.47,78.33,4811328.0,,,
1993-10-06,79.11,81.88,79.11,79.77,4067246.0,,,
1993-10-07,80.44,81.0,78.03,78.7,1930265.0,,,
1993-10-08,79.29,79.51,77.14,77.66,2435719.0,,,
1993-10-09,77.33,77.33,74.12,74.73,3358594.0,,,
1993-10-12,75.56,78.87,74.71,78.5,3889169.0,,,
1993-10-13,79.56,79.56,75.56,75.82,2522953.0,,,
1993-10-14,76.0,76.42,74.67,75.92,1742589.0,,,
1993-10-15,76.44,76.53,72.47,73.13,3241218.0,,,
1993-10-16,73.56,77.09,73.33,75.12,4880293.0,,,
1993-10-19,74.73,74.73,71.11,72.47,3993238.0,,,
1993-10-20,72.56,73.09,71.56,71.9,2342761.0,,,
1993-10-21,72.56,72.87,70.0,70.58,1889691.0,,,
1993-10-22,71.11,72.54,70.23,71.34,1639552.0,,,
1993-10-23,71.56,75.33,70.89,74.78,2242134.0,,,
1993-10-24,76.0,76.64,74.67,75.59,548875.0,,,
1993-10-26,75.74,76.89,73.91,74.64,1809452.0,,,
1993-10-27,74.44,74.84,72.39,72.82,1295744.0,,,
1993-10-28,72.22,73.76,71.13,72.24,1889128.0,,,
1993-10-29,72.89,73.33,71.11,71.69,2038938.0,,,
1993-10-30,71.11,74.34,69.37,73.13,4238358.0,,,
1993-11-02,74.22,74.54,72.0,72.52,1819822.0,,,
1993-11-03,73.27,75.4,72.22,73.44,3577439.0,,,
1993-11-04,74.07,75.22,73.26,73.92,1870617.0,,,
1993-11-05,74.44,75.06,73.09,73.37,1348919.0,,,
1993-11-06,73.99,75.8,73.34,74.36,2769913.0,,,
1993-11-09,74.67,75.3,73.82,74.78,800822.0,,,
1993-11-10,74.93,76.73,74.93,75.96,1814478.0,,,
1993-11-11,76.44,77.69,74.81,75.09,2508858.0,,,
1993-11-12,75.64,76.0,74.03,74.54,2024826.0,,,
