date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,32.91,33.36,32.74,33.25,970953.0,,,
1993-09-07,33.27,33.71,32.95,33.1,750080.0,,,
1993-09-08,33.27,33.59,32.85,32.96,1197141.0,,,
1993-09-09,32.91,33.42,32.73,33.26,1250596.0,,,
1993-09-10,33.13,34.5,33.13,33.68,1582627.0,,,
1993-09-11,33.68,33.9,33.0,33.48,1309048.0,,,
1993-09-14,32.36,34.0,32.36,33.29,1671225.0,,,
1993-09-15,33.32,33.89,32.55,33.32,1444963.0,,,
1993-09-16,33.55,34.54,33.1,34.07,2093431.0,,,
1993-09-17,33.82,34.25,32.94,33.48,1427777.0,,,
1993-09-18,33.65,34.36,32.91,33.95,1685649.0,,,
1993-09-21,34.45,35.17,33.64,33.9,1231328.0,,,
1993-09-22,33.98,35.22,33.42,34.96,1234948.0,,,
1993-09-23,35.18,36.18,34.75,35.64,1349763.0,,,
1993-09-24,36.36,36.36,34.55,34.71,1154371.0,,,
1993-09-25,34.64,37.27,34.64,37.12,3240291.0,,,
1993-09-28,37.23,37.81,36.73,36.89,1614298.0,,,
1993-09-29,37.11,37.27,36.43,37.18,1035274.0,,,
1993-09-30,37.21,37.53,36.82,37.16,1165152.0,,,
1993-10-02,37.22,38.44,37.22,38.18,2651879.0,,,
1993-10-05,38.19,38.87,38.1,38.7,1268227.0,,,
1993-10-06,39.2,42.09,39.2,41.21,3087898.0,,,
1993-10-07,41.27,41.44,39.75,40.55,1206635.0,,,
1993-10-08,41.09,41.82,41.09,41.32,969976.0,,,
1993-10-09,41.81,41.81,40.31,40.64,833973.0,,,
1993-10-12,40.82,41.82,40.36,41.46,1038761.0,,,
1993-10-13,42.18,42.89,41.0,41.29,1724461.0,,,
1993-10-14,41.73,41.73,39.36,40.8,1209220.0,,,
1993-10-15,41.27,41.64,40.48,40.95,1702396.0,,,
1993-10-16,41.27,41.34,40.0,40.17,1697178.0,,,
1993-10-19,40.36,40.8,39.14,39.55,876442.0,,,
1993-10-20,39.62,39.91,38.19,38.55,888158.0,,,
1993-10-21,38.81,39.78,38.18,39.43,1450882.0,,,
1993-10-22,39.64,40.73,39.09,39.72,1619974.0,,,
1993-10-23,40.09,40.89,39.5,40.75,1087596.0,,,
1993-10-24,41.02,41.64,40.93,41.16,335910.0,,,
1993-10-26,41.36,42.51,40.93,41.96,2088564.0,,,
1993-10-27,41.86,41.86,40.91,41.39,736281.0,,,
1993-10-28,41.13,41.76,40.57,41.3,746450.0,,,
1993-10-29,40.91,42.18,40.91,41.75,731442.0,,,
1993-10-30,41.89,45.45,41.82,44.91,2856472.0,,,
1993-11-02,45.44,47.89,44.91,47.21,3297905.0,,,
1993-11-03,47.27,48.78,46.0,46.91,2881663.0,,,
1993-11-04,46.65,46.8,44.0,44.51,1986574.0,,,
1993-11-05,44.36,45.45,43.29,43.72,1363773.0,,,
1993-11-06,44.0,45.55,43.68,44.18,1557522.0,,,
1993-11-09,43.64,44.36,42.55,43.73,388480.0,,,
1993-11-10,44.01,45.62,44.01,45.14,1558186.0,,,
1993-11-11,45.45,45.98,45.0,45.28,758362.0,,,
1993-11-12,45.27,46.18,45.05,45.23,1134794.0,,,
1993-11-13,44.91,45.45,43.64,44.65,778955.0,,,
1993-11-14,44.36,44.85,44.1,44.2,178559.0,,,
1993-11-16,44.47,44.64,43.68,44.22,580771.0,,,
1993-11-17,44.54,44.54,42.73,42.98,881240.0,,,
1993-11-18,41.45,43.09,40.02,41.4,2016447.0,,,
1993-11-19,41.69,42.33,41.09,41.34,726467.0,,,
1993-11-20,40.18,42.73,40.18,42.18,1094133.0,,,
1993-11-23,43.32,44.55,42.47,42.98,745445.0,,,
1993-11-24,41.91,44.09,41.91,43.86,710331.0,,,
1993-11-26,43.65,46.36,43.65,45.72,1559474.0,,,
1993-11-27,45.45,46.0,44.09,45.47,1381943.0,,,
1993-11-30,45.9,47.53,45.9,46.45,1347509.0,,,
1993-12-01,46.98,48.26,46.22,48.07,1321850.0,,,
1993-12-02,48.36,52.87,48.18,52.31,3867571.0,,,
1993-12-03,52.71,52.71,48.65,48.95,1920008.0,,,
1993-12-04,49.27,49.62,47.09,47.31,1998933.0,,,
1993-12-07,47.45,48.33,46.36,47.43,900277.0,,,
1993-12-08,47.64,48.75,47.64,48.62,1068731.0,,,
1993-12-09,49.05,50.0,48.27,49.74,1961548.0,,,
1993-12-10,50.05,52.0,50.05,51.72,2363218.0,,,
1993-12-11,52.13,52.71,50.18,51.01,1063729.0,,,
1993-12-14,51.09,51.53,50.0,50.12,504711.0,,,
1993-12-15,50.0,51.82,50.0,51.39,879121.0,,,
1993-12-16,51.73,51.73,50.91,51.4,1587573.0,,,
1993-12-17,51.36,52.0,50.73,50.88,832891.0,,,
1993-12-18,51.42,51.42,50.38,50.85,676661.0,,,
1993-12-21,51.62,51.62,50.87,51.2,1331388.0,,,
1993-12-22,51.45,52.68,50.91,51.14,1280835.0,,,
1993-12-23,51.98,51.98,51.12,51.59,1329446.0,,,
1993-12-25,52.33,52.73,51.46,52.04,858685.0,,,
1993-12-28,52.28,55.49,52.28,54.95,1697109.0,,,
1993-12-29,56.36,56.36,53.45,54.33,2027103.0,,,
1993-12-30,54.48,54.8,53.1,53.72,1302295.0,,,
1993-12-31,54.16,55.55,54.0,55.05,1475607.0,,,
1994-01-01,55.45,56.26,55.01,55.74,1753473.0,,,
1994-01-04,55.93,57.86,55.55,56.95,2048558.0,,,
1994-01-05,57.09,57.68,56.2,56.8,1744975.0,,,
1994-01-06,56.85,56.91,54.57,55.28,1156584.0,,,
1994-01-07,55.64,55.91,54.38,54.98,2664902.0,,,
1994-01-08,55.96,57.72,55.09,55.29,4016399.0,,,
1994-01-11,55.48,56.62,55.18,55.46,1312522.0,,,
1994-01-12,55.96,56.39,55.1,56.25,917014.0,,,
1994-01-13,56.27,56.8,55.27,56.01,1841903.0,,,
1994-01-14,56.41,57.05,54.24,54.5,3355004.0,,,
1994-01-15,54.0,54.35,49.82,51.51,4121806.0,,,
1994-01-18,52.36,55.0,51.65,54.56,2561911.0,,,
1994-01-19,55.09,55.73,53.1,53.82,1583403.0,,,
1994-01-20,53.45,54.6,52.73,53.6,2562523.0,,,
1994-01-21,53.09,54.41,51.83,52.71,2364271.0,,,
1994-01-22,52.36,53.84,50.56,53.4,1462430.0,,,
1994-01-26,53.89,56.18,52.83,55.55,1205991.0,,,
1994-01-27,55.82,56.18,52.95,53.39,1199333.0,,,
1994-01-28,53.55,53.81,51.09,52.3,2415275.0,,,
1994-01-29,52.91,54.07,52.73,53.65,1512214.0,,,
1994-02-02,53.64,55.09,50.91,53.69,2199927.0,,,
1994-02-03,55.04,55.27,52.73,54.98,1099937.0,,,
1994-02-04,54.95,56.55,53.86,55.74,1568722.0,,,
1994-02-05,56.31,59.05,56.09,58.42,2759060.0,,,
1994-02-08,59.18,61.16,57.27,60.36,2924041.0,,,
1994-02-09,61.18,64.05,59.64,63.32,8967627.0,,,
1994-02-10,61.45,61.45,57.32,57.84,7166711.0,,,
1994-02-11,58.18,58.47,56.0,57.97,11033551.0,,,
1994-02-12,58.36,58.36,56.3,56.62,2944542.0,,,
1994-02-15,56.55,57.45,55.95,56.28,1997969.0,,,
1994-02-16,58.36,58.36,56.55,57.42,3903021.0,,,
1994-02-17,58.15,58.36,57.27,57.7,2118287.0,,,
1994-02-18,57.45,57.86,55.84,56.5,2149331.0,,,
1994-02-19,56.02,56.02,53.31,53.95,1918098.0,,,
1994-02-22,53.27,54.67,50.94,51.27,1553303.0,,,
1994-02-23,51.64,51.64,48.82,49.96,2224186.0,,,
1994-02-24,49.99,51.62,49.57,49.9,1549195.0,,,
1994-02-25,50.09,51.42,48.2,48.68,1982484.0,,,
1994-02-26,49.04,49.62,48.21,49.26,1244545.0,,,
1994-03-01,49.76,51.46,49.29,51.22,1446826.0,,,
1994-03-03,51.45,51.62,50.12,50.41,1330442.0,,,
1994-03-04,50.84,52.79,50.55,52.53,1646903.0,,,
1994-03-05,52.74,53.31,52.0,53.13,897955.0,,,
1994-03-08,53.45,55.73,53.44,55.33,1298537.0,,,
1994-03-09,55.84,55.98,54.01,54.95,1122032.0,,,
1994-03-10,55.26,55.26,52.33,52.59,958085.0,,,
1994-03-11,52.46,52.46,50.73,50.93,949372.0,,,
1994-03-12,51.33,52.55,49.96,51.27,721734.0,,,
1994-03-15,52.73,53.54,50.03,50.59,1106579.0,,,
1994-03-16,50.09,52.73,48.37,51.45,1293573.0,,,
1994-03-17,51.96,52.69,50.45,52.32,1394519.0,,,
1994-03-18,52.34,53.09,50.56,51.26,1259621.0,,,
1994-03-19,51.3,51.64,49.89,50.48,998744.0,,,
1994-03-22,50.55,50.64,49.45,50.27,699044.0,,,
1994-03-23,49.84,50.33,48.18,49.66,656334.0,,,
1994-03-24,49.95,50.71,49.29,50.27,584583.0,,,
1994-03-25,50.55,50.72,48.78,49.01,1201975.0,,,
1994-03-26,49.67,52.35,49.66,51.83,2697531.0,,,
1994-03-29,52.13,54.7,52.13,54.52,2032116.0,,,
1994-03-30,55.04,55.82,53.75,54.09,1686085.0,,,
1994-03-31,54.24,54.5,53.65,53.87,961820.0,,,
1994-04-01,54.31,55.08,53.91,54.72,1287142.0,,,
1994-04-02,55.36,55.79,54.03,54.34,1889070.0,,,
1994-04-05,54.55,55.07,53.55,53.79,935510.0,,,
1994-04-06,53.82,54.08,52.75,52.98,972696.0,,,
1994-04-07,53.18,53.36,52.35,52.63,1424537.0,,,
1994-04-08,52.55,53.85,52.0,53.16,3017801.0,,,
1994-04-12,53.25,53.82,52.77,53.03,838934.0,,,
1994-04-13,53.25,53.27,52.31,53.03,629364.0,,,
1994-04-15,53.4,53.45,52.38,52.55,841176.0,,,
1994-04-16,52.91,52.91,52.14,52.3,542226.0,,,
1994-04-17,52.72,53.45,52.38,53.08,561501.0,,,
1994-04-19,53.27,54.73,53.27,54.5,2663803.0,,,
1994-04-20,55.0,56.35,54.11,55.86,2444821.0,,,
1994-04-21,55.82,55.89,53.73,54.08,2122684.0,,,
1994-04-22,53.58,55.09,53.32,54.36,4659635.0,,,
1994-04-23,54.85,59.15,54.85,58.06,15194354.0,,,
