date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,66.38,66.48,64.56,65.59,1021124.0,,,
1993-09-07,66.56,68.2,66.02,66.44,743449.0,,,
1993-09-08,67.89,70.7,67.27,69.97,1413696.0,,,
1993-09-09,68.83,68.83,66.47,67.24,831446.0,,,
1993-09-10,65.63,67.45,65.47,66.01,705418.0,,,
1993-09-11,68.36,68.36,64.69,65.03,838503.0,,,
1993-09-14,64.77,65.81,62.66,63.11,760623.0,,,
1993-09-15,62.99,66.28,62.72,65.77,814700.0,,,
1993-09-16,67.11,68.7,67.11,67.63,1104652.0,,,
1993-09-17,66.64,67.96,65.81,66.27,793056.0,,,
1993-09-18,67.5,68.13,66.09,67.5,651000.0,,,
1993-09-21,68.31,68.67,67.1,68.33,821557.0,,,
1993-09-22,67.64,67.89,66.19,67.43,775020.0,,,
1993-09-23,67.58,70.97,67.5,70.45,1074038.0,,,
1993-09-24,67.42,70.94,67.42,70.43,949111.0,,,
1993-09-25,70.16,71.48,69.39,71.12,786572.0,,,
1993-09-28,71.41,71.52,69.57,69.91,785079.0,,,
1993-09-29,71.06,71.37,70.19,70.75,681070.0,,,
1993-09-30,70.3,72.17,70.03,71.47,722349.0,,,
1993-10-02,72.38,72.63,71.01,71.25,596335.0,,,
1993-10-05,71.58,72.1,57.97,71.39,524881.0,,,
1993-10-06,71.69,71.92,69.43,69.9,461955.0,,,
1993-10-07,70.31,70.59,67.74,68.58,802104.0,,,
1993-10-08,69.14,70.47,68.22,69.49,799856.0,,,
1993-10-09,73.44,74.06,69.92,72.34,1294913.0,,,
1993-10-12,73.45,74.68,72.66,74.18,829883.0,,,
1993-10-13,74.54,75.39,73.46,73.78,607290.0,,,
1993-10-14,73.78,74.3,72.85,73.99,521646.0,,,
1993-10-15,74.44,74.44,71.66,72.35,490718.0,,,
1993-10-16,72.81,74.22,71.88,73.99,680292.0,,,
1993-10-19,73.98,74.61,71.58,72.23,461344.0,,,
1993-10-20,75.0,75.0,70.64,71.12,498822.0,,,
1993-10-21,71.86,71.86,70.08,70.51,591003.0,,,
1993-10-22,70.31,71.25,68.45,69.03,495188.0,,,
1993-10-23,81.25,81.25,69.03,71.16,523484.0,,,
1993-10-24,71.85,73.03,71.28,71.49,112352.0,,,
1993-10-26,71.36,71.39,69.38,69.48,349091.0,,,
1993-10-27,70.15,70.86,69.38,69.8,562025.0,,,
1993-10-28,70.33,71.56,70.33,71.41,418429.0,,,
1993-10-29,72.03,73.03,71.02,72.13,509946.0,,,
1993-10-30,71.88,74.29,70.78,74.04,567955.0,,,
1993-11-02,74.3,78.31,74.3,77.8,749801.0,,,
1993-11-03,78.61,79.99,77.98,78.54,618320.0,,,
1993-11-04,78.75,78.75,77.11,78.02,470144.0,,,
1993-11-05,77.81,80.43,77.81,79.3,670704.0,,,
1993-11-06,79.22,80.16,77.16,77.85,414246.0,,,
1993-11-09,77.34,78.13,75.58,77.13,252106.0,,,
1993-11-10,76.41,77.81,75.99,76.93,414088.0,,,
1993-11-11,77.03,77.34,75.47,76.07,510305.0,,,
1993-11-12,76.72,77.17,73.45,74.17,569345.0,,,
1993-11-13,74.14,74.48,71.58,72.28,480439.0,,,
1993-11-14,71.17,72.66,71.17,72.21,118926.0,,,
1993-11-16,72.23,73.05,71.72,72.25,439201.0,,,
1993-11-17,72.34,73.98,71.58,72.08,595592.0,,,
1993-11-18,71.59,73.58,71.33,72.84,704199.0,,,
1993-11-19,73.46,74.02,71.72,72.22,386869.0,,,
1993-11-20,71.88,73.27,71.8,72.99,395993.0,,,
1993-11-23,72.62,73.05,69.38,72.28,335924.0,,,
1993-11-24,73.28,74.16,73.25,73.96,362053.0,,,
1993-11-26,74.69,77.5,74.69,77.01,700170.0,,,
1993-11-27,76.25,77.5,76.18,76.97,303237.0,,,
1993-11-30,77.5,81.17,77.5,80.68,560330.0,,,
1993-12-01,81.27,81.88,79.32,80.28,394633.0,,,
1993-12-02,80.23,80.45,79.14,79.6,427915.0,,,
1993-12-03,73.44,79.67,73.44,79.09,434897.0,,,
1993-12-04,78.49,79.25,76.44,76.73,369657.0,,,
1993-12-07,76.56,77.11,76.05,76.65,310648.0,,,
1993-12-08,77.05,78.27,77.05,77.8,299072.0,,,
1993-12-09,77.34,78.75,77.05,77.6,415721.0,,,
1993-12-10,78.73,78.73,77.22,77.78,325825.0,,,
1993-12-11,78.13,78.9,77.73,78.63,358639.0,,,
1993-12-14,78.91,80.59,78.91,80.3,290862.0,,,
1993-12-15,78.13,81.95,78.13,81.7,632989.0,,,
1993-12-16,80.31,81.22,79.69,80.03,438254.0,,,
1993-12-17,82.78,82.78,79.78,80.14,407241.0,,,
1993-12-18,81.09,83.18,80.75,82.2,588371.0,,,
1993-12-21,82.27,83.52,81.25,83.18,357879.0,,,
1993-12-22,83.15,85.55,83.13,85.19,606571.0,,,
1993-12-23,85.16,85.16,83.53,84.75,342761.0,,,
1993-12-25,84.92,85.31,83.99,84.3,267119.0,,,
1993-12-28,84.77,86.31,84.42,85.91,309136.0,,,
1993-12-29,87.46,93.52,85.78,86.5,388716.0,,,
1993-12-30,86.33,87.73,86.33,86.95,250902.0,,,
1993-12-31,87.47,88.36,87.23,88.07,184550.0,,,
1994-01-01,88.28,89.22,87.75,88.54,267862.0,,,
1994-01-04,89.84,92.89,88.75,91.98,387605.0,,,
1994-01-05,92.97,93.91,88.01,88.83,383586.0,,,
1994-01-06,89.81,90.58,87.39,88.96,606297.0,,,
1994-01-07,89.39,92.1,89.39,91.38,586724.0,,,
1994-01-08,93.75,95.31,90.17,90.95,761629.0,,,
1994-01-11,92.17,92.17,88.78,89.38,347476.0,,,
1994-01-12,90.16,90.77,88.83,90.53,357358.0,,,
1994-01-13,90.53,90.71,88.75,89.15,343825.0,,,
1994-01-14,89.08,89.98,86.33,86.9,533840.0,,,
1994-01-15,86.72,86.87,85.51,86.31,413359.0,,,
1994-01-18,86.48,86.48,84.16,85.98,475433.0,,,
1994-01-19,86.33,87.81,84.0,84.54,368921.0,,,
1994-01-20,84.77,86.72,83.36,84.31,453287.0,,,
1994-01-21,84.38,86.64,78.96,80.85,798513.0,,,
1994-01-22,81.65,86.05,81.25,85.33,573936.0,,,
1994-01-26,84.38,87.81,78.42,86.9,439921.0,,,
1994-01-27,86.02,86.79,83.44,84.65,378923.0,,,
1994-01-28,83.59,84.31,81.26,82.08,578795.0,,,
1994-01-29,84.2,84.2,80.87,81.45,392674.0,,,
1994-02-02,81.88,82.19,80.05,81.21,585757.0,,,
1994-02-03,81.27,84.2,81.27,83.75,400193.0,,,
1994-02-04,84.06,86.63,82.81,84.99,734558.0,,,
1994-02-05,84.55,87.27,84.39,86.85,587094.0,,,
1994-02-08,87.48,89.22,87.2,88.29,514285.0,,,
1994-02-09,88.28,88.98,85.78,86.06,471467.0,,,
1994-02-10,86.72,87.08,85.08,85.49,389937.0,,,
1994-02-11,85.94,86.16,83.05,83.64,925730.0,,,
1994-02-12,83.88,84.83,83.2,84.0,628215.0,,,
