date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,12.58,14.22,12.55,13.85,397759.0,,,
1993-09-07,14.0,14.47,12.92,14.16,287827.0,,,
1993-09-08,14.17,14.33,13.28,13.41,150375.0,,,
1993-09-09,13.33,13.65,12.84,13.31,250015.0,,,
1993-09-10,13.17,13.83,13.17,13.4,136368.0,,,
1993-09-11,13.47,13.7,12.83,12.94,148162.0,,,
1993-09-14,13.3,13.32,12.34,12.64,127750.0,,,
1993-09-15,12.52,13.74,12.17,13.55,223291.0,,,
1993-09-16,14.98,14.98,12.92,13.03,263218.0,,,
1993-09-17,12.92,13.07,12.18,12.29,183115.0,,,
1993-09-18,12.42,12.83,12.1,12.6,154528.0,,,
1993-09-21,12.33,12.55,11.79,11.96,166240.0,,,
1993-09-22,12.03,12.77,12.03,12.66,193883.0,,,
1993-09-23,12.82,12.82,12.19,12.55,103936.0,,,
1993-09-24,12.42,13.08,12.33,12.8,143192.0,,,
1993-09-25,12.92,13.25,12.75,13.0,162470.0,,,
1993-09-28,13.05,13.33,12.68,12.81,133749.0,,,
1993-09-29,12.93,13.35,12.75,13.29,109274.0,,,
1993-09-30,13.18,13.93,13.18,13.73,239131.0,,,
1993-10-02,13.72,14.0,13.57,13.89,89017.0,,,
1993-10-05,13.95,14.4,13.95,14.29,90826.0,,,
1993-10-06,14.4,14.98,14.0,14.47,191742.0,,,
1993-10-07,14.53,14.83,14.4,14.63,111829.0,,,
1993-10-08,14.8,15.16,14.67,15.06,121948.0,,,
1993-10-09,15.13,15.32,14.8,15.02,71095.0,,,
1993-10-12,15.12,16.15,14.96,15.84,109576.0,,,
1993-10-13,15.88,16.0,15.03,15.21,99947.0,,,
1993-10-14,15.47,15.53,14.85,15.16,98495.0,,,
1993-10-15,15.25,15.85,15.25,15.78,102375.0,,,
1993-10-16,16.0,16.0,15.43,15.62,53314.0,,,
1993-10-19,15.83,15.83,14.87,15.05,67721.0,,,
1993-10-20,15.4,16.0,14.02,14.3,138325.0,,,
1993-10-21,14.37,15.0,14.2,14.5,125058.0,,,
1993-10-22,14.67,14.83,14.32,14.5,64972.0,,,
1993-10-23,14.92,15.17,13.75,14.39,139339.0,,,
1993-10-24,14.67,14.68,14.4,14.5,18173.0,,,
1993-10-26,14.78,14.78,14.2,14.33,53585.0,,,
1993-10-27,14.33,14.57,13.92,14.09,31617.0,,,
1993-10-28,14.4,14.4,13.75,13.82,45479.0,,,
1993-10-29,13.85,14.32,13.8,14.13,60920.0,,,
1993-10-30,14.33,14.45,13.82,13.94,62985.0,,,
1993-11-02,14.16,14.25,14.0,14.15,79808.0,,,
1993-11-03,14.17,14.75,14.17,14.6,139862.0,,,
1993-11-04,14.58,15.13,14.5,14.58,94550.0,,,
1993-11-05,14.7,14.9,14.34,14.47,69554.0,,,
1993-11-06,14.67,14.74,13.85,13.96,89078.0,,,
1993-11-09,13.83,14.24,13.83,14.1,25108.0,,,
1993-11-10,14.18,14.37,13.77,13.94,47649.0,,,
1993-11-11,14.08,14.15,13.75,13.82,39427.0,,,
1993-11-12,13.88,14.04,13.78,13.85,54966.0,,,
1993-11-13,13.92,13.92,13.39,13.66,51478.0,,,
1993-11-14,13.72,13.8,13.42,13.59,18433.0,,,
1993-11-16,13.67,13.75,13.19,13.35,34213.0,,,
1993-11-17,13.42,13.65,13.34,13.55,39335.0,,,
1993-11-18,13.49,13.5,13.12,13.27,20809.0,,,
1993-11-19,13.33,13.41,12.52,12.67,44286.0,,,
1993-11-20,12.8,12.8,12.28,12.57,37363.0,,,
1993-11-23,13.33,13.33,12.59,12.73,26679.0,,,
1993-11-24,12.75,13.66,12.75,13.37,45205.0,,,
1993-11-26,13.47,13.83,12.97,13.09,75962.0,,,
1993-11-27,13.75,14.83,12.75,12.94,59749.0,,,
1993-11-30,13.03,14.28,13.03,14.16,139486.0,,,
1993-12-01,14.22,14.47,14.0,14.36,53294.0,,,
1993-12-02,14.48,14.48,14.13,14.2,85405.0,,,
1993-12-03,14.33,14.38,14.0,14.16,32409.0,,,
1993-12-04,14.25,14.5,14.08,14.12,78582.0,,,
1993-12-07,14.33,15.82,14.14,15.31,151158.0,,,
1993-12-08,15.75,15.92,15.15,15.78,63571.0,,,
1993-12-09,16.08,16.25,15.55,15.76,62075.0,,,
1993-12-10,16.7,16.7,15.6,15.71,36651.0,,,
1993-12-11,15.91,15.98,15.68,15.9,18849.0,,,
1993-12-14,16.0,16.46,15.93,16.33,38097.0,,,
1993-12-15,16.35,16.92,16.18,16.42,56515.0,,,
1993-12-16,16.48,16.88,16.4,16.58,38166.0,,,
1993-12-17,16.9,17.53,16.6,17.38,81965.0,,,
1993-12-18,18.0,18.66,17.71,18.26,111145.0,,,
1993-12-21,18.53,21.0,17.5,17.69,76456.0,,,
