date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2000-02-08,16.0,24.09,16.0,22.91,569633730.0,,,
2000-02-09,23.06,25.0,22.16,24.42,249305560.0,,,
2000-02-10,25.2,25.24,23.16,23.5,113958780.0,,,
2000-02-11,23.5,24.0,22.51,23.09,58579570.0,,,
2000-02-15,23.36,23.68,22.55,22.91,31902800.0,,,
2000-02-16,22.91,23.4,22.71,23.03,17302760.0,,,
2000-02-17,23.1,24.58,21.66,24.11,50648000.0,,,
2000-02-18,24.01,24.08,22.7,23.09,22579370.0,,,
2000-02-19,22.5,23.1,22.18,22.69,8848110.0,,,
2000-02-22,22.81,23.48,22.77,23.04,6895920.0,,,
2000-02-23,23.0,23.17,21.68,21.99,6327990.0,,,
2000-02-24,21.54,22.7,21.26,22.19,8971900.0,,,
2000-02-25,22.05,22.79,21.9,22.49,4917060.0,,,
2000-02-26,22.49,24.09,22.14,22.98,9397990.0,,,
2000-03-01,23.09,23.44,22.95,23.34,2630720.0,,,
2000-03-02,23.34,24.0,22.91,23.04,3438760.0,,,
2000-03-03,23.1,23.7,23.05,23.66,5066180.0,,,
2000-03-04,23.79,27.47,23.51,25.83,59782770.0,,,
2000-03-07,26.0,27.99,25.92,27.65,36025100.0,,,
2000-03-08,27.84,31.77,27.3,29.97,110266540.0,,,
2000-03-09,30.0,30.54,28.35,28.59,39414830.0,,,
2000-03-10,28.59,28.84,27.54,27.69,13017740.0,,,
2000-03-11,25.0,29.88,25.0,28.65,66478000.0,,,
2000-03-14,28.48,29.07,27.73,27.95,14169940.0,,,
2000-03-15,25.0,29.48,25.0,28.89,20005010.0,,,
2000-03-16,29.23,29.58,28.69,28.84,17636580.0,,,
2000-03-17,28.83,30.65,28.8,29.46,31850700.0,,,
2000-03-18,29.6,34.99,29.2,34.45,161539050.0,,,
2000-03-21,33.74,36.2,33.53,34.1,78814060.0,,,
2000-03-22,34.39,35.19,32.4,33.06,32720740.0,,,
2000-03-24,33.0,35.1,32.81,33.85,44612420.0,,,
2000-03-25,33.9,34.84,33.26,33.86,20063830.0,,,
2000-03-28,34.8,34.8,30.39,31.65,18669870.0,,,
2000-03-29,31.92,33.07,31.55,31.85,17876660.0,,,
2000-03-30,32.3,32.8,30.83,31.36,18820650.0,,,
2000-03-31,31.6,32.65,31.53,32.09,25911150.0,,,
2000-04-04,32.15,36.97,32.0,36.17,76822490.0,,,
2000-04-05,36.17,36.66,35.04,35.59,26567480.0,,,
2000-04-06,31.6,42.43,31.6,41.61,152225550.0,,,
2000-04-07,40.18,42.0,38.13,38.83,83939440.0,,,
2000-04-08,38.95,39.2,35.11,35.77,50362790.0,,,
2000-04-11,36.0,37.57,35.32,36.09,41336620.0,,,
2000-04-12,36.5,37.09,35.5,36.29,34928070.0,,,
2000-04-14,36.58,37.0,35.5,35.71,19649670.0,,,
2000-04-15,35.74,35.93,33.46,34.43,24571650.0,,,
2000-04-18,33.51,34.77,32.4,33.6,37417250.0,,,
2000-04-19,33.51,34.5,33.51,33.95,15658870.0,,,
2000-04-20,34.3,35.96,34.01,35.16,45382220.0,,,
2000-04-21,34.0,36.4,33.2,35.74,30766170.0,,,
2000-04-22,36.0,36.35,34.54,35.18,14919120.0,,,
2000-04-25,35.8,35.8,34.93,35.25,10375540.0,,,
2000-04-26,35.25,35.35,34.41,34.73,9002330.0,,,
2000-04-27,34.0,34.4,33.2,33.46,8307970.0,,,
2000-04-28,33.49,34.67,33.49,34.14,11241380.0,,,
2000-04-29,34.32,34.74,33.83,34.0,6101750.0,,,
2000-05-02,34.0,34.01,32.8,33.3,5350350.0,,,
2000-05-03,33.4,34.09,32.3,32.55,8233300.0,,,
2000-05-04,32.0,34.2,31.27,33.58,13043490.0,,,
2000-05-05,33.7,33.9,32.3,32.46,7119110.0,,,
2000-05-06,31.98,32.23,31.25,31.54,5600730.0,,,
2000-05-09,32.1,33.0,31.61,32.8,6269710.0,,,
2000-05-10,33.3,34.76,32.56,32.75,16512970.0,,,
2000-05-11,33.1,33.34,31.7,31.9,7455110.0,,,
2000-05-12,32.2,32.8,31.5,31.73,6351120.0,,,
2000-05-13,31.5,31.89,29.6,30.01,8406740.0,,,
2000-05-16,29.4,29.5,28.11,28.6,11732470.0,,,
2000-05-17,28.59,29.09,26.75,28.03,32787790.0,,,
2000-05-18,27.9,28.78,26.15,27.13,20470830.0,,,
2000-05-19,27.2,28.05,25.91,26.1,9211370.0,,,
2000-05-20,26.1,28.2,25.11,27.85,30073020.0,,,
2000-05-23,28.45,29.39,27.63,28.11,23000080.0,,,
2000-05-24,27.55,28.21,26.9,27.21,7642400.0,,,
2000-05-25,27.73,27.95,26.34,27.16,7391590.0,,,
2000-05-26,27.5,28.37,26.93,27.98,7690950.0,,,
2000-05-27,28.44,28.88,27.76,28.53,7335320.0,,,
2000-05-30,28.4,28.7,27.8,28.09,6213670.0,,,
2000-05-31,28.24,28.88,27.52,27.69,7071770.0,,,
2000-06-01,27.94,29.0,27.84,28.83,7675040.0,,,
2000-06-02,29.1,30.08,28.83,29.21,13890520.0,,,
2000-06-03,29.25,29.29,28.7,28.85,4849710.0,,,
2000-06-06,28.28,28.67,27.04,28.36,4974500.0,,,
2000-06-07,28.4,28.85,27.82,28.0,3808740.0,,,
2000-06-08,28.0,28.5,27.73,28.01,3431300.0,,,
2000-06-09,28.18,28.9,28.01,28.69,3432590.0,,,
2000-06-10,29.0,29.2,28.01,28.21,2911710.0,,,
2000-06-13,28.3,28.85,28.13,28.28,2884580.0,,,
2000-06-14,28.49,28.94,28.23,28.55,3067530.0,,,
2000-06-15,28.78,30.74,28.35,29.98,21894210.0,,,
2000-06-16,29.98,31.1,29.94,30.66,15286500.0,,,
2000-06-17,30.75,31.45,30.25,30.46,6636500.0,,,
2000-06-20,30.76,31.24,30.46,30.65,4147220.0,,,
2000-06-21,30.45,30.8,30.14,30.29,5011070.0,,,
2000-06-22,30.3,30.94,29.81,30.64,3274620.0,,,
2000-06-23,30.79,31.6,30.6,31.08,6938900.0,,,
2000-06-24,30.9,31.25,30.3,30.5,3217710.0,,,
2000-06-27,30.58,31.0,30.58,30.73,2334380.0,,,
2000-06-28,30.75,30.93,30.25,30.46,2035740.0,,,
2000-06-29,30.45,30.89,30.0,30.49,2670140.0,,,
2000-06-30,30.18,30.84,30.18,30.27,1805920.0,,,
2000-07-01,30.3,32.7,30.3,32.19,17016980.0,,,
2000-07-04,32.05,34.2,31.61,33.08,27511600.0,,,
2000-07-05,33.2,33.94,32.85,33.19,8668000.0,,,
2000-07-06,33.15,33.68,32.69,32.85,4354640.0,,,
2000-07-07,34.0,34.0,33.11,33.37,5882050.0,,,
2000-07-08,33.65,33.69,32.85,33.17,2818650.0,,,
2000-07-11,33.36,34.65,33.22,33.57,10085930.0,,,
2000-07-12,33.6,33.94,33.33,33.74,3890950.0,,,
2000-07-13,33.94,34.85,33.6,33.71,9112740.0,,,
2000-07-14,33.8,33.99,33.06,33.4,3854510.0,,,
2000-07-15,33.56,33.76,33.11,33.41,2955340.0,,,
2000-07-18,32.5,33.68,31.11,33.23,2207860.0,,,
2000-07-19,33.43,33.97,33.11,33.35,4165910.0,,,
2000-07-20,33.49,33.83,33.36,33.69,3425110.0,,,
2000-07-21,33.69,34.67,33.5,34.25,7941250.0,,,
2000-07-22,34.44,35.3,34.25,34.41,7460160.0,,,
2000-07-25,34.6,34.7,31.8,32.82,4688270.0,,,
2000-07-26,32.82,33.45,32.47,33.28,2071420.0,,,
2000-07-27,33.4,34.36,33.13,33.7,4690820.0,,,
2000-07-28,33.88,34.04,33.31,33.61,1505000.0,,,
2000-07-29,33.6,36.26,33.5,34.86,27836890.0,,,
2000-08-01,35.45,37.48,34.53,36.96,30626600.0,,,
2000-08-02,37.2,42.4,36.33,42.0,93786550.0,,,
2000-08-03,42.0,42.59,39.55,40.47,45410990.0,,,
2000-08-04,39.6,43.04,39.6,41.83,50003470.0,,,
2000-08-05,41.9,42.26,40.74,41.17,12030980.0,,,
2000-08-08,41.5,46.73,40.7,46.13,96459830.0,,,
2000-08-09,46.5,47.83,45.53,46.16,50219160.0,,,
2000-08-10,42.79,46.59,42.79,44.13,13893240.0,,,
2000-08-11,43.2,46.37,43.03,45.36,27736770.0,,,
2000-08-12,45.6,47.2,44.35,45.99,25065680.0,,,
2000-08-15,46.37,46.37,44.42,45.26,9161780.0,,,
2000-08-16,45.0,46.55,44.74,44.98,10772520.0,,,
2000-08-17,45.3,47.15,44.8,46.55,20982350.0,,,
2000-08-18,46.75,50.17,46.25,49.69,54619600.0,,,
2000-08-19,49.8,55.37,48.83,53.89,75289520.0,,,
2000-08-22,54.51,55.79,53.31,54.35,55056340.0,,,
2000-08-23,54.5,54.64,52.81,53.13,15112830.0,,,
2000-08-24,53.3,54.55,50.76,51.86,25713440.0,,,
2000-08-25,48.0,52.98,48.0,51.55,12622090.0,,,
2000-08-26,51.55,51.97,48.01,48.6,18955770.0,,,
2000-08-29,49.5,49.95,46.55,49.14,36500870.0,,,
2000-08-30,48.75,49.87,48.01,48.67,23788790.0,,,
2000-08-31,49.0,51.68,48.81,50.91,29042280.0,,,
2000-09-01,51.62,52.55,51.2,51.55,16554730.0,,,
2000-09-02,51.9,51.99,50.37,50.93,12115920.0,,,
2000-09-05,51.4,52.42,51.2,51.69,10027040.0,,,
2000-09-06,51.99,53.43,51.3,51.8,18989350.0,,,
2000-09-07,51.5,52.59,50.91,51.87,8958410.0,,,
2000-09-08,52.2,53.88,51.9,52.98,17041900.0,,,
2000-09-12,53.3,54.44,52.62,53.58,12556130.0,,,
2000-09-13,53.6,54.07,52.52,53.13,7482910.0,,,
2000-09-14,53.0,55.9,53.0,53.97,21976180.0,,,
2000-09-15,53.26,54.33,52.3,52.85,6909690.0,,,
2000-09-16,53.11,54.19,53.11,53.53,6495930.0,,,
2000-09-19,53.53,54.29,53.2,53.9,6677360.0,,,
2000-09-20,54.12,54.39,52.35,52.77,4576190.0,,,
2000-09-21,53.1,53.2,49.51,49.99,10335980.0,,,
2000-09-22,50.2,50.49,48.02,48.58,7927600.0,,,
2000-09-23,48.7,50.59,47.52,49.78,17260000.0,,,
2000-09-26,50.6,51.1,49.81,50.21,7184440.0,,,
2000-09-27,50.21,50.4,48.22,48.56,5996130.0,,,
2000-09-28,48.82,49.5,47.03,47.24,11709440.0,,,
2000-09-29,47.54,47.99,46.53,47.32,8268810.0,,,
2000-09-30,47.51,49.19,47.5,48.35,8944090.0,,,
2000-10-03,48.88,49.6,48.22,48.48,6445340.0,,,
2000-10-04,48.6,49.3,47.8,48.9,6249720.0,,,
2000-10-05,49.2,51.5,49.1,50.31,14835540.0,,,
2000-10-06,50.59,50.9,48.65,49.14,4297960.0,,,
2000-10-07,49.4,53.95,49.2,52.3,29769280.0,,,
2000-10-10,52.8,53.71,51.51,52.12,11249550.0,,,
2000-10-11,51.63,52.9,50.7,52.12,6549670.0,,,
2000-10-12,52.99,53.63,52.13,52.51,5665270.0,,,
2000-10-13,52.67,53.0,50.9,51.52,4364210.0,,,
2000-10-14,51.78,52.9,50.61,50.88,6448450.0,,,
2000-10-17,51.0,51.45,49.36,50.71,4463640.0,,,
2000-10-18,51.16,52.0,50.15,50.51,5211310.0,,,
2000-10-19,50.5,51.0,49.5,50.14,3379560.0,,,
2000-10-20,50.56,50.88,50.0,50.39,2512760.0,,,
2000-10-21,50.2,51.8,49.5,50.84,4892520.0,,,
2000-10-24,51.25,51.68,50.53,51.27,2725900.0,,,
2000-10-25,51.23,51.78,50.1,51.47,3531090.0,,,
2000-10-26,51.53,51.53,50.5,51.23,1644250.0,,,
2000-10-27,51.4,53.85,51.21,52.88,11425660.0,,,
2000-10-28,53.0,53.39,50.85,51.23,3420370.0,,,
2000-10-31,51.55,54.3,51.11,53.51,9123200.0,,,
2000-11-01,53.8,53.91,51.8,52.85,5966280.0,,,
2000-11-02,53.0,56.48,52.56,54.85,28391310.0,,,
2000-11-03,55.55,56.45,54.1,55.31,13040070.0,,,
2000-11-04,56.5,56.5,55.22,55.44,1636650.0,,,
2000-11-07,55.78,63.63,53.6,62.32,49871360.0,,,
2000-11-08,62.4,63.3,61.01,61.8,19406310.0,,,
2000-11-09,61.5,61.67,59.5,59.97,7336230.0,,,
2000-11-10,60.2,63.6,60.2,60.84,22039910.0,,,
2000-11-11,60.49,62.17,59.6,60.02,9729520.0,,,
2000-11-14,59.25,61.28,57.83,58.79,6657430.0,,,
2000-11-15,59.1,61.1,57.61,58.56,8928130.0,,,
2000-11-17,59.03,60.2,57.0,58.67,5080840.0,,,
2000-11-18,58.7,59.08,56.73,57.58,2972020.0,,,
2000-11-21,57.88,61.12,57.5,60.7,7585540.0,,,
2000-11-22,50.22,61.15,50.22,58.8,8336660.0,,,
2000-11-23,58.69,61.1,58.1,59.0,9106740.0,,,
2000-11-24,58.99,60.45,57.7,58.12,4343470.0,,,
2000-11-25,58.0,59.42,52.0,57.78,7664420.0,,,
2000-11-28,58.22,59.98,57.5,59.62,3457510.0,,,
2000-11-29,60.15,60.9,58.46,59.8,4958910.0,,,
2000-11-30,60.4,67.2,60.15,62.06,40586990.0,,,
2000-12-01,62.48,63.66,60.83,61.25,10150730.0,,,
2000-12-02,61.69,62.95,60.01,61.22,15602360.0,,,
2000-12-05,59.05,62.94,59.05,62.43,11052500.0,,,
2000-12-06,62.29,63.47,61.57,62.72,7002240.0,,,
2000-12-07,62.47,62.88,59.76,60.2,6377000.0,,,
2000-12-08,60.5,60.77,52.7,54.93,11248010.0,,,
2000-12-09,52.15,59.5,48.73,56.03,17511250.0,,,
2000-12-12,50.55,57.6,50.55,55.17,10788130.0,,,
2000-12-13,55.61,59.38,55.4,58.9,13356420.0,,,
2000-12-14,58.9,59.79,54.8,55.56,9987700.0,,,
2000-12-15,55.83,56.55,55.23,55.73,5421700.0,,,
2000-12-19,55.6,57.8,54.8,56.82,7320750.0,,,
2000-12-20,57.28,58.89,56.45,57.9,6841940.0,,,
2000-12-21,58.35,60.27,58.01,59.0,7740950.0,,,
2000-12-22,59.48,60.2,59.05,59.8,6424230.0,,,
2000-12-23,59.5,64.65,59.11,63.2,27592550.0,,,
2000-12-26,63.2,64.2,61.53,61.9,8935350.0,,,
2000-12-27,62.29,63.1,60.82,61.12,5359790.0,,,
2000-12-28,61.2,62.69,61.1,62.35,5336200.0,,,
2000-12-29,62.5,63.63,62.01,62.62,4310460.0,,,
2000-12-30,62.7,63.43,62.16,62.56,3372680.0,,,
2001-01-02,62.99,66.17,62.7,64.3,15503070.0,,,
2001-01-03,64.8,64.95,62.93,63.7,5775370.0,,,
2001-01-04,63.7,64.35,61.88,62.4,4504050.0,,,
2001-01-05,62.85,63.49,61.92,62.38,3996440.0,,,
2001-01-06,62.4,62.8,59.9,60.4,4824050.0,,,
2001-01-09,60.4,60.73,56.63,57.1,4037270.0,,,
2001-01-10,57.41,58.15,54.71,55.98,6812300.0,,,
2001-01-11,56.8,58.17,55.75,57.86,7260870.0,,,
2001-01-12,58.32,61.9,57.2,59.6,13210810.0,,,
2001-01-13,58.5,59.38,55.53,56.22,6598600.0,,,
2001-01-16,55.5,58.49,55.5,57.39,3863310.0,,,
2001-01-17,57.61,59.22,57.61,58.18,2723990.0,,,
2001-01-18,58.7,59.0,57.55,58.23,2739170.0,,,
2001-01-19,57.89,61.27,57.81,60.12,8814960.0,,,
2001-01-20,59.92,61.29,59.43,59.69,3957870.0,,,
2001-01-23,59.7,61.0,59.5,59.97,2299750.0,,,
2001-01-24,59.8,60.75,58.6,59.05,2666020.0,,,
2001-01-26,59.1,59.69,57.7,58.0,2516430.0,,,
2001-01-27,57.89,58.47,54.0,54.48,3093750.0,,,
2001-01-30,53.5,56.0,52.5,54.63,8223060.0,,,
2001-01-31,54.7,56.39,53.82,54.6,3877040.0,,,
2001-02-01,55.0,55.8,52.03,52.41,7842320.0,,,
2001-02-02,52.4,53.49,52.02,53.04,9167650.0,,,
2001-02-03,53.3,53.3,50.5,50.79,6307330.0,,,
2001-02-06,50.67,52.78,50.67,51.47,5147140.0,,,
2001-02-07,52.12,52.7,49.01,49.39,9940320.0,,,
2001-02-08,49.39,49.5,46.43,48.25,6615620.0,,,
2001-02-09,48.97,49.2,46.71,47.07,4303870.0,,,
2001-02-10,47.0,49.5,47.0,49.06,4930860.0,,,
2001-02-13,51.0,51.0,49.16,50.49,8647990.0,,,
2001-02-14,50.5,50.94,49.3,49.91,2508410.0,,,
2001-02-15,50.36,51.34,49.6,49.88,5948410.0,,,
2001-02-16,50.05,50.8,49.54,49.87,4199700.0,,,
2001-02-17,50.19,52.04,48.45,48.78,8859040.0,,,
2001-02-20,49.0,50.8,48.79,50.31,4023210.0,,,
2001-02-21,49.97,51.68,49.53,50.91,6165230.0,,,
2001-02-22,50.5,51.68,50.0,51.03,4997000.0,,,
2001-02-23,52.0,56.8,51.56,52.88,37099390.0,,,
2001-02-24,53.73,54.66,50.8,52.55,13379250.0,,,
2001-02-27,53.18,54.4,52.75,54.13,4941560.0,,,
2001-02-28,54.55,55.65,54.11,55.22,4479940.0,,,
2001-03-02,54.19,55.0,53.4,53.68,2710300.0,,,
2001-03-03,54.0,54.38,53.1,53.49,2231570.0,,,
2001-03-06,52.92,55.72,51.93,55.35,9056830.0,,,
2001-03-07,55.84,57.73,55.36,55.85,9377950.0,,,
2001-03-08,56.83,56.85,54.67,54.98,3540250.0,,,
2001-03-09,55.11,56.08,54.11,54.6,3377260.0,,,
2001-03-10,54.2,55.7,53.27,54.89,3066950.0,,,
2001-03-13,54.81,55.38,54.17,54.63,1814220.0,,,
2001-03-14,53.76,55.43,52.35,54.69,7029440.0,,,
2001-03-15,54.92,57.54,54.9,56.27,9907100.0,,,
2001-03-16,55.9,58.07,55.67,56.37,8486260.0,,,
2001-03-17,56.97,57.66,55.1,55.49,6705150.0,,,
2001-03-20,55.51,56.57,55.0,55.67,3665090.0,,,
2001-03-21,56.0,56.37,53.7,54.13,4331690.0,,,
2001-03-22,54.19,56.1,54.0,55.13,5688360.0,,,
2001-03-23,55.3,55.68,54.03,54.38,2430490.0,,,
2001-03-24,54.92,55.2,54.43,54.78,8579490.0,,,
2001-03-27,54.81,55.6,54.5,55.07,2832980.0,,,
2001-03-28,58.0,58.0,54.56,54.87,3841900.0,,,
2001-03-29,55.09,55.48,54.04,54.26,2025570.0,,,
2001-03-30,54.5,55.17,53.6,53.92,3874620.0,,,
2001-03-31,54.45,56.09,54.2,55.65,5842020.0,,,
2001-04-03,56.11,57.14,56.0,56.3,6236560.0,,,
2001-04-04,56.64,60.25,56.53,58.73,17328960.0,,,
2001-04-05,58.84,61.67,58.15,60.09,14102910.0,,,
2001-04-06,60.3,61.89,59.63,61.51,9023860.0,,,
2001-04-07,61.61,61.82,60.0,60.42,6289040.0,,,
2001-04-10,60.0,60.4,58.73,59.33,4657250.0,,,
2001-04-12,59.0,61.2,58.23,60.15,6520160.0,,,
2001-04-14,60.2,64.2,60.0,62.7,16622020.0,,,
2001-04-17,63.1,63.95,62.1,62.49,5948440.0,,,
2001-04-18,62.4,63.59,60.85,62.42,5720960.0,,,
2001-04-19,62.53,69.0,62.46,68.08,25272810.0,,,
2001-04-20,69.07,70.5,65.8,66.32,12988770.0,,,
2001-04-24,66.85,70.3,65.6,69.76,25018560.0,,,
2001-04-25,70.1,71.6,69.31,69.76,22696760.0,,,
2001-04-26,70.5,70.6,69.03,69.63,5579390.0,,,
2001-04-27,69.99,70.4,68.4,69.93,5507250.0,,,
2001-04-28,67.5,75.0,65.67,73.77,21622490.0,,,
2001-05-01,74.08,74.87,67.15,68.02,24930060.0,,,
2001-05-02,67.5,68.98,66.23,67.58,12265980.0,,,
2001-05-03,67.5,68.9,66.8,68.05,6570970.0,,,
2001-05-04,71.33,71.33,67.41,67.95,4532740.0,,,
2001-05-05,68.3,72.5,68.3,70.97,11043670.0,,,
2001-05-08,71.46,80.79,71.46,79.25,39602380.0,,,
2001-05-09,79.3,80.13,73.55,74.43,26444070.0,,,
2001-05-10,74.4,75.6,71.7,73.56,14972680.0,,,
2001-05-11,73.56,75.4,67.12,69.67,29842440.0,,,
2001-05-12,70.15,72.78,69.65,70.43,18809590.0,,,
2001-05-15,70.4,70.6,67.0,67.28,6136770.0,,,
2001-05-16,67.1,71.19,67.1,69.9,15854390.0,,,
2001-05-17,70.38,70.58,67.83,68.18,5290400.0,,,
2001-05-18,68.21,70.7,68.21,69.59,10007340.0,,,
2001-05-19,69.3,71.98,69.3,70.88,9450720.0,,,
2001-05-22,70.79,72.84,70.2,71.6,11824920.0,,,
2001-05-23,71.8,75.26,70.77,74.95,16665560.0,,,
2001-05-24,74.8,78.18,71.64,76.62,19352260.0,,,
2001-05-25,76.7,83.8,75.82,82.57,37985350.0,,,
2001-05-26,81.93,84.95,79.53,83.62,34565020.0,,,
2001-05-29,83.13,85.7,82.12,83.62,14351830.0,,,
2001-05-30,83.78,85.38,83.19,84.23,9207830.0,,,
2001-05-31,84.5,86.1,83.8,85.0,12021000.0,,,
2001-06-01,84.12,84.2,80.7,81.6,11002800.0,,,
2001-06-02,81.98,84.58,81.98,82.5,9935550.0,,,
2001-06-05,82.84,82.84,80.72,81.25,4737430.0,,,
2001-06-06,81.13,83.69,81.05,81.8,9975850.0,,,
2001-06-07,81.5,83.0,81.47,81.85,5201200.0,,,
2001-06-08,82.1,82.59,80.55,80.95,6786960.0,,,
2001-06-09,81.45,81.97,79.4,80.08,4969800.0,,,
2001-06-12,80.67,80.67,78.0,78.4,4074710.0,,,
2001-06-13,78.84,82.6,78.6,81.7,16290380.0,,,
2001-06-14,82.02,83.95,81.71,82.65,11698500.0,,,
2001-06-15,82.27,82.27,78.63,79.41,8872470.0,,,
2001-06-16,79.7,81.7,79.5,80.12,6437820.0,,,
2001-06-19,80.75,81.5,76.85,78.77,5773570.0,,,
2001-06-20,79.02,81.1,78.7,80.08,6009410.0,,,
2001-06-21,80.7,81.38,79.7,80.68,3650550.0,,,
2001-06-22,80.6,81.0,79.2,80.71,3677940.0,,,
2001-06-23,81.0,81.79,80.0,80.47,3316690.0,,,
2001-06-26,80.15,82.38,79.2,81.7,6908020.0,,,
2001-06-27,82.25,87.5,81.85,85.53,33453680.0,,,
2001-06-28,86.23,91.27,85.81,90.18,27498630.0,,,
2001-06-29,90.3,96.1,90.0,95.3,33394380.0,,,
2001-06-30,95.6,96.59,84.7,85.27,42715890.0,,,
2001-07-03,86.25,86.49,80.6,81.1,32403630.0,,,
2001-07-04,81.86,84.75,81.54,83.54,24327360.0,,,
2001-07-05,83.55,85.7,82.2,84.3,15763600.0,,,
2001-07-06,84.5,85.4,83.0,83.47,8109770.0,,,
2001-07-07,83.5,86.77,83.5,85.38,16756210.0,,,
2001-07-10,85.0,87.03,84.1,84.71,9999570.0,,,
2001-07-11,84.6,86.0,82.33,83.66,6734100.0,,,
2001-07-12,84.06,87.55,84.06,87.02,14851060.0,,,
2001-07-13,86.6,87.33,85.63,86.63,5913010.0,,,
2001-07-14,86.7,91.0,86.7,89.4,21482080.0,,,
2001-07-17,89.19,89.64,87.63,88.64,7350540.0,,,
2001-07-18,88.6,91.89,88.6,91.32,13519790.0,,,
2001-07-19,91.88,92.11,87.2,87.55,8579690.0,,,
2001-07-20,88.0,89.44,85.93,86.45,9326370.0,,,
2001-07-21,87.0,88.5,86.32,86.94,4957670.0,,,
2001-07-24,87.0,88.6,87.0,87.54,4324320.0,,,
2001-07-25,88.28,88.4,86.25,86.71,3033050.0,,,
2001-07-26,87.5,87.8,86.0,86.44,3354080.0,,,
2001-07-27,86.5,88.4,86.0,86.35,5988190.0,,,
2001-07-28,86.75,87.29,84.7,85.46,4694610.0,,,
2001-07-31,86.5,89.8,85.6,89.22,9524400.0,,,
2001-08-01,89.32,90.15,86.0,87.38,7697230.0,,,
2001-08-02,86.8,86.8,82.27,83.23,9666850.0,,,
2001-08-03,83.5,84.2,80.5,80.95,6905730.0,,,
2001-08-04,77.5,79.4,71.1,76.4,25221800.0,,,
2001-08-07,75.0,77.9,72.12,76.47,12356130.0,,,
2001-08-08,74.0,77.38,72.13,76.48,9357490.0,,,
2001-08-09,78.0,83.2,78.0,82.61,16347710.0,,,
2001-08-10,82.5,82.98,78.1,78.78,14148190.0,,,
2001-08-11,79.5,87.0,79.5,85.3,21034850.0,,,
2001-08-15,86.47,91.14,86.0,90.69,16653940.0,,,
2001-08-16,91.5,95.4,89.63,94.73,25616510.0,,,
2001-08-17,95.0,95.89,91.48,91.99,12957880.0,,,
2001-08-18,91.0,93.89,87.63,93.12,12897320.0,,,
2001-08-21,93.48,94.99,91.73,93.44,9756050.0,,,
2001-08-22,93.4,97.28,92.58,93.95,13903760.0,,,
2001-08-23,94.3,95.3,90.02,91.06,8899540.0,,,
2001-08-24,91.0,94.5,91.0,93.75,10284460.0,,,
2001-08-25,94.2,95.6,92.07,94.03,12576550.0,,,
2001-08-28,94.99,96.28,93.0,93.97,8469210.0,,,
2001-08-29,93.9,95.6,93.8,94.78,7095370.0,,,
2001-09-01,95.0,101.49,94.4,100.32,21345050.0,,,
