date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,11.16,11.55,10.88,11.29,81109.0,,,
1993-09-07,11.21,11.3,10.8,11.18,34679.0,,,
1993-09-08,11.08,11.2,11.05,11.1,68311.0,,,
1993-09-09,11.05,11.5,10.9,11.32,44580.0,,,
1993-09-10,11.07,12.6,11.07,12.48,375802.0,,,
1993-09-11,12.5,12.5,11.63,12.19,128284.0,,,
1993-09-14,12.35,13.22,11.81,12.53,164246.0,,,
1993-09-15,12.65,12.65,12.17,12.42,53811.0,,,
1993-09-16,12.5,12.91,12.44,12.64,86362.0,,,
1993-09-17,12.65,12.7,11.8,12.12,24094.0,,,
1993-09-18,12.0,12.48,11.6,11.77,38241.0,,,
1993-09-21,11.65,12.22,11.65,11.78,21460.0,,,
1993-09-22,11.35,12.0,11.35,11.87,13959.0,,,
1993-09-23,11.63,12.0,11.63,11.8,11429.0,,,
1993-09-24,11.06,12.23,11.06,11.89,29684.0,,,
1993-09-25,12.24,12.75,11.9,12.63,133807.0,,,
1993-09-28,12.93,13.55,12.5,13.33,139530.0,,,
1993-09-29,13.4,13.78,13.35,13.66,86390.0,,,
1993-09-30,13.85,15.1,13.85,14.45,271501.0,,,
1993-10-02,14.5,14.95,14.25,14.74,109609.0,,,
1993-10-05,15.0,15.0,14.51,14.59,62140.0,,,
1993-10-06,14.66,14.85,14.22,14.65,35651.0,,,
1993-10-07,14.65,15.75,14.53,15.28,168665.0,,,
1993-10-08,15.25,16.2,15.25,16.02,147978.0,,,
1993-10-09,16.25,17.75,16.05,17.53,320547.0,,,
1993-10-12,17.5,19.7,17.5,19.18,502814.0,,,
1993-10-13,19.25,19.25,17.75,17.91,259506.0,,,
1993-10-14,18.0,18.9,17.95,18.32,117944.0,,,
1993-10-15,18.05,18.65,17.75,17.9,100793.0,,,
1993-10-16,18.2,18.27,17.63,17.83,100757.0,,,
1993-10-19,18.1,18.12,16.78,17.01,49795.0,,,
1993-10-20,17.1,18.4,16.67,16.97,142123.0,,,
1993-10-21,17.44,17.5,16.78,16.88,75888.0,,,
1993-10-22,17.0,18.1,16.5,16.51,135964.0,,,
1993-10-23,16.67,17.25,16.45,17.04,90469.0,,,
1993-10-24,17.15,17.35,17.0,17.07,24435.0,,,
1993-10-26,17.15,17.15,16.5,16.53,39997.0,,,
1993-10-27,16.63,16.79,16.43,16.51,54271.0,,,
1993-10-28,16.5,17.05,16.45,16.91,57372.0,,,
1993-10-29,17.0,17.39,16.52,16.97,42749.0,,,
1993-10-30,17.05,17.5,16.9,17.13,47866.0,,,
1993-11-02,17.39,17.9,17.3,17.67,92479.0,,,
1993-11-03,17.9,18.1,16.64,17.28,70737.0,,,
1993-11-04,17.28,17.38,16.58,16.68,48455.0,,,
1993-11-05,16.8,17.15,16.8,16.93,35165.0,,,
1993-11-06,17.17,17.17,16.73,16.77,48734.0,,,
1993-11-09,16.75,16.95,16.56,16.84,7539.0,,,
1993-11-10,17.11,17.15,16.9,17.01,29586.0,,,
1993-11-11,17.05,17.45,16.95,17.27,43437.0,,,
1993-11-12,17.25,17.45,17.01,17.18,36925.0,,,
1993-11-13,17.45,17.5,16.95,17.09,33748.0,,,
1993-11-14,17.1,17.1,16.8,16.9,6607.0,,,
1993-11-16,16.66,17.1,16.66,17.02,18377.0,,,
1993-11-17,17.14,17.2,17.0,17.12,18934.0,,,
1993-11-18,17.05,17.05,16.69,16.76,23010.0,,,
1993-11-19,16.9,17.0,16.25,16.46,24218.0,,,
1993-11-20,16.45,16.45,15.11,16.08,67901.0,,,
