date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,32.78,32.78,31.83,32.17,1462026.0,,,
1993-09-07,32.87,33.22,32.36,32.86,928846.0,,,
1993-09-08,33.22,33.67,32.23,33.3,1529625.0,,,
1993-09-09,33.22,34.28,33.22,34.15,2337884.0,,,
1993-09-10,34.31,34.63,33.53,33.77,1442521.0,,,
1993-09-11,34.06,34.47,33.28,33.43,1549048.0,,,
1993-09-14,30.56,33.82,30.56,32.63,860566.0,,,
1993-09-15,32.22,34.13,31.69,33.99,1636339.0,,,
1993-09-16,34.11,34.39,32.92,33.24,934227.0,,,
1993-09-17,33.33,33.33,31.78,31.97,906702.0,,,
1993-09-18,33.22,33.22,31.47,32.47,904239.0,,,
1993-09-21,32.67,33.22,32.01,32.72,747643.0,,,
1993-09-22,32.67,33.22,32.24,32.96,613877.0,,,
1993-09-23,33.22,34.5,32.82,34.27,1531890.0,,,
1993-09-24,34.19,34.36,33.56,34.08,634770.0,,,
1993-09-25,34.11,34.91,33.94,34.8,1108602.0,,,
1993-09-28,34.89,35.75,34.89,35.56,836510.0,,,
1993-09-29,35.71,36.09,35.06,35.9,991885.0,,,
1993-09-30,35.56,36.1,35.33,35.61,768583.0,,,
1993-10-02,36.0,37.99,35.51,37.67,1483841.0,,,
1993-10-05,37.78,38.89,37.14,38.72,1529916.0,,,
1993-10-06,39.33,39.99,37.33,39.36,1396610.0,,,
1993-10-07,39.64,39.78,38.28,38.87,1292452.0,,,
1993-10-08,39.11,40.22,38.73,40.04,1502156.0,,,
1993-10-09,40.22,42.44,40.0,42.08,1672486.0,,,
1993-10-12,42.17,44.22,41.46,42.57,1242556.0,,,
1993-10-13,42.22,43.22,41.89,42.43,1202752.0,,,
1993-10-14,42.17,43.0,41.58,42.64,1176651.0,,,
1993-10-15,42.44,43.54,42.37,42.86,972360.0,,,
1993-10-16,42.99,44.87,41.68,44.52,1856327.0,,,
1993-10-19,44.78,46.41,44.0,45.79,1854144.0,,,
1993-10-20,45.11,45.66,44.05,44.9,1771938.0,,,
1993-10-21,44.44,45.11,44.13,44.62,1296807.0,,,
1993-10-22,44.44,45.44,43.7,44.08,1260545.0,,,
1993-10-23,43.9,44.27,41.89,43.46,1537216.0,,,
1993-10-24,43.99,44.78,43.99,44.1,205026.0,,,
1993-10-26,44.0,44.71,42.89,43.21,1167675.0,,,
1993-10-27,43.1,44.56,42.31,43.79,1032104.0,,,
1993-10-28,44.44,44.56,43.01,43.42,1018701.0,,,
1993-10-29,43.56,44.2,43.33,43.82,602107.0,,,
1993-10-30,44.21,45.38,44.06,45.17,987960.0,,,
1993-11-02,45.49,46.83,45.49,46.67,1163325.0,,,
1993-11-03,46.91,47.23,45.69,47.01,1316338.0,,,
1993-11-04,46.99,47.64,46.44,46.83,1211769.0,,,
1993-11-05,47.21,47.32,46.22,46.59,624711.0,,,
1993-11-06,46.67,47.2,45.85,45.98,532333.0,,,
1993-11-09,45.89,45.89,44.78,45.31,313482.0,,,
1993-11-10,45.56,46.0,45.13,45.63,719702.0,,,
1993-11-11,45.23,46.78,45.0,46.51,964374.0,,,
1993-11-12,46.36,46.67,45.11,45.69,649240.0,,,
1993-11-13,45.44,45.89,43.11,43.49,1129474.0,,,
1993-11-14,43.77,44.39,42.78,44.02,195788.0,,,
1993-11-16,44.0,44.66,43.41,44.16,545013.0,,,
1993-11-17,44.54,44.66,42.78,43.11,834900.0,,,
1993-11-18,43.11,43.11,40.24,41.04,1697213.0,,,
1993-11-19,41.22,42.1,40.11,40.46,1273180.0,,,
1993-11-20,40.19,40.89,39.73,40.47,1027607.0,,,
1993-11-23,40.78,41.95,40.56,41.54,860332.0,,,
1993-11-24,42.0,42.71,41.67,42.44,873136.0,,,
1993-11-26,42.33,43.19,42.33,42.93,1052058.0,,,
1993-11-27,43.06,44.72,43.01,44.54,778740.0,,,
1993-11-30,44.94,45.99,44.33,45.59,854781.0,,,
1993-12-01,46.04,46.11,44.72,45.35,1293376.0,,,
1993-12-02,45.44,46.16,45.39,45.79,897037.0,,,
1993-12-03,45.56,45.78,44.84,45.41,471039.0,,,
1993-12-04,45.56,46.91,45.46,45.73,1357017.0,,,
1993-12-07,45.56,46.66,45.12,46.21,965828.0,,,
1993-12-08,46.5,48.09,46.45,47.9,1228887.0,,,
1993-12-09,47.89,48.88,47.67,48.54,1243174.0,,,
1993-12-10,48.67,49.0,47.78,48.77,1036968.0,,,
1993-12-11,48.78,49.32,48.13,48.58,1006265.0,,,
1993-12-14,48.67,49.44,48.51,49.17,502419.0,,,
1993-12-15,48.89,48.89,47.81,48.51,594213.0,,,
1993-12-16,48.56,48.59,47.91,48.27,543081.0,,,
1993-12-17,47.71,51.47,47.71,50.92,1168160.0,,,
1993-12-18,51.22,55.78,50.28,55.41,4190934.0,,,
1993-12-21,54.67,55.93,53.89,54.75,1189087.0,,,
1993-12-22,54.89,55.31,54.06,54.26,1092944.0,,,
1993-12-23,54.44,58.0,54.44,57.15,1386028.0,,,
1993-12-25,51.11,59.3,51.11,58.82,1919715.0,,,
1993-12-28,58.67,59.94,58.56,59.2,1092045.0,,,
