date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,47.1,54.29,47.1,53.38,1942802.0,,,
1993-09-07,53.5,56.59,53.01,55.81,1716410.0,,,
1993-09-08,56.1,59.0,55.01,57.77,1878825.0,,,
1993-09-09,57.79,57.79,53.5,53.98,1074747.0,,,
1993-09-10,54.1,56.59,54.0,54.86,821404.0,,,
1993-09-11,59.9,59.9,53.01,53.71,727833.0,,,
1993-09-14,57.0,57.0,49.66,50.19,665277.0,,,
1993-09-15,49.8,52.4,46.1,51.59,905380.0,,,
1993-09-16,53.5,56.16,51.5,52.0,680257.0,,,
1993-09-17,51.5,52.37,48.21,48.64,544327.0,,,
1993-09-18,49.33,50.2,45.95,47.38,991872.0,,,
1993-09-21,48.2,48.88,45.86,46.65,473024.0,,,
1993-09-22,46.1,47.69,45.5,47.25,844879.0,,,
1993-09-23,45.7,45.7,38.53,44.07,3590612.0,,,
1993-09-24,42.6,47.88,42.0,47.07,1646397.0,,,
1993-09-25,43.2,48.8,43.0,48.03,17661.0,,,
1993-09-28,49.9,49.9,46.1,46.38,17112.0,,,
1993-09-29,47.0,48.99,46.5,48.12,33482.0,,,
1993-09-30,48.2,52.5,47.0,50.63,70613.0,,,
1993-10-02,53.0,53.0,49.6,49.98,65380.0,,,
1993-10-05,52.5,52.5,49.7,52.17,78136.0,,,
1993-10-06,59.0,59.0,51.15,51.94,51055.0,,,
1993-10-07,58.8,58.8,49.0,53.3,69012.0,,,
1993-10-08,58.0,58.0,54.0,57.2,92096.0,,,
1993-10-09,58.0,58.01,55.02,55.52,50398.0,,,
1993-10-12,54.5,58.51,54.0,56.45,233608.0,,,
1993-10-13,60.0,60.0,54.34,56.63,82185.0,,,
1993-10-14,59.9,59.9,54.0,54.13,64906.0,,,
1993-10-15,57.49,57.49,54.6,55.31,22364.0,,,
1993-10-16,61.0,61.0,54.3,54.78,14390.0,,,
1993-10-19,61.0,61.0,54.66,55.13,48224.0,,,
1993-10-20,57.5,57.5,53.0,53.99,42460.0,,,
1993-10-21,57.0,57.0,53.01,53.99,88704.0,,,
1993-10-22,57.0,57.0,51.4,52.02,17591.0,,,
1993-10-23,56.0,56.0,48.0,52.88,45132.0,,,
1993-10-24,53.0,53.0,51.71,52.19,6538.0,,,
1993-10-26,52.1,52.1,50.15,50.73,29119.0,,,
1993-10-27,51.0,51.1,49.7,50.6,19875.0,,,
1993-10-28,50.8,50.8,48.5,50.48,34941.0,,,
1993-10-29,50.5,52.7,50.2,51.46,27455.0,,,
1993-10-30,48.7,53.0,48.7,52.59,60574.0,,,
1993-11-02,52.7,55.0,51.75,53.89,35785.0,,,
1993-11-03,55.0,58.0,54.01,56.88,93992.0,,,
1993-11-04,58.0,61.5,57.5,60.67,226285.0,,,
1993-11-05,60.0,61.8,59.0,59.86,87119.0,,,
1993-11-06,60.0,60.1,57.6,59.18,27735.0,,,
1993-11-09,58.5,59.5,57.2,59.06,9206.0,,,
1993-11-10,59.5,60.3,57.5,59.03,21291.0,,,
1993-11-11,60.51,62.4,59.4,61.13,59072.0,,,
1993-11-12,62.3,62.5,59.8,60.49,33299.0,,,
1993-11-13,60.0,60.45,58.0,59.35,64761.0,,,
1993-11-14,58.9,60.0,58.67,59.31,6656.0,,,
1993-11-16,59.2,59.9,58.2,59.45,8476.0,,,
1993-11-17,59.9,62.49,59.53,61.55,30710.0,,,
1993-11-18,61.5,64.5,61.5,63.51,63576.0,,,
1993-11-19,64.5,65.0,61.0,61.29,37837.0,,,
1993-11-20,60.9,62.4,59.9,61.81,12950.0,,,
1993-11-23,62.0,63.4,61.2,63.11,18750.0,,,
1993-11-24,63.1,64.95,63.0,64.52,24672.0,,,
1993-11-26,64.0,69.0,63.9,67.5,35394.0,,,
1993-11-27,67.0,69.5,67.0,68.65,23746.0,,,
1993-11-30,69.8,73.21,68.5,72.73,49244.0,,,
1993-12-01,72.5,72.5,70.1,71.34,44082.0,,,
1993-12-02,71.5,73.0,70.13,71.54,32217.0,,,
1993-12-03,72.4,72.5,69.02,72.2,53298.0,,,
1993-12-04,73.0,76.6,72.5,75.89,42349.0,,,
1993-12-07,81.4,81.4,73.6,74.39,33037.0,,,
1993-12-08,75.0,77.6,75.0,77.25,32813.0,,,
1993-12-09,77.8,77.8,74.51,76.58,26350.0,,,
1993-12-10,76.0,76.5,73.01,74.46,23145.0,,,
1993-12-11,74.5,77.0,73.1,73.77,11402.0,,,
1993-12-14,75.0,75.0,72.7,72.87,15167.0,,,
1993-12-15,72.8,73.9,70.5,72.18,19866.0,,,
1993-12-16,71.01,72.8,70.5,71.58,20836.0,,,
1993-12-17,72.0,72.5,70.5,72.0,15603.0,,,
1993-12-18,70.5,75.0,70.5,73.59,29546.0,,,
1993-12-21,73.1,74.0,72.01,73.61,15451.0,,,
1993-12-22,72.5,73.5,71.0,71.78,12582.0,,,
1993-12-23,71.7,75.0,70.21,72.91,48667.0,,,
1993-12-25,74.5,74.99,71.0,72.55,25882.0,,,
1993-12-28,73.0,75.0,72.4,74.66,37762.0,,,
1993-12-29,72.75,74.0,72.0,72.81,12560.0,,,
1993-12-30,74.79,74.79,69.7,70.27,17115.0,,,
1993-12-31,70.3,72.94,70.0,71.63,10600.0,,,
1994-01-01,72.5,72.5,71.0,71.51,25517.0,,,
1994-01-04,71.51,72.3,70.25,71.18,43657.0,,,
1994-01-05,71.0,72.5,68.81,70.24,39576.0,,,
1994-01-06,70.51,71.0,64.0,67.16,32314.0,,,
1994-01-07,69.0,72.0,66.1,69.94,13694.0,,,
1994-01-08,70.1,73.2,68.0,69.19,36182.0,,,
1994-01-11,69.35,70.0,66.7,69.35,18965.0,,,
1994-01-12,68.0,69.4,67.0,68.38,13803.0,,,
1994-01-13,69.5,71.14,67.11,68.82,23679.0,,,
1994-01-14,68.6,71.5,68.21,69.02,18406.0,,,
1994-01-15,68.1,70.0,67.9,69.0,17708.0,,,
1994-01-18,69.0,70.5,68.53,70.01,22668.0,,,
1994-01-19,70.9,71.5,69.0,69.89,26083.0,,,
1994-01-20,70.0,70.0,62.0,63.47,34573.0,,,
1994-01-21,65.0,65.9,58.6,61.61,61093.0,,,
1994-01-22,62.5,64.8,60.3,62.79,19068.0,,,
1994-01-26,65.0,67.9,63.5,65.94,29909.0,,,
1994-01-27,64.5,66.1,63.5,63.85,25014.0,,,
1994-01-28,63.6,65.8,62.81,64.44,6629.0,,,
1994-01-29,64.0,64.0,60.0,61.03,20105.0,,,
1994-02-02,60.0,60.0,52.0,56.64,59394.0,,,
1994-02-03,54.0,59.6,50.0,58.39,63981.0,,,
1994-02-04,57.2,59.5,57.2,58.01,45716.0,,,
1994-02-05,58.0,63.5,55.55,60.92,116190.0,,,
1994-02-08,60.1,61.5,60.1,61.09,15762.0,,,
1994-02-09,62.1,62.1,60.5,61.0,31330.0,,,
1994-02-10,59.0,61.4,59.0,60.99,37353.0,,,
1994-02-11,63.8,65.0,59.7,62.65,35434.0,,,
1994-02-12,66.9,68.95,62.5,67.64,53314.0,,,
1994-02-15,69.0,71.8,66.0,66.38,26929.0,,,
1994-02-16,69.0,70.0,65.0,68.58,21191.0,,,
1994-02-17,68.5,70.0,67.11,67.52,15150.0,,,
1994-02-18,67.2,67.51,65.0,65.46,32793.0,,,
1994-02-19,64.2,66.5,64.2,65.45,8213.0,,,
1994-02-22,68.0,68.0,63.5,63.78,10137.0,,,
1994-02-23,63.9,68.0,63.85,67.53,24577.0,,,
1994-02-24,67.5,69.5,64.0,65.45,24772.0,,,
1994-02-25,66.9,70.0,66.5,66.93,22648.0,,,
1994-02-26,67.5,67.55,65.8,67.5,14979.0,,,
1994-03-01,69.0,69.0,65.9,67.42,41499.0,,,
1994-03-03,68.79,68.79,66.1,67.14,14788.0,,,
1994-03-04,67.2,67.5,66.5,67.23,22416.0,,,
1994-03-05,67.0,69.2,66.8,67.85,19871.0,,,
1994-03-08,68.0,71.0,68.0,69.95,28706.0,,,
1994-03-09,68.0,69.1,67.5,68.95,4189.0,,,
1994-03-10,67.5,68.3,67.5,67.73,14341.0,,,
1994-03-11,67.4,67.8,66.55,66.93,5750.0,,,
1994-03-12,66.8,69.1,63.6,68.88,21393.0,,,
1994-03-15,66.8,68.0,65.6,67.28,15850.0,,,
1994-03-16,65.5,67.5,64.62,65.77,9201.0,,,
1994-03-17,66.9,66.9,65.05,65.63,2423.0,,,
1994-03-18,66.0,66.0,64.0,64.09,3838.0,,,
1994-03-19,64.01,65.5,63.0,65.32,10009.0,,,
1994-03-22,71.9,71.9,65.7,67.19,14928.0,,,
1994-03-23,66.5,67.0,63.5,66.07,9384.0,,,
1994-03-24,66.0,66.68,64.7,65.77,12230.0,,,
1994-03-25,69.0,69.0,65.7,66.01,28302.0,,,
1994-03-26,66.8,67.0,63.5,64.83,13032.0,,,
1994-03-29,64.0,66.3,63.6,64.86,11322.0,,,
1994-03-30,67.0,67.0,65.0,65.21,18739.0,,,
1994-03-31,66.0,66.0,64.71,65.0,25271.0,,,
1994-04-01,65.0,65.9,63.5,64.19,24771.0,,,
1994-04-02,64.9,68.5,64.2,64.61,13346.0,,,
1994-04-05,65.95,67.5,65.43,65.71,35547.0,,,
1994-04-06,69.9,70.0,65.0,65.46,14211.0,,,
1994-04-07,65.51,67.5,65.51,65.74,16092.0,,,
1994-04-08,66.6,68.5,65.9,68.03,22715.0,,,
1994-04-12,68.7,74.0,68.7,71.36,84817.0,,,
1994-04-13,71.36,73.49,71.36,72.0,51313.0,,,
1994-04-15,72.4,74.0,71.15,72.87,40320.0,,,
1994-04-16,73.59,78.84,71.31,74.22,113056.0,,,
1994-04-17,75.0,75.95,73.5,74.02,15724.0,,,
1994-04-19,74.63,75.49,72.51,72.95,27284.0,,,
1994-04-20,72.1,75.4,72.1,74.78,22874.0,,,
1994-04-21,74.5,79.9,73.8,78.61,163696.0,,,
1994-04-22,78.7,87.4,78.7,85.87,239064.0,,,
1994-04-23,85.0,90.0,81.0,82.39,224110.0,,,
1994-04-27,82.75,86.48,78.1,81.45,178258.0,,,
1994-04-28,82.5,84.9,81.01,82.43,102623.0,,,
1994-04-29,82.5,82.5,79.2,80.7,78105.0,,,
1994-04-30,81.0,84.0,80.0,80.72,34684.0,,,
1994-05-03,81.0,82.5,77.5,81.51,58037.0,,,
1994-05-04,82.5,85.0,82.5,83.43,32747.0,,,
1994-05-05,84.0,87.0,83.24,86.72,57058.0,,,
1994-05-06,88.5,88.98,84.21,84.64,37464.0,,,
1994-05-07,85.1,85.54,84.6,85.03,43134.0,,,
1994-05-10,83.01,87.0,83.01,86.21,27390.0,,,
1994-05-11,83.01,85.15,82.5,83.56,40577.0,,,
1994-05-12,83.6,84.74,82.03,83.11,38346.0,,,
1994-05-13,78.01,85.3,78.01,83.95,47417.0,,,
1994-05-14,84.8,84.8,67.5,77.15,105963.0,,,
1994-05-17,77.21,78.0,61.84,70.46,67934.0,,,
1994-05-18,72.1,74.9,70.3,74.13,72830.0,,,
1994-05-19,76.99,81.4,76.63,80.83,93898.0,,,
1994-05-20,81.2,81.9,78.5,79.93,25635.0,,,
1994-05-21,78.01,81.48,76.6,80.45,22346.0,,,
1994-05-24,81.0,85.0,81.0,84.33,25250.0,,,
1994-05-25,82.7,82.8,78.44,80.28,21765.0,,,
1994-05-26,80.5,83.1,79.01,80.05,31572.0,,,
1994-05-27,80.5,81.49,79.01,79.8,17055.0,,,
1994-05-28,80.0,80.9,74.0,75.03,44399.0,,,
1994-05-31,76.0,76.5,67.73,70.02,94100.0,,,
1994-06-01,72.0,72.0,69.5,71.48,79148.0,,,
1994-06-02,71.4,72.99,70.0,70.51,18928.0,,,
1994-06-03,71.5,72.0,66.0,66.06,46079.0,,,
1994-06-04,66.5,67.6,64.2,65.89,47253.0,,,
1994-06-07,67.9,70.0,66.0,66.63,16816.0,,,
1994-06-08,63.81,67.9,63.81,65.79,39667.0,,,
1994-06-09,66.6,68.5,66.1,67.99,24507.0,,,
1994-06-10,67.9,72.2,67.7,71.22,156248.0,,,
1994-06-11,70.8,72.6,70.7,71.24,43594.0,,,
1994-06-14,69.5,70.3,66.8,68.42,42286.0,,,
1994-06-15,68.4,69.3,66.0,66.61,174153.0,,,
1994-06-16,68.9,71.2,67.11,67.66,36651.0,,,
1994-06-17,70.0,72.5,63.55,64.9,278099.0,,,
1994-06-18,64.99,65.1,62.5,63.02,172026.0,,,
1994-06-21,63.0,63.95,60.0,60.82,76721.0,,,
1994-06-22,60.8,61.5,59.09,60.27,82673.0,,,
1994-06-23,61.3,61.89,60.5,60.81,67360.0,,,
1994-06-24,61.0,65.39,58.8,64.61,209922.0,,,
1994-06-25,68.5,68.5,62.25,62.99,69429.0,,,
1994-06-28,63.5,65.4,62.23,62.79,210154.0,,,
1994-06-29,63.1,65.19,63.0,64.79,75525.0,,,
1994-06-30,62.1,66.0,62.1,63.48,35876.0,,,
1994-07-01,64.0,64.7,60.1,63.34,20733.0,,,
1994-07-02,63.5,64.9,62.8,63.08,29007.0,,,
1994-07-05,63.2,64.8,63.1,64.31,32311.0,,,
1994-07-06,64.01,64.98,62.8,62.95,31836.0,,,
1994-07-07,63.5,64.5,61.22,61.47,51606.0,,,
1994-07-08,61.86,65.0,61.0,61.68,120701.0,,,
1994-07-09,61.6,62.75,60.5,62.0,29098.0,,,
1994-07-12,62.49,62.79,60.5,61.02,29144.0,,,
1994-07-13,62.0,62.2,61.0,61.12,38150.0,,,
1994-07-14,62.0,62.0,59.63,60.04,28667.0,,,
1994-07-15,60.88,60.95,58.0,59.85,75496.0,,,
1994-07-16,61.0,63.0,60.4,62.7,84832.0,,,
1994-07-19,63.2,63.5,60.5,60.89,68350.0,,,
1994-07-20,61.8,62.4,61.2,62.1,34025.0,,,
1994-07-21,62.4,62.69,61.53,61.95,25897.0,,,
1994-07-22,62.05,62.99,61.8,61.95,36216.0,,,
1994-07-23,61.8,62.3,61.1,61.55,27610.0,,,
1994-07-26,61.8,63.0,61.5,62.64,39634.0,,,
1994-07-27,63.5,64.49,62.0,62.51,59549.0,,,
1994-07-28,62.5,63.0,61.3,61.51,12076.0,,,
1994-07-29,62.3,62.44,59.32,61.49,47725.0,,,
1994-07-30,61.0,63.5,60.7,62.13,62069.0,,,
1994-08-02,62.49,62.49,61.0,61.16,20398.0,,,
1994-08-03,61.4,62.0,61.0,61.05,13069.0,,,
1994-08-04,61.7,61.7,61.3,61.54,22220.0,,,
1994-08-05,61.7,62.5,61.5,62.09,47398.0,,,
1994-08-06,62.1,62.5,62.0,62.1,20952.0,,,
1994-08-09,62.0,63.99,61.71,63.19,29518.0,,,
1994-08-10,63.5,64.08,63.0,63.57,32070.0,,,
1994-08-11,64.0,66.4,63.51,65.1,92131.0,,,
1994-08-12,65.6,69.37,64.72,68.19,108810.0,,,
1994-08-13,69.0,69.0,66.37,67.31,140887.0,,,
1994-08-16,66.2,68.42,65.16,65.95,49079.0,,,
1994-08-17,66.48,67.5,66.3,67.08,32784.0,,,
1994-08-18,67.2,67.4,55.62,64.03,47179.0,,,
1994-08-19,64.5,66.5,64.4,65.09,53548.0,,,
1994-08-20,65.0,66.3,64.5,65.31,24955.0,,,
