date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,72.78,73.31,70.0,72.57,704690.0,,,
1993-09-07,73.33,75.87,73.33,74.97,785028.0,,,
1993-09-08,76.87,77.09,74.12,75.07,910356.0,,,
1993-09-09,75.56,76.78,74.73,76.53,806667.0,,,
1993-09-10,75.33,76.33,74.67,75.42,784192.0,,,
1993-09-11,75.56,76.67,72.36,73.05,866873.0,,,
1993-09-14,73.11,73.11,65.59,66.21,1154071.0,,,
1993-09-15,66.22,68.55,62.1,68.08,1885704.0,,,
1993-09-16,67.67,68.46,62.35,63.53,1260529.0,,,
1993-09-17,63.43,64.16,59.8,60.37,1497102.0,,,
1993-09-18,61.01,61.77,57.02,60.14,2009582.0,,,
1993-09-21,61.22,61.55,57.79,58.22,1197591.0,,,
1993-09-22,57.77,61.89,56.9,61.65,2774329.0,,,
1993-09-23,62.25,64.23,60.56,63.43,1989864.0,,,
1993-09-24,64.45,66.0,63.67,64.02,1807606.0,,,
1993-09-25,64.56,65.39,62.89,63.8,1128346.0,,,
1993-09-28,64.22,68.66,64.22,67.44,2913758.0,,,
1993-09-29,68.3,69.33,67.56,67.91,1499051.0,,,
1993-09-30,69.11,69.11,66.68,67.27,795519.0,,,
1993-10-02,67.67,68.48,65.88,67.58,1374150.0,,,
1993-10-05,68.33,70.78,66.67,70.14,1453705.0,,,
1993-10-06,71.22,71.62,69.12,69.48,1279246.0,,,
1993-10-07,69.89,70.17,68.47,69.49,694172.0,,,
1993-10-08,70.04,70.56,69.45,69.93,566224.0,,,
1993-10-09,70.43,70.43,67.45,68.35,826907.0,,,
1993-10-12,69.31,71.39,68.35,70.93,946752.0,,,
1993-10-13,72.0,72.0,68.45,69.02,847144.0,,,
1993-10-14,69.11,69.87,66.92,69.27,707448.0,,,
1993-10-15,69.99,70.22,68.33,68.85,414885.0,,,
1993-10-16,68.78,70.57,68.35,69.73,688928.0,,,
1993-10-19,70.11,70.11,67.67,67.97,795926.0,,,
1993-10-20,68.56,68.56,65.9,66.38,784029.0,,,
1993-10-21,66.89,67.45,63.95,64.31,582424.0,,,
1993-10-22,64.67,66.3,63.66,64.07,619765.0,,,
1993-10-23,64.45,65.16,63.11,64.79,584594.0,,,
1993-10-24,66.22,67.33,65.33,66.91,317759.0,,,
1993-10-26,67.76,68.36,65.06,65.61,911055.0,,,
1993-10-27,66.25,66.33,64.46,65.14,675419.0,,,
1993-10-28,64.56,64.95,63.36,64.23,698548.0,,,
1993-10-29,64.45,65.55,63.17,63.65,1043481.0,,,
1993-10-30,63.89,66.67,63.68,66.23,833701.0,,,
1993-11-02,67.56,68.08,66.39,67.72,585774.0,,,
1993-11-03,68.21,70.0,66.81,69.52,1164698.0,,,
1993-11-04,70.7,72.22,69.89,70.99,1295078.0,,,
1993-11-05,72.0,72.45,70.56,71.08,733684.0,,,
1993-11-06,71.38,72.22,70.38,71.15,1050590.0,,,
1993-11-09,71.12,73.56,70.78,73.21,494844.0,,,
1993-11-10,73.67,74.81,73.36,73.83,758684.0,,,
1993-11-11,74.55,74.98,72.89,73.68,682065.0,,,
1993-11-12,73.91,74.21,70.67,71.33,728520.0,,,
1993-11-13,71.67,71.67,68.89,69.33,551360.0,,,
1993-11-14,69.55,70.0,68.56,69.34,132645.0,,,
1993-11-16,70.0,70.63,69.22,70.01,350458.0,,,
1993-11-17,70.56,70.91,68.33,68.7,319410.0,,,
1993-11-18,68.78,68.78,67.57,68.05,451795.0,,,
1993-11-19,68.0,68.89,66.68,67.13,473980.0,,,
1993-11-20,66.82,67.2,65.7,66.74,393867.0,,,
1993-11-23,67.38,68.27,67.01,67.47,213541.0,,,
1993-11-24,67.78,68.11,67.24,67.5,364260.0,,,
1993-11-26,68.0,68.67,66.69,67.07,709401.0,,,
1993-11-27,68.1,69.33,67.67,68.61,727613.0,,,
1993-11-30,69.01,69.75,68.8,69.2,499457.0,,,
1993-12-01,69.33,69.77,67.93,68.32,417003.0,,,
1993-12-02,68.78,69.8,68.33,69.4,450377.0,,,
1993-12-03,69.78,70.52,68.51,69.66,555532.0,,,
1993-12-04,70.22,70.44,68.12,68.5,571115.0,,,
1993-12-07,68.67,68.78,67.56,68.43,261436.0,,,
1993-12-08,69.11,72.12,68.92,71.7,993986.0,,,
1993-12-09,72.01,76.88,71.67,75.31,1846722.0,,,
1993-12-10,76.0,77.22,74.73,77.07,963373.0,,,
1993-12-11,77.78,78.33,76.12,77.06,489310.0,,,
1993-12-14,76.67,77.78,75.89,76.33,339033.0,,,
1993-12-15,76.11,76.45,74.67,75.21,296942.0,,,
1993-12-16,74.72,76.17,74.72,75.18,330270.0,,,
1993-12-17,75.67,79.71,75.0,78.93,1400550.0,,,
1993-12-18,79.97,83.72,79.22,82.85,1336845.0,,,
1993-12-21,83.22,85.32,81.25,84.2,1009253.0,,,
1993-12-22,84.45,84.45,81.7,82.06,422289.0,,,
1993-12-23,84.45,84.45,80.57,81.56,1168335.0,,,
1993-12-25,81.67,83.2,80.57,81.84,430371.0,,,
1993-12-28,83.33,84.33,82.35,83.26,483291.0,,,
1993-12-29,84.89,88.87,83.25,86.79,1292639.0,,,
1993-12-30,87.76,90.32,86.67,88.7,1013019.0,,,
1993-12-31,90.56,91.99,89.33,91.34,718555.0,,,
1994-01-01,92.0,104.88,91.67,102.15,2844441.0,,,
1994-01-04,111.11,111.11,103.33,104.08,2888266.0,,,
1994-01-05,105.56,107.63,95.96,98.83,1751199.0,,,
1994-01-06,99.45,102.22,98.48,100.27,1767552.0,,,
1994-01-07,101.33,106.45,100.37,105.46,2005389.0,,,
1994-01-08,106.56,108.33,100.69,101.67,1204767.0,,,
1994-01-11,102.45,102.45,95.58,96.55,1328653.0,,,
1994-01-12,97.56,98.89,92.78,94.36,1813470.0,,,
1994-01-13,96.67,97.11,93.02,93.63,1241366.0,,,
1994-01-14,95.45,96.45,91.85,93.38,1189604.0,,,
1994-01-15,93.56,94.67,89.01,90.45,1585605.0,,,
1994-01-18,89.45,95.78,89.01,93.4,2331574.0,,,
1994-01-19,94.17,95.57,90.27,91.51,1462602.0,,,
1994-01-20,91.11,91.33,81.68,83.03,1699829.0,,,
1994-01-21,90.56,90.56,79.28,81.08,1667587.0,,,
1994-01-22,81.72,88.78,81.72,86.87,1368766.0,,,
1994-01-26,88.28,90.67,86.61,90.16,1240494.0,,,
1994-01-27,89.45,91.11,84.69,85.87,1291866.0,,,
1994-01-28,86.45,89.45,83.45,85.25,2119195.0,,,
1994-01-29,86.59,87.41,81.89,82.29,1382470.0,,,
1994-02-02,82.22,82.22,76.12,76.89,1369821.0,,,
1994-02-03,80.45,80.45,77.22,79.57,1412536.0,,,
1994-02-04,80.32,81.56,78.67,79.13,847476.0,,,
1994-02-05,79.97,82.21,78.79,81.65,1083729.0,,,
1994-02-08,82.22,83.86,81.45,82.74,692061.0,,,
1994-02-09,83.33,84.89,81.72,82.78,963570.0,,,
1994-02-10,82.91,84.31,82.39,83.3,783696.0,,,
1994-02-11,83.89,84.2,81.11,81.88,787005.0,,,
1994-02-12,81.23,82.21,80.01,81.91,672244.0,,,
1994-02-15,83.89,83.89,80.56,80.98,558129.0,,,
1994-02-16,80.89,81.1,79.34,79.89,545649.0,,,
1994-02-17,80.06,86.0,79.5,85.22,2797706.0,,,
1994-02-18,85.78,87.41,83.12,84.0,2417846.0,,,
1994-02-19,84.78,84.78,82.26,82.81,1210915.0,,,
1994-02-22,83.33,83.89,79.45,79.95,1060880.0,,,
1994-02-23,80.0,81.4,78.68,79.33,778620.0,,,
1994-02-24,77.78,79.41,73.89,74.82,1207065.0,,,
1994-02-25,76.33,80.65,75.56,77.79,2460456.0,,,
1994-02-26,78.56,80.55,78.56,79.99,933522.0,,,
1994-03-01,80.67,84.66,80.56,84.17,1431723.0,,,
1994-03-03,84.95,85.45,81.88,83.54,1777053.0,,,
1994-03-04,83.78,86.45,83.46,84.24,1267578.0,,,
1994-03-05,85.45,89.41,84.45,89.0,3875566.0,,,
1994-03-08,90.22,97.74,90.22,95.01,5575669.0,,,
1994-03-09,95.56,97.11,92.02,93.26,3389700.0,,,
1994-03-10,93.58,95.52,92.84,93.36,2093412.0,,,
1994-03-11,92.98,94.17,91.47,92.02,2031997.0,,,
1994-03-12,91.33,91.45,88.45,89.17,2225259.0,,,
1994-03-15,90.0,91.32,86.93,87.65,2307386.0,,,
1994-03-16,86.67,93.76,86.11,92.31,3685912.0,,,
1994-03-17,93.33,95.49,91.03,94.79,4935009.0,,,
1994-03-18,93.89,96.1,93.89,95.41,3378570.0,,,
1994-03-19,95.33,95.78,93.78,95.31,2052609.0,,,
1994-03-22,95.33,95.45,93.16,93.82,949759.0,,,
1994-03-23,93.22,94.39,92.22,93.3,1494502.0,,,
1994-03-24,93.33,94.99,93.05,94.5,853708.0,,,
1994-03-25,94.56,95.0,93.23,94.36,1094921.0,,,
1994-03-26,93.46,94.18,93.33,93.37,1189565.0,,,
1994-03-29,84.45,95.0,81.11,93.7,8521890.0,,,
1994-03-30,92.21,94.11,91.78,93.32,2521151.0,,,
1994-03-31,91.22,94.02,90.56,93.41,3189218.0,,,
1994-04-01,92.0,92.86,91.11,92.47,4176806.0,,,
1994-04-02,92.5,96.67,91.03,95.55,8074608.0,,,
1994-04-05,95.33,97.22,94.25,94.86,5014311.0,,,
1994-04-06,95.0,95.45,93.57,94.38,2947811.0,,,
1994-04-07,94.22,95.0,93.06,93.84,3173395.0,,,
1994-04-08,94.0,99.89,93.81,98.73,6655788.0,,,
1994-04-12,100.97,105.33,96.24,97.2,5646063.0,,,
1994-04-13,97.56,98.43,94.22,97.72,3569176.0,,,
1994-04-15,97.98,98.33,95.58,96.88,3275614.0,,,
1994-04-16,97.11,97.66,95.7,96.49,2010121.0,,,
1994-04-17,98.3,98.3,95.95,96.1,486949.0,,,
1994-04-19,96.45,96.86,93.89,94.33,2340517.0,,,
1994-04-20,94.78,95.11,93.24,93.8,2103406.0,,,
1994-04-21,93.78,95.94,93.33,95.37,2485152.0,,,
1994-04-22,95.88,96.3,94.81,95.86,1712679.0,,,
1994-04-23,95.78,97.66,95.28,95.61,2069218.0,,,
1994-04-27,93.33,94.45,90.25,93.3,3491707.0,,,
1994-04-28,93.56,94.1,93.0,93.34,3083185.0,,,
1994-04-29,93.89,94.45,92.89,94.0,3868867.0,,,
1994-04-30,94.22,94.22,92.89,93.33,2246636.0,,,
1994-05-03,92.78,93.32,90.17,90.99,3171407.0,,,
1994-05-04,91.67,94.22,91.33,93.4,2652793.0,,,
1994-05-05,93.89,94.78,93.23,94.31,1653724.0,,,
1994-05-06,94.99,96.32,94.99,95.81,2004973.0,,,
1994-05-07,96.11,96.11,93.89,94.44,1114906.0,,,
1994-05-10,93.33,94.87,91.67,93.92,1920951.0,,,
1994-05-11,91.67,93.22,91.33,91.77,3315237.0,,,
1994-05-12,91.7,93.56,91.56,93.03,2788300.0,,,
1994-05-13,88.89,94.13,85.68,91.76,3429761.0,,,
1994-05-14,91.67,91.67,77.89,80.11,6627052.0,,,
1994-05-17,77.78,77.78,56.67,69.67,4156039.0,,,
1994-05-18,68.89,75.0,66.78,71.12,4514917.0,,,
1994-05-19,73.32,78.89,73.11,78.11,3557834.0,,,
1994-05-20,77.67,82.78,72.22,75.41,3456714.0,,,
1994-05-21,72.56,79.11,71.67,78.37,3416882.0,,,
1994-05-24,79.45,79.92,77.9,78.83,1927560.0,,,
1994-05-25,78.67,82.49,77.22,81.42,3028553.0,,,
1994-05-26,81.33,82.22,77.91,79.12,2789442.0,,,
1994-05-27,78.78,79.3,77.22,77.35,3682912.0,,,
1994-05-28,76.22,77.08,71.67,72.28,3159225.0,,,
1994-05-31,71.11,71.86,67.92,69.58,3689703.0,,,
1994-06-01,69.17,71.52,68.8,69.68,2952156.0,,,
1994-06-02,70.12,73.52,70.12,72.97,2460651.0,,,
1994-06-03,75.31,75.55,69.72,70.4,3133572.0,,,
1994-06-04,69.47,73.3,69.21,72.28,2315623.0,,,
1994-06-07,73.88,75.77,73.33,74.83,2688823.0,,,
1994-06-08,75.45,76.11,72.67,74.47,2061426.0,,,
1994-06-09,74.56,75.25,72.57,72.82,2258030.0,,,
1994-06-10,72.67,72.89,71.52,72.25,1752790.0,,,
1994-06-11,72.67,73.31,70.56,70.87,2648097.0,,,
1994-06-14,70.45,71.43,69.56,70.44,1729643.0,,,
1994-06-15,70.93,72.21,69.85,70.85,1554583.0,,,
1994-06-16,72.11,74.81,71.23,72.25,2454654.0,,,
1994-06-17,72.45,74.21,71.72,73.55,1494347.0,,,
1994-06-18,73.89,73.89,71.12,71.58,2462008.0,,,
1994-06-21,72.08,72.22,71.17,71.48,1579522.0,,,
1994-06-22,71.33,71.78,67.58,69.14,5793294.0,,,
1994-06-23,69.22,69.78,68.0,68.43,3106123.0,,,
1994-06-24,68.88,71.4,68.0,70.78,4156483.0,,,
1994-06-25,70.83,71.0,69.56,70.46,1735442.0,,,
1994-06-28,70.56,70.78,69.22,70.05,1855099.0,,,
1994-06-29,70.65,71.44,69.58,70.1,3145214.0,,,
1994-06-30,70.56,71.07,69.57,69.88,1832417.0,,,
1994-07-01,70.0,74.61,70.0,74.1,4604700.0,,,
1994-07-02,73.33,75.67,72.25,75.07,4630198.0,,,
1994-07-05,74.99,75.08,73.57,74.12,1700303.0,,,
1994-07-06,74.0,77.2,73.46,76.6,2200066.0,,,
1994-07-07,77.78,78.11,75.68,77.7,3100171.0,,,
1994-07-08,78.01,78.71,70.69,71.96,3750609.0,,,
1994-07-09,70.45,75.0,69.45,74.58,2449780.0,,,
