date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,14.25,14.3,14.18,14.18,1696.0,,,
1993-09-07,14.05,14.75,14.05,14.56,6873.0,,,
1993-09-08,14.55,16.2,14.55,15.71,21312.0,,,
1993-09-09,15.7,15.8,15.15,15.27,5792.0,,,
1993-09-10,15.0,15.2,14.85,14.94,3490.0,,,
1993-09-11,15.0,15.55,14.9,15.13,15259.0,,,
1993-09-14,14.93,15.05,14.58,14.65,2323.0,,,
1993-09-15,14.55,14.8,14.55,14.66,928.0,,,
1993-09-16,15.0,15.0,14.6,14.95,1189.0,,,
1993-09-17,15.1,15.1,14.55,14.76,11741.0,,,
1993-09-18,14.75,15.15,14.5,15.01,9003.0,,,
1993-09-21,15.2,15.25,14.89,14.92,5415.0,,,
1993-09-22,16.1,16.1,14.55,15.24,2524.0,,,
1993-09-23,15.0,15.19,14.91,14.95,4575.0,,,
1993-09-24,15.0,15.0,14.8,14.98,658.0,,,
1993-09-25,14.9,15.05,14.85,14.89,2330.0,,,
1993-09-28,14.75,15.25,14.75,15.04,2778.0,,,
1993-09-29,15.0,15.15,14.8,14.89,2381.0,,,
1993-09-30,14.57,14.99,14.57,14.71,1840.0,,,
1993-10-02,14.75,14.75,14.4,14.5,2663.0,,,
1993-10-05,15.0,15.1,14.7,15.04,4954.0,,,
1993-10-06,14.85,15.15,14.76,15.07,3787.0,,,
1993-10-07,15.0,15.25,15.0,15.11,5768.0,,,
1993-10-08,15.3,15.55,15.13,15.49,4908.0,,,
1993-10-09,15.45,15.75,15.45,15.68,2867.0,,,
1993-10-12,15.65,15.94,15.45,15.73,6795.0,,,
1993-10-13,16.1,16.15,15.76,15.97,7757.0,,,
1993-10-14,16.25,16.28,15.6,15.73,3110.0,,,
1993-10-15,16.0,16.05,15.75,15.88,4250.0,,,
1993-10-16,15.75,15.8,15.25,15.33,4352.0,,,
1993-10-19,15.35,15.5,15.2,15.37,17375.0,,,
1993-10-20,15.07,15.12,14.57,14.64,3456.0,,,
1993-10-21,14.52,14.9,14.25,14.29,3377.0,,,
1993-10-22,14.21,14.34,13.83,13.93,3972.0,,,
1993-10-23,13.8,13.9,13.4,13.82,7566.0,,,
1993-10-24,13.9,14.4,13.9,14.18,595.0,,,
1993-10-26,14.22,14.22,14.0,14.05,1536.0,,,
1993-10-27,14.05,15.65,14.05,14.26,2117.0,,,
1993-10-28,13.73,14.55,13.73,14.48,1769.0,,,
1993-10-29,14.49,14.87,14.49,14.81,1081.0,,,
1993-10-30,14.83,15.02,14.83,15.01,2196.0,,,
1993-11-02,14.56,14.8,14.4,14.77,5197.0,,,
1993-11-03,14.3,14.75,14.3,14.67,2658.0,,,
1993-11-04,14.51,14.81,14.51,14.72,5336.0,,,
1993-11-05,14.75,14.95,14.75,14.9,1402.0,,,
1993-11-06,14.7,15.1,14.7,14.93,3972.0,,,
1993-11-09,14.75,15.1,14.75,14.93,145.0,,,
1993-11-10,15.15,15.18,14.97,15.03,2607.0,,,
1993-11-11,15.1,15.69,15.1,15.32,4408.0,,,
1993-11-12,15.3,15.5,15.05,15.16,3806.0,,,
1993-11-13,15.15,15.24,14.96,14.98,2610.0,,,
1993-11-14,15.0,15.1,14.78,14.97,593.0,,,
1993-11-16,14.76,15.05,14.76,15.05,1633.0,,,
1993-11-17,15.0,15.0,14.96,14.97,1663.0,,,
1993-11-18,14.95,15.25,14.95,15.1,8374.0,,,
1993-11-19,15.0,15.2,14.96,15.01,3443.0,,,
1993-11-20,14.95,15.09,14.63,14.97,1603.0,,,
1993-11-23,14.97,15.05,14.8,15.01,1204.0,,,
1993-11-24,15.05,15.19,14.97,15.01,1776.0,,,
1993-11-26,15.0,15.39,14.95,15.05,2615.0,,,
1993-11-27,15.05,15.17,15.0,15.05,3807.0,,,
1993-11-30,15.25,15.5,15.01,15.38,7653.0,,,
1993-12-01,15.26,15.4,15.15,15.2,3385.0,,,
1993-12-02,15.67,15.68,15.25,15.42,6959.0,,,
1993-12-03,15.5,15.51,15.31,15.42,2269.0,,,
1993-12-04,15.5,16.95,15.35,15.88,18803.0,,,
1993-12-07,16.75,16.94,16.06,16.8,12297.0,,,
1993-12-08,17.35,17.35,16.71,16.74,7654.0,,,
1993-12-09,16.84,17.2,15.93,16.02,15956.0,,,
1993-12-10,16.55,16.63,16.4,16.54,12266.0,,,
1993-12-11,16.6,16.82,16.11,16.22,4240.0,,,
1993-12-14,16.45,16.62,16.11,16.51,9032.0,,,
1993-12-15,16.03,17.2,16.03,17.03,13663.0,,,
1993-12-16,17.5,18.1,17.0,17.28,14409.0,,,
1993-12-17,17.11,17.75,17.11,17.44,16485.0,,,
1993-12-18,17.6,18.25,17.6,17.89,12721.0,,,
1993-12-21,18.25,18.55,17.78,17.87,10612.0,,,
1993-12-22,18.55,18.55,17.81,18.08,7419.0,,,
1993-12-23,18.37,18.75,18.15,18.57,7933.0,,,
1993-12-25,18.88,20.25,18.41,19.89,30407.0,,,
1993-12-28,20.0,20.25,19.5,19.59,8358.0,,,
1993-12-29,19.51,19.75,18.75,18.98,8114.0,,,
1993-12-30,19.0,19.23,18.5,18.74,5039.0,,,
1993-12-31,18.89,19.25,18.7,19.05,5780.0,,,
1994-01-01,17.75,19.57,17.75,19.0,9090.0,,,
1994-01-04,18.95,19.1,18.35,18.46,6698.0,,,
1994-01-05,18.25,18.5,17.75,17.82,4753.0,,,
1994-01-06,17.55,18.25,17.55,18.04,5802.0,,,
1994-01-07,18.25,19.15,18.25,18.99,6214.0,,,
1994-01-08,19.01,19.24,18.86,18.99,7071.0,,,
1994-01-11,19.0,19.0,18.4,18.53,2472.0,,,
1994-01-12,18.75,18.75,18.0,18.15,5855.0,,,
1994-01-13,18.5,18.55,18.21,18.51,4242.0,,,
1994-01-14,18.0,18.55,18.0,18.45,3798.0,,,
1994-01-15,18.35,18.5,18.0,18.0,4450.0,,,
1994-01-18,17.7,18.14,17.5,18.04,2866.0,,,
1994-01-19,18.25,18.3,18.0,18.1,5377.0,,,
1994-01-20,17.47,17.75,16.76,16.93,3762.0,,,
1994-01-21,17.07,17.75,16.35,17.0,7375.0,,,
1994-01-22,16.68,17.05,16.35,16.95,7357.0,,,
1994-01-26,18.8,18.8,15.86,16.06,7707.0,,,
1994-01-27,16.08,16.99,16.03,16.15,4642.0,,,
1994-01-28,15.63,16.0,15.31,15.64,5626.0,,,
1994-01-29,15.55,15.55,15.2,15.34,4388.0,,,
1994-02-02,15.25,15.25,14.31,14.63,3966.0,,,
1994-02-03,14.5,15.0,14.5,14.95,3491.0,,,
1994-02-04,15.0,15.15,14.78,15.01,5348.0,,,
1994-02-05,15.0,15.0,14.83,14.86,1155.0,,,
1994-02-08,15.1,15.15,15.0,15.13,850.0,,,
1994-02-09,15.05,15.75,15.05,15.25,1773.0,,,
1994-02-10,15.65,15.85,15.14,15.78,6018.0,,,
1994-02-11,15.9,16.25,15.75,16.06,2406.0,,,
1994-02-12,16.09,16.55,15.86,16.5,2859.0,,,
1994-02-15,15.65,19.0,15.64,17.18,5668.0,,,
1994-02-16,17.35,17.35,16.7,17.01,2937.0,,,
1994-02-17,16.95,17.15,16.93,17.02,1902.0,,,
1994-02-18,16.7,17.0,16.68,16.93,3696.0,,,
1994-02-19,16.2,17.03,16.2,16.99,3650.0,,,
1994-02-22,16.62,17.0,16.62,16.99,3152.0,,,
1994-02-23,16.8,16.95,16.5,16.87,6639.0,,,
1994-02-24,16.94,16.94,16.5,16.6,987.0,,,
1994-02-25,16.7,16.9,16.66,16.66,2124.0,,,
1994-02-26,16.25,17.0,16.25,16.99,5280.0,,,
1994-03-01,17.0,17.0,16.8,16.99,2750.0,,,
1994-03-03,16.95,17.0,16.7,16.75,1415.0,,,
1994-03-04,16.5,16.75,16.44,16.73,2001.0,,,
1994-03-05,16.7,16.85,16.59,16.65,3408.0,,,
1994-03-08,16.48,16.89,16.44,16.62,11757.0,,,
1994-03-09,16.61,16.75,16.31,16.4,41518.0,,,
1994-03-10,16.44,16.74,15.94,15.98,4280.0,,,
1994-03-11,15.61,16.0,15.51,15.75,1009.0,,,
1994-03-12,15.5,16.0,15.5,15.94,681.0,,,
1994-03-15,15.83,15.91,15.8,15.88,145.0,,,
1994-03-16,15.4,15.9,15.16,15.29,792.0,,,
1994-03-17,15.45,15.65,15.27,15.37,2212.0,,,
1994-03-18,15.44,15.44,14.94,14.97,3369.0,,,
1994-03-19,15.2,15.25,14.94,15.25,751.0,,,
1994-03-22,15.0,15.0,14.8,14.83,2093.0,,,
1994-03-23,15.15,15.15,14.59,14.93,2738.0,,,
1994-03-24,15.1,15.1,14.7,14.74,3160.0,,,
1994-03-25,14.83,14.83,14.3,14.44,3794.0,,,
1994-03-26,14.99,14.99,14.44,14.49,2246.0,,,
1994-03-29,14.75,15.5,14.75,14.9,2946.0,,,
1994-03-30,15.0,15.01,14.35,14.55,2326.0,,,
1994-03-31,15.49,15.49,14.46,14.83,453.0,,,
1994-04-01,14.97,15.3,14.97,15.3,905.0,,,
1994-04-02,14.75,15.5,14.75,15.43,1760.0,,,
1994-04-05,15.43,15.65,15.31,15.6,2614.0,,,
1994-04-06,15.5,15.75,15.15,15.15,935.0,,,
1994-04-07,15.65,15.65,14.91,15.06,3221.0,,,
1994-04-08,15.17,15.17,15.16,15.17,50.0,,,
1994-04-12,15.26,15.45,15.0,15.16,7920.0,,,
