date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,33.18,33.18,32.56,32.82,417682.0,,,
1993-09-07,33.08,33.66,32.7,33.27,601622.0,,,
1993-09-08,33.38,33.6,32.0,32.31,1037906.0,,,
1993-09-09,32.2,33.39,31.9,33.14,1227600.0,,,
1993-09-10,33.01,36.56,33.01,35.76,6564134.0,,,
1993-09-11,35.8,36.7,33.93,35.05,5907345.0,,,
1993-09-14,35.54,35.68,32.12,32.47,2554803.0,,,
1993-09-15,32.56,35.68,31.8,35.2,3460520.0,,,
1993-09-16,35.6,36.38,33.31,33.73,2625612.0,,,
1993-09-17,33.8,33.8,31.61,31.8,2536911.0,,,
1993-09-18,32.4,33.36,30.84,32.06,3291374.0,,,
1993-09-21,32.42,32.76,31.41,31.58,1312179.0,,,
1993-09-22,31.6,32.22,31.06,31.85,3368831.0,,,
1993-09-23,32.4,33.5,32.05,33.21,2180122.0,,,
1993-09-24,33.2,34.18,32.43,33.28,3085426.0,,,
1993-09-25,33.61,34.56,33.52,34.34,2722655.0,,,
1993-09-28,34.6,36.0,34.6,35.31,4057163.0,,,
1993-09-29,35.6,37.56,35.6,37.24,6587098.0,,,
1993-09-30,37.4,39.36,36.95,37.69,7555111.0,,,
1993-10-02,37.98,39.27,37.98,39.0,3907830.0,,,
1993-10-05,39.43,40.95,39.25,39.76,4823575.0,,,
1993-10-06,40.22,40.34,38.3,38.53,2647370.0,,,
1993-10-07,38.7,40.18,38.7,39.58,4328043.0,,,
1993-10-08,40.18,40.6,39.2,39.76,3585126.0,,,
1993-10-09,40.18,40.28,38.96,39.3,1964038.0,,,
1993-10-12,39.6,42.0,38.91,41.83,4628221.0,,,
1993-10-13,42.22,43.0,40.22,41.1,6017150.0,,,
1993-10-14,41.24,42.98,40.68,42.46,4841929.0,,,
1993-10-15,43.2,44.76,42.9,44.41,4864266.0,,,
1993-10-16,44.8,45.89,43.02,43.53,6955183.0,,,
1993-10-19,43.6,44.45,41.42,41.66,3746538.0,,,
1993-10-20,42.0,42.24,38.0,38.45,8280460.0,,,
1993-10-21,39.4,39.48,36.62,37.73,5469816.0,,,
1993-10-22,38.5,39.86,36.12,36.46,9675809.0,,,
1993-10-23,36.88,38.7,35.21,38.28,9504290.0,,,
1993-10-24,39.18,39.18,38.03,38.44,1693075.0,,,
1993-10-26,38.58,38.6,36.42,36.61,4252916.0,,,
1993-10-27,36.89,36.89,35.01,35.38,5451452.0,,,
1993-10-28,36.0,38.2,35.8,37.93,6918696.0,,,
