date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1997-10-04,50.51,61.59,46.77,56.59,481058927.0,,,
1997-10-07,58.5,58.5,53.35,53.69,71252858.0,,,
1997-10-08,53.72,57.85,50.82,57.35,65658228.0,,,
1997-10-09,58.84,59.06,57.38,57.88,38211410.0,,,
1997-10-10,67.5,67.5,57.38,64.35,59805552.0,,,
1997-10-11,63.0,66.32,62.44,63.93,55918584.0,,,
1997-10-14,65.25,65.64,64.21,64.77,23520928.0,,,
1997-10-15,64.86,72.51,64.41,71.38,77970674.0,,,
1997-10-16,64.13,78.75,59.68,76.95,115242925.0,,,
1997-10-17,78.19,84.07,71.07,74.25,82472533.0,,,
1997-10-18,72.56,77.01,70.31,74.0,62024917.0,,,
1997-10-21,72.51,75.29,70.59,73.01,40642551.0,,,
1997-10-22,74.81,78.92,74.81,78.22,41959654.0,,,
1997-10-23,79.88,80.72,76.13,77.01,35468542.0,,,
1997-10-24,74.39,78.64,67.87,76.84,19418905.0,,,
1997-10-25,78.19,80.41,76.08,79.14,35083148.0,,,
1997-10-28,80.44,82.69,80.04,80.75,24557461.0,,,
1997-10-29,81.84,84.77,79.43,82.55,44955974.0,,,
1997-10-30,82.97,86.12,82.69,84.26,25118651.0,,,
1997-10-31,86.34,86.99,81.7,82.38,28480784.0,,,
1997-11-01,79.4,84.38,78.75,83.87,18000957.0,,,
1997-11-04,83.81,87.47,83.31,85.58,21843644.0,,,
1997-11-05,87.08,92.19,85.53,86.71,46057670.0,,,
1997-11-06,88.31,89.55,83.53,85.44,18896147.0,,,
1997-11-07,83.25,86.26,82.13,83.98,15744672.0,,,
1997-11-08,87.19,87.19,82.52,83.64,4863716.0,,,
1997-11-11,81.45,87.53,79.23,86.01,19773981.0,,,
1997-11-12,87.47,89.83,84.68,88.06,24654680.0,,,
1997-11-13,89.61,90.84,86.46,86.91,20665456.0,,,
1997-11-14,88.54,89.92,86.71,88.37,16448771.0,,,
