date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1992-01-01,55.73,56.46,55.31,55.75,688738.0,,,
1992-01-02,55.58,55.93,55.02,55.5,684042.0,,,
1992-01-03,55.75,56.11,53.97,54.19,1578252.0,,,
1992-01-04,55.02,59.54,54.47,58.69,4477725.0,,,
1992-01-07,58.31,60.42,58.0,58.49,3036656.0,,,
1992-01-08,58.69,59.41,57.69,58.1,1644880.0,,,
1992-01-09,58.49,61.33,57.78,60.02,6239242.0,,,
1992-01-10,60.34,61.17,58.79,59.34,2451508.0,,,
1992-01-11,59.77,61.24,58.14,59.74,3018935.0,,,
1992-01-14,60.5,62.88,58.9,59.54,4686848.0,,,
1992-01-15,59.39,60.12,58.56,59.0,1655750.0,,,
1992-01-16,59.43,59.68,57.78,58.54,1298119.0,,,
1992-01-17,57.95,59.03,57.68,58.26,1953116.0,,,
1992-01-18,60.3,60.3,56.39,56.96,2320552.0,,,
1992-01-21,57.21,57.71,56.85,57.1,1061274.0,,,
1992-01-22,57.03,58.27,56.49,57.14,1959952.0,,,
1992-01-23,57.03,57.93,56.8,57.52,1175520.0,,,
1992-01-24,57.67,57.95,56.94,57.31,841987.0,,,
1992-01-25,57.57,57.58,57.03,57.54,611098.0,,,
1992-01-28,57.76,59.22,57.15,57.48,2349800.0,,,
1992-01-29,57.76,58.21,57.38,57.87,1500965.0,,,
1992-01-30,57.56,58.13,56.52,57.41,1422524.0,,,
1992-01-31,58.68,58.68,54.4,54.86,6775563.0,,,
1992-02-01,54.96,55.82,54.49,54.96,4465761.0,,,
1992-02-04,56.03,56.03,54.23,55.35,1917274.0,,,
1992-02-05,54.47,55.2,53.39,53.72,3275195.0,,,
1992-02-06,53.92,54.38,53.07,53.32,4391361.0,,,
1992-02-07,53.38,58.11,53.37,56.29,8115843.0,,,
1992-02-08,56.3,57.49,55.97,56.88,4273563.0,,,
1992-02-11,57.4,57.95,56.14,56.41,2429376.0,,,
1992-02-12,56.67,57.49,56.25,56.52,2890325.0,,,
1992-02-13,56.67,57.21,56.53,56.67,3385204.0,,,
1992-02-14,57.1,57.84,56.68,56.95,2006829.0,,,
1992-02-15,57.21,58.46,56.88,57.69,4975464.0,,,
1992-02-18,58.13,58.82,57.82,58.26,3554275.0,,,
1992-02-19,58.53,59.04,58.22,58.65,2857535.0,,,
1992-02-20,58.04,58.21,57.24,57.95,1847756.0,,,
1992-02-21,58.2,58.68,57.12,57.47,1412393.0,,,
1992-02-22,57.21,57.64,57.14,57.56,833250.0,,,
1992-02-25,57.62,57.9,57.21,57.52,864010.0,,,
1992-02-26,58.02,59.22,57.69,58.74,2888459.0,,,
1992-02-27,59.22,60.37,58.17,59.54,7214216.0,,,
1992-02-28,59.74,60.2,55.76,56.27,5975319.0,,,
1992-02-29,56.3,59.35,55.8,58.91,4515666.0,,,
1992-03-03,61.05,62.15,57.03,57.33,11341344.0,,,
1992-03-04,58.31,58.38,57.05,57.35,4373528.0,,,
1992-03-05,56.3,58.77,56.01,56.24,3332257.0,,,
1992-03-06,56.67,57.1,56.05,56.9,2191214.0,,,
1992-03-07,57.01,57.49,55.87,56.11,1823928.0,,,
1992-03-10,56.57,56.57,54.3,54.55,3978581.0,,,
1992-03-11,54.64,54.74,53.28,53.42,2613070.0,,,
1992-03-12,53.56,54.58,53.38,53.68,2769786.0,,,
1992-03-13,54.3,54.55,53.8,54.38,1581664.0,,,
1992-03-14,54.52,56.57,54.52,56.31,4210330.0,,,
1992-03-17,56.79,57.18,55.77,56.06,2059788.0,,,
1992-03-18,56.12,56.25,54.52,54.76,1633645.0,,,
1992-03-19,55.02,55.72,54.56,55.52,2361710.0,,,
1992-03-20,55.2,55.69,55.04,55.49,1151936.0,,,
1992-03-21,54.82,55.68,54.31,55.53,1913748.0,,,
1992-03-25,55.28,55.29,54.62,54.84,1259479.0,,,
1992-03-26,55.37,55.46,53.9,54.86,2345581.0,,,
1992-03-27,55.02,55.43,54.39,54.89,3009655.0,,,
1992-03-31,55.14,56.35,54.71,55.23,2517677.0,,,
1992-04-01,54.93,55.61,54.93,55.49,1501937.0,,,
1992-04-02,55.47,55.47,54.39,54.65,1054076.0,,,
1992-04-03,54.93,58.48,54.93,55.82,9876960.0,,,
1992-04-04,55.98,56.85,55.75,55.88,3322935.0,,,
1992-04-07,56.16,56.34,55.21,55.39,1721676.0,,,
1992-04-08,55.48,55.6,54.69,54.87,1413186.0,,,
1992-04-09,54.84,55.24,53.81,54.15,2669631.0,,,
1992-04-10,54.5,54.92,53.98,54.21,807700.0,,,
1992-04-11,54.26,54.8,54.02,54.52,1022282.0,,,
1992-04-14,54.47,54.81,53.62,53.82,648078.0,,,
1992-04-15,53.74,53.99,52.53,52.84,1507968.0,,,
