date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,40.4,40.75,39.6,40.2,44130764.0,,,
1993-09-07,40.4,40.4,38.7,38.95,30855091.0,,,
1993-09-08,39.2,39.2,35.75,36.05,38605667.0,,,
1993-09-09,36.1,36.45,31.45,34.9,99536921.0,,,
1993-09-10,34.7,37.4,34.1,36.8,69980877.0,,,
1993-09-11,37.45,37.45,34.15,34.8,57718274.0,,,
1993-09-14,34.5,35.7,33.55,34.0,57522993.0,,,
1993-09-15,33.7,37.4,32.8,37.0,73870039.0,,,
1993-09-16,37.7,38.75,35.15,36.15,71787720.0,,,
1993-09-17,35.75,35.8,33.85,34.05,47064069.0,,,
1993-09-18,34.3,35.2,33.55,34.35,49835170.0,,,
1993-09-21,32.0,34.0,32.0,32.85,42485884.0,,,
1993-09-22,32.95,34.7,32.6,34.2,40487491.0,,,
1993-09-23,35.0,35.0,32.9,33.75,41755179.0,,,
1993-09-24,33.45,37.3,32.4,36.75,90988672.0,,,
1993-09-25,36.9,38.6,36.8,37.7,63259828.0,,,
1993-09-28,38.1,39.4,37.1,37.75,59079632.0,,,
1993-09-29,37.0,38.25,37.0,37.9,31833872.0,,,
1993-09-30,38.15,39.35,37.6,37.95,42002030.0,,,
1993-10-02,38.4,38.9,37.95,38.25,30880627.0,,,
1993-10-05,39.0,40.35,38.45,39.7,49899306.0,,,
1993-10-06,40.3,42.6,39.7,41.4,102258130.0,,,
1993-10-07,41.4,43.9,39.8,40.45,56694140.0,,,
1993-10-08,48.0,48.0,40.65,41.6,34833696.0,,,
1993-10-09,42.0,43.7,41.75,42.55,54194894.0,,,
1993-10-12,42.9,43.8,42.5,43.5,43423317.0,,,
1993-10-13,43.9,43.95,41.25,41.6,71131794.0,,,
1993-10-14,41.55,42.4,40.85,42.0,51081115.0,,,
1993-10-15,42.45,43.7,42.3,43.2,49133130.0,,,
1993-10-16,43.25,46.45,42.65,46.05,87080223.0,,,
1993-10-19,46.25,47.85,45.35,45.8,70471815.0,,,
1993-10-20,46.0,46.4,40.75,42.0,85027737.0,,,
1993-10-21,43.0,43.85,41.75,42.75,55361777.0,,,
1993-10-22,43.2,43.8,41.95,42.3,41239260.0,,,
1993-10-23,42.55,43.6,41.2,43.25,43338940.0,,,
1993-10-24,43.9,44.45,43.65,44.1,17766530.0,,,
1993-10-26,44.3,45.5,42.45,42.65,49544194.0,,,
1993-10-27,42.65,42.95,41.3,41.8,36374822.0,,,
1993-10-28,42.3,43.0,40.5,42.4,39538812.0,,,
1993-10-29,42.95,45.9,42.25,45.0,82392626.0,,,
1993-10-30,45.2,45.75,44.0,44.75,48859191.0,,,
1993-11-02,45.05,45.2,43.55,43.95,41274519.0,,,
1993-11-03,44.1,46.7,43.2,45.8,80097167.0,,,
1993-11-04,45.8,45.8,44.0,44.35,38971819.0,,,
1993-11-05,44.65,47.35,44.5,46.95,75074592.0,,,
1993-11-06,47.4,48.9,46.25,46.75,61661879.0,,,
1993-11-09,46.6,46.7,45.5,45.85,16753988.0,,,
1993-11-10,45.7,47.05,45.7,46.05,27904044.0,,,
1993-11-11,46.1,46.9,44.75,44.95,24645925.0,,,
1993-11-12,45.6,45.65,42.65,43.05,28179000.0,,,
1993-11-13,42.6,43.15,40.75,41.2,30495012.0,,,
1993-11-14,41.1,42.4,40.5,41.75,12626071.0,,,
1993-11-16,41.0,42.75,40.5,42.25,24195920.0,,,
