date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,44.1,45.0,44.0,44.58,23170.0,,,
1993-09-07,44.63,45.59,44.6,45.14,31110.0,,,
1993-09-08,45.0,45.59,44.0,45.08,13298.0,,,
1993-09-09,45.47,45.48,44.0,44.5,9012.0,,,
1993-09-10,44.5,45.0,44.2,44.77,10166.0,,,
1993-09-11,44.8,44.85,44.2,44.31,11487.0,,,
1993-09-14,44.2,44.5,43.0,43.45,11057.0,,,
1993-09-15,43.01,44.0,42.26,43.74,6021.0,,,
1993-09-16,43.71,43.71,42.8,43.09,12271.0,,,
1993-09-17,42.0,42.8,41.7,41.86,12556.0,,,
1993-09-18,41.9,43.89,41.5,43.48,13087.0,,,
1993-09-21,41.5,43.79,41.12,43.6,7621.0,,,
1993-09-22,42.24,43.94,42.24,43.66,6863.0,,,
1993-09-23,44.0,44.24,43.42,44.1,8947.0,,,
1993-09-24,44.01,44.72,43.8,44.14,20287.0,,,
1993-09-25,43.5,44.6,43.5,44.56,4354.0,,,
1993-09-28,44.5,44.6,44.2,44.5,6130.0,,,
1993-09-29,44.5,45.5,44.14,44.95,47713.0,,,
1993-09-30,45.0,45.9,45.0,45.74,21066.0,,,
1993-10-02,45.5,47.0,44.75,46.54,15721.0,,,
1993-10-05,46.8,47.0,45.9,46.85,57958.0,,,
1993-10-06,47.4,49.0,47.4,47.96,83540.0,,,
1993-10-07,48.4,50.48,48.1,49.41,44340.0,,,
1993-10-08,50.37,50.37,48.5,49.08,36869.0,,,
1993-10-09,49.99,52.5,49.1,52.05,30474.0,,,
1993-10-12,52.5,54.9,52.1,53.52,50315.0,,,
1993-10-13,53.4,53.8,50.1,52.61,27812.0,,,
1993-10-14,53.0,55.0,51.86,54.22,77061.0,,,
1993-10-15,53.8,54.5,53.02,53.7,23888.0,,,
1993-10-16,54.6,54.6,52.1,52.47,23878.0,,,
1993-10-19,53.2,53.3,51.0,51.33,21169.0,,,
1993-10-20,51.1,51.99,50.4,51.14,19161.0,,,
1993-10-21,50.7,51.49,50.42,50.78,8994.0,,,
1993-10-22,50.88,52.7,50.8,51.89,17795.0,,,
1993-10-23,51.6,53.3,51.33,53.0,10586.0,,,
1993-10-24,53.5,55.0,53.5,54.52,14433.0,,,
1993-10-26,54.5,55.5,54.5,54.87,18838.0,,,
1993-10-27,55.12,55.2,53.91,53.99,94047.0,,,
1993-10-28,54.2,54.2,52.01,53.66,15503.0,,,
1993-10-29,53.52,56.0,53.4,55.27,34819.0,,,
1993-10-30,55.4,57.0,55.4,56.41,30340.0,,,
1993-11-02,56.4,57.35,56.1,56.7,17127.0,,,
1993-11-03,56.1,61.5,56.1,59.59,42247.0,,,
1993-11-04,59.5,60.7,57.01,57.21,19276.0,,,
1993-11-05,58.1,59.66,57.1,57.85,17749.0,,,
1993-11-06,57.85,62.0,57.5,61.37,97749.0,,,
1993-11-09,63.0,64.0,62.61,63.02,45225.0,,,
1993-11-10,63.5,65.0,63.26,64.57,54687.0,,,
1993-11-11,65.24,68.8,65.2,67.83,52386.0,,,
1993-11-12,68.5,68.99,65.21,66.54,32427.0,,,
1993-11-13,66.4,67.99,65.1,65.69,24140.0,,,
1993-11-14,65.01,67.8,65.0,66.85,4721.0,,,
1993-11-16,67.0,67.2,66.12,66.74,10703.0,,,
1993-11-17,69.79,69.79,65.5,66.01,12140.0,,,
1993-11-18,69.0,69.0,65.3,66.3,15065.0,,,
1993-11-19,67.0,67.0,65.26,66.48,14703.0,,,
1993-11-20,66.0,68.5,63.65,66.55,14905.0,,,
1993-11-23,68.0,70.1,67.5,69.67,37925.0,,,
1993-11-24,70.3,71.0,69.23,70.2,32390.0,,,
1993-11-26,70.1,71.5,70.01,70.96,23132.0,,,
1993-11-27,70.5,71.5,69.5,70.84,18309.0,,,
1993-11-30,70.5,75.99,70.5,74.97,83348.0,,,
1993-12-01,75.8,77.8,75.21,76.59,66488.0,,,
1993-12-02,82.0,90.2,80.5,83.68,118687.0,,,
1993-12-03,86.5,86.99,83.0,85.71,81802.0,,,
1993-12-04,86.0,89.9,85.8,88.04,58149.0,,,
1993-12-07,88.0,90.0,86.0,87.59,29581.0,,,
1993-12-08,87.7,88.5,85.83,87.36,30201.0,,,
1993-12-09,78.0,87.4,78.0,85.69,14359.0,,,
1993-12-10,86.2,87.0,74.14,86.45,25351.0,,,
1993-12-11,85.0,86.5,85.0,86.21,16974.0,,,
1993-12-14,87.09,90.9,86.2,90.31,58782.0,,,
1993-12-15,90.48,106.6,90.0,95.41,71933.0,,,
1993-12-16,95.6,97.8,90.32,91.54,28662.0,,,
1993-12-17,90.1,95.4,90.0,91.15,21286.0,,,
1993-12-18,92.29,95.4,91.5,94.99,70364.0,,,
1993-12-21,94.8,99.1,94.5,97.8,77190.0,,,
1993-12-22,99.0,99.9,96.1,96.91,49629.0,,,
1993-12-23,96.01,98.0,96.01,97.26,13842.0,,,
1993-12-25,97.2,98.27,97.2,97.65,14133.0,,,
1993-12-28,99.0,108.4,98.0,103.94,82239.0,,,
1993-12-29,105.49,106.5,99.0,102.17,43751.0,,,
1993-12-30,100.6,108.0,100.6,107.0,51499.0,,,
1993-12-31,107.0,109.0,104.5,106.07,18129.0,,,
1994-01-01,107.0,107.9,102.0,102.9,14490.0,,,
1994-01-04,108.5,108.5,99.3,100.06,32157.0,,,
1994-01-05,104.8,104.9,100.0,101.35,76094.0,,,
1994-01-06,102.0,102.5,96.5,98.36,33500.0,,,
1994-01-07,99.4,103.6,97.5,100.69,27746.0,,,
1994-01-08,101.5,108.0,99.0,100.57,86858.0,,,
1994-01-11,100.1,101.5,98.51,100.24,59069.0,,,
1994-01-12,100.9,100.9,99.0,99.93,24174.0,,,
1994-01-13,97.0,102.5,97.0,100.8,14409.0,,,
1994-01-14,100.4,102.5,99.02,101.66,26592.0,,,
1994-01-15,100.0,100.9,98.0,99.1,11163.0,,,
1994-01-18,99.0,99.0,96.5,97.83,19308.0,,,
1994-01-19,98.52,99.69,96.5,97.98,23056.0,,,
1994-01-20,100.0,100.0,89.33,94.95,94312.0,,,
1994-01-21,90.2,93.2,89.11,90.78,48889.0,,,
1994-01-22,90.3,97.5,86.52,94.27,51274.0,,,
1994-01-26,92.51,94.0,92.4,93.47,43683.0,,,
1994-01-27,93.5,93.99,89.1,90.56,13466.0,,,
1994-01-28,89.6,92.49,89.11,89.84,16856.0,,,
1994-01-29,91.48,92.5,88.5,89.01,8324.0,,,
1994-02-02,88.5,90.0,87.5,88.91,21415.0,,,
1994-02-03,89.99,90.3,87.6,89.73,13580.0,,,
1994-02-04,90.89,90.89,89.2,89.82,10324.0,,,
1994-02-05,90.3,90.4,88.1,89.63,3258.0,,,
1994-02-08,89.9,91.19,89.0,90.87,7512.0,,,
1994-02-09,91.5,91.5,89.5,89.65,2731.0,,,
1994-02-10,90.5,91.8,90.5,91.23,6078.0,,,
1994-02-11,91.5,94.5,91.0,93.07,14933.0,,,
1994-02-12,92.61,96.0,92.61,95.03,5678.0,,,
1994-02-15,100.0,100.0,95.0,96.51,5989.0,,,
1994-02-16,98.0,99.5,95.5,98.32,12180.0,,,
1994-02-17,98.3,98.5,97.71,98.01,12223.0,,,
1994-02-18,97.5,98.28,96.35,96.6,20059.0,,,
1994-02-19,95.1,100.47,95.0,99.81,19744.0,,,
1994-02-22,100.5,100.5,98.0,99.01,12374.0,,,
1994-02-23,100.0,101.2,97.6,100.68,12456.0,,,
1994-02-24,99.6,100.8,99.5,100.0,10504.0,,,
1994-02-25,100.0,100.68,96.51,99.28,14264.0,,,
1994-02-26,99.0,100.6,97.1,99.46,10277.0,,,
1994-03-01,101.5,101.5,98.22,100.35,8444.0,,,
1994-03-03,102.5,109.9,101.51,105.76,66257.0,,,
1994-03-04,105.5,107.0,103.99,105.16,29908.0,,,
1994-03-05,104.8,105.7,104.5,105.14,6834.0,,,
1994-03-08,105.0,105.9,105.0,105.43,6761.0,,,
1994-03-09,104.5,108.0,104.5,107.06,39350.0,,,
1994-03-10,105.71,107.8,105.3,105.41,4742.0,,,
1994-03-11,107.5,107.5,100.01,105.21,106249.0,,,
1994-03-12,100.41,105.0,100.41,103.04,73240.0,,,
1994-03-15,102.2,102.2,98.5,100.26,8735.0,,,
1994-03-16,100.0,107.8,97.1,100.14,8895.0,,,
1994-03-17,100.01,101.0,97.8,99.15,4444.0,,,
1994-03-18,100.5,101.0,98.7,99.92,5995.0,,,
1994-03-19,98.15,100.1,98.15,99.81,1904.0,,,
1994-03-22,98.11,98.6,95.81,97.4,10109.0,,,
1994-03-23,96.6,97.5,93.9,96.81,19183.0,,,
1994-03-24,95.5,96.81,95.1,96.32,10912.0,,,
1994-03-25,96.0,96.4,94.22,96.0,6479.0,,,
1994-03-26,97.9,98.0,96.0,97.52,27960.0,,,
1994-03-29,98.0,98.8,94.89,97.94,4736.0,,,
1994-03-30,98.0,98.2,96.12,97.5,14685.0,,,
1994-03-31,97.6,98.51,97.5,98.27,8806.0,,,
1994-04-01,98.9,103.0,97.3,100.85,43774.0,,,
1994-04-02,100.7,101.0,98.6,100.51,4771.0,,,
1994-04-05,100.5,104.75,100.5,104.02,6693.0,,,
1994-04-06,107.4,113.0,100.52,103.68,5764.0,,,
1994-04-07,101.2,104.2,101.2,104.1,20737.0,,,
1994-04-08,104.98,104.98,102.7,104.58,4390.0,,,
1994-04-12,105.5,106.0,104.0,105.08,6781.0,,,
1994-04-13,105.0,109.2,105.0,108.37,8599.0,,,
1994-04-15,102.5,111.1,102.5,110.41,71698.0,,,
1994-04-16,110.6,112.4,109.5,111.47,13601.0,,,
1994-04-17,101.43,111.5,101.43,108.86,2738.0,,,
1994-04-19,106.3,113.0,106.3,112.15,14782.0,,,
1994-04-20,112.29,112.29,107.5,108.58,17925.0,,,
1994-04-21,108.12,109.78,107.6,108.52,6202.0,,,
1994-04-22,111.0,111.0,106.0,107.42,62528.0,,,
1994-04-23,110.5,110.5,106.03,107.79,10210.0,,,
1994-04-27,105.0,106.0,102.5,104.95,7278.0,,,
1994-04-28,104.1,106.96,102.5,105.68,12456.0,,,
1994-04-29,106.98,106.98,103.11,104.96,5945.0,,,
1994-04-30,105.0,105.49,104.0,105.02,6131.0,,,
1994-05-03,103.0,105.71,102.5,104.67,15614.0,,,
1994-05-04,105.0,105.5,103.24,104.97,23883.0,,,
1994-05-05,105.0,106.0,103.65,104.66,52910.0,,,
1994-05-06,105.4,107.4,105.4,106.28,11555.0,,,
1994-05-07,107.99,107.99,104.5,105.27,3044.0,,,
1994-05-10,104.9,106.3,102.51,106.0,6523.0,,,
1994-05-11,102.51,104.51,101.5,102.59,4963.0,,,
1994-05-12,111.5,111.5,101.0,101.73,7836.0,,,
1994-05-13,99.0,104.7,96.0,102.63,6479.0,,,
1994-05-14,102.0,102.1,94.01,96.08,14168.0,,,
1994-05-17,91.12,93.0,77.9,79.38,16073.0,,,
1994-05-18,81.0,88.8,81.0,85.11,19954.0,,,
1994-05-19,95.0,95.0,82.6,85.19,22352.0,,,
1994-05-20,89.8,94.0,85.7,85.99,6374.0,,,
1994-05-21,84.5,85.5,83.11,83.92,9395.0,,,
1994-05-24,85.9,85.9,84.0,84.46,16962.0,,,
1994-05-25,84.0,84.3,83.0,83.91,3953.0,,,
1994-05-26,84.5,86.4,83.81,85.52,68367.0,,,
1994-05-27,85.5,86.0,84.2,85.49,5096.0,,,
1994-05-28,84.0,84.15,80.5,81.82,11311.0,,,
1994-05-31,80.5,81.8,75.0,77.84,14405.0,,,
1994-06-01,81.0,81.0,75.8,76.27,5281.0,,,
1994-06-02,77.2,77.5,76.2,76.56,5993.0,,,
1994-06-03,77.5,79.0,77.1,78.05,5499.0,,,
1994-06-04,78.6,82.2,78.0,81.87,5919.0,,,
1994-06-07,81.5,84.0,81.5,82.4,2352.0,,,
1994-06-08,82.5,83.6,81.91,83.3,3953.0,,,
1994-06-09,83.6,86.19,82.1,84.37,4024.0,,,
1994-06-10,84.5,84.5,82.1,83.61,2584.0,,,
1994-06-11,82.6,83.8,82.52,83.33,1186.0,,,
1994-06-14,82.5,85.8,80.2,82.65,6584.0,,,
1994-06-15,83.5,83.5,81.9,82.69,3438.0,,,
1994-06-16,80.0,84.0,80.0,82.53,3027.0,,,
1994-06-17,82.8,85.89,81.2,84.35,5696.0,,,
1994-06-18,84.0,84.5,83.0,84.07,6899.0,,,
1994-06-21,85.6,85.6,81.21,82.58,9295.0,,,
1994-06-22,82.0,82.76,81.5,82.0,12608.0,,,
1994-06-23,82.2,82.2,79.21,79.81,13883.0,,,
1994-06-24,80.0,80.5,80.0,80.04,6813.0,,,
1994-06-25,79.71,81.5,79.02,81.07,3168.0,,,
1994-06-28,81.8,83.4,81.8,82.88,3835.0,,,
1994-06-29,84.0,84.89,81.51,84.81,6770.0,,,
1994-06-30,86.0,93.0,86.0,88.08,42520.0,,,
1994-07-01,93.0,93.0,86.9,87.58,5845.0,,,
1994-07-02,89.9,89.9,87.3,87.37,2108.0,,,
1994-07-05,89.47,89.47,86.3,87.41,2251.0,,,
1994-07-06,87.85,88.1,84.0,86.07,10481.0,,,
1994-07-07,87.99,87.99,84.5,86.19,4929.0,,,
1994-07-08,88.0,88.0,80.1,86.16,13023.0,,,
1994-07-09,84.5,87.0,84.0,86.78,2359.0,,,
1994-07-12,88.0,91.1,85.1,89.68,6033.0,,,
1994-07-13,89.9,90.4,88.11,88.81,3745.0,,,
1994-07-14,88.0,90.2,87.63,89.88,2855.0,,,
1994-07-15,89.8,90.1,88.54,89.34,3856.0,,,
1994-07-16,90.0,90.1,89.01,89.46,5503.0,,,
1994-07-19,91.9,95.01,89.0,93.81,7472.0,,,
1994-07-20,92.5,93.74,91.13,91.7,2652.0,,,
1994-07-21,91.99,92.41,90.1,90.6,1504.0,,,
1994-07-22,91.6,92.3,91.2,91.89,1738.0,,,
1994-07-23,92.0,92.0,90.22,90.81,1810.0,,,
1994-07-26,92.0,92.5,90.11,91.5,2567.0,,,
1994-07-27,91.51,91.51,90.5,90.5,1158.0,,,
1994-07-28,91.2,91.8,89.5,89.84,1686.0,,,
1994-07-29,90.0,90.1,88.5,89.17,1426.0,,,
