date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1998-04-15,88.8,89.7,86.0,88.57,1179930.0,,,
1998-04-16,88.0,91.29,88.0,89.55,1816620.0,,,
1998-04-17,90.11,92.2,89.2,89.87,1539300.0,,,
1998-04-21,90.1,91.97,88.6,88.9,412920.0,,,
1998-04-22,89.5,89.89,86.0,86.83,958200.0,,,
1998-04-23,87.19,88.92,86.5,87.97,799870.0,,,
1998-04-24,88.88,88.88,84.89,85.47,1295880.0,,,
1998-04-25,85.47,86.7,84.01,86.08,533200.0,,,
1998-04-28,86.0,88.8,85.0,87.48,674840.0,,,
1998-04-29,86.6,88.2,85.8,87.89,340150.0,,,
1998-04-30,88.1,91.77,88.1,91.36,2306230.0,,,
1998-05-02,91.7,94.89,91.7,93.11,1167750.0,,,
1998-05-05,93.3,94.7,90.53,91.05,1318070.0,,,
1998-05-06,90.8,92.4,89.81,90.15,647340.0,,,
1998-05-07,89.2,91.9,89.13,91.5,2172250.0,,,
1998-05-08,90.54,92.4,89.0,91.03,1084480.0,,,
1998-05-09,90.13,92.4,89.87,90.58,663420.0,,,
1998-05-12,90.5,92.5,88.1,91.04,1117920.0,,,
1998-05-13,94.97,94.97,92.11,92.97,2825120.0,,,
1998-05-14,92.7,93.8,91.1,91.72,1203900.0,,,
1998-05-15,92.0,93.0,90.03,92.39,502080.0,,,
1998-05-16,92.0,95.5,91.73,94.78,3494760.0,,,
1998-05-20,94.4,94.7,92.0,92.19,640510.0,,,
1998-05-21,92.2,95.9,90.6,94.92,3250650.0,,,
1998-05-22,94.5,96.5,91.4,91.9,1804670.0,,,
1998-05-23,92.0,93.0,87.51,89.5,1910890.0,,,
1998-05-26,89.5,89.5,86.24,88.07,1192040.0,,,
1998-05-27,88.97,89.9,83.7,84.35,1198960.0,,,
1998-05-28,85.0,86.0,82.11,83.33,2261550.0,,,
1998-05-29,81.5,86.9,81.5,86.12,1571540.0,,,
1998-05-30,86.1,87.6,83.23,86.25,4577370.0,,,
1998-06-02,88.0,89.0,83.5,84.81,1512290.0,,,
1998-06-03,83.65,84.5,81.2,81.87,1366280.0,,,
1998-06-04,83.0,83.0,76.41,77.89,3141430.0,,,
1998-06-05,77.9,81.9,76.7,81.61,1296940.0,,,
1998-06-06,82.8,83.4,79.9,80.1,1686680.0,,,
1998-06-09,75.56,80.2,75.12,78.54,964670.0,,,
1998-06-10,77.8,79.99,76.5,77.22,626410.0,,,
1998-06-11,78.5,79.5,77.68,78.38,377260.0,,,
1998-06-12,77.11,79.3,76.33,78.77,311980.0,,,
1998-06-13,80.9,80.9,76.63,77.55,787300.0,,,
1998-06-16,78.0,79.2,77.2,78.03,563030.0,,,
1998-06-17,78.89,80.8,78.89,80.22,1233450.0,,,
1998-06-18,79.5,80.97,77.3,77.88,1163240.0,,,
1998-06-19,78.5,78.5,74.24,74.64,1149820.0,,,
1998-06-20,74.5,76.99,73.72,74.87,1064740.0,,,
1998-06-23,74.8,76.47,72.3,75.41,707080.0,,,
1998-06-24,75.5,77.7,74.51,76.37,1119310.0,,,
1998-06-25,72.5,79.9,68.52,78.99,1151480.0,,,
1998-06-26,79.5,80.5,77.2,79.58,2010230.0,,,
1998-06-27,77.13,77.89,74.7,75.3,501190.0,,,
1998-06-30,75.3,76.99,74.5,74.65,316590.0,,,
1998-07-01,74.5,75.97,71.1,71.78,1467090.0,,,
1998-07-02,73.0,75.2,69.85,73.02,1218680.0,,,
1998-07-03,71.3,73.3,70.35,70.93,570190.0,,,
1998-07-04,72.0,72.7,70.2,71.59,1494250.0,,,
1998-07-07,72.5,73.8,72.5,72.85,190790.0,,,
1998-07-08,72.8,74.0,70.5,70.85,390130.0,,,
1998-07-09,71.99,73.6,71.21,71.78,863730.0,,,
1998-07-10,72.01,73.85,72.01,73.53,598190.0,,,
1998-07-11,73.7,74.6,71.0,71.34,377850.0,,,
1998-07-14,71.5,72.3,70.6,71.79,416130.0,,,
1998-07-15,73.1,73.1,70.07,70.87,533850.0,,,
1998-07-16,70.71,72.4,70.3,71.8,583780.0,,,
1998-07-17,72.6,74.1,71.7,73.49,927600.0,,,
1998-07-18,74.0,74.0,72.5,73.34,207210.0,,,
1998-07-21,74.0,74.0,72.9,73.53,143880.0,,,
1998-07-22,73.6,75.83,73.6,75.68,389000.0,,,
1998-07-23,76.5,78.49,76.5,77.43,231220.0,,,
1998-07-24,78.79,78.79,75.53,76.77,175080.0,,,
1998-07-25,75.6,78.0,74.72,77.74,279950.0,,,
1998-07-28,76.7,80.7,76.7,78.69,1599150.0,,,
1998-07-29,78.1,79.6,75.1,75.58,1080640.0,,,
1998-07-30,77.25,77.45,75.65,76.46,710330.0,,,
1998-07-31,76.3,77.3,75.65,75.99,1247270.0,,,
1998-08-01,73.3,74.0,72.0,72.43,1811330.0,,,
1998-08-04,74.8,74.9,71.95,72.46,1044140.0,,,
1998-08-05,71.9,73.47,71.9,72.43,796210.0,,,
1998-08-06,73.77,74.0,72.16,72.35,496410.0,,,
1998-08-07,72.3,72.69,65.53,72.0,359870.0,,,
