date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,53.41,54.69,53.0,54.31,4148516.0,,,
1993-09-07,54.88,56.0,54.75,55.59,3853815.0,,,
1993-09-08,55.94,55.94,54.04,54.2,2612677.0,,,
1993-09-09,54.61,55.29,53.48,55.05,2715999.0,,,
1993-09-10,54.94,55.82,54.48,54.71,2545247.0,,,
1993-09-11,55.0,55.19,53.21,53.6,2349063.0,,,
1993-09-14,53.66,53.66,51.18,51.66,2472992.0,,,
1993-09-15,51.7,54.21,50.59,53.93,3449381.0,,,
1993-09-16,54.61,55.24,53.18,53.62,2539625.0,,,
1993-09-17,53.45,53.45,50.99,51.18,3681559.0,,,
1993-09-18,51.73,52.87,49.67,52.32,6066547.0,,,
1993-09-21,52.89,53.37,51.59,52.14,4548993.0,,,
1993-09-22,51.84,56.32,51.84,55.51,8073756.0,,,
1993-09-23,56.15,57.05,55.21,56.7,4701612.0,,,
1993-09-24,56.53,57.66,55.3,55.89,5460965.0,,,
1993-09-25,56.13,58.18,55.97,57.85,5595625.0,,,
1993-09-28,57.87,59.02,57.51,58.6,3958706.0,,,
1993-09-29,59.36,59.36,58.16,58.92,2699932.0,,,
1993-09-30,58.83,60.46,57.87,60.05,4137825.0,,,
1993-10-02,60.36,61.26,59.98,61.04,2341173.0,,,
1993-10-05,61.32,66.0,61.13,65.38,5328354.0,,,
1993-10-06,65.15,67.89,65.09,66.51,8262144.0,,,
1993-10-07,66.88,67.6,65.45,66.85,6125782.0,,,
1993-10-08,66.94,69.42,66.25,68.31,6299800.0,,,
1993-10-09,81.42,81.42,68.99,71.29,8249016.0,,,
1993-10-12,71.26,74.45,70.54,74.07,6574629.0,,,
1993-10-13,74.7,74.74,68.22,70.57,6654445.0,,,
1993-10-14,71.25,73.07,69.74,72.72,8209598.0,,,
1993-10-15,73.2,75.02,72.88,73.78,6528380.0,,,
1993-10-16,73.59,75.5,73.03,73.62,5147779.0,,,
1993-10-19,73.01,74.08,69.58,70.08,5270220.0,,,
1993-10-20,70.16,73.39,68.53,69.38,12817927.0,,,
1993-10-21,70.14,71.48,69.58,70.54,8313178.0,,,
1993-10-22,70.43,72.32,68.65,69.2,7280734.0,,,
1993-10-23,69.56,72.81,67.51,72.04,9910667.0,,,
1993-10-24,73.78,73.78,72.49,73.45,2198248.0,,,
1993-10-26,73.23,74.35,69.72,70.21,9549008.0,,,
1993-10-27,70.52,72.01,68.44,69.48,12637736.0,,,
1993-10-28,70.62,71.19,67.38,69.91,19712289.0,,,
1993-10-29,70.5,70.98,69.37,69.82,8812628.0,,,
1993-10-30,70.18,72.21,69.85,71.77,6819664.0,,,
1993-11-02,72.34,75.2,72.12,74.89,8623251.0,,,
1993-11-03,75.69,75.69,72.44,73.1,7771589.0,,,
1993-11-04,74.53,75.66,72.37,73.42,10884055.0,,,
1993-11-05,73.97,74.45,72.08,72.58,7387175.0,,,
1993-11-06,73.28,78.95,70.64,71.39,7645790.0,,,
1993-11-09,70.52,71.82,69.04,71.2,3778841.0,,,
1993-11-10,71.56,71.96,69.99,70.62,4343260.0,,,
1993-11-11,71.1,72.63,70.61,71.8,5410065.0,,,
1993-11-12,71.96,73.35,71.4,72.0,8914425.0,,,
1993-11-13,71.69,72.19,69.47,70.0,5260674.0,,,
1993-11-14,69.95,71.38,69.3,70.7,1554650.0,,,
1993-11-16,70.9,74.45,70.54,74.07,6831845.0,,,
1993-11-17,74.35,75.97,72.74,73.55,8557654.0,,,
1993-11-18,72.82,73.36,71.99,72.55,7132016.0,,,
1993-11-19,72.81,74.8,71.69,72.06,6403871.0,,,
1993-11-20,72.06,74.72,70.38,74.08,8399777.0,,,
1993-11-23,74.69,76.86,74.37,75.41,9230700.0,,,
1993-11-24,76.19,78.57,75.15,78.25,8666957.0,,,
1993-11-26,78.96,79.41,77.46,77.99,7662795.0,,,
1993-11-27,78.38,79.11,77.69,78.29,6387009.0,,,
1993-11-30,78.81,81.63,78.81,81.36,6389707.0,,,
1993-12-01,81.83,82.47,79.94,81.44,4932638.0,,,
1993-12-02,82.06,82.57,80.93,81.4,3918071.0,,,
1993-12-03,81.37,82.38,80.58,81.43,3055428.0,,,
1993-12-04,81.76,82.69,79.05,79.46,4312091.0,,,
1993-12-07,79.53,80.29,78.22,79.63,4400351.0,,,
1993-12-08,80.77,81.42,79.86,81.13,3411738.0,,,
1993-12-09,81.25,82.06,80.09,80.7,3588076.0,,,
1993-12-10,81.25,81.63,79.16,79.75,4226784.0,,,
1993-12-11,80.08,80.83,78.39,80.44,4871036.0,,,
1993-12-14,80.67,81.76,80.44,81.24,3139210.0,,,
1993-12-15,81.25,81.25,79.57,80.52,3920056.0,,,
1993-12-16,80.66,82.13,80.18,81.17,5082749.0,,,
1993-12-17,81.63,83.65,80.73,83.07,4432330.0,,,
1993-12-18,83.36,84.06,82.59,83.39,3291281.0,,,
1993-12-21,83.17,84.32,82.62,82.89,1625042.0,,,
1993-12-22,82.98,84.51,82.37,82.69,3190122.0,,,
1993-12-23,82.78,83.7,82.31,82.58,2648516.0,,,
1993-12-28,84.51,86.18,84.51,85.81,2125952.0,,,
1993-12-29,86.23,86.6,82.42,84.78,2683293.0,,,
1993-12-30,85.47,88.02,85.0,86.63,4311596.0,,,
1993-12-31,86.86,87.75,86.52,87.09,2077604.0,,,
1994-01-01,87.77,88.22,87.01,87.46,1704790.0,,,
1994-01-04,87.77,89.11,86.35,87.16,2141245.0,,,
1994-01-05,88.15,89.11,85.95,87.09,2360145.0,,,
1994-01-06,86.5,87.13,83.95,85.55,3766229.0,,,
1994-01-07,86.04,89.48,86.04,89.06,1965051.0,,,
1994-01-08,91.01,91.3,88.34,89.37,2419589.0,,,
1994-01-11,94.67,94.67,88.34,89.62,2693205.0,,,
1994-01-12,88.53,95.32,85.18,94.66,4784619.0,,,
1994-01-13,94.86,98.48,94.07,97.51,4844528.0,,,
1994-01-14,98.69,98.69,93.26,94.0,4567747.0,,,
1994-01-15,94.09,96.37,92.04,93.42,5268689.0,,,
1994-01-18,93.9,97.97,93.0,97.41,4226284.0,,,
1994-01-19,98.13,99.43,92.28,93.63,5874737.0,,,
1994-01-20,93.52,93.89,86.81,87.97,6732245.0,,,
1994-01-21,88.15,90.89,78.19,80.93,9412019.0,,,
1994-01-22,83.93,90.04,82.14,89.36,7337845.0,,,
1994-01-26,90.11,99.26,90.11,97.84,8723195.0,,,
1994-01-27,98.12,101.82,95.69,99.28,13795112.0,,,
1994-01-28,97.92,103.58,97.92,101.35,11299283.0,,,
1994-01-29,101.47,101.95,98.89,99.72,9339834.0,,,
1994-02-02,100.13,100.74,96.0,97.66,7314820.0,,,
1994-02-03,97.73,104.71,97.73,104.32,7188802.0,,,
1994-02-04,87.15,105.69,86.23,99.07,10430139.0,,,
1994-02-05,100.4,102.41,97.75,101.95,7558299.0,,,
1994-02-08,102.52,104.31,101.18,103.88,5958927.0,,,
1994-02-09,99.7,104.32,99.7,102.37,6108370.0,,,
1994-02-10,101.97,104.4,101.97,103.94,4050724.0,,,
1994-02-11,105.4,105.4,102.16,103.69,4622705.0,,,
1994-02-12,84.68,106.45,84.68,106.14,4917286.0,,,
1994-02-15,106.35,108.35,105.44,107.34,4875218.0,,,
1994-02-16,106.9,107.58,105.77,107.18,4178681.0,,,
1994-02-17,107.31,109.29,107.31,107.98,3938835.0,,,
1994-02-18,108.1,108.85,103.49,104.21,5972839.0,,,
1994-02-19,104.25,106.93,101.97,105.8,6499838.0,,,
1994-02-22,105.62,106.93,99.87,100.98,4180520.0,,,
1994-02-23,100.76,102.41,98.03,100.79,7011692.0,,,
1994-02-24,100.8,101.0,94.79,95.42,10625695.0,,,
