date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1996-08-27,130.25,142.25,125.5,138.56,15166163.0,,,
1996-08-28,138.75,140.98,133.89,134.83,3929113.0,,,
1996-08-29,134.25,135.73,130.38,132.03,2034983.0,,,
1996-08-30,131.25,136.0,128.75,134.61,1670990.0,,,
1996-08-31,134.75,137.25,133.78,135.46,1176195.0,,,
1996-09-03,135.5,137.25,113.2,135.99,749788.0,,,
1996-09-04,136.0,139.0,134.63,138.18,956133.0,,,
1996-09-05,138.68,140.63,134.5,135.31,957611.0,,,
1996-09-06,136.25,136.25,132.5,134.33,351161.0,,,
1996-09-07,134.7,136.23,132.89,133.7,269659.0,,,
1996-09-10,134.99,136.25,133.06,133.99,420466.0,,,
1996-09-11,133.99,136.71,133.5,134.46,514196.0,,,
1996-09-12,135.25,137.25,135.25,136.18,401947.0,,,
1996-09-13,136.3,139.38,136.28,137.46,534610.0,,,
1996-09-14,137.54,138.5,134.75,135.05,209783.0,,,
1996-09-17,136.0,140.5,136.0,136.63,224376.0,,,
1996-09-18,137.01,155.96,136.63,146.06,4793064.0,,,
1996-09-19,144.95,153.48,143.31,151.26,2264328.0,,,
1996-09-20,144.25,156.75,144.25,152.24,1776100.0,,,
1996-09-21,156.25,156.25,148.31,150.29,726501.0,,,
1996-09-24,148.81,152.93,147.51,148.39,635537.0,,,
1996-09-25,149.95,156.5,148.5,154.4,1735875.0,,,
1996-09-26,154.88,157.95,154.08,154.86,1015312.0,,,
1996-09-27,156.18,156.18,152.04,153.25,302605.0,,,
1996-09-28,153.75,157.5,152.5,154.6,595376.0,,,
1996-10-02,154.75,158.96,153.75,154.85,800656.0,,,
1996-10-03,155.4,156.0,152.5,153.43,300674.0,,,
1996-10-04,155.3,157.0,154.75,156.04,214316.0,,,
1996-10-05,157.25,159.99,154.54,155.33,618442.0,,,
1996-10-08,154.5,156.23,152.5,153.51,240328.0,,,
1996-10-09,155.0,156.2,152.59,153.96,210138.0,,,
1996-10-10,155.0,163.45,155.0,157.49,1942573.0,,,
1996-10-11,158.63,159.28,155.25,157.43,721172.0,,,
1996-10-12,158.78,173.23,158.78,170.49,2521133.0,,,
1996-10-15,172.06,179.5,172.06,177.61,1859460.0,,,
1996-10-16,178.5,179.25,175.06,176.13,826731.0,,,
1996-10-17,177.5,178.75,170.0,171.01,754796.0,,,
1996-10-18,175.0,198.0,175.0,193.18,4708913.0,,,
1996-10-19,194.75,225.0,194.0,215.84,5252845.0,,,
1996-10-20,225.0,244.0,225.0,239.1,2442711.0,,,
