date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,3.94,3.97,3.85,3.88,202555.0,,,
1993-09-07,3.93,3.97,3.82,3.85,156582.0,,,
1993-09-08,3.89,3.91,3.76,3.77,154882.0,,,
1993-09-09,3.86,3.86,3.74,3.78,109690.0,,,
1993-09-10,3.81,3.87,3.77,3.78,133570.0,,,
1993-09-11,3.92,4.06,3.81,3.84,604588.0,,,
1993-09-14,3.8,3.87,3.68,3.7,144261.0,,,
1993-09-15,3.73,3.73,3.57,3.64,117422.0,,,
1993-09-16,3.73,3.82,3.67,3.69,128514.0,,,
1993-09-17,3.8,3.89,3.52,3.54,107777.0,,,
1993-09-18,3.63,3.63,3.35,3.46,126146.0,,,
1993-09-21,3.48,3.59,3.42,3.43,109172.0,,,
1993-09-22,3.55,3.6,3.39,3.4,334291.0,,,
1993-09-23,3.52,3.53,3.43,3.45,283595.0,,,
1993-09-24,3.45,3.74,3.41,3.67,417760.0,,,
1993-09-25,3.71,3.83,3.7,3.75,359385.0,,,
1993-09-28,3.79,3.79,3.69,3.72,152410.0,,,
1993-09-29,3.76,3.82,3.73,3.78,184270.0,,,
1993-09-30,3.82,4.04,3.82,3.95,722901.0,,,
1993-10-02,4.0,4.11,3.94,4.07,563310.0,,,
1993-10-05,4.11,4.88,4.11,4.7,2817819.0,,,
1993-10-06,4.77,4.78,4.42,4.49,815139.0,,,
1993-10-07,4.52,4.72,4.46,4.54,756003.0,,,
1993-10-08,4.57,4.7,4.51,4.55,335292.0,,,
1993-10-09,4.64,4.64,4.48,4.49,260471.0,,,
1993-10-12,4.53,4.91,4.48,4.68,1190945.0,,,
1993-10-13,4.67,4.74,4.47,4.49,395763.0,,,
1993-10-14,4.51,4.67,4.47,4.55,427742.0,,,
1993-10-15,4.59,4.65,4.53,4.56,233764.0,,,
1993-10-16,4.6,4.98,4.53,4.81,1228553.0,,,
1993-10-19,4.82,5.75,4.72,5.63,3434573.0,,,
1993-10-20,5.55,5.73,5.11,5.22,1117044.0,,,
1993-10-21,5.35,5.86,5.18,5.32,2175363.0,,,
1993-10-22,5.35,5.58,5.23,5.3,971791.0,,,
1993-10-23,5.32,5.46,5.12,5.4,780731.0,,,
1993-10-24,5.53,5.58,5.46,5.52,266766.0,,,
1993-10-26,5.54,5.54,5.21,5.27,361499.0,,,
1993-10-27,5.3,5.33,4.94,5.09,551904.0,,,
1993-10-28,5.16,5.3,5.11,5.22,329263.0,,,
1993-10-29,5.28,5.52,5.14,5.4,572360.0,,,
1993-10-30,5.45,5.82,5.44,5.78,979042.0,,,
1993-11-02,5.86,6.01,5.76,5.83,550171.0,,,
1993-11-03,5.88,5.91,5.62,5.67,282995.0,,,
1993-11-04,5.69,5.77,5.5,5.58,334903.0,,,
1993-11-05,5.63,5.7,5.51,5.58,190428.0,,,
1993-11-06,5.64,5.67,5.41,5.45,175989.0,,,
1993-11-09,5.52,5.74,5.33,5.63,142329.0,,,
1993-11-10,5.69,5.76,5.5,5.54,218456.0,,,
1993-11-11,5.59,5.7,5.5,5.54,199275.0,,,
1993-11-12,5.61,5.62,5.26,5.28,247971.0,,,
1993-11-13,5.3,5.42,5.13,5.2,198804.0,,,
1993-11-14,5.24,5.47,5.18,5.35,69359.0,,,
1993-11-16,5.44,5.69,5.33,5.57,393461.0,,,
1993-11-17,5.65,5.87,5.55,5.65,664811.0,,,
1993-11-18,5.69,5.91,5.47,5.52,575191.0,,,
1993-11-19,5.61,5.63,5.28,5.31,227105.0,,,
1993-11-20,5.24,5.35,5.11,5.27,225365.0,,,
1993-11-23,5.35,5.45,5.3,5.39,141681.0,,,
1993-11-24,5.47,5.54,5.41,5.44,153712.0,,,
1993-11-26,5.46,5.54,5.36,5.45,149519.0,,,
1993-11-27,5.47,5.64,5.42,5.5,232214.0,,,
1993-11-30,5.55,6.08,5.55,5.98,1010615.0,,,
1993-12-01,5.99,6.05,5.8,5.96,442956.0,,,
1993-12-02,5.96,6.46,5.96,6.23,900692.0,,,
1993-12-03,6.27,6.34,6.03,6.28,366475.0,,,
1993-12-04,6.31,6.31,5.81,5.93,191325.0,,,
1993-12-07,5.91,6.18,5.8,6.14,178228.0,,,
1993-12-08,6.24,6.24,6.03,6.19,135717.0,,,
1993-12-09,6.18,6.48,6.11,6.21,234859.0,,,
1993-12-10,6.31,6.31,6.1,6.18,140945.0,,,
1993-12-11,6.28,6.32,6.13,6.2,98434.0,,,
1993-12-14,6.25,6.45,6.25,6.28,171943.0,,,
1993-12-15,6.28,6.69,6.23,6.39,533660.0,,,
1993-12-16,6.46,6.46,6.19,6.23,150297.0,,,
1993-12-17,6.28,6.51,6.23,6.35,181374.0,,,
1993-12-18,6.41,6.67,6.21,6.26,135271.0,,,
1993-12-21,6.29,6.47,6.25,6.35,207115.0,,,
1993-12-22,6.33,6.89,6.29,6.8,980107.0,,,
1993-12-23,6.91,7.0,6.69,6.72,430527.0,,,
1993-12-25,6.78,6.91,6.62,6.66,195202.0,,,
1993-12-28,6.75,6.81,6.64,6.72,178190.0,,,
1993-12-29,6.81,6.81,6.4,6.49,140840.0,,,
1993-12-30,6.54,6.57,6.29,6.31,133552.0,,,
1993-12-31,6.35,6.52,6.35,6.46,77077.0,,,
1994-01-01,6.52,6.57,6.39,6.42,85314.0,,,
1994-01-04,6.52,6.55,6.13,6.32,96009.0,,,
1994-01-05,6.08,6.42,6.08,6.17,109432.0,,,
1994-01-06,6.13,6.28,5.89,6.18,127464.0,,,
1994-01-07,6.38,6.5,6.23,6.27,99168.0,,,
1994-01-08,6.4,6.57,6.28,6.44,323876.0,,,
1994-01-11,6.45,6.5,6.14,6.2,83593.0,,,
1994-01-12,6.23,6.52,5.94,6.45,287543.0,,,
1994-01-13,6.53,6.7,6.38,6.45,248797.0,,,
1994-01-14,6.48,6.57,6.2,6.25,133766.0,,,
1994-01-15,6.32,6.32,6.04,6.1,121376.0,,,
1994-01-18,6.09,6.1,5.81,6.05,109344.0,,,
1994-01-19,6.1,6.19,6.04,6.12,136326.0,,,
1994-01-20,6.04,6.08,5.41,5.53,135849.0,,,
1994-01-21,5.53,5.83,5.28,5.56,127412.0,,,
1994-01-22,5.69,5.93,5.6,5.85,86747.0,,,
1994-01-26,5.99,6.03,5.79,6.01,71370.0,,,
1994-01-27,5.74,5.96,5.7,5.76,68897.0,,,
1994-01-28,5.83,6.02,5.69,5.85,127183.0,,,
1994-01-29,5.83,5.83,5.38,5.51,199478.0,,,
1994-02-02,5.6,5.6,5.12,5.25,150570.0,,,
1994-02-03,5.26,5.26,4.87,4.97,95916.0,,,
1994-02-04,5.01,5.09,4.91,5.01,192419.0,,,
1994-02-05,4.88,5.07,4.62,4.73,228535.0,,,
