date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,1.87,2.02,1.87,2.02,123330.0,,,
1993-09-07,2.13,2.14,2.01,2.04,70388.0,,,
1993-09-08,2.08,2.08,1.94,1.96,37621.0,,,
1993-09-09,1.88,1.96,1.88,1.9,18548.0,,,
1993-09-10,1.93,2.02,1.9,1.91,19646.0,,,
1993-09-11,2.02,2.04,1.81,1.83,18106.0,,,
1993-09-14,1.87,1.87,1.72,1.83,17340.0,,,
1993-09-15,1.77,1.8,1.67,1.8,11102.0,,,
1993-09-16,1.75,1.98,1.74,1.96,44923.0,,,
1993-09-17,1.92,1.93,1.81,1.83,18850.0,,,
1993-09-18,1.99,1.99,1.77,1.82,1852.0,,,
1993-09-21,1.83,1.89,1.8,1.87,2903.0,,,
1993-09-22,1.87,1.91,1.85,1.87,4307.0,,,
1993-09-23,1.83,1.99,1.82,1.95,24061.0,,,
1993-09-24,1.85,1.99,1.85,1.94,8326.0,,,
1993-09-25,1.93,2.0,1.9,1.93,5752.0,,,
1993-09-28,2.03,2.04,1.97,2.03,20867.0,,,
1993-09-29,1.98,2.05,1.95,1.96,19431.0,,,
1993-09-30,2.0,2.03,1.97,2.02,15400.0,,,
1993-10-02,2.07,2.13,2.05,2.11,23114.0,,,
1993-10-05,2.14,2.14,2.04,2.06,13774.0,,,
1993-10-06,2.0,2.03,1.96,1.97,11640.0,,,
1993-10-07,1.97,2.08,1.95,1.99,10257.0,,,
1993-10-08,2.01,2.13,1.97,2.08,14905.0,,,
1993-10-09,2.13,2.13,2.0,2.03,9692.0,,,
1993-10-12,2.0,2.03,1.97,1.99,3697.0,,,
1993-10-13,1.97,2.03,1.88,1.99,24923.0,,,
1993-10-14,1.94,1.98,1.93,1.95,7810.0,,,
1993-10-15,2.03,2.09,1.98,2.08,29086.0,,,
1993-10-16,2.07,2.13,2.02,2.03,9469.0,,,
1993-10-19,1.97,2.09,1.97,1.97,5700.0,,,
1993-10-20,1.93,1.97,1.91,1.91,4480.0,,,
1993-10-21,1.92,1.92,1.92,1.92,1000.0,,,
1993-10-22,1.92,1.98,1.88,1.89,5885.0,,,
1993-10-23,1.88,1.93,1.84,1.89,14250.0,,,
1993-10-24,1.93,1.93,1.93,1.93,300.0,,,
1993-10-26,1.93,1.95,1.91,1.91,1450.0,,,
1993-10-27,1.93,1.93,1.88,1.88,1200.0,,,
1993-10-28,1.88,1.9,1.77,1.88,31150.0,,,
1993-10-29,1.96,1.97,1.9,1.92,12104.0,,,
1993-10-30,1.89,2.0,1.89,1.94,10396.0,,,
1993-11-02,2.09,2.09,1.87,1.93,7371.0,,,
1993-11-03,1.87,2.01,1.87,1.99,17507.0,,,
1993-11-04,2.07,2.09,1.97,2.0,12500.0,,,
1993-11-05,1.94,2.01,1.94,1.99,10835.0,,,
1993-11-06,2.01,2.09,1.97,2.03,15001.0,,,
1993-11-09,2.06,2.2,2.06,2.17,19906.0,,,
1993-11-10,2.22,2.27,2.18,2.21,33450.0,,,
1993-11-11,2.33,2.44,2.33,2.41,76491.0,,,
1993-11-12,2.5,2.5,2.32,2.34,31063.0,,,
1993-11-13,2.33,2.36,2.18,2.26,18613.0,,,
1993-11-14,2.33,2.37,2.2,2.35,5947.0,,,
1993-11-16,2.33,2.34,2.28,2.3,7123.0,,,
1993-11-17,2.36,2.53,2.33,2.47,65316.0,,,
1993-11-18,2.51,2.63,2.43,2.56,49662.0,,,
1993-11-19,2.65,2.8,2.54,2.57,60228.0,,,
1993-11-20,2.66,2.66,2.44,2.5,25025.0,,,
1993-11-23,2.66,2.67,2.54,2.6,42187.0,,,
1993-11-24,2.67,2.67,2.53,2.57,39871.0,,,
1993-11-26,2.64,2.66,2.57,2.59,26791.0,,,
1993-11-27,2.67,2.67,2.47,2.54,16613.0,,,
1993-11-30,2.53,2.7,2.48,2.6,71485.0,,,
1993-12-01,2.66,2.67,2.43,2.51,30740.0,,,
1993-12-02,2.5,2.57,2.39,2.41,40420.0,,,
1993-12-03,2.35,2.5,2.27,2.44,48514.0,,,
1994-01-26,38.0,38.0,35.0,36.02,26737.0,,,
1994-01-27,35.33,37.67,34.07,35.92,32155.0,,,
1994-01-28,35.33,36.23,33.6,34.34,19074.0,,,
1994-01-29,34.6,34.6,31.43,32.2,23807.0,,,
1994-02-02,31.47,31.67,30.0,30.76,25068.0,,,
1994-02-03,29.47,31.93,29.47,31.68,21392.0,,,
1994-02-04,31.67,32.6,31.37,32.01,19618.0,,,
1994-02-05,30.74,32.4,30.73,32.05,11997.0,,,
1994-02-08,31.67,32.2,30.8,31.46,19547.0,,,
1994-02-09,32.0,32.0,30.6,31.85,20031.0,,,
1994-02-10,31.93,32.26,31.72,31.98,8149.0,,,
1994-02-11,32.0,32.6,31.7,32.42,10600.0,,,
1994-02-12,32.87,33.06,32.0,32.85,14134.0,,,
1994-02-15,31.0,33.2,31.0,32.96,9670.0,,,
1994-02-16,32.73,33.33,32.67,33.18,38983.0,,,
1994-02-17,33.0,33.6,32.8,33.45,8918.0,,,
1994-02-18,33.33,33.33,31.67,32.1,24195.0,,,
1994-02-19,32.33,32.33,31.44,31.67,44404.0,,,
1994-02-22,33.67,33.67,31.0,31.28,13769.0,,,
1994-02-23,31.3,32.34,31.3,32.17,11944.0,,,
1994-02-24,32.27,32.27,31.3,31.39,8565.0,,,
1994-02-25,31.73,32.33,30.67,31.38,6316.0,,,
1994-02-26,31.07,32.07,31.07,31.85,80565.0,,,
1994-03-01,31.71,32.13,31.43,31.98,8563.0,,,
1994-03-03,32.67,35.45,32.67,34.44,46849.0,,,
1994-03-04,35.3,35.3,32.89,33.26,13976.0,,,
1994-03-05,33.87,33.99,33.08,33.3,13147.0,,,
1994-03-08,33.33,34.27,33.33,34.21,18863.0,,,
1994-03-09,34.27,34.59,33.41,34.15,13688.0,,,
1994-03-10,33.67,34.13,33.67,33.99,13606.0,,,
1994-03-11,33.67,34.53,33.67,34.35,14098.0,,,
1994-03-12,34.33,34.33,32.47,33.15,4523.0,,,
1994-03-15,32.35,33.87,30.0,33.23,15463.0,,,
1994-03-16,32.09,32.87,31.8,32.09,2871.0,,,
1994-03-17,32.33,32.33,31.73,31.81,2033.0,,,
1994-03-18,32.21,32.59,31.67,32.11,5990.0,,,
