date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,6.34,6.72,6.34,6.57,443865.0,,,
1993-09-07,6.69,7.0,6.43,6.88,612387.0,,,
1993-09-08,6.97,7.13,6.71,6.87,500975.0,,,
1993-09-09,6.84,6.85,6.3,6.66,499214.0,,,
1993-09-10,6.52,7.09,6.5,6.98,501679.0,,,
1993-09-11,7.07,7.11,6.25,6.43,347240.0,,,
1993-09-14,6.43,6.8,6.35,6.68,415308.0,,,
1993-09-15,6.67,7.0,6.53,6.95,525121.0,,,
1993-09-16,7.0,7.5,7.0,7.23,943301.0,,,
1993-09-17,7.16,7.25,6.69,6.75,457077.0,,,
1993-09-18,6.88,6.99,6.51,6.79,320604.0,,,
1993-09-21,6.8,6.89,6.51,6.56,208326.0,,,
1993-09-22,6.53,6.98,6.5,6.89,241033.0,,,
1993-09-23,6.99,7.06,6.75,6.83,134706.0,,,
1993-09-24,6.85,7.21,6.75,7.09,267606.0,,,
1993-09-25,7.1,7.23,6.97,7.06,184230.0,,,
1993-09-28,7.09,7.38,6.95,7.1,304153.0,,,
1993-09-29,7.16,7.67,7.09,7.59,575641.0,,,
1993-09-30,7.55,7.8,7.45,7.65,372767.0,,,
1993-10-02,7.7,7.85,7.6,7.65,167284.0,,,
1993-10-05,7.72,7.8,7.53,7.58,121197.0,,,
1993-10-06,7.66,7.73,7.23,7.32,190213.0,,,
1993-10-07,7.38,7.43,7.1,7.22,186079.0,,,
1993-10-08,7.23,7.64,7.23,7.44,253554.0,,,
1993-10-09,7.55,7.63,7.28,7.33,105399.0,,,
1993-10-12,7.39,7.53,7.33,7.36,120944.0,,,
1993-10-13,7.42,7.49,7.0,7.07,139147.0,,,
1993-10-14,7.15,7.4,6.98,7.3,126146.0,,,
1993-10-15,7.4,7.75,7.4,7.59,340000.0,,,
1993-10-16,7.65,7.7,7.33,7.38,149933.0,,,
1993-10-19,7.42,7.42,7.07,7.14,71371.0,,,
