date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1993-09-04,45.08,47.02,44.18,46.73,1132414.0,,,
1993-09-07,47.29,48.19,46.65,47.55,736114.0,,,
1993-09-08,48.07,49.99,47.37,48.31,1251048.0,,,
1993-09-09,49.69,49.72,46.2,47.49,908005.0,,,
1993-09-10,46.8,47.02,45.57,45.87,934354.0,,,
1993-09-11,46.5,46.99,44.25,44.64,1085735.0,,,
1993-09-14,44.96,44.96,41.29,41.58,835326.0,,,
1993-09-15,41.06,45.18,40.88,44.81,960738.0,,,
1993-09-16,46.69,46.95,44.07,44.69,1040766.0,,,
1993-09-17,44.93,44.93,42.07,42.43,828064.0,,,
1993-09-18,43.05,43.86,41.12,43.13,983103.0,,,
1993-09-21,43.86,44.05,42.19,42.36,637239.0,,,
1993-09-22,41.88,43.04,41.44,42.81,607818.0,,,
1993-09-23,43.5,45.08,42.83,44.89,680508.0,,,
1993-09-24,43.87,45.0,43.58,44.23,678105.0,,,
1993-09-25,44.44,46.86,43.87,46.71,1172955.0,,,
1993-09-28,46.32,47.69,46.16,46.63,860394.0,,,
1993-09-29,47.29,47.44,46.58,47.09,606804.0,,,
1993-09-30,46.76,47.92,46.13,46.78,723988.0,,,
1993-10-02,47.4,47.65,45.22,45.63,941174.0,,,
1993-10-05,46.28,47.1,46.13,46.42,583598.0,,,
1993-10-06,46.69,47.69,45.9,46.2,738140.0,,,
1993-10-07,46.5,46.53,44.25,45.46,752997.0,,,
1993-10-08,45.76,47.17,45.47,46.65,709998.0,,,
1993-10-09,49.12,50.96,47.06,50.52,1276774.0,,,
1993-10-12,51.37,52.87,51.11,51.44,696430.0,,,
1993-10-13,52.5,55.42,49.65,50.04,797153.0,,,
1993-10-14,50.4,51.19,48.6,50.01,856971.0,,,
1993-10-15,50.92,52.31,50.44,51.73,812112.0,,,
1993-10-16,56.89,56.89,51.94,53.23,997623.0,,,
1993-10-19,53.44,53.44,51.02,51.46,704414.0,,,
1993-10-20,51.75,51.75,49.04,49.43,643821.0,,,
1993-10-21,49.54,50.06,46.99,47.57,813614.0,,,
1993-10-22,47.4,47.8,45.92,46.21,647016.0,,,
1993-10-23,46.16,48.56,45.96,48.18,571619.0,,,
1993-10-24,49.46,49.46,47.89,48.13,110782.0,,,
1993-10-26,48.04,48.04,45.94,46.12,411150.0,,,
1993-10-27,47.25,47.8,46.42,46.98,566093.0,,,
1993-10-28,47.71,48.0,46.01,47.2,581137.0,,,
1993-10-29,47.57,47.57,46.69,46.96,332456.0,,,
1993-10-30,47.03,50.59,47.03,50.33,730032.0,,,
1993-11-02,50.63,53.92,50.08,53.46,786107.0,,,
1993-11-03,54.19,56.17,53.92,54.53,937710.0,,,
1993-11-04,54.37,54.37,51.97,53.25,631328.0,,,
1993-11-05,53.62,55.8,53.34,54.36,840202.0,,,
1993-11-06,54.75,55.46,53.25,53.6,416365.0,,,
1993-11-09,54.0,54.0,51.65,53.27,264301.0,,,
1993-11-10,52.59,54.82,52.17,53.91,610763.0,,,
1993-11-11,54.75,55.38,53.51,54.7,631835.0,,,
1993-11-12,55.46,56.05,52.89,53.44,719832.0,,,
1993-11-13,53.07,53.7,52.23,53.06,683680.0,,,
1993-11-14,52.5,53.77,52.33,53.01,157830.0,,,
1993-11-16,53.62,54.54,52.55,54.17,457407.0,,,
1993-11-17,54.37,54.75,52.61,53.04,553788.0,,,
1993-11-18,52.69,53.81,51.56,53.04,749493.0,,,
1993-11-19,54.26,54.3,52.33,52.59,518375.0,,,
1993-11-20,52.5,54.9,52.21,54.18,563078.0,,,
1993-11-23,54.75,54.75,53.36,54.15,551598.0,,,
1993-11-24,54.82,55.42,54.01,54.39,572195.0,,,
1993-11-26,54.75,57.71,54.21,56.83,1146552.0,,,
1993-11-27,57.15,58.05,56.49,57.67,683606.0,,,
1993-11-30,58.31,60.94,58.31,60.57,879784.0,,,
1993-12-01,61.52,61.69,57.98,58.69,757845.0,,,
1993-12-02,58.8,59.89,57.79,59.37,621166.0,,,
1993-12-03,59.62,59.62,57.96,58.87,551886.0,,,
1993-12-04,58.55,59.16,56.32,56.57,454176.0,,,
1993-12-07,56.21,57.74,55.69,57.23,635481.0,,,
1993-12-08,57.56,58.31,57.28,58.07,375261.0,,,
1993-12-09,57.75,60.37,57.23,59.68,610556.0,,,
1993-12-10,59.7,61.59,59.62,61.34,703814.0,,,
1993-12-11,61.57,61.99,59.72,60.35,748123.0,,,
1993-12-14,60.94,62.8,60.75,62.5,417893.0,,,
1993-12-15,61.12,63.86,61.12,63.21,710925.0,,,
1993-12-16,62.25,62.81,60.52,62.27,766467.0,,,
1993-12-17,62.17,63.71,61.87,63.07,485366.0,,,
1993-12-18,63.19,64.27,62.76,63.96,500914.0,,,
1993-12-21,63.75,64.1,62.51,63.04,454604.0,,,
1993-12-22,62.66,63.75,61.88,62.12,441463.0,,,
1993-12-23,62.43,65.44,61.95,64.52,570285.0,,,
1993-12-25,64.84,65.34,63.94,64.27,479194.0,,,
1993-12-28,64.71,66.48,64.71,65.76,568902.0,,,
1993-12-29,66.37,67.57,65.27,65.91,527505.0,,,
