date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1995-07-12,13.18,14.0,12.0,12.17,48988303.0,,,
1995-07-13,12.2,12.6,11.49,11.74,12822324.0,,,
1995-07-14,12.0,12.0,11.4,11.45,3256573.0,,,
1995-07-15,11.25,12.89,11.25,12.37,15089606.0,,,
1995-07-18,12.54,13.14,12.5,12.82,15136955.0,,,
1995-07-19,13.0,13.0,12.62,12.79,5089187.0,,,
1995-07-20,12.82,12.97,12.6,12.7,1881334.0,,,
1995-07-21,12.78,12.8,12.45,12.5,2032914.0,,,
1995-07-22,12.56,12.6,12.36,12.41,1005201.0,,,
1995-07-25,12.6,12.6,12.22,12.28,1080697.0,,,
1995-07-26,12.32,12.8,12.2,12.49,2329540.0,,,
1995-07-27,12.66,12.9,12.47,12.71,2496204.0,,,
1995-07-29,12.71,12.85,12.4,12.49,1237293.0,,,
1995-08-01,12.61,12.86,12.55,12.66,3590938.0,,,
1995-08-02,12.8,14.86,12.8,14.32,30856711.0,,,
1995-08-03,14.5,14.57,13.63,13.91,11393327.0,,,
1995-08-04,14.0,14.74,13.92,14.34,8579606.0,,,
1995-08-05,14.3,14.55,14.2,14.31,2616074.0,,,
1995-08-08,14.39,14.47,14.09,14.13,2154325.0,,,
1995-08-09,14.18,14.23,13.71,13.94,1503631.0,,,
1995-08-10,14.0,14.7,14.0,14.3,3291467.0,,,
1995-08-11,14.39,14.56,14.24,14.33,1786252.0,,,
1995-08-12,14.3,14.38,14.1,14.14,901987.0,,,
1995-08-16,14.18,14.29,13.8,13.89,1088402.0,,,
1995-08-17,13.88,14.18,13.75,13.81,1035964.0,,,
1995-08-18,13.94,14.01,13.71,13.79,964612.0,,,
1995-08-19,13.93,13.93,13.48,13.58,814334.0,,,
1995-08-22,13.7,13.72,13.25,13.34,916142.0,,,
1995-08-23,13.49,13.49,12.78,12.92,1476367.0,,,
1995-08-24,12.84,13.18,12.78,12.93,616478.0,,,
1995-08-25,13.0,13.46,12.95,13.14,496609.0,,,
1995-08-26,13.22,13.6,13.14,13.24,466074.0,,,
1995-08-29,13.4,13.4,12.84,13.05,1245549.0,,,
1995-08-30,13.19,13.43,13.14,13.29,405319.0,,,
1995-08-31,13.4,13.73,13.23,13.41,852663.0,,,
1995-09-01,13.59,13.66,13.3,13.4,382169.0,,,
1995-09-02,13.42,14.79,13.14,14.12,3439506.0,,,
1995-09-05,14.22,14.3,13.6,13.66,794857.0,,,
1995-09-06,13.79,14.28,13.6,13.77,1159714.0,,,
1995-09-08,13.6,13.93,13.6,13.82,528846.0,,,
1995-09-09,13.97,14.67,13.74,14.54,3011179.0,,,
1995-09-12,14.64,14.76,14.3,14.34,1453140.0,,,
1995-09-13,14.4,14.6,14.18,14.3,1206319.0,,,
1995-09-14,14.51,14.72,14.03,14.34,1867148.0,,,
1995-09-15,14.4,14.5,14.16,14.2,705326.0,,,
1995-09-16,14.1,14.37,12.98,14.14,444499.0,,,
1995-09-19,14.29,14.29,13.9,13.96,771623.0,,,
1995-09-20,14.08,14.08,13.62,13.77,1084933.0,,,
1995-09-21,13.8,13.89,12.71,13.07,3364553.0,,,
1995-09-22,13.16,13.16,12.72,12.78,1132406.0,,,
1995-09-23,12.86,13.3,12.24,12.58,1582416.0,,,
1995-09-26,12.78,13.34,12.78,13.01,948830.0,,,
1995-09-27,13.1,13.38,13.02,13.29,863544.0,,,
1995-09-28,13.5,13.96,13.41,13.73,1384129.0,,,
1995-09-29,13.85,13.85,13.44,13.53,693380.0,,,
1995-09-30,13.52,13.59,13.05,13.27,824413.0,,,
1995-10-03,13.37,13.58,13.23,13.31,422033.0,,,
1995-10-04,13.45,13.54,13.35,13.42,670644.0,,,
1995-10-05,13.54,13.9,13.32,13.55,946457.0,,,
1995-10-06,13.69,14.24,13.25,13.68,2606298.0,,,
1995-10-07,13.88,14.1,13.66,13.84,1765337.0,,,
1995-10-10,14.0,14.43,13.51,13.64,4766292.0,,,
1995-10-11,13.8,13.8,13.38,13.44,1067807.0,,,
1995-10-13,13.46,13.57,13.08,13.13,1566298.0,,,
1995-10-14,13.25,13.25,12.85,12.94,1277885.0,,,
1995-10-17,13.1,13.1,12.55,12.6,1115967.0,,,
1995-10-18,12.72,13.23,12.61,13.14,977158.0,,,
1995-10-19,12.89,13.18,12.64,12.94,964550.0,,,
1995-10-20,13.12,13.2,12.8,12.93,815875.0,,,
1995-10-21,13.0,13.0,12.43,12.71,688251.0,,,
1995-10-24,12.8,13.2,12.8,12.91,355469.0,,,
1995-10-25,13.03,13.16,12.8,13.01,326906.0,,,
1995-10-26,13.15,13.15,12.9,13.08,252912.0,,,
1995-10-27,13.0,13.07,12.9,13.02,241879.0,,,
1995-10-28,12.99,13.09,12.61,12.69,536839.0,,,
1995-10-31,12.79,13.06,12.7,12.99,162927.0,,,
1995-11-01,13.22,13.4,13.0,13.18,87369.0,,,
1995-11-02,13.24,13.24,12.9,13.17,206123.0,,,
1995-11-07,13.2,13.2,13.0,13.08,197479.0,,,
1995-11-08,13.16,13.33,12.97,13.06,229509.0,,,
1995-11-09,13.2,13.24,12.96,13.0,243364.0,,,
1995-11-10,13.04,13.14,13.0,13.04,114406.0,,,
1995-11-11,13.16,13.39,13.06,13.3,324386.0,,,
1995-11-14,13.4,13.55,13.05,13.17,157509.0,,,
1995-11-16,13.22,13.41,13.1,13.21,168455.0,,,
1995-11-17,13.33,13.5,13.2,13.24,199381.0,,,
1995-11-18,13.2,13.42,13.2,13.24,183448.0,,,
1995-11-21,13.4,13.84,13.0,13.52,597370.0,,,
1995-11-22,13.7,13.7,13.42,13.51,249899.0,,,
1995-11-23,13.54,13.66,13.53,13.6,281368.0,,,
1995-11-24,13.74,13.74,13.53,13.6,341171.0,,,
1995-11-25,13.66,13.96,13.56,13.61,523542.0,,,
1995-11-26,13.74,13.86,13.66,13.7,288081.0,,,
1995-11-28,13.72,13.79,13.5,13.6,333813.0,,,
1995-11-29,13.54,13.72,13.3,13.59,192883.0,,,
1995-11-30,13.52,13.76,13.4,13.44,332560.0,,,
1995-12-01,13.3,13.74,13.3,13.67,218075.0,,,
1995-12-02,13.65,14.22,13.62,13.86,1439648.0,,,
1995-12-05,13.92,14.16,13.8,14.01,492852.0,,,
1995-12-06,14.02,14.07,14.0,14.02,291538.0,,,
