date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-01 09:15,266.0,267.05,265.65,267.0,134398.0,,,
2024-04-01 09:16,266.75,267.15,266.7,267.05,166228.0,,,
2024-04-01 09:17,267.4,267.4,266.65,266.75,41728.0,,,
2024-04-01 09:18,266.8,266.9,266.55,266.8,66724.0,,,
2024-04-01 09:19,266.9,267.1,266.45,266.55,70740.0,,,
2024-04-01 09:20,266.55,266.9,266.5,266.85,57996.0,,,
2024-04-01 09:21,266.75,266.85,266.7,266.8,20979.0,,,
2024-04-01 09:22,266.9,266.9,266.35,266.35,48451.0,,,
2024-04-01 09:23,266.35,266.45,266.25,266.25,29609.0,,,
2024-04-01 09:24,266.15,266.3,266.0,266.15,73871.0,,,
2024-04-01 09:25,266.15,266.15,265.85,266.0,26077.0,,,
2024-04-01 09:26,266.15,266.3,266.0,266.2,34561.0,,,
2024-04-01 09:27,266.2,266.2,265.95,266.1,42617.0,,,
2024-04-01 09:28,266.1,266.5,266.0,266.5,29358.0,,,
2024-04-01 09:29,266.55,266.55,265.9,265.9,45003.0,,,
2024-04-01 09:30,265.65,265.9,265.65,265.8,41904.0,,,
2024-04-01 09:31,265.8,266.2,265.75,266.1,33249.0,,,
2024-04-01 09:32,266.2,267.25,266.2,266.75,95657.0,,,
2024-04-01 09:33,266.7,267.15,266.7,267.05,32558.0,,,
2024-04-01 09:34,267.0,267.75,266.95,267.75,70840.0,,,
2024-04-01 09:35,267.75,268.05,267.6,267.6,81077.0,,,
2024-04-01 09:36,267.7,267.7,267.0,267.0,24851.0,,,
2024-04-01 09:37,267.0,267.15,266.6,266.65,39719.0,,,
2024-04-01 09:38,266.75,267.3,266.6,267.05,23495.0,,,
2024-04-01 09:39,267.05,267.25,266.75,267.0,26782.0,,,
2024-04-01 09:40,267.0,267.05,266.75,267.0,43725.0,,,
2024-04-01 09:41,266.95,267.1,266.7,266.8,25361.0,,,
2024-04-01 09:42,266.8,266.8,266.25,266.25,40092.0,,,
2024-04-01 09:43,266.2,266.5,265.9,266.45,67581.0,,,
2024-04-01 09:44,266.45,266.7,266.4,266.6,16296.0,,,
2024-04-01 09:45,266.65,266.7,266.5,266.7,19994.0,,,
2024-04-01 09:46,266.75,267.1,266.7,267.05,27732.0,,,
2024-04-01 09:47,267.1,267.1,267.0,267.0,23817.0,,,
2024-04-01 09:48,267.0,267.05,266.85,266.85,13821.0,,,
2024-04-01 09:49,266.8,266.9,266.7,266.9,12616.0,,,
2024-04-01 09:50,266.9,266.95,266.8,266.9,8158.0,,,
2024-04-01 09:51,266.85,266.85,266.7,266.8,10186.0,,,
2024-04-01 09:52,266.85,266.85,266.6,266.75,11064.0,,,
2024-04-01 09:53,266.8,266.8,266.6,266.75,7699.0,,,
