date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-01 09:15,23.3,23.55,23.3,23.55,5020453.0,,,
2024-04-01 09:16,23.5,23.55,23.45,23.55,2033297.0,,,
2024-04-01 09:17,23.55,23.55,23.45,23.5,2163870.0,,,
2024-04-01 09:18,23.5,23.5,23.45,23.5,2124569.0,,,
2024-04-01 09:19,23.5,23.65,23.5,23.55,2735409.0,,,
2024-04-01 09:20,23.6,23.6,23.55,23.55,533110.0,,,
2024-04-01 09:21,23.65,23.65,23.6,23.65,1557870.0,,,
2024-04-01 09:22,23.65,23.65,23.6,23.6,951272.0,,,
2024-04-01 09:23,23.6,23.6,23.55,23.6,341360.0,,,
2024-04-01 09:24,23.55,23.55,23.5,23.5,1684351.0,,,
2024-04-01 09:25,23.55,23.55,23.5,23.5,235569.0,,,
2024-04-01 09:26,23.55,23.55,23.5,23.5,353923.0,,,
2024-04-01 09:27,23.55,23.55,23.5,23.5,201523.0,,,
2024-04-01 09:28,23.55,23.55,23.5,23.55,517527.0,,,
2024-04-01 09:29,23.55,23.55,23.5,23.55,349089.0,,,
2024-04-01 09:30,23.55,23.55,23.5,23.55,1316364.0,,,
2024-04-01 09:31,23.55,23.55,23.5,23.55,227460.0,,,
2024-04-01 09:32,23.55,23.55,23.5,23.55,322826.0,,,
2024-04-01 09:33,23.55,23.55,23.5,23.55,388944.0,,,
2024-04-01 09:34,23.5,23.7,23.5,23.7,3195243.0,,,
2024-04-01 09:35,23.65,23.7,23.65,23.7,726339.0,,,
2024-04-01 09:36,23.7,23.7,23.6,23.65,908941.0,,,
2024-04-01 09:37,23.65,23.65,23.6,23.6,1898876.0,,,
2024-04-01 09:38,23.6,23.6,23.55,23.55,575198.0,,,
2024-04-01 09:39,23.55,23.6,23.55,23.6,261195.0,,,
2024-04-01 09:40,23.6,23.65,23.55,23.65,737586.0,,,
2024-04-01 09:41,23.65,23.65,23.6,23.6,449263.0,,,
2024-04-01 09:42,23.65,23.65,23.6,23.6,960854.0,,,
2024-04-01 09:43,23.6,23.65,23.6,23.65,931207.0,,,
2024-04-01 09:44,23.65,23.65,23.6,23.65,296639.0,,,
2024-04-01 09:45,23.65,23.65,23.6,23.65,113034.0,,,
2024-04-01 09:46,23.65,23.7,23.65,23.7,1779211.0,,,
2024-04-01 09:47,23.7,23.75,23.7,23.7,301708.0,,,
2024-04-01 09:48,23.7,23.75,23.7,23.75,428793.0,,,
2024-04-01 09:49,23.75,23.75,23.7,23.7,280630.0,,,
2024-04-01 09:50,23.75,23.75,23.7,23.7,541970.0,,,
2024-04-01 09:51,23.75,23.75,23.65,23.7,723525.0,,,
2024-04-01 09:52,23.7,23.7,23.65,23.7,595733.0,,,
2024-04-01 09:53,23.7,23.7,23.65,23.7,282212.0,,,
2024-04-01 09:54,23.7,23.7,23.65,23.65,137022.0,,,
2024-04-01 09:55,23.7,23.75,23.65,23.75,1136554.0,,,
2024-04-01 09:56,23.75,23.75,23.7,23.7,311432.0,,,
2024-04-01 09:57,23.75,23.75,23.7,23.7,332267.0,,,
2024-04-01 09:58,23.75,23.75,23.7,23.75,169628.0,,,
2024-04-01 09:59,23.7,23.8,23.7,23.75,1267342.0,,,
2024-04-01 10:00,23.75,23.8,23.75,23.8,244302.0,,,
2024-04-01 10:01,23.8,23.85,23.75,23.8,2130707.0,,,
2024-04-01 10:02,23.8,23.8,23.75,23.75,227503.0,,,
2024-04-01 10:03,23.8,23.8,23.75,23.75,298799.0,,,
2024-04-01 10:04,23.8,23.8,23.75,23.75,772756.0,,,
2024-04-01 10:05,23.7,23.75,23.7,23.75,256915.0,,,
2024-04-01 10:06,23.75,23.75,23.65,23.65,951071.0,,,
2024-04-01 10:07,23.7,23.75,23.7,23.75,834797.0,,,
2024-04-01 10:08,23.7,23.75,23.7,23.75,238319.0,,,
2024-04-01 10:09,23.75,23.75,23.7,23.75,178885.0,,,
2024-04-01 10:10,23.75,23.75,23.7,23.75,313420.0,,,
2024-04-01 10:11,23.75,23.75,23.7,23.75,356094.0,,,
2024-04-01 10:12,23.7,23.75,23.7,23.75,168505.0,,,
2024-04-01 10:13,23.75,23.75,23.7,23.7,100178.0,,,
2024-04-01 10:14,23.75,23.75,23.7,23.75,78419.0,,,
2024-04-01 10:15,23.75,23.75,23.7,23.75,381257.0,,,
2024-04-01 10:16,23.75,23.75,23.65,23.65,485745.0,,,
2024-04-01 10:17,23.7,23.7,23.65,23.7,214426.0,,,
2024-04-01 10:18,23.65,23.7,23.65,23.65,124810.0,,,
2024-04-01 10:19,23.7,23.7,23.65,23.65,163382.0,,,
2024-04-01 10:20,23.7,23.7,23.65,23.65,491476.0,,,
2024-04-01 10:21,23.7,23.7,23.65,23.65,1244174.0,,,
2024-04-01 10:22,23.65,23.65,23.6,23.65,208104.0,,,
2024-04-01 10:23,23.65,23.65,23.6,23.6,1438215.0,,,
2024-04-01 10:24,23.65,23.65,23.6,23.65,478504.0,,,
2024-04-01 10:25,23.6,23.65,23.6,23.65,163845.0,,,
2024-04-01 10:26,23.65,23.65,23.6,23.6,151513.0,,,
2024-04-01 10:27,23.65,23.65,23.6,23.65,225181.0,,,
2024-04-01 10:28,23.6,23.7,23.6,23.65,365021.0,,,
2024-04-01 10:29,23.7,23.7,23.65,23.7,175031.0,,,
2024-04-01 10:30,23.7,23.7,23.65,23.7,102420.0,,,
2024-04-01 10:31,23.7,23.7,23.65,23.65,91306.0,,,
2024-04-01 10:32,23.65,23.7,23.65,23.7,138457.0,,,
2024-04-01 10:33,23.7,23.7,23.65,23.65,315638.0,,,
2024-04-01 10:34,23.7,23.7,23.65,23.7,1520680.0,,,
2024-04-01 10:35,23.65,23.7,23.65,23.65,325426.0,,,
2024-04-01 10:36,23.7,23.7,23.65,23.7,176787.0,,,
2024-04-01 10:37,23.7,23.7,23.65,23.65,120814.0,,,
2024-04-01 10:38,23.7,23.7,23.65,23.7,45572.0,,,
2024-04-01 10:39,23.65,23.7,23.6,23.6,1323707.0,,,
2024-04-01 10:40,23.65,23.65,23.6,23.6,82580.0,,,
2024-04-01 10:41,23.6,23.65,23.6,23.6,93771.0,,,
2024-04-01 10:42,23.6,23.65,23.6,23.65,62038.0,,,
2024-04-01 10:43,23.65,23.65,23.6,23.6,109289.0,,,
2024-04-01 10:44,23.6,23.65,23.6,23.6,152224.0,,,
2024-04-01 10:45,23.65,23.65,23.6,23.65,99921.0,,,
2024-04-01 10:46,23.65,23.65,23.6,23.6,227979.0,,,
2024-04-01 10:47,23.6,23.6,23.55,23.6,1806485.0,,,
2024-04-01 10:48,23.6,23.6,23.55,23.6,178850.0,,,
2024-04-01 10:49,23.55,23.6,23.55,23.6,413139.0,,,
2024-04-01 10:50,23.55,23.65,23.55,23.6,914217.0,,,
2024-04-01 10:51,23.6,23.65,23.6,23.6,345074.0,,,
2024-04-01 10:52,23.6,23.65,23.6,23.65,111731.0,,,
2024-04-01 10:53,23.65,23.65,23.6,23.65,138565.0,,,
2024-04-01 10:54,23.6,23.65,23.6,23.6,190261.0,,,
2024-04-01 10:55,23.65,23.65,23.6,23.6,83670.0,,,
2024-04-01 10:56,23.6,23.65,23.6,23.65,109029.0,,,
2024-04-01 10:57,23.65,23.65,23.6,23.6,98996.0,,,
2024-04-01 10:58,23.6,23.65,23.6,23.65,74326.0,,,
2024-04-01 10:59,23.6,23.65,23.6,23.65,409800.0,,,
2024-04-01 11:00,23.65,23.65,23.6,23.65,296557.0,,,
2024-04-01 11:01,23.65,23.65,23.6,23.65,90166.0,,,
2024-04-01 11:02,23.6,23.65,23.6,23.65,104143.0,,,
2024-04-01 11:03,23.6,23.65,23.6,23.65,104809.0,,,
2024-04-01 11:04,23.65,23.65,23.6,23.6,52970.0,,,
2024-04-01 11:05,23.65,23.65,23.6,23.6,74152.0,,,
2024-04-01 11:06,23.65,23.65,23.6,23.65,73396.0,,,
2024-04-01 11:07,23.6,23.65,23.6,23.65,41511.0,,,
2024-04-01 11:08,23.65,23.65,23.6,23.6,76463.0,,,
2024-04-01 11:09,23.65,23.65,23.6,23.6,98902.0,,,
2024-04-01 11:10,23.65,23.65,23.65,23.65,157407.0,,,
2024-04-01 11:11,23.65,23.65,23.6,23.65,64151.0,,,
2024-04-01 11:12,23.6,23.7,23.6,23.65,459519.0,,,
2024-04-01 11:13,23.7,23.7,23.65,23.7,41638.0,,,
2024-04-01 11:14,23.65,23.7,23.65,23.7,50445.0,,,
