date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-02 09:15,688.0,688.65,687.8,687.95,10301.0,,,
2024-04-02 09:16,688.0,688.65,687.75,688.2,3689.0,,,
2024-04-02 09:17,688.2,688.65,688.15,688.5,2698.0,,,
2024-04-02 09:18,688.6,688.65,688.25,688.4,1922.0,,,
2024-04-02 09:19,688.65,688.7,688.3,688.3,2409.0,,,
2024-04-02 09:20,688.55,688.55,688.0,688.45,5417.0,,,
2024-04-02 09:21,688.45,689.85,688.1,689.5,9306.0,,,
2024-04-02 09:22,689.5,690.65,689.5,690.65,6746.0,,,
2024-04-02 09:23,691.2,691.5,691.2,691.4,5946.0,,,
2024-04-02 09:24,691.45,691.45,690.75,691.1,4240.0,,,
2024-04-02 09:25,691.5,691.9,691.5,691.9,4340.0,,,
2024-04-02 09:26,691.9,692.85,691.85,692.85,70326.0,,,
2024-04-02 09:27,693.0,693.0,692.05,692.35,5915.0,,,
2024-04-02 09:28,691.8,692.8,691.8,692.55,9158.0,,,
2024-04-02 09:29,692.5,692.5,692.0,692.3,3693.0,,,
2024-04-02 09:30,692.05,692.35,691.7,691.75,2251.0,,,
2024-04-02 09:31,691.5,693.0,691.5,693.0,12282.0,,,
2024-04-02 09:32,693.3,694.4,692.85,692.95,9202.0,,,
2024-04-02 09:33,692.95,693.2,692.5,692.55,3203.0,,,
2024-04-02 09:34,692.85,692.85,692.0,692.1,1162.0,,,
2024-04-02 09:35,691.35,692.2,691.3,692.0,3756.0,,,
2024-04-02 09:36,692.1,692.1,691.0,691.6,5198.0,,,
2024-04-02 09:37,691.3,691.65,690.65,691.25,1852.0,,,
2024-04-02 09:38,691.3,692.0,691.2,692.0,847.0,,,
2024-04-02 09:39,692.0,692.35,691.6,692.0,747.0,,,
2024-04-02 09:40,692.35,692.85,692.15,692.5,2200.0,,,
2024-04-02 09:41,692.25,692.7,692.25,692.3,611.0,,,
2024-04-02 09:42,692.3,692.45,692.1,692.25,2387.0,,,
2024-04-02 09:43,692.3,692.6,692.25,692.4,718.0,,,
2024-04-02 09:44,692.3,692.35,692.1,692.2,1226.0,,,
2024-04-02 09:45,692.2,692.25,692.1,692.25,529.0,,,
2024-04-02 09:46,692.0,692.0,690.75,691.65,3895.0,,,
2024-04-02 09:47,691.35,691.65,690.95,691.1,1797.0,,,
2024-04-02 09:48,691.0,691.35,690.55,690.55,4559.0,,,
2024-04-02 09:49,690.5,691.7,690.5,691.5,3241.0,,,
2024-04-02 09:50,692.25,693.0,692.15,692.55,17383.0,,,
2024-04-02 09:51,692.9,693.1,692.15,692.55,882.0,,,
2024-04-02 09:52,692.1,692.55,692.1,692.25,3501.0,,,
2024-04-02 09:53,692.15,692.85,692.15,692.5,1007.0,,,
2024-04-02 09:54,692.35,692.8,692.35,692.6,645.0,,,
2024-04-02 09:55,692.6,692.6,692.25,692.55,797.0,,,
2024-04-02 09:56,692.5,692.9,692.5,692.8,925.0,,,
2024-04-02 09:57,692.8,693.2,692.8,693.2,3341.0,,,
2024-04-02 09:58,693.15,694.0,693.05,693.1,7790.0,,,
2024-04-02 09:59,693.15,693.65,692.4,692.95,4890.0,,,
2024-04-02 10:00,692.6,694.0,692.6,693.9,8991.0,,,
2024-04-02 10:01,693.75,694.5,693.55,694.3,7574.0,,,
2024-04-02 10:02,695.0,695.0,694.35,694.5,4106.0,,,
2024-04-02 10:03,694.7,694.95,694.25,694.6,5375.0,,,
2024-04-02 10:04,694.8,695.3,694.65,694.8,8699.0,,,
2024-04-02 10:05,694.8,695.15,694.4,694.9,4631.0,,,
2024-04-02 10:06,694.55,694.9,694.55,694.85,2875.0,,,
2024-04-02 10:07,694.85,694.85,694.55,694.75,6159.0,,,
2024-04-02 10:08,694.5,694.9,694.35,694.6,4022.0,,,
2024-04-02 10:09,694.6,694.6,694.0,694.0,7470.0,,,
2024-04-02 10:10,694.25,694.9,694.25,694.7,4620.0,,,
2024-04-02 10:11,694.7,694.75,694.35,694.7,2078.0,,,
2024-04-02 10:12,694.3,694.5,694.0,694.0,3095.0,,,
2024-04-02 10:13,694.05,694.25,693.95,694.0,3291.0,,,
2024-04-02 10:14,694.25,694.25,693.95,694.2,2738.0,,,
2024-04-02 10:15,693.95,694.5,693.95,694.5,4812.0,,,
2024-04-02 10:16,694.8,694.9,694.45,694.6,3391.0,,,
2024-04-02 10:17,694.85,694.85,694.45,694.65,2643.0,,,
2024-04-02 10:18,694.65,694.65,694.2,694.5,2166.0,,,
2024-04-02 10:19,694.7,695.45,694.4,695.45,7483.0,,,
2024-04-02 10:20,695.4,696.4,695.35,696.15,11078.0,,,
2024-04-02 10:21,696.0,696.15,695.7,695.95,1732.0,,,
2024-04-02 10:22,695.85,696.1,695.55,695.95,2645.0,,,
2024-04-02 10:23,695.95,696.1,695.65,696.1,1952.0,,,
2024-04-02 10:24,696.4,696.5,696.05,696.05,4473.0,,,
2024-04-02 10:25,696.25,696.25,696.0,696.1,2520.0,,,
2024-04-02 10:26,696.0,696.1,695.5,695.95,4078.0,,,
2024-04-02 10:27,695.75,696.1,695.75,696.0,3786.0,,,
2024-04-02 10:28,696.0,696.15,695.8,695.9,8076.0,,,
2024-04-02 10:29,696.0,696.0,695.2,695.6,1768.0,,,
2024-04-02 10:30,695.6,696.3,695.25,696.3,3399.0,,,
2024-04-02 10:31,696.15,696.15,695.0,695.65,3058.0,,,
2024-04-02 10:32,695.65,695.65,695.2,695.4,1115.0,,,
2024-04-02 10:33,695.4,696.3,695.2,695.8,2819.0,,,
2024-04-02 10:34,695.8,697.0,695.8,697.0,5287.0,,,
2024-04-02 10:35,697.0,697.0,696.35,696.5,1448.0,,,
2024-04-02 10:36,696.65,696.85,696.55,696.85,3294.0,,,
2024-04-02 10:37,696.85,696.85,696.0,696.35,1620.0,,,
2024-04-02 10:38,696.35,696.6,696.05,696.05,3649.0,,,
2024-04-02 10:39,696.45,696.5,696.0,696.0,1903.0,,,
2024-04-02 10:40,696.0,696.15,695.8,696.05,3835.0,,,
2024-04-02 10:41,695.65,695.8,695.2,695.4,1342.0,,,
2024-04-02 10:42,695.4,695.8,695.0,695.5,7286.0,,,
2024-04-02 10:43,695.75,695.95,695.45,695.8,1150.0,,,
2024-04-02 10:44,695.95,696.0,695.55,695.8,1626.0,,,
2024-04-02 10:45,695.95,696.0,695.5,695.95,1946.0,,,
2024-04-02 10:46,695.95,696.2,695.6,696.2,1842.0,,,
2024-04-02 10:47,695.85,696.2,695.65,695.65,2955.0,,,
2024-04-02 10:48,695.65,696.2,695.65,696.05,1395.0,,,
2024-04-02 10:49,696.05,696.2,695.8,696.15,1180.0,,,
2024-04-02 10:50,695.7,696.2,695.0,695.45,4995.0,,,
2024-04-02 10:51,695.45,695.6,695.35,695.6,671.0,,,
2024-04-02 10:52,695.6,695.75,695.3,695.7,522.0,,,
2024-04-02 10:53,695.85,695.85,695.1,695.45,1464.0,,,
2024-04-02 10:54,695.35,695.5,695.05,695.3,2053.0,,,
2024-04-02 10:55,695.0,695.35,694.85,695.35,5262.0,,,
2024-04-02 10:56,695.35,695.8,695.3,695.55,2798.0,,,
2024-04-02 10:57,695.55,695.6,695.15,695.5,1362.0,,,
2024-04-02 10:58,695.3,695.6,695.05,695.25,555.0,,,
2024-04-02 10:59,695.25,695.6,695.0,695.35,849.0,,,
2024-04-02 11:00,695.3,695.35,694.8,694.8,1579.0,,,
2024-04-02 11:01,694.8,694.95,694.55,694.7,1190.0,,,
2024-04-02 11:02,695.05,695.3,694.85,695.25,2131.0,,,
2024-04-02 11:03,694.95,695.55,694.95,695.55,619.0,,,
2024-04-02 11:04,695.5,695.5,695.3,695.5,262.0,,,
2024-04-02 11:05,695.35,696.8,695.35,696.4,5714.0,,,
2024-04-02 11:06,696.65,696.8,696.4,696.7,1576.0,,,
2024-04-02 11:07,696.7,696.8,696.45,696.45,529.0,,,
2024-04-02 11:08,696.45,696.75,696.25,696.5,1658.0,,,
2024-04-02 11:09,696.5,696.7,696.4,696.4,770.0,,,
2024-04-02 11:10,696.5,696.5,696.1,696.45,380.0,,,
2024-04-02 11:11,696.45,696.5,696.15,696.5,765.0,,,
2024-04-02 11:12,696.5,697.3,696.45,697.3,12252.0,,,
2024-04-02 11:13,697.3,697.8,697.2,697.8,1878.0,,,
2024-04-02 11:14,697.8,698.0,697.1,697.3,4454.0,,,
2024-04-02 11:15,697.45,697.75,697.3,697.7,2024.0,,,
2024-04-02 11:16,697.7,697.8,697.35,697.7,1398.0,,,
2024-04-02 11:17,697.7,697.7,697.3,697.65,2940.0,,,
2024-04-02 11:18,697.6,697.7,697.4,697.7,845.0,,,
2024-04-02 11:19,697.7,698.0,697.6,697.8,3006.0,,,
2024-04-02 11:20,698.0,698.0,697.7,697.95,483.0,,,
2024-04-02 11:21,697.8,698.0,697.5,698.0,2879.0,,,
2024-04-02 11:22,698.0,698.0,697.65,698.0,1052.0,,,
2024-04-02 11:23,698.0,698.3,697.85,698.05,2091.0,,,
2024-04-02 11:24,698.05,698.05,697.6,697.85,2022.0,,,
2024-04-02 11:25,697.7,697.85,697.2,697.2,989.0,,,
2024-04-02 11:26,697.65,697.85,697.25,697.5,1241.0,,,
2024-04-02 11:27,697.85,698.0,697.45,698.0,1222.0,,,
2024-04-02 11:28,698.0,698.0,697.6,697.7,779.0,,,
2024-04-02 11:29,697.85,698.0,697.7,698.0,1217.0,,,
2024-04-02 11:30,698.0,698.0,697.75,697.75,1177.0,,,
2024-04-02 11:31,697.8,698.0,697.8,698.0,1969.0,,,
2024-04-02 11:32,697.95,698.0,697.75,698.0,3056.0,,,
2024-04-02 11:33,697.8,698.0,697.45,697.45,2022.0,,,
