date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-08 09:15,461.9,462.45,459.2,460.0,45899.0,,,
2024-04-08 09:16,459.8,460.5,458.2,458.2,15415.0,,,
2024-04-08 09:17,458.15,460.85,458.1,460.85,16076.0,,,
2024-04-08 09:18,460.5,465.95,460.25,465.65,64135.0,,,
2024-04-08 09:19,465.7,470.2,464.75,468.65,148370.0,,,
2024-04-08 09:20,468.75,470.4,467.5,469.05,91585.0,,,
2024-04-08 09:21,468.85,471.9,468.65,471.9,79630.0,,,
2024-04-08 09:22,471.55,472.6,470.45,471.1,136603.0,,,
2024-04-08 09:23,470.8,472.35,470.5,472.2,54732.0,,,
2024-04-08 09:24,472.3,474.0,471.1,473.35,109033.0,,,
2024-04-08 09:25,473.75,475.0,473.6,475.0,94076.0,,,
2024-04-08 09:26,475.0,475.5,474.1,474.9,112290.0,,,
2024-04-08 09:27,474.65,477.5,474.35,477.45,107764.0,,,
2024-04-08 09:28,477.5,478.4,477.2,478.2,94948.0,,,
2024-04-08 09:29,478.25,478.5,476.5,477.3,102787.0,,,
2024-04-08 09:30,477.15,479.6,477.15,479.2,120020.0,,,
2024-04-08 09:31,479.2,480.35,478.55,479.55,119986.0,,,
2024-04-08 09:32,479.15,479.95,477.65,477.95,69647.0,,,
2024-04-08 09:33,478.0,479.95,477.8,479.0,45603.0,,,
2024-04-08 09:34,479.0,479.95,478.7,479.9,82832.0,,,
2024-04-08 09:35,479.65,480.45,479.6,479.95,70845.0,,,
2024-04-08 09:36,480.0,481.9,479.9,480.85,133751.0,,,
2024-04-08 09:37,480.6,480.7,478.6,479.35,84207.0,,,
2024-04-08 09:38,479.4,479.75,478.5,479.15,40152.0,,,
2024-04-08 09:39,478.75,479.5,478.1,478.4,25782.0,,,
2024-04-08 09:40,478.0,479.5,477.9,479.0,46049.0,,,
2024-04-08 09:41,479.3,480.2,478.65,480.2,31372.0,,,
2024-04-08 09:42,480.25,481.35,478.85,479.15,87645.0,,,
2024-04-08 09:43,479.0,479.85,478.5,479.55,50311.0,,,
2024-04-08 09:44,479.75,480.0,478.85,479.0,36956.0,,,
2024-04-08 09:45,478.65,479.7,478.5,478.9,36943.0,,,
2024-04-08 09:46,478.9,479.9,478.9,479.4,38397.0,,,
2024-04-08 09:47,479.45,479.45,478.65,478.8,16686.0,,,
2024-04-08 09:48,478.9,478.95,476.85,476.85,112434.0,,,
2024-04-08 09:49,476.8,476.9,476.0,476.0,82349.0,,,
2024-04-08 09:50,476.0,476.55,475.45,475.9,82374.0,,,
2024-04-08 09:51,476.05,476.6,475.15,475.15,43490.0,,,
2024-04-08 09:52,475.2,475.7,474.0,474.4,126360.0,,,
2024-04-08 09:53,474.4,474.5,473.15,473.5,88901.0,,,
2024-04-08 09:54,473.5,474.8,473.3,474.45,57747.0,,,
2024-04-08 09:55,474.45,474.75,473.1,473.3,38190.0,,,
2024-04-08 09:56,473.1,473.5,471.85,472.7,72975.0,,,
2024-04-08 09:57,472.65,473.35,472.6,472.95,31133.0,,,
2024-04-08 09:58,473.05,474.5,472.2,474.05,56909.0,,,
2024-04-08 09:59,474.05,474.5,472.6,472.85,36733.0,,,
2024-04-08 10:00,473.0,473.45,472.1,472.1,18884.0,,,
2024-04-08 10:01,472.0,472.25,471.45,472.05,49033.0,,,
2024-04-08 10:02,472.05,473.9,472.05,473.6,40713.0,,,
2024-04-08 10:03,473.9,474.95,473.9,474.6,53730.0,,,
2024-04-08 10:04,474.6,474.7,473.0,473.7,23543.0,,,
2024-04-08 10:05,473.7,473.95,473.0,473.8,22303.0,,,
2024-04-08 10:06,473.8,474.2,473.4,473.9,15030.0,,,
2024-04-08 10:07,473.9,475.3,473.65,474.8,34790.0,,,
2024-04-08 10:08,474.8,476.4,474.8,476.1,41924.0,,,
2024-04-08 10:09,476.5,476.5,474.45,474.55,42237.0,,,
2024-04-08 10:10,474.55,474.75,474.2,474.55,10949.0,,,
2024-04-08 10:11,474.55,476.85,474.5,476.45,33277.0,,,
