date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-08 09:15,166.95,166.95,165.7,165.75,2502578.0,,,
2024-04-08 09:16,165.9,166.45,165.85,166.3,1356114.0,,,
2024-04-08 09:17,166.3,166.8,166.25,166.75,1611262.0,,,
2024-04-08 09:18,166.65,166.75,166.2,166.5,1314333.0,,,
2024-04-08 09:19,166.4,166.55,165.95,166.05,895452.0,,,
2024-04-08 09:20,166.0,166.0,165.55,165.65,716589.0,,,
2024-04-08 09:21,165.65,165.75,165.5,165.7,523285.0,,,
2024-04-08 09:22,165.7,165.7,165.25,165.45,561099.0,,,
2024-04-08 09:23,165.5,165.75,165.5,165.6,323784.0,,,
2024-04-08 09:24,165.6,166.0,165.6,165.85,310432.0,,,
2024-04-08 09:25,165.85,166.2,165.85,166.1,446547.0,,,
2024-04-08 09:26,166.0,166.6,165.95,166.5,635034.0,,,
2024-04-08 09:27,166.45,166.6,166.2,166.3,459261.0,,,
2024-04-08 09:28,166.35,166.4,165.95,166.05,333457.0,,,
2024-04-08 09:29,166.0,166.05,165.8,166.0,188756.0,,,
2024-04-08 09:30,165.95,166.05,165.65,165.8,239099.0,,,
2024-04-08 09:31,165.7,165.8,165.4,165.5,435087.0,,,
2024-04-08 09:32,165.6,165.7,165.45,165.5,243696.0,,,
2024-04-08 09:33,165.5,165.7,165.5,165.65,119944.0,,,
2024-04-08 09:34,165.75,165.75,165.5,165.6,161895.0,,,
2024-04-08 09:35,165.55,165.75,165.5,165.65,143323.0,,,
2024-04-08 09:36,165.65,165.85,165.6,165.8,118253.0,,,
2024-04-08 09:37,165.8,165.8,165.65,165.75,116741.0,,,
2024-04-08 09:38,165.7,165.75,165.5,165.55,92464.0,,,
2024-04-08 09:39,165.55,165.65,165.4,165.5,223216.0,,,
2024-04-08 09:40,165.55,165.6,165.45,165.55,102932.0,,,
2024-04-08 09:41,165.55,165.55,165.1,165.1,231659.0,,,
2024-04-08 09:42,165.05,165.35,165.0,165.35,386292.0,,,
2024-04-08 09:43,165.25,165.35,165.0,165.0,486262.0,,,
2024-04-08 09:44,165.0,165.05,164.8,164.85,306405.0,,,
2024-04-08 09:45,164.85,164.85,164.7,164.75,206375.0,,,
2024-04-08 09:46,164.7,164.75,164.35,164.5,367697.0,,,
2024-04-08 09:47,164.55,164.6,164.25,164.25,208594.0,,,
2024-04-08 09:48,164.3,164.75,164.2,164.55,249572.0,,,
2024-04-08 09:49,164.6,164.65,164.4,164.45,177526.0,,,
2024-04-08 09:50,164.4,164.6,164.4,164.45,306342.0,,,
2024-04-08 09:51,164.45,164.9,164.4,164.85,194128.0,,,
2024-04-08 09:52,164.8,165.0,164.6,164.9,235226.0,,,
2024-04-08 09:53,164.9,165.2,164.85,165.15,250109.0,,,
2024-04-08 09:54,165.15,165.15,164.9,164.9,196770.0,,,
2024-04-08 09:55,165.0,165.0,164.8,164.9,149025.0,,,
2024-04-08 09:56,164.9,164.95,164.6,164.95,193200.0,,,
2024-04-08 09:57,164.95,165.0,164.85,164.95,75493.0,,,
2024-04-08 09:58,164.95,164.95,164.75,164.8,117250.0,,,
2024-04-08 09:59,164.75,164.75,164.55,164.55,118479.0,,,
2024-04-08 10:00,164.65,164.7,164.55,164.65,58289.0,,,
2024-04-08 10:01,164.65,164.8,164.55,164.8,187329.0,,,
2024-04-08 10:02,164.8,165.0,164.75,164.95,94191.0,,,
2024-04-08 10:03,164.95,164.95,164.8,164.85,58856.0,,,
2024-04-08 10:04,164.95,164.95,164.75,164.8,99996.0,,,
2024-04-08 10:05,164.7,164.85,164.7,164.85,58232.0,,,
2024-04-08 10:06,164.75,164.95,164.75,164.8,215734.0,,,
2024-04-08 10:07,164.9,164.9,164.7,164.85,85463.0,,,
2024-04-08 10:08,164.85,164.9,164.75,164.9,60970.0,,,
2024-04-08 10:09,164.9,164.95,164.5,164.65,689721.0,,,
2024-04-08 10:10,164.65,164.65,164.5,164.55,132341.0,,,
2024-04-08 10:11,164.65,164.65,164.35,164.55,174607.0,,,
2024-04-08 10:12,164.5,164.8,164.4,164.75,393187.0,,,
2024-04-08 10:13,164.7,164.9,164.7,164.85,70235.0,,,
2024-04-08 10:14,164.85,164.85,164.75,164.85,70759.0,,,
2024-04-08 10:15,164.85,164.85,164.75,164.85,128419.0,,,
2024-04-08 10:16,164.8,164.85,164.45,164.7,215393.0,,,
2024-04-08 10:17,164.6,164.7,164.55,164.7,58132.0,,,
2024-04-08 10:18,164.7,164.85,164.6,164.8,84433.0,,,
2024-04-08 10:19,164.85,164.85,164.75,164.85,58273.0,,,
2024-04-08 10:20,164.85,164.85,164.7,164.8,122887.0,,,
2024-04-08 10:21,164.8,164.8,164.7,164.75,74632.0,,,
2024-04-08 10:22,164.75,164.8,164.7,164.7,58814.0,,,
2024-04-08 10:23,164.75,164.8,164.7,164.7,79706.0,,,
2024-04-08 10:24,164.8,164.8,164.7,164.8,60169.0,,,
2024-04-08 10:25,164.8,164.85,164.65,164.75,197162.0,,,
2024-04-08 10:26,164.75,164.75,164.65,164.75,43962.0,,,
2024-04-08 10:27,164.75,164.75,164.65,164.75,47644.0,,,
2024-04-08 10:28,164.75,164.8,164.65,164.8,82048.0,,,
2024-04-08 10:29,164.8,164.85,164.75,164.85,121261.0,,,
2024-04-08 10:30,164.8,164.85,164.75,164.8,56554.0,,,
2024-04-08 10:31,164.8,164.85,164.75,164.85,75652.0,,,
2024-04-08 10:32,164.8,164.85,164.8,164.8,61263.0,,,
2024-04-08 10:33,164.85,165.0,164.8,165.0,127215.0,,,
2024-04-08 10:34,165.0,165.1,164.9,165.1,208862.0,,,
2024-04-08 10:35,165.1,165.15,165.0,165.0,175592.0,,,
2024-04-08 10:36,165.0,165.1,165.0,165.0,68375.0,,,
2024-04-08 10:37,165.1,165.1,165.0,165.1,84068.0,,,
2024-04-08 10:38,165.1,165.1,165.0,165.05,63717.0,,,
2024-04-08 10:39,165.0,165.1,164.8,164.9,169182.0,,,
2024-04-08 10:40,164.8,164.9,164.7,164.85,149983.0,,,
2024-04-08 10:41,164.8,165.0,164.75,165.0,95704.0,,,
2024-04-08 10:42,165.0,165.0,164.85,164.95,175264.0,,,
2024-04-08 10:43,164.85,164.95,164.85,164.95,47426.0,,,
2024-04-08 10:44,164.95,165.0,164.9,164.95,53016.0,,,
2024-04-08 10:45,164.95,165.0,164.9,165.0,116627.0,,,
2024-04-08 10:46,164.95,165.0,164.85,164.95,73418.0,,,
2024-04-08 10:47,164.9,165.0,164.9,164.95,89857.0,,,
2024-04-08 10:48,164.9,165.0,164.9,164.9,116425.0,,,
2024-04-08 10:49,164.9,165.05,164.9,165.05,34367.0,,,
2024-04-08 10:50,165.0,165.0,164.9,164.95,71112.0,,,
2024-04-08 10:51,165.0,165.05,164.9,165.0,66466.0,,,
2024-04-08 10:52,165.0,165.05,164.6,164.7,259902.0,,,
2024-04-08 10:53,164.8,164.9,164.8,164.8,47798.0,,,
2024-04-08 10:54,164.8,164.95,164.8,164.85,162727.0,,,
2024-04-08 10:55,164.85,164.95,164.75,164.8,102452.0,,,
2024-04-08 10:56,164.85,164.9,164.8,164.8,52348.0,,,
2024-04-08 10:57,164.8,164.9,164.8,164.85,31335.0,,,
2024-04-08 10:58,164.9,164.9,164.85,164.9,35912.0,,,
2024-04-08 10:59,164.9,164.95,164.85,164.95,90688.0,,,
2024-04-08 11:00,164.95,164.95,164.85,164.85,56565.0,,,
2024-04-08 11:01,164.9,164.95,164.8,164.9,45504.0,,,
2024-04-08 11:02,164.85,164.95,164.8,164.9,90643.0,,,
2024-04-08 11:03,164.85,164.95,164.8,164.95,36131.0,,,
2024-04-08 11:04,164.85,164.95,164.85,164.85,44409.0,,,
2024-04-08 11:05,164.85,165.0,164.85,164.95,89273.0,,,
2024-04-08 11:06,165.0,165.05,164.9,165.05,114921.0,,,
2024-04-08 11:07,165.0,165.05,164.95,165.05,77553.0,,,
2024-04-08 11:08,165.05,165.1,164.95,165.0,113053.0,,,
2024-04-08 11:09,165.0,165.0,164.9,165.0,40813.0,,,
2024-04-08 11:10,165.0,165.05,164.9,165.0,58674.0,,,
2024-04-08 11:11,165.0,165.05,164.95,165.0,44831.0,,,
2024-04-08 11:12,165.0,165.1,165.0,165.05,53028.0,,,
2024-04-08 11:13,165.1,165.2,165.05,165.2,138248.0,,,
2024-04-08 11:14,165.2,165.2,165.1,165.15,82640.0,,,
2024-04-08 11:15,165.1,165.2,165.1,165.2,71578.0,,,
2024-04-08 11:16,165.15,165.2,165.15,165.15,71589.0,,,
2024-04-08 11:17,165.15,165.3,165.15,165.2,171660.0,,,
2024-04-08 11:18,165.3,165.4,165.25,165.25,126032.0,,,
2024-04-08 11:19,165.3,165.35,165.25,165.25,87251.0,,,
2024-04-08 11:20,165.3,165.35,165.25,165.3,132450.0,,,
2024-04-08 11:21,165.35,165.4,165.3,165.35,84416.0,,,
2024-04-08 11:22,165.4,165.4,165.3,165.4,71358.0,,,
2024-04-08 11:23,165.3,165.4,165.3,165.35,102235.0,,,
2024-04-08 11:24,165.35,165.35,165.05,165.1,130555.0,,,
2024-04-08 11:25,165.1,165.15,165.05,165.05,81298.0,,,
2024-04-08 11:26,165.1,165.15,165.05,165.05,50048.0,,,
