date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-26 09:15,743.05,747.4,743.05,746.25,204090.0,,,
2024-03-26 09:16,746.4,746.8,744.75,744.9,116076.0,,,
2024-03-26 09:17,744.8,744.8,743.4,743.9,104133.0,,,
2024-03-26 09:18,744.0,744.3,743.55,744.3,93183.0,,,
2024-03-26 09:19,744.0,744.45,743.25,743.3,59664.0,,,
2024-03-26 09:20,743.45,743.85,743.1,743.1,47393.0,,,
2024-03-26 09:21,743.35,743.35,742.1,742.55,82007.0,,,
2024-03-26 09:22,742.55,742.9,742.1,742.15,80451.0,,,
2024-03-26 09:23,742.1,743.1,741.75,743.1,80546.0,,,
2024-03-26 09:24,743.1,743.1,742.0,742.2,29461.0,,,
2024-03-26 09:25,742.3,742.35,741.2,741.25,88655.0,,,
2024-03-26 09:26,741.25,742.0,741.15,741.8,42363.0,,,
2024-03-26 09:27,741.85,742.6,741.75,741.95,99121.0,,,
2024-03-26 09:28,741.95,742.55,741.55,742.5,52137.0,,,
2024-03-26 09:29,742.4,743.1,742.3,742.85,58763.0,,,
2024-03-26 09:30,742.6,742.6,741.85,742.0,92015.0,,,
2024-03-26 09:31,742.0,742.4,741.6,742.0,51827.0,,,
2024-03-26 09:32,742.15,742.45,742.05,742.1,48498.0,,,
2024-03-26 09:33,742.05,742.2,741.5,742.05,103732.0,,,
2024-03-26 09:34,742.2,742.45,741.95,742.3,81776.0,,,
2024-03-26 09:35,742.45,742.45,741.25,741.35,62263.0,,,
2024-03-26 09:36,741.3,741.3,740.55,741.0,106556.0,,,
2024-03-26 09:37,741.05,741.05,740.55,740.7,100926.0,,,
2024-03-26 09:38,740.85,740.85,739.75,739.75,138602.0,,,
2024-03-26 09:39,739.7,741.35,739.6,741.2,80485.0,,,
2024-03-26 09:40,741.05,741.3,740.5,740.95,83745.0,,,
2024-03-26 09:41,740.95,740.95,740.0,740.7,89214.0,,,
2024-03-26 09:42,740.7,740.85,740.3,740.6,87704.0,,,
2024-03-26 09:43,740.55,741.25,740.55,741.2,38187.0,,,
2024-03-26 09:44,741.15,741.45,740.6,741.1,42142.0,,,
2024-03-26 09:45,741.35,741.8,741.0,741.1,30347.0,,,
2024-03-26 09:46,741.15,741.2,740.25,740.5,49244.0,,,
2024-03-26 09:47,740.3,741.05,740.3,740.7,21718.0,,,
2024-03-26 09:48,740.6,741.15,740.6,741.0,19272.0,,,
2024-03-26 09:49,741.05,741.65,741.0,741.1,20496.0,,,
2024-03-26 09:50,741.1,741.9,741.05,741.9,32183.0,,,
2024-03-26 09:51,741.8,741.9,740.9,740.9,51983.0,,,
2024-03-26 09:52,740.8,741.1,740.8,740.85,16460.0,,,
2024-03-26 09:53,740.9,741.25,740.8,740.85,16047.0,,,
2024-03-26 09:54,740.9,741.75,740.55,741.7,42507.0,,,
2024-03-26 09:55,741.5,741.5,740.6,740.9,20224.0,,,
2024-03-26 09:56,740.9,740.9,740.0,740.45,79464.0,,,
2024-03-26 09:57,740.45,740.7,740.4,740.6,33621.0,,,
