date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-27 09:15,332.0,332.0,329.2,330.0,142836.0,,,
2024-03-27 09:16,330.15,330.5,329.5,330.25,57464.0,,,
2024-03-27 09:17,330.15,330.35,329.5,329.7,67224.0,,,
2024-03-27 09:18,329.75,330.05,329.4,329.8,65418.0,,,
2024-03-27 09:19,329.9,330.6,329.8,330.6,51375.0,,,
2024-03-27 09:20,330.5,330.5,329.35,329.75,92886.0,,,
2024-03-27 09:21,329.65,329.8,329.3,329.35,52929.0,,,
2024-03-27 09:22,329.55,329.95,329.45,329.75,41684.0,,,
2024-03-27 09:23,329.75,330.05,329.75,330.0,37729.0,,,
2024-03-27 09:24,329.95,330.05,329.6,329.7,26756.0,,,
2024-03-27 09:25,330.0,330.25,329.95,330.1,58700.0,,,
2024-03-27 09:26,330.1,330.8,330.05,330.65,66948.0,,,
2024-03-27 09:27,330.65,330.85,330.5,330.8,42351.0,,,
2024-03-27 09:28,330.8,331.1,330.7,330.95,43799.0,,,
2024-03-27 09:29,330.9,331.05,330.8,331.0,34746.0,,,
2024-03-27 09:30,331.2,331.25,330.75,330.8,47411.0,,,
2024-03-27 09:31,330.75,330.75,329.9,330.2,55537.0,,,
2024-03-27 09:32,330.3,330.45,330.25,330.4,10402.0,,,
2024-03-27 09:33,330.35,330.55,330.25,330.55,12990.0,,,
2024-03-27 09:34,330.6,330.7,330.6,330.7,46875.0,,,
2024-03-27 09:35,330.7,330.7,330.3,330.55,15326.0,,,
2024-03-27 09:36,330.55,330.55,330.2,330.25,18583.0,,,
2024-03-27 09:37,330.4,330.4,330.2,330.4,19324.0,,,
2024-03-27 09:38,330.35,330.5,330.35,330.4,18723.0,,,
2024-03-27 09:39,330.4,330.5,330.1,330.1,23170.0,,,
2024-03-27 09:40,330.15,330.4,330.1,330.4,33339.0,,,
2024-03-27 09:41,330.3,330.3,329.75,329.95,46408.0,,,
2024-03-27 09:42,329.95,330.0,329.6,329.8,32096.0,,,
2024-03-27 09:43,329.8,329.8,329.5,329.55,20749.0,,,
